layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05697248876094818,0.12318812310695648
-1,1,651,1,The,,1.0,0.03184974193572998,0.2390824556350708
-1,2,6037,2, capital,,1.0,0.028072595596313477,0.2671550512313843
-1,3,576,3, of,,1.0,0.013975799083709717,0.30299344658851624
-1,4,573,4, the,,1.0,0.010132193565368652,0.3247442841529846
-1,5,2329,5, state,,1.0,0.011618643999099731,0.31461209058761597
-1,6,10751,6, containing,,1.0,0.02186259627342224,0.2890176475048065
-1,7,39378,7, Idaho,,1.0,0.0662156343460083,0.0662156343460083
-1,8,22954,8, Falls,,1.0,0.03526921570301056,0.20723271369934082
-1,9,603,9, is,,1.0,0.04877537488937378,0.17196349799633026
0,-1,0,2, capital,,1.0,0.0017000436782836914,0.5335742235183716
0,-1,0,3, of,,1.0,0.000498652458190918,0.7631707191467285
0,-1,0,5, state,,1.0,0.0008779168128967285,0.6580506563186646
0,-1,0,6, containing,,1.0,0.0012401938438415527,0.5909435153007507
0,-1,0,7, Idaho,,1.0,0.0007929205894470215,0.6738134622573853
0,-1,0,8, Falls,,1.0,0.0017275214195251465,0.5301735401153564
0,-1,0,9, is,,1.0,0.0006680488586425781,0.713823676109314
0,26795,230,9, is,3.421875,1.0,0.003995716571807861,0.43031585216522217
0,2338202,2161,3, of,3.9375,1.0,0.000992894172668457,0.6395092010498047
0,6962045,3730,7, Idaho,1.6640625,1.0,0.0006288886070251465,0.7286944389343262
0,13527800,5200,9, is,3.1875,1.0,0.004211783409118652,0.42227885127067566
0,17508402,5916,2, capital,2.015625,1.0,0.00042182207107543945,0.7912989258766174
0,19628244,6264,2, capital,1.484375,1.0,0.0004755258560180664,0.7728902697563171
0,56270135,10607,7, Idaho,1.3359375,1.0,0.0004475712776184082,0.783492386341095
0,73017569,12083,8, Falls,1.828125,1.0,0.0007261037826538086,0.6957865953445435
0,75466754,12284,1,The,2.8125,1.0,0.0004642605781555176,0.7766367197036743
0,87523064,13229,8, Falls,1.25,1.0,0.000793755054473877,0.6722272038459778
0,89091225,13347,5, state,3.25,1.0,0.0010950565338134766,0.6166495084762573
0,97643324,13973,7, Idaho,1.140625,1.0,0.0005796551704406738,0.7413771748542786
0,108936179,14759,8, Falls,2.125,1.0,0.0007933378219604492,0.6730205416679382
0,109690265,14810,3, of,1.8125,1.0,0.0004000067710876465,0.7998917698860168
0,116823254,15284,8, Falls,1.15625,1.0,0.0006730556488037109,0.7118117809295654
0,119065595,15430,2, capital,1.265625,1.0,0.0005208253860473633,0.7545192837715149
0,122265702,15636,3, of,2.359375,1.0,0.0008394718170166016,0.6657547950744629
0,127273034,15953,8, Falls,1.8125,1.0,0.0005162954330444336,0.757108211517334
