layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06898932158946991,0.06898932158946991
-1,1,651,1,The,,1.0,0.039142906665802,0.22411119937896729
-1,2,6037,2, capital,,1.0,0.03462818264961243,0.2587393820285797
-1,3,576,3, of,,1.0,0.017436057329177856,0.3006393611431122
-1,4,573,4, the,,1.0,0.01294010877609253,0.32790979743003845
-1,5,2329,5, state,,1.0,0.01433032751083374,0.3149696886539459
-1,6,10751,6, containing,,1.0,0.024463921785354614,0.2832033038139343
-1,7,10147,7, Chicago,,1.0,0.05732166767120361,0.18496829271316528
-1,8,603,8, is,,1.0,0.05865730345249176,0.12764662504196167
0,-1,0,2, capital,,1.0,0.002382993698120117,0.5098024010658264
0,-1,0,3, of,,1.0,0.0005593299865722656,0.7828525304794312
0,-1,0,5, state,,1.0,0.0013867616653442383,0.6182171106338501
0,-1,0,6, containing,,1.0,0.0016964077949523926,0.580575168132782
0,-1,0,7, Chicago,,1.0,0.0013735294342041016,0.6195906400680542
0,-1,0,8, is,,1.0,0.0006275773048400879,0.7613915205001831
0,26795,230,8, is,3.484375,1.0,0.005549013614654541,0.4109022319316864
0,2338202,2161,3, of,3.9375,1.0,0.0014145374298095703,0.6126341223716736
0,13527800,5200,8, is,3.03125,1.0,0.005544006824493408,0.4164462387561798
0,16356339,5718,7, Chicago,2.046875,1.0,0.000988304615020752,0.6789571642875671
0,17508402,5916,2, capital,2.015625,1.0,0.0005952715873718262,0.7742478251457214
0,75466754,12284,1,The,2.8125,1.0,0.0005758404731750488,0.7788861393928528
0,89091225,13347,5, state,3.25,1.0,0.001483321189880371,0.6024622917175293
0,91226277,13506,4, the,3.015625,1.0,0.0005228519439697266,0.7920796871185303
0,94084902,13716,7, Chicago,3.15625,1.0,0.002054929733276367,0.5446462631225586
0,119065595,15430,2, capital,1.265625,1.0,0.000645756721496582,0.7594887614250183
0,120831284,15544,7, Chicago,1.171875,1.0,0.0006711483001708984,0.7515588402748108
0,122265702,15636,3, of,2.359375,1.0,0.0010840296745300293,0.6613163948059082
0,175865634,18753,3, of,6.0,1.0,0.0016123056411743164,0.5871641039848328
0,175865634,18753,4, the,6.53125,1.0,0.0008428692817687988,0.7129619121551514
0,175865634,18753,8, is,5.75,1.0,0.006700694561004639,0.36901602149009705
0,184425614,19204,1,The,2.5,1.0,0.0008091330528259277,0.7187541723251343
0,271316864,23293,2, capital,1.3515625,1.0,0.0008196830749511719,0.7179450392723083
0,275619980,23477,1,The,2.34375,1.0,0.0008709430694580078,0.697610080242157
0,298644579,24438,1,The,2.859375,1.0,0.0005737543106079102,0.7794598937034607
0,447169464,29904,6, containing,1.3125,1.0,0.0005120038986206055,0.7936254739761353
0,510545034,31953,2, capital,1.0234375,1.0,0.0006175041198730469,0.7663744688034058
0,535741010,32732,6, containing,1.671875,1.0,0.0005097389221191406,0.7951567769050598
