layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.0659693032503128,0.14164841175079346
-1,1,651,1,The,,1.0,0.03621798753738403,0.24136969447135925
-1,2,6037,2, capital,,1.0,0.031460583209991455,0.2728302776813507
-1,3,576,3, of,,1.0,0.016502320766448975,0.3151611089706421
-1,4,573,4, the,,1.0,0.01218762993812561,0.3531169295310974
-1,5,2329,5, state,,1.0,0.013107091188430786,0.3282682001590729
-1,6,10751,6, containing,,1.0,0.025828510522842407,0.2986587882041931
-1,7,111001,7, Wichita,,1.0,0.07567910850048065,0.07567910850048065
-1,8,603,8, is,,1.0,0.06350329518318176,0.20515170693397522
0,-1,0,2, capital,,1.0,0.00210726261138916,0.5318570137023926
0,-1,0,3, of,,1.0,0.0006199479103088379,0.7583820223808289
0,-1,0,5, state,,1.0,0.0011053681373596191,0.6634445190429688
0,-1,0,6, containing,,1.0,0.0013675093650817871,0.6147677302360535
0,-1,0,7, Wichita,,1.0,0.0027393698692321777,0.49059873819351196
0,-1,0,8, is,,1.0,0.0011034011840820312,0.6645479202270508
0,26795,230,8, is,3.484375,1.0,0.005242198705673218,0.4229029417037964
0,161027,566,7, Wichita,1.328125,1.0,0.000563204288482666,0.7725326418876648
0,2338202,2161,3, of,3.9375,1.0,0.0012493729591369629,0.6318872570991516
0,13527800,5200,8, is,2.9375,1.0,0.005206316709518433,0.4281092584133148
0,75466754,12284,1,The,2.8125,1.0,0.0005370378494262695,0.7785574793815613
0,89091225,13347,5, state,3.25,1.0,0.0013982057571411133,0.6092513799667358
0,109690265,14810,3, of,1.8125,1.0,0.0004973411560058594,0.7928798794746399
0,119065595,15430,2, capital,1.265625,1.0,0.0006553530693054199,0.7488539218902588
0,122265702,15636,3, of,2.359375,1.0,0.001026928424835205,0.6740825176239014
0,122422127,15646,7, Wichita,1.0625,1.0,0.0006882548332214355,0.7387720942497253
0,157753202,17761,7, Wichita,2.09375,1.0,0.0012854337692260742,0.6293700337409973
0,175865634,18753,3, of,6.0,1.0,0.001717209815979004,0.5678625702857971
0,175865634,18753,4, the,6.53125,1.0,0.0008441805839538574,0.7053802609443665
0,175865634,18753,8, is,5.71875,1.0,0.008135437965393066,0.38030534982681274
0,184425614,19204,1,The,2.5,1.0,0.0006708502769470215,0.7455567717552185
0,236716160,21757,7, Wichita,0.8203125,1.0,0.0004938244819641113,0.7938681840896606
0,271316864,23293,2, capital,1.3515625,1.0,0.0006297826766967773,0.7546355128288269
0,275619980,23477,1,The,2.34375,1.0,0.0008188486099243164,0.7103726267814636
0,298644579,24438,1,The,2.859375,1.0,0.0010169148445129395,0.7873562574386597
0,368466230,27145,7, Wichita,0.80078125,1.0,0.0004818439483642578,0.7982410192489624
0,509682627,31926,7, Wichita,0.78125,1.0,0.0004973411560058594,0.792382538318634
0,510545034,31953,2, capital,1.0234375,1.0,0.0005875229835510254,0.766814649105072
0,536068395,32742,7, Wichita,2.4375,1.0,0.0028873085975646973,0.48497819900512695
0,555027902,33316,8, is,0.58203125,1.0,0.0007146596908569336,0.7345911264419556
0,646075430,35945,1,The,2.71875,1.0,0.0011678338050842285,0.6487519145011902
0,700034652,37416,2, capital,1.3046875,1.0,0.0006773471832275391,0.7435381412506104
0,705696095,37567,6, containing,4.3125,1.0,0.0025556087493896484,0.5036872625350952
0,765324125,39122,3, of,4.125,1.0,0.0009164810180664062,0.6886412501335144
0,775214999,39374,8, is,1.5,1.0,0.00249636173248291,0.5112115740776062
0,831565370,40780,3, of,5.21875,1.0,0.0014801025390625,0.5963114500045776
0,831565370,40780,4, the,6.6875,1.0,0.0007818937301635742,0.716708242893219
0,831565370,40780,8, is,6.59375,1.0,0.006361812353134155,0.3998257517814636
0,837939452,40936,3, of,5.125,1.0,0.0026626884937286377,0.4932614266872406
0,864884844,41589,2, capital,1.1484375,1.0,0.0005159974098205566,0.7837802767753601
0,902381402,42481,5, state,2.53125,1.0,0.000957787036895752,0.6839737892150879
0,951592124,43624,2, capital,1.234375,1.0,0.0005820393562316895,0.7673966884613037
0,989702294,44489,1,The,2.59375,1.0,0.0009987354278564453,0.6781205534934998
0,996163929,44634,1,The,2.65625,1.0,0.000876009464263916,0.6976110935211182
0,999514404,44709,6, containing,1.734375,1.0,0.0006480813026428223,0.7501534819602966
0,1068906965,46235,2, capital,3.9375,1.0,0.0008932948112487793,0.6940742135047913
0,1128861369,47514,7, Wichita,1.6328125,1.0,0.0007634162902832031,0.7197861671447754
0,1134760979,47638,6, containing,1.609375,1.0,0.0006422996520996094,0.7527329325675964
0,1228171140,49560,8, is,3.171875,1.0,0.0050580501556396484,0.4383571743965149
0,1289075699,50774,2, capital,2.40625,1.0,0.0015214085578918457,0.590330958366394
0,1322805329,51434,1,The,2.71875,1.0,0.0010097026824951172,0.6761155128479004
0,1322805329,51434,4, the,5.375,1.0,0.0010625720024108887,0.6709820032119751
0,1352546054,52009,6, containing,1.3203125,1.0,0.0005397200584411621,0.777483344078064
0,1365841244,52264,6, containing,1.28125,1.0,0.0005692839622497559,0.7702699303627014
0,1430723777,53491,2, capital,1.578125,1.0,0.0007544159889221191,0.723578691482544
0,1432864277,53531,2, capital,1.390625,1.0,0.0007659792900085449,0.7190227508544922
