layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06457119435071945,0.1363576352596283
-1,1,651,1,The,,1.0,0.035358354449272156,0.2211146205663681
-1,2,6037,2, capital,,1.0,0.033369019627571106,0.2544836401939392
-1,3,576,3, of,,1.0,0.017122268676757812,0.2955690622329712
-1,4,573,4, the,,1.0,0.013378143310546875,0.32258912920951843
-1,5,2329,5, state,,1.0,0.013641923666000366,0.30921098589897156
-1,6,10751,6, containing,,1.0,0.02396315336227417,0.2784467935562134
-1,7,59955,7, Louisville,,1.0,0.07178644090890884,0.07178644090890884
-1,8,603,8, is,,1.0,0.04939863085746765,0.18575626611709595
0,-1,0,2, capital,,1.0,0.002091646194458008,0.5259361267089844
0,-1,0,3, of,,1.0,0.0006361603736877441,0.7513338327407837
0,-1,0,5, state,,1.0,0.001147150993347168,0.642598569393158
0,-1,0,6, containing,,1.0,0.0012953877449035645,0.6170718669891357
0,-1,0,7, Louisville,,1.0,0.0014307498931884766,0.5940026044845581
0,-1,0,8, is,,1.0,0.0007520318031311035,0.7261165380477905
0,26795,230,8, is,3.453125,1.0,0.004276841878890991,0.41671276092529297
0,2338202,2161,3, of,3.9375,1.0,0.0012974143028259277,0.6157764792442322
0,2500965,2235,7, Louisville,0.93359375,1.0,0.0004964470863342285,0.7894178628921509
0,6962045,3730,7, Louisville,0.7734375,1.0,0.0005035400390625,0.7879264950752258
0,13527800,5200,8, is,3.03125,1.0,0.004206836223602295,0.4251410961151123
0,17508402,5916,2, capital,2.015625,1.0,0.0006085634231567383,0.7563160061836243
0,19628244,6264,2, capital,1.484375,1.0,0.00047326087951660156,0.7981269955635071
0,75466754,12284,1,The,2.8125,1.0,0.0005949735641479492,0.7605390548706055
0,89091225,13347,5, state,3.25,1.0,0.0015820860862731934,0.5836315155029297
0,109690265,14810,3, of,1.8125,1.0,0.0005161762237548828,0.7843693494796753
0,119065595,15430,2, capital,1.265625,1.0,0.0005802512168884277,0.7652173638343811
0,122265702,15636,3, of,2.359375,1.0,0.0009540319442749023,0.6727746725082397
0,122422127,15646,7, Louisville,1.359375,1.0,0.0006856918334960938,0.7440447807312012
0,137323877,16571,7, Louisville,1.578125,1.0,0.0012922286987304688,0.6183640956878662
0,157753202,17761,7, Louisville,1.5390625,1.0,0.0011596083641052246,0.6402968168258667
0,175865634,18753,3, of,6.0,1.0,0.0016889572143554688,0.5754822492599487
0,175865634,18753,4, the,6.53125,1.0,0.0008265972137451172,0.7041189670562744
0,175865634,18753,8, is,5.78125,1.0,0.0062233805656433105,0.36605003476142883
0,184425614,19204,1,The,2.5,1.0,0.0008330345153808594,0.7016290426254272
0,228969299,21398,7, Louisville,1.515625,1.0,0.00091552734375,0.6849141120910645
0,271316864,23293,2, capital,1.3515625,1.0,0.000685572624206543,0.7447303533554077
0,275619980,23477,1,The,2.34375,1.0,0.0008697509765625,0.6948288083076477
0,298644579,24438,1,The,2.859375,1.0,0.0005286931991577148,0.7807197570800781
0,377039529,27459,7, Louisville,0.9375,1.0,0.0005362033843994141,0.7780604958534241
0,447169464,29904,6, containing,1.3125,1.0,0.0005271434783935547,0.7812469005584717
0,475013252,30821,7, Louisville,0.85546875,1.0,0.0007600784301757812,0.7230907082557678
0,510545034,31953,2, capital,1.0234375,1.0,0.0005683302879333496,0.769217848777771
0,536068395,32742,7, Louisville,3.875,1.0,0.003520190715789795,0.458647757768631
0,555027902,33316,8, is,1.0,1.0,0.0010429024696350098,0.6599941253662109
0,584426765,34187,7, Louisville,0.9453125,1.0,0.0004819631576538086,0.7947781085968018
0,619009704,35184,2, capital,1.078125,1.0,0.0005416274070739746,0.7764431834220886
0,646075430,35945,1,The,2.71875,1.0,0.001073598861694336,0.6547408103942871
0,700034652,37416,2, capital,1.3046875,1.0,0.0007370114326477051,0.7298455834388733
0,705696095,37567,6, containing,4.3125,1.0,0.0020804405212402344,0.5301029682159424
0,748206585,38682,7, Louisville,1.984375,1.0,0.0009143948554992676,0.6876581311225891
0,765324125,39122,3, of,4.125,1.0,0.0009149312973022461,0.6858290433883667
0,775214999,39374,8, is,1.4375,1.0,0.001741945743560791,0.5635471343994141
0,831565370,40780,3, of,5.21875,1.0,0.0015453696250915527,0.5851768851280212
0,831565370,40780,4, the,6.6875,1.0,0.0008679628372192383,0.6965656280517578
0,831565370,40780,8, is,6.65625,1.0,0.004777848720550537,0.40770384669303894
0,837939452,40936,3, of,5.125,1.0,0.0025132298469543457,0.5034160017967224
0,845365520,41117,7, Louisville,1.078125,1.0,0.0004839897155761719,0.7933294177055359
0,864884844,41589,2, capital,1.1484375,1.0,0.0005640387535095215,0.7709134817123413
0,902381402,42481,5, state,2.53125,1.0,0.0009914040565490723,0.6660149693489075
0,917354360,42832,6, containing,1.34375,1.0,0.0005328059196472168,0.7796612977981567
0,951592124,43624,2, capital,1.234375,1.0,0.0006650686264038086,0.7481043338775635
0,989702294,44489,1,The,2.59375,1.0,0.0009920001029968262,0.6650235652923584
0,999514404,44709,6, containing,1.734375,1.0,0.0005714893341064453,0.7680797576904297
0,1068906965,46235,2, capital,3.9375,1.0,0.0008957386016845703,0.6921773552894592
0,1134760979,47638,6, containing,1.609375,1.0,0.0007014870643615723,0.7398964166641235
0,1228171140,49560,8, is,3.296875,1.0,0.003301858901977539,0.47201767563819885
0,1289075699,50774,2, capital,2.40625,1.0,0.0016980767250061035,0.5720974206924438
