feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,"entity: A major city in Kentucky, USA is Louisville", city,5,69.083984375,0.5945520652752897,semantic,"[{""token"": "" city"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,government,"[{""tk"": ""government"", ""act"": 73.73577117919922}, {""tk"": ""state"", ""act"": 72.12992095947266}, {""tk"": ""city"", ""act"": 69.083984375}, {""tk"": ""capital"", ""act"": 60.64950942993164}, {""tk"": ""USA"", ""act"": 57.08384323120117}, {""tk"": ""Kentucky"", ""act"": 52.41947555541992}, {""tk"": ""relationship"", ""act"": 51.8544807434082}, {""tk"": ""attribute"", ""act"": 50.58573913574219}, {""tk"": ""seat"", ""act"": 44.13238525390625}, {""tk"": ""located"", ""act"": 41.876251220703125}, {""tk"": ""entity"", ""act"": 40.56538009643555}, {""tk"": ""Louisville"", ""act"": 37.0432243347168}, {""tk"": ""serving"", ""act"": 31.4293155670166}, {""tk"": ""containing"", ""act"": 27.732948303222656}, {""tk"": ""Frankfort"", ""act"": 24.33502960205078}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}]"
0_18753,0,18753,"entity: A major city in Kentucky, USA is Louisville",",",8,62.554534912109375,0.7124761178068303,functional,"[{""token"": "" USA"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Kentucky"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""the"", ""act"": 45.698326110839844}, {""tk"": ""is"", ""act"": 44.25437545776367}, {""tk"": ""of"", ""act"": 41.465484619140625}, {""tk"": ""in"", ""act"": 39.97174072265625}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_39122,0,39122,"entity: A major city in Kentucky, USA is Louisville",",",8,60.60517120361328,0.7685929652295579,functional,"[{""token"": "" USA"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Kentucky"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""of"", ""act"": 40.620758056640625}, {""tk"": ""in"", ""act"": 38.414180755615234}, {""tk"": ""the"", ""act"": 38.37458801269531}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_32742,0,32742,"entity: A major city in Kentucky, USA is Louisville", Kentucky,7,58.36896896362305,0.8501438980891568,semantic,"[{""token"": "" Kentucky"", ""index"": 7, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Kentucky,"[{""tk"": ""Kentucky"", ""act"": 58.74692916870117}, {""tk"": ""Louisville"", ""act"": 37.84743881225586}, {""tk"": ""Frankfort"", ""act"": 1.1132769584655762}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_2161,0,2161,"entity: A major city in Kentucky, USA is Louisville",",",8,57.157447814941406,0.8155512213686075,functional,"[{""token"": "" USA"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Kentucky"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""of"", ""act"": 35.450897216796875}, {""tk"": ""in"", ""act"": 23.877574920654297}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_40780,0,40780,"entity: A major city in Kentucky, USA is Louisville", is,10,50.37326049804688,0.6680073911713708,functional,"[{""token"": "" Louisville"", ""index"": 11, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,which,"[{""tk"": ""which"", ""act"": 59.63111114501953}, {""tk"": ""the"", ""act"": 57.446224212646484}, {""tk"": ""is"", ""act"": 50.90119552612305}, {""tk"": ""in"", ""act"": 48.9953727722168}, {""tk"": ""of"", ""act"": 37.325950622558594}, {""tk"": ""entity"", ""act"": 2.3564822673797607}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_54198,0,54198,"entity: A major city in Kentucky, USA is Louisville", A,3,47.78662109375,0.9090909090909092,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.88051223754883}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_5200,0,5200,"entity: A major city in Kentucky, USA is Louisville", is,10,47.649208068847656,0.9090909090909092,functional,"[{""token"": "" Louisville"", ""index"": 11, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,0.8333333333333334,False,,is,"[{""tk"": ""is"", ""act"": 47.649208068847656}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_91045,0,91045,"entity: A major city in Kentucky, USA is Louisville", is,10,46.617862701416016,0.9090909090909092,functional,"[{""token"": "" Louisville"", ""index"": 11, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,0.8333333333333334,False,,is,"[{""tk"": ""is"", ""act"": 62.202613830566406}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_95057,0,95057,"entity: A major city in Kentucky, USA is Louisville",:,2,44.88917541503906,0.6764009402595337,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.39540481567383}, {""tk"": ""is"", ""act"": 33.51987838745117}, {""tk"": ""in"", ""act"": 20.475749969482422}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Kentucky"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Louisville"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Frankfort"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
