layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06354927271604538,0.14179150760173798
-1,1,651,1,The,,1.0,0.035796716809272766,0.2303994745016098
-1,2,6037,2, capital,,1.0,0.0316227525472641,0.2620222270488739
-1,3,576,3, of,,1.0,0.01617497205734253,0.3022288978099823
-1,4,573,4, the,,1.0,0.012049615383148193,0.3428054451942444
-1,5,2329,5, state,,1.0,0.014136254787445068,0.3307558298110962
-1,6,10751,6, containing,,1.0,0.02403169870376587,0.28605392575263977
-1,7,29688,7, Baltimore,,1.0,0.0782422348856926,0.0782422348856926
-1,8,603,8, is,,1.0,0.05281125009059906,0.19460275769233704
0,-1,0,2, capital,,1.0,0.002115786075592041,0.5354698896408081
0,-1,0,3, of,,1.0,0.000586092472076416,0.7767449021339417
0,-1,0,5, state,,1.0,0.0015716552734375,0.5918787121772766
0,-1,0,6, containing,,1.0,0.001471877098083496,0.6054363250732422
0,-1,0,7, Baltimore,,1.0,0.0010630488395690918,0.6666667461395264
0,-1,0,8, is,,1.0,0.0006853938102722168,0.7463454604148865
0,26795,230,8, is,3.515625,1.0,0.004864126443862915,0.4299791157245636
0,2338202,2161,3, of,3.9375,1.0,0.001110076904296875,0.6558359861373901
0,5602877,3346,7, Baltimore,1.0625,1.0,0.0005329251289367676,0.7905955910682678
0,11700702,4836,7, Baltimore,1.1484375,1.0,0.0007578134536743164,0.7304312586784363
0,13527800,5200,8, is,3.0,1.0,0.004586726427078247,0.44401371479034424
0,17508402,5916,2, capital,2.015625,1.0,0.0013006925582885742,0.756365954875946
0,46662629,9659,7, Baltimore,0.9921875,1.0,0.0009974837303161621,0.6758869886398315
0,75466754,12284,1,The,2.8125,1.0,0.000523686408996582,0.7942720651626587
0,89091225,13347,5, state,3.25,1.0,0.0015904903411865234,0.5903070569038391
0,109690265,14810,3, of,1.8125,1.0,0.0005527138710021973,0.782972514629364
0,119065595,15430,2, capital,1.265625,1.0,0.0006310939788818359,0.7633681297302246
0,122265702,15636,3, of,2.359375,1.0,0.001159369945526123,0.6491128206253052
0,175865634,18753,3, of,6.0,1.0,0.001764059066772461,0.5701394081115723
0,175865634,18753,4, the,6.53125,1.0,0.0008220672607421875,0.7153809666633606
0,175865634,18753,8, is,5.875,1.0,0.00655752420425415,0.39685821533203125
0,241087860,21957,7, Baltimore,1.28125,1.0,0.0006284117698669434,0.7639965415000916
0,271316864,23293,2, capital,1.3515625,1.0,0.0007723569869995117,0.7281463742256165
0,275619980,23477,1,The,2.34375,1.0,0.0007970333099365234,0.7226608991622925
0,298644579,24438,1,The,2.859375,1.0,0.0005472898483276367,0.7868176102638245
0,317507399,25198,7, Baltimore,1.125,1.0,0.000521540641784668,0.7947936058044434
0,510545034,31953,2, capital,1.0234375,1.0,0.0006096959114074707,0.7701876163482666
0,536068395,32742,7, Baltimore,4.53125,1.0,0.005054682493209839,0.4251149892807007
0,555027902,33316,8, is,0.52734375,1.0,0.000620722770690918,0.7677366733551025
0,622321559,35278,7, Baltimore,0.97265625,1.0,0.0006355047225952148,0.7602068781852722
0,646075430,35945,1,The,2.71875,1.0,0.0010139942169189453,0.6738891005516052
0,700034652,37416,2, capital,1.3046875,1.0,0.0006926655769348145,0.744288444519043
0,705696095,37567,6, containing,4.3125,1.0,0.002211153507232666,0.5333541035652161
0,765324125,39122,3, of,4.125,1.0,0.0009083747863769531,0.6939256191253662
0,775214999,39374,8, is,1.46875,1.0,0.0019524693489074707,0.5537726879119873
0,831565370,40780,3, of,5.21875,1.0,0.0014632344245910645,0.6083691120147705
0,831565370,40780,4, the,6.6875,1.0,0.0007957816123962402,0.7234566807746887
0,831565370,40780,8, is,6.78125,1.0,0.006255388259887695,0.40311360359191895
0,837939452,40936,3, of,5.125,1.0,0.002404153347015381,0.5220284461975098
0,864884844,41589,2, capital,1.1484375,1.0,0.0005050301551818848,0.7973573803901672
0,902381402,42481,5, state,2.53125,1.0,0.0011641383171081543,0.647953450679779
0,917354360,42832,6, containing,1.34375,1.0,0.0006032586097717285,0.7720048427581787
0,951592124,43624,2, capital,1.234375,1.0,0.0007225871086120605,0.7407528162002563
0,989702294,44489,1,The,2.59375,1.0,0.0009668469429016113,0.681756317615509
0,996163929,44634,1,The,2.65625,1.0,0.0008482933044433594,0.7087193131446838
0,999514404,44709,6, containing,1.734375,1.0,0.0006462931632995605,0.7570122480392456
0,1068906965,46235,2, capital,3.9375,1.0,0.0010004043579101562,0.6748895049095154
0,1134760979,47638,6, containing,1.609375,1.0,0.0006347298622131348,0.7608416080474854
0,1158753869,48139,7, Baltimore,1.109375,1.0,0.0005840659141540527,0.7779138684272766
0,1215220349,49298,7, Baltimore,2.828125,1.0,0.001386880874633789,0.6154278516769409
0,1228171140,49560,8, is,3.265625,1.0,0.003920257091522217,0.46031635999679565
0,1233181952,49661,7, Baltimore,1.390625,1.0,0.0006698966026306152,0.7524293661117554
0,1289075699,50774,2, capital,2.40625,1.0,0.0017061233520507812,0.5770760178565979
0,1322805329,51434,1,The,2.71875,1.0,0.0010197758674621582,0.6728751063346863
0,1322805329,51434,4, the,5.375,1.0,0.0011766552925109863,0.6467893123626709
0,1334971955,51670,7, Baltimore,1.234375,1.0,0.001103222370147705,0.6580477952957153
0,1365841244,52264,6, containing,1.28125,1.0,0.0005491971969604492,0.7851744294166565
0,1432864277,53531,2, capital,1.390625,1.0,0.0008233785629272461,0.7145588994026184
0,1468792899,54198,1,The,5.78125,1.0,0.0012131333351135254,0.6384437680244446
0,1489133450,54572,1,The,2.578125,1.0,0.0007216930389404297,0.7414745092391968
0,1557740835,55815,2, capital,5.59375,1.0,0.002676248550415039,0.5020118355751038
0,1610252874,56748,5, state,2.015625,1.0,0.0006708502769470215,0.7517594695091248
0,1644826689,57354,7, Baltimore,0.58984375,1.0,0.0005238652229309082,0.7937483787536621
0,1672819560,57840,5, state,2.9375,1.0,0.0013748407363891602,0.6168026924133301
0,1876301910,61257,5, state,1.2890625,1.0,0.000583350658416748,0.7784972190856934
0,1895032265,61562,3, of,3.15625,1.0,0.0008573532104492188,0.7070225477218628
0,1976538500,62872,1,The,2.6875,1.0,0.000640571117401123,0.7589353322982788
0,2019269474,63548,2, capital,1.578125,1.0,0.0007142424583435059,0.7421887516975403
0,2228148389,66754,6, containing,1.78125,1.0,0.0005896091461181641,0.7755710482597351
0,2281805234,67553,6, containing,1.71875,1.0,0.0005240440368652344,0.7932245135307312
0,2671549155,73095,6, containing,2.609375,1.0,0.0010402202606201172,0.6687648296356201
0,2717429780,73720,7, Baltimore,0.9609375,1.0,0.0006620883941650391,0.7537561058998108
0,2720305679,73759,3, of,3.5625,1.0,0.001684427261352539,0.580454409122467
0,2898535590,76137,7, Baltimore,2.421875,1.0,0.001279294490814209,0.6285077333450317
0,2996270165,77410,7, Baltimore,3.359375,1.0,0.0025376081466674805,0.507224977016449
0,3162550214,79529,8, is,1.265625,1.0,0.0011391043663024902,0.6502519249916077
0,3199880000,79997,7, Baltimore,0.99609375,1.0,0.0005991458892822266,0.7726039886474609
0,3290673374,81124,1,The,3.96875,1.0,0.0011815428733825684,0.6444331407546997
0,3348197195,81830,8, is,0.90234375,1.0,0.0006968975067138672,0.7435957789421082
0,3433179815,82862,2, capital,2.140625,1.0,0.0007603168487548828,0.729673445224762
0,3525606405,83970,7, Baltimore,1.765625,1.0,0.000952303409576416,0.684626042842865
0,3852620309,87778,7, Baltimore,1.203125,1.0,0.0010277032852172852,0.7963417172431946
0,3949516125,88875,6, containing,1.5859375,1.0,0.0009440183639526367,0.6884146332740784
0,4047795299,89974,6, containing,2.8125,1.0,0.0012593269348144531,0.6310437321662903
0,4144550489,91043,7, Baltimore,1.5546875,1.0,0.0006836652755737305,0.7470291256904602
0,4144732580,91045,8, is,2.5,1.0,0.005218774080276489,0.42006030678749084
0,4188092480,91520,7, Baltimore,1.2421875,1.0,0.0007528066635131836,0.7319375276565552
0,4191113234,91553,1,The,1.21875,1.0,0.0006075501441955566,0.7707951664924622
0,4192669805,91570,1,The,3.640625,1.0,0.000882267951965332,0.6974850296974182
0,4484281752,94701,7, Baltimore,1.640625,1.0,0.0005541443824768066,0.7824198007583618
0,4518059210,95057,8, is,3.78125,1.0,0.0029858052730560303,0.4769129455089569
0,4537757744,95264,1,The,3.953125,1.0,0.0012046098709106445,0.6408542394638062
0,4557881025,95475,2, capital,8.9375,1.0,0.0013027787208557129,0.6233673691749573
0,4557881025,95475,5, state,10.3125,1.0,0.001114189624786377,0.6547259092330933
0,4557881025,95475,6, containing,4.9375,1.0,0.0006828904151916504,0.7477120161056519
0,4557881025,95475,7, Baltimore,9.0,1.0,0.0018870830535888672,0.5575525760650635
0,4650577902,96441,7, Baltimore,1.28125,1.0,0.0008645057678222656,0.7044457793235779
0,4816760324,98149,1,The,9.8125,1.0,0.0013883709907531738,0.6140409708023071
0,4816760324,98149,2, capital,8.1875,1.0,0.0014995932579040527,0.5980027914047241
0,4816760324,98149,5, state,6.28125,1.0,0.0008953213691711426,0.6957204341888428
1,-1,1,2, capital,,1.0,0.0013076066970825195,0.6207606792449951
1,-1,1,5, state,,1.0,0.0008082985877990723,0.7194582223892212
1,-1,1,6, containing,,1.0,0.0008191466331481934,0.717019259929657
1,-1,1,7, Baltimore,,1.0,0.0007284283638000488,0.737852931022644
1,-1,1,8, is,,1.0,0.0011192560195922852,0.6524941325187683
1,83598913,12928,1,The,16.0,1.0,0.0017643570899963379,0.5683753490447998
1,83598913,12928,2, capital,8.875,1.0,0.0012797117233276367,0.6272284388542175
1,83598913,12928,3, of,8.125,1.0,0.000988006591796875,0.6778718829154968
1,83598913,12928,5, state,10.25,1.0,0.0011085867881774902,0.6569445729255676
1,83598913,12928,6, containing,6.1875,1.0,0.0007932782173156738,0.7242499589920044
1,83598913,12928,7, Baltimore,11.8125,1.0,0.0022479891777038574,0.5311429500579834
1,83598913,12928,8, is,10.3125,1.0,0.00937587022781372,0.3521813154220581
1,1354419079,52044,1,The,5.5625,1.0,0.0007101297378540039,0.7428988814353943
1,1354419079,52044,2, capital,13.375,1.0,0.0017470121383666992,0.5736362934112549
1,1354419079,52044,3, of,9.875,1.0,0.0015619397163391113,0.5934406518936157
1,1354419079,52044,4, the,9.375,1.0,0.0006318092346191406,0.7621057033538818
1,1354419079,52044,5, state,13.1875,1.0,0.0017992854118347168,0.5648278594017029
1,1354419079,52044,6, containing,15.9375,1.0,0.002707183361053467,0.4966474175453186
1,1354419079,52044,7, Baltimore,9.375,1.0,0.0027121901512145996,0.49394023418426514
1,1354419079,52044,8, is,10.0,1.0,0.006595343351364136,0.3903006911277771
1,1670217704,57794,1,The,16.625,1.0,0.002038717269897461,0.5457974672317505
1,1670217704,57794,2, capital,10.5,1.0,0.0018928050994873047,0.5556654930114746
1,1670217704,57794,3, of,10.0625,1.0,0.001749873161315918,0.5718892812728882
1,1670217704,57794,4, the,10.125,1.0,0.000727534294128418,0.7385804653167725
1,1670217704,57794,5, state,12.6875,1.0,0.0014887452125549316,0.6024833917617798
1,1670217704,57794,6, containing,10.5625,1.0,0.001976609230041504,0.5518202185630798
1,1670217704,57794,7, Baltimore,11.25,1.0,0.0024826526641845703,0.5147361755371094
1,1670217704,57794,8, is,10.625,1.0,0.007155179977416992,0.38370534777641296
1,1721289799,58671,7, Baltimore,2.3125,1.0,0.0010744929313659668,0.6623942852020264
1,2056424644,64129,3, of,3.5625,1.0,0.0014653801918029785,0.737124502658844
1,2364346993,68763,1,The,3.40625,1.0,0.0005106329917907715,0.7968523502349854
1,2648209474,72774,1,The,4.6875,1.0,0.0005959272384643555,0.7737988829612732
1,2648209474,72774,2, capital,12.0,1.0,0.001506030559539795,0.5965031981468201
1,2648209474,72774,3, of,9.625,1.0,0.0012395977973937988,0.6347683668136597
1,2648209474,72774,5, state,9.9375,1.0,0.0012058615684509277,0.6396496295928955
1,2648209474,72774,6, containing,14.0,1.0,0.002291738986968994,0.5266438126564026
1,2648209474,72774,7, Baltimore,9.4375,1.0,0.002085745334625244,0.5375556349754333
1,2648209474,72774,8, is,10.5,1.0,0.008514106273651123,0.36069542169570923
1,2718461978,73733,8, is,0.421875,1.0,0.0007453560829162598,0.7341867089271545
1,2766378151,74380,2, capital,3.25,1.0,0.0007513165473937988,0.7334413528442383
1,3176802193,79707,7, Baltimore,2.25,1.0,0.0005849003791809082,0.7773298025131226
1,3386768449,82299,2, capital,1.65625,1.0,0.0005574226379394531,0.7807541489601135
1,3617644328,85058,7, Baltimore,3.484375,1.0,0.002688169479370117,0.4993355870246887
2,-1,2,2, capital,,1.0,0.0017336010932922363,0.5753698945045471
2,-1,2,3, of,,1.0,0.0004987120628356934,0.798862099647522
2,-1,2,5, state,,1.0,0.000910639762878418,0.6930172443389893
2,-1,2,6, containing,,1.0,0.0009711384773254395,0.6807894706726074
2,-1,2,7, Baltimore,,1.0,0.0005514621734619141,0.7840759754180908
2,-1,2,8, is,,1.0,0.0005481839179992676,0.7857226133346558
2,1792668,1890,2, capital,3.171875,1.0,0.0006313323974609375,0.7627370357513428
2,462885948,30423,7, Baltimore,1.9765625,1.0,0.0007753372192382812,0.7273740172386169
2,681007962,36902,2, capital,3.5625,1.0,0.0006731748580932617,0.7504157423973083
2,907614312,42602,8, is,1.609375,1.0,0.000971674919128418,0.679818332195282
2,2905925727,76232,8, is,2.375,1.0,0.0008587837219238281,0.7061651945114136
2,3211249867,80137,7, Baltimore,1.5859375,1.0,0.0005560517311096191,0.7813102006912231
2,3363107088,82010,8, is,1.3984375,1.0,0.0008161664009094238,0.7178354263305664
2,4678104625,96724,7, Baltimore,3.09375,1.0,0.0010674595832824707,0.6656036972999573
3,-1,3,3, of,,1.0,0.0007971525192260742,0.721863865852356
3,-1,3,6, containing,,1.0,0.0012766718864440918,0.6297844052314758
3,-1,3,7, Baltimore,,1.0,0.0008746981620788574,0.7001144289970398
3,-1,3,8, is,,1.0,0.0007340312004089355,0.735659122467041
3,3796386,2751,8, is,3.0,1.0,0.0016202330589294434,0.5887165665626526
3,97601402,13967,8, is,1.6875,1.0,0.00103682279586792,0.669801652431488
3,413324372,28747,3, of,5.375,1.0,0.0006861090660095215,0.7449745535850525
3,666252752,36499,3, of,5.125,1.0,0.0010578632354736328,0.667724609375
3,1077988524,46428,8, is,0.9375,1.0,0.0005477070808410645,0.7862703204154968
3,2204978024,66403,8, is,1.5390625,1.0,0.0008753538131713867,0.6992397308349609
3,2218013102,66599,7, Baltimore,11.5625,1.0,0.0007383823394775391,0.7349250912666321
3,3311799801,81381,8, is,2.71875,1.0,0.0005742907524108887,0.7790715098381042
3,4142911847,91022,6, containing,2.921875,1.0,0.0005257725715637207,0.7916518449783325
4,-1,4,2, capital,,1.0,0.0005909204483032227,0.7749814391136169
4,-1,4,3, of,,1.0,0.000766754150390625,0.7289131283760071
4,-1,4,5, state,,1.0,0.0008484721183776855,0.7078710198402405
4,-1,4,6, containing,,1.0,0.0014695525169372559,0.6069058775901794
4,-1,4,7, Baltimore,,1.0,0.001445770263671875,0.6098148822784424
4,-1,4,8, is,,1.0,0.0020110607147216797,0.5498436093330383
4,5908198,3432,8, is,1.203125,1.0,0.0006162524223327637,0.7683529257774353
4,7704770,3920,1,The,2.515625,1.0,0.0005204081535339355,0.7953140139579773
4,294577123,24267,8, is,2.125,1.0,0.0008646845817565918,0.7035812735557556
4,1372329850,52384,3, of,2.859375,1.0,0.0005304813385009766,0.7911260724067688
4,1372329850,52384,5, state,4.3125,1.0,0.0008326172828674316,0.7129102945327759
4,1481230801,54423,6, containing,2.515625,1.0,0.0005989670753479004,0.7732029557228088
4,1558857361,55831,2, capital,4.59375,1.0,0.000723421573638916,0.7400302290916443
4,2627218823,72482,8, is,2.03125,1.0,0.0008346438407897949,0.7120776772499084
4,3497866615,83635,2, capital,17.875,1.0,0.0005519986152648926,0.7835245132446289
4,3497866615,83635,7, Baltimore,12.3125,1.0,0.0008823275566101074,0.6966027617454529
4,3934776400,88705,7, Baltimore,2.515625,1.0,0.0010247230529785156,0.6718553304672241
4,4784229466,97813,3, of,4.125,1.0,0.0006227493286132812,0.7664939165115356
4,4784229466,97813,8, is,2.203125,1.0,0.0006265044212341309,0.7646230459213257
5,-1,5,3, of,,1.0,0.0006855130195617676,0.7456600666046143
5,-1,5,6, containing,,1.0,0.0014932751655578613,0.6009946465492249
5,-1,5,7, Baltimore,,1.0,0.0014400482177734375,0.6112549304962158
5,-1,5,8, is,,1.0,0.0015565156936645508,0.5949971675872803
5,1212897,1551,1,The,7.75,1.0,0.0007534623146057129,0.731184720993042
5,518114139,32184,3, of,7.34375,1.0,0.0009481310844421387,0.6865233778953552
5,1311718584,51213,3, of,5.6875,1.0,0.0006748437881469727,0.7497425675392151
5,1311718584,51213,8, is,1.65625,1.0,0.0006758570671081543,0.7490677237510681
5,4433099874,94154,8, is,2.6875,1.0,0.0013039112091064453,0.6220645904541016
6,-1,6,2, capital,,1.0,0.0006416440010070801,0.7576538920402527
6,-1,6,3, of,,1.0,0.0008144974708557129,0.7186499238014221
6,-1,6,5, state,,1.0,0.0005583763122558594,0.7801967263221741
6,-1,6,6, containing,,1.0,0.0009552836418151855,0.6836737394332886
6,-1,6,7, Baltimore,,1.0,0.0005916357040405273,0.7743905186653137
6,-1,6,8, is,,1.0,0.001241445541381836,0.6335287690162659
6,41010089,9049,6, containing,3.0625,1.0,0.0006220340728759766,0.7671159505844116
6,596108649,34521,7, Baltimore,2.734375,1.0,0.0008684992790222168,0.700982928276062
6,872721524,41771,8, is,1.203125,1.0,0.0005411505699157715,0.7884474396705627
6,1125253073,47432,7, Baltimore,2.359375,1.0,0.000912010669708252,0.6921066045761108
6,3132717428,79147,5, state,2.8125,1.0,0.000587761402130127,0.7761588096618652
7,-1,7,6, containing,,1.0,0.0008191466331481934,0.7162001132965088
7,-1,7,8, is,,1.0,0.0016791820526123047,0.5821335911750793
7,4969120,3144,8, is,3.046875,1.0,0.0024935007095336914,0.5122535228729248
7,159123872,17831,8, is,2.265625,1.0,0.0005241036415100098,0.792700469493866
7,728150033,38153,7, Baltimore,2.75,1.0,0.0024126768112182617,0.5196242928504944
7,1062397552,46087,8, is,0.79296875,1.0,0.0004968643188476562,0.7998561859130859
7,1885501928,61400,8, is,4.46875,1.0,0.000943601131439209,0.6893582344055176
7,2235096362,66851,7, Baltimore,9.4375,1.0,0.0004972219467163086,0.7993593215942383
7,2235096362,66851,8, is,5.96875,1.0,0.0006526708602905273,0.7550652623176575
7,2466231788,70223,8, is,1.953125,1.0,0.0012818574905395508,0.6259487271308899
7,3121724612,79007,8, is,2.015625,1.0,0.001498579978942871,0.599501371383667
7,3984789620,89264,8, is,2.84375,1.0,0.0027656257152557373,0.4885044991970062
7,4363881745,93414,7, Baltimore,1.734375,1.0,0.002251148223876953,0.5288949608802795
7,4503052442,94892,7, Baltimore,1.5625,1.0,0.0007525086402893066,0.7326900362968445
7,4625055745,96169,8, is,1.296875,1.0,0.0004965066909790039,0.8003526926040649
8,-1,8,6, containing,,1.0,0.0008252263069152832,0.7137355208396912
8,-1,8,7, Baltimore,,1.0,0.0008994936943054199,0.6948251128196716
8,-1,8,8, is,,1.0,0.0018009543418884277,0.5630285739898682
8,365432086,27025,8, is,2.3125,1.0,0.002045154571533203,0.543758749961853
8,710663841,37691,7, Baltimore,18.5,1.0,0.0012249946594238281,0.7695779204368591
8,939286144,43333,8, is,0.7578125,1.0,0.0005554556846618652,0.781865656375885
8,1207148671,49126,8, is,1.875,1.0,0.0010825395584106445,0.6613197922706604
8,4164969537,91259,8, is,2.125,1.0,0.0008666515350341797,0.702716588973999
9,-1,9,6, containing,,1.0,0.0008606314659118652,0.7053064107894897
9,-1,9,7, Baltimore,,1.0,0.0016939640045166016,0.5787699818611145
9,-1,9,8, is,,1.0,0.0009174942970275879,0.6911945939064026
9,10995695,4679,8, is,2.171875,1.0,0.0006646513938903809,0.7530940175056458
9,1507361861,54896,7, Baltimore,1.8359375,1.0,0.0009188652038574219,0.690277099609375
9,2732785475,73919,8, is,1.125,1.0,0.0007263422012329102,0.7393068075180054
9,4673946260,96674,8, is,2.609375,1.0,0.0006728768348693848,0.7510886192321777
10,-1,10,6, containing,,1.0,0.0010962486267089844,0.6591440439224243
10,-1,10,7, Baltimore,,1.0,0.0008379817008972168,0.7112430334091187
10,-1,10,8, is,,1.0,0.0011175870895385742,0.6536117196083069
10,815251999,40368,8, is,2.578125,1.0,0.001323997974395752,0.6194530725479126
10,2873161099,75793,8, is,11.5625,1.0,0.0006251931190490723,0.7652482390403748
11,-1,11,5, state,,1.0,0.0005668401718139648,0.7796383500099182
11,-1,11,6, containing,,1.0,0.000502169132232666,0.7983633875846863
11,-1,11,7, Baltimore,,1.0,0.0008793473243713379,0.6983643770217896
11,-1,11,8, is,,1.0,0.001783132553100586,0.5666109919548035
11,465597858,30503,8, is,3.234375,1.0,0.0006360411643981934,0.759571373462677
11,1257185284,50131,8, is,7.875,1.0,0.0005404353141784668,0.7889878749847412
12,-1,12,6, containing,,1.0,0.000503838062286377,0.7978612184524536
12,-1,12,7, Baltimore,,1.0,0.000782012939453125,0.7258167266845703
12,-1,12,8, is,,1.0,0.0026755332946777344,0.5046873688697815
12,15738842,5597,8, is,2.859375,1.0,0.0012326836585998535,0.6360010504722595
12,3870460140,87969,8, is,2.609375,1.0,0.0018461346626281738,0.5593987107276917
13,-1,13,6, containing,,1.0,0.000640869140625,0.7582947611808777
13,-1,13,7, Baltimore,,1.0,0.0009968876838684082,0.6768838763237
13,-1,13,8, is,,1.0,0.0029266178607940674,0.4857388734817505
13,143846227,16947,8, is,2.046875,1.0,0.001071333885192871,0.6634656190872192
13,534399764,32678,7, Baltimore,1.015625,1.0,0.000867009162902832,0.7018499374389648
14,-1,14,7, Baltimore,,1.0,0.0012995004653930664,0.6246668696403503
14,-1,14,8, is,,1.0,0.003040999174118042,0.4739271402359009
14,2200000263,66317,8, is,2.390625,1.0,0.00124359130859375,0.632287323474884
15,-1,15,7, Baltimore,,1.0,0.0006564855575561523,0.7544125914573669
15,-1,15,8, is,,1.0,0.002475440502166748,0.5172116160392761
15,1660464362,57611,8, is,0.4921875,1.0,0.000544428825378418,0.7873620390892029
15,2800550204,74824,8, is,1.6328125,1.0,0.000784754753112793,0.7250347137451172
16,-1,16,7, Baltimore,,1.0,0.0008403658866882324,0.7104050517082214
16,-1,16,8, is,,1.0,0.003917902708053589,0.46423426270484924
16,5166488,3197,7, Baltimore,3.546875,1.0,0.0010289549827575684,0.6708306074142456
16,243619684,22056,8, is,8.75,1.0,0.0006798505783081055,0.74839186668396
16,437946793,29578,8, is,0.90625,1.0,0.000800788402557373,0.7210667133331299
16,702468886,37465,8, is,1.8359375,1.0,0.001179516315460205,0.6456126570701599
16,1217045099,49319,8, is,0.6171875,1.0,0.0005347132682800293,0.790062665939331
16,1224902243,49478,8, is,1.671875,1.0,0.0016745924949645996,0.583808183670044
16,4808421128,98048,8, is,2.234375,1.0,0.002927422523498535,0.4828122556209564
17,-1,17,8, is,,1.0,0.004323631525039673,0.4483373463153839
17,1693702,1822,8, is,2.546875,1.0,0.0029718875885009766,0.4798848330974579
17,4416167172,93962,8, is,2.234375,1.0,0.0007819533348083496,0.7265986800193787
17,4816171422,98126,8, is,2.703125,1.0,0.004712939262390137,0.439426988363266
18,-1,18,7, Baltimore,,1.0,0.0005492568016052246,0.784625232219696
18,-1,18,8, is,,1.0,0.0016651749610900879,0.585473358631134
18,6633884,3623,8, is,1.671875,1.0,0.00396651029586792,0.45639610290527344
18,19056032,6154,7, Baltimore,6.75,1.0,0.005695432424545288,0.41484153270721436
18,19056032,6154,8, is,6.5625,1.0,0.014390677213668823,0.3166195750236511
18,895935596,42311,8, is,0.55078125,1.0,0.0010932087898254395,0.6602372527122498
18,1456407416,53951,8, is,3.109375,1.0,0.0013976693153381348,0.612652599811554
18,2684356337,73252,8, is,0.21484375,1.0,0.0006322860717773438,0.7614738941192627
18,3043053072,77994,8, is,1.0703125,1.0,0.0013263821601867676,0.6181290745735168
19,-1,19,8, is,,1.0,0.0009747743606567383,0.6788466572761536
19,34374466,8271,8, is,1.9375,1.0,0.001197516918182373,0.6432515978813171
19,97531541,13946,8, is,1.8203125,1.0,0.0012295842170715332,0.637230634689331
19,141599186,16808,8, is,1.0234375,1.0,0.0005400776863098145,0.789527952671051
19,1502095435,54790,8, is,4.90625,1.0,0.0020749568939208984,0.5417135953903198
19,3623005106,85103,8, is,2.203125,1.0,0.0010706186294555664,0.6645362377166748
20,-1,20,7, Baltimore,,1.0,0.0006229281425476074,0.7658711671829224
20,-1,20,8, is,,1.0,0.0027235448360443115,0.49122804403305054
20,61799382,11096,7, Baltimore,3.453125,1.0,0.0006064176559448242,0.771401584148407
20,109468185,14775,8, is,2.171875,1.0,0.0011998414993286133,0.6420540809631348
20,1163235240,48212,8, is,2.734375,1.0,0.0040922462940216064,0.4524295926094055
20,1259693700,50172,8, is,1.265625,1.0,0.0009472370147705078,0.6874706149101257
20,2150860057,65566,8, is,2.96875,1.0,0.002083003520965576,0.5396386384963989
20,2747591364,74108,8, is,3.046875,1.0,0.0034966468811035156,0.46773090958595276
21,-1,21,8, is,,1.0,0.004734933376312256,0.43471404910087585
21,1506538364,54869,8, is,1.796875,1.0,0.0016229748725891113,0.5870963335037231
21,3333483704,81629,8, is,1.2109375,1.0,0.0005245208740234375,0.792176365852356
21,3558346958,84338,8, is,3.09375,1.0,0.003155231475830078,0.47088614106178284
22,-1,22,8, is,,1.0,0.006032496690750122,0.40914610028266907
22,360420953,26825,8, is,3.6875,1.0,0.007799893617630005,0.37655016779899597
22,700708307,37412,8, is,2.171875,1.0,0.0009621381759643555,0.6827184557914734
22,729257122,38167,8, is,2.5625,1.0,0.002035081386566162,0.5478325486183167
22,928998937,43081,8, is,4.34375,1.0,0.001828908920288086,0.5612276196479797
22,1898604608,61598,8, is,5.3125,1.0,0.0025350451469421387,0.5097600221633911
23,-1,23,8, is,,1.0,0.0008453726768493652,0.7095646858215332
23,502365729,31673,8, is,3.25,1.0,0.0014810562133789062,0.6039644479751587
