layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06688272953033447,0.20847965776920319
-1,1,651,1,The,,1.0,0.036652758717536926,0.2451324164867401
-1,2,6037,2, capital,,1.0,0.03150010108947754,0.27663251757621765
-1,3,576,3, of,,1.0,0.01600739359855652,0.316849023103714
-1,4,573,4, the,,1.0,0.013153702020645142,0.33000272512435913
-1,5,2329,5, state,,1.0,0.012873440980911255,0.3428761661052704
-1,6,10751,6, containing,,1.0,0.02420911192893982,0.30084162950515747
-1,7,64867,7, Worcester,,1.0,0.07291784137487411,0.07291784137487411
-1,8,603,8, is,,1.0,0.0686790868639946,0.1415969282388687
0,-1,0,2, capital,,1.0,0.0023542046546936035,0.5260217189788818
0,-1,0,3, of,,1.0,0.0005553960800170898,0.7724681496620178
0,-1,0,5, state,,1.0,0.0011419057846069336,0.6508136987686157
0,-1,0,6, containing,,1.0,0.001359105110168457,0.6197901368141174
0,-1,0,7, Worcester,,1.0,0.0013856887817382812,0.6129496693611145
0,-1,0,8, is,,1.0,0.0006790757179260254,0.7393038868904114
0,26795,230,8, is,3.546875,1.0,0.005957663059234619,0.41073817014694214
0,2338202,2161,3, of,3.9375,1.0,0.0011830925941467285,0.6450372934341431
0,13527800,5200,8, is,2.9375,1.0,0.00626024603843689,0.39867445826530457
0,17508402,5916,2, capital,2.015625,1.0,0.0005053877830505371,0.7892959713935852
0,63106994,11233,7, Worcester,1.171875,1.0,0.0005332827568054199,0.7779152393341064
0,75466754,12284,1,The,2.8125,1.0,0.0005372166633605957,0.7768455743789673
0,89091225,13347,5, state,3.25,1.0,0.0013878941535949707,0.6115639805793762
0,119065595,15430,2, capital,1.265625,1.0,0.0005776286125183105,0.7633910775184631
0,122265702,15636,3, of,2.359375,1.0,0.0010935664176940918,0.6597516536712646
0,157753202,17761,7, Worcester,3.09375,1.0,0.0018711090087890625,0.5564901828765869
0,158571335,17807,7, Worcester,1.1875,1.0,0.00048470497131347656,0.7942434549331665
0,175865634,18753,3, of,6.0,1.0,0.0017322301864624023,0.5690613985061646
0,175865634,18753,4, the,6.53125,1.0,0.0008914470672607422,0.6892635822296143
0,175865634,18753,8, is,5.6875,1.0,0.0077713727951049805,0.3772249221801758
0,184425614,19204,1,The,2.5,1.0,0.000728905200958252,0.7266199588775635
0,207458264,20368,6, containing,1.140625,1.0,0.00047641992568969727,0.8000056147575378
0,271316864,23293,2, capital,1.3515625,1.0,0.0007324814796447754,0.7258910536766052
0,275619980,23477,1,The,2.34375,1.0,0.0007977485656738281,0.7137619256973267
0,298644579,24438,1,The,2.859375,1.0,0.0005156397819519043,0.7836884260177612
0,326235195,25542,7, Worcester,1.09375,1.0,0.0005769729614257812,0.7639680504798889
0,377039529,27459,7, Worcester,1.359375,1.0,0.0006331205368041992,0.7465235590934753
0,442486625,29747,7, Worcester,0.77734375,1.0,0.0006794929504394531,0.7386248111724854
0,447169464,29904,6, containing,1.3125,1.0,0.0005877017974853516,0.7610734105110168
0,485675360,31165,7, Worcester,1.109375,1.0,0.0006020069122314453,0.7539387345314026
0,510545034,31953,2, capital,1.0234375,1.0,0.0005660057067871094,0.7685403823852539
0,535741010,32732,6, containing,1.671875,1.0,0.00048601627349853516,0.793758749961853
0,536068395,32742,7, Worcester,1.75,1.0,0.0017147660255432129,0.5759482979774475
0,544582502,33001,7, Worcester,1.4609375,1.0,0.0007637739181518555,0.7192269563674927
0,555027902,33316,8, is,0.79296875,1.0,0.0008682608604431152,0.6963288187980652
0,622321559,35278,7, Worcester,1.3125,1.0,0.0008243918418884277,0.706523597240448
0,646075430,35945,1,The,2.71875,1.0,0.0011211633682250977,0.6542136669158936
0,695365277,37291,7, Worcester,1.3515625,1.0,0.0005137324333190918,0.7847172617912292
0,700034652,37416,2, capital,1.3046875,1.0,0.0006919503211975098,0.7372652292251587
