layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06606819480657578,0.13538531959056854
-1,1,651,1,The,,1.0,0.03638875484466553,0.219474196434021
-1,2,6037,2, capital,,1.0,0.032430440187454224,0.2519046366214752
-1,3,576,3, of,,1.0,0.016729414463043213,0.3088446855545044
-1,4,573,4, the,,1.0,0.011642485857009888,0.3356854319572449
-1,5,2329,5, state,,1.0,0.01519826054573059,0.324042946100235
-1,6,10751,6, containing,,1.0,0.023221999406814575,0.2751266360282898
-1,7,24070,7, Detroit,,1.0,0.06931712478399277,0.06931712478399277
-1,8,603,8, is,,1.0,0.047700121998786926,0.18308544158935547
0,-1,0,2, capital,,1.0,0.002271592617034912,0.538753092288971
0,-1,0,5, state,,1.0,0.0013849139213562012,0.6178620457649231
0,-1,0,6, containing,,1.0,0.0020477771759033203,0.5537125468254089
0,-1,0,7, Detroit,,1.0,0.0011687278747558594,0.6561279296875
0,-1,0,8, is,,1.0,0.0007662177085876465,0.7326779365539551
0,26795,230,8, is,3.484375,1.0,0.00469091534614563,0.4307669401168823
0,2338202,2161,3, of,3.9375,1.0,0.0012853145599365234,0.6365544199943542
0,6962045,3730,7, Detroit,1.2890625,1.0,0.0009669065475463867,0.6892569065093994
0,12678129,5034,7, Detroit,1.0859375,1.0,0.0006199479103088379,0.7724008560180664
0,13527800,5200,8, is,3.09375,1.0,0.005067765712738037,0.41180896759033203
0,19628244,6264,2, capital,1.484375,1.0,0.000536501407623291,0.7947571277618408
0,75466754,12284,1,The,2.8125,1.0,0.0005497336387634277,0.7915073037147522
0,89091225,13347,5, state,3.25,1.0,0.0016904473304748535,0.584074079990387
0,94084902,13716,7, Detroit,2.140625,1.0,0.0008934140205383301,0.7004167437553406
0,119065595,15430,2, capital,1.265625,1.0,0.0005362033843994141,0.7952933311462402
0,122265702,15636,3, of,2.359375,1.0,0.0010126829147338867,0.6813405156135559
0,175809375,18750,7, Detroit,1.1875,1.0,0.0006442070007324219,0.765466034412384
0,175865634,18753,3, of,6.0,1.0,0.0015929937362670898,0.595532238483429
0,175865634,18753,4, the,6.53125,1.0,0.0009083151817321777,0.6995233297348022
0,175865634,18753,8, is,5.625,1.0,0.005444854497909546,0.406741201877594
0,184425614,19204,1,The,2.5,1.0,0.0006836652755737305,0.7542506456375122
0,271316864,23293,2, capital,1.3515625,1.0,0.0006236433982849121,0.770536482334137
0,275619980,23477,1,The,2.34375,1.0,0.000948786735534668,0.6902056932449341
0,298644579,24438,1,The,2.859375,1.0,0.000542759895324707,0.7931458353996277
0,401875424,28349,7, Detroit,1.5859375,1.0,0.0006092190742492676,0.7754780054092407
0,510545034,31953,2, capital,1.0234375,1.0,0.0006403326988220215,0.7680344581604004
0,536068395,32742,7, Detroit,4.09375,1.0,0.003977030515670776,0.46947288513183594
0,646075430,35945,1,The,2.71875,1.0,0.0011016130447387695,0.668599009513855
0,700034652,37416,2, capital,1.3046875,1.0,0.0008637309074401855,0.7100109457969666
0,705696095,37567,6, containing,4.3125,1.0,0.0021982192993164062,0.5431766510009766
0,711719855,37727,7, Detroit,0.9375,1.0,0.0005140304565429688,0.7994933128356934
0,765324125,39122,3, of,4.125,1.0,0.0008677244186401367,0.7082831859588623
0,775214999,39374,8, is,1.390625,1.0,0.0020797252655029297,0.5495941042900085
0,831565370,40780,3, of,5.21875,1.0,0.0014740228652954102,0.6107985973358154
0,831565370,40780,4, the,6.6875,1.0,0.0008116364479064941,0.7216160297393799
0,831565370,40780,8, is,6.71875,1.0,0.006965845823287964,0.3829065263271332
0,837939452,40936,3, of,5.125,1.0,0.002675771713256836,0.5214399695396423
0,864884844,41589,2, capital,1.1484375,1.0,0.0005733966827392578,0.7836548089981079
0,902381402,42481,5, state,2.53125,1.0,0.0013592243194580078,0.6233415007591248
0,951592124,43624,2, capital,1.234375,1.0,0.0007709860801696777,0.7311445474624634
0,989702294,44489,1,The,2.59375,1.0,0.0011151432991027832,0.6663851141929626
0,996163929,44634,1,The,2.65625,1.0,0.000877678394317627,0.7039309144020081
0,999514404,44709,6, containing,1.734375,1.0,0.0006657838821411133,0.7582974433898926
