layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06065909191966057,0.06065909191966057
-1,1,651,1,The,,1.0,0.031550273299217224,0.19174395501613617
-1,2,6037,2, capital,,1.0,0.028346672654151917,0.2510106563568115
-1,3,576,3, of,,1.0,0.015454798936843872,0.28993114829063416
-1,4,573,4, the,,1.0,0.011047393083572388,0.312884122133255
-1,5,2329,5, state,,1.0,0.011905580759048462,0.3018367290496826
-1,6,10751,6, containing,,1.0,0.02346569299697876,0.2744763493537903
-1,7,27217,7, Gulf,,1.0,0.047954097390174866,0.16019368171691895
-1,8,707,8,port,,1.0,0.030920028686523438,0.2226639837026596
-1,9,603,9, is,,1.0,0.05158049240708351,0.11223958432674408
0,-1,0,2, capital,,1.0,0.0018436312675476074,0.512275218963623
0,-1,0,3, of,,1.0,0.00048613548278808594,0.757468581199646
0,-1,0,5, state,,1.0,0.0009385347366333008,0.6275749206542969
0,-1,0,6, containing,,1.0,0.0014486908912658691,0.5453301668167114
0,-1,0,7, Gulf,,1.0,0.0010002851486206055,0.6189256906509399
0,-1,0,8,port,,1.0,0.0033978521823883057,0.4400979280471802
0,-1,0,9, is,,1.0,0.0006321072578430176,0.7037788033485413
0,26795,230,9, is,3.234375,1.0,0.003752589225769043,0.42218533158302307
0,89675,422,7, Gulf,1.7265625,1.0,0.0004655122756958008,0.7665310502052307
0,391169,883,8,port,1.3828125,1.0,0.0005393028259277344,0.7348840832710266
0,2059434,2028,8,port,1.0390625,1.0,0.0005355477333068848,0.7386437654495239
0,2338202,2161,3, of,3.9375,1.0,0.0012268424034118652,0.5732221007347107
0,2838152,2381,7, Gulf,1.8515625,1.0,0.00042945146560668945,0.7803690433502197
0,10799627,4646,8,port,1.1875,1.0,0.000583946704864502,0.7181752324104309
0,13527800,5200,9, is,3.03125,1.0,0.0047865211963653564,0.39664340019226074
0,17508402,5916,2, capital,2.015625,1.0,0.0004668235778808594,0.7655991911888123
0,19628244,6264,2, capital,1.484375,1.0,0.0004374384880065918,0.7782024145126343
0,45998435,9590,8,port,0.9296875,1.0,0.0005531907081604004,0.7277870178222656
0,66418574,11524,7, Gulf,1.3125,1.0,0.000417172908782959,0.7858775854110718
0,75466754,12284,1,The,2.8125,1.0,0.0004928708076477051,0.7545389533042908
0,77109570,12417,8,port,1.671875,1.0,0.0007423162460327148,0.6743760704994202
0,89091225,13347,5, state,3.25,1.0,0.0010986924171447754,0.5977883338928223
0,91226277,13506,4, the,3.015625,1.0,0.00044727325439453125,0.7733300924301147
0,102452454,14313,8,port,1.0,1.0,0.00045359134674072266,0.7692788243293762
0,109690265,14810,3, of,1.8125,1.0,0.00047850608825683594,0.7627630829811096
0,119065595,15430,2, capital,1.265625,1.0,0.0004792213439941406,0.7622845768928528
0,122265702,15636,3, of,2.359375,1.0,0.0009598731994628906,0.6237931847572327
0,134176770,16380,7, Gulf,1.734375,1.0,0.000493466854095459,0.7540460824966431
0,175415814,18729,8,port,1.59375,1.0,0.0007854700088500977,0.6651926636695862
0,175865634,18753,3, of,6.0,1.0,0.001633763313293457,0.5330643057823181
0,175865634,18753,4, the,6.53125,1.0,0.0008472800254821777,0.6489353775978088
0,175865634,18753,9, is,5.90625,1.0,0.006694406270980835,0.3602970838546753
0,181460774,19049,8,port,2.421875,1.0,0.0012148022651672363,0.5744369029998779
0,184425614,19204,1,The,2.5,1.0,0.0005903840065002441,0.7146470546722412
0,195673652,19781,8,port,1.421875,1.0,0.000592350959777832,0.7128741145133972
0,205243929,20259,8,port,1.296875,1.0,0.0005055069923400879,0.7490658164024353
0,207458264,20368,6, containing,1.140625,1.0,0.0004767775535583496,0.7637174129486084
0,214545254,20713,8,port,0.953125,1.0,0.00045669078826904297,0.7688252329826355
0,258428744,22733,8,port,1.546875,1.0,0.0007991790771484375,0.6604478359222412
0,266423985,23082,8,port,1.15625,1.0,0.0005298852920532227,0.7413048148155212
0,271316864,23293,2, capital,1.3515625,1.0,0.0006543397903442383,0.6954834461212158
0,275619980,23477,1,The,2.34375,1.0,0.0006836056709289551,0.6915023326873779
0,281568314,23729,8,port,1.1171875,1.0,0.0005590319633483887,0.7255704998970032
0,298644579,24438,1,The,2.859375,1.0,0.0004259943962097168,0.7820788025856018
0,361764650,26897,8,port,1.2265625,1.0,0.0005037784576416016,0.7495695948600769
0,363191675,26950,7, Gulf,1.71875,1.0,0.0004437565803527832,0.7760000228881836
0,447169464,29904,6, containing,1.3125,1.0,0.0005361437797546387,0.7375722527503967
0,510545034,31953,2, capital,1.0234375,1.0,0.00048089027404785156,0.7598867416381836
0,535741010,32732,6, containing,1.671875,1.0,0.0004426240921020508,0.7764426469802856
0,555027902,33316,9, is,0.71484375,1.0,0.0005465149879455566,0.7316327095031738
0,619009704,35184,2, capital,1.078125,1.0,0.000400543212890625,0.7928360104560852
0,646075430,35945,1,The,2.71875,1.0,0.0009181499481201172,0.6312828660011292
0,670896764,36629,8,port,0.9296875,1.0,0.00041472911834716797,0.7879565954208374
0,676476152,36781,7, Gulf,1.96875,1.0,0.00043523311614990234,0.779509425163269
0,700034652,37416,2, capital,1.3046875,1.0,0.0005956888198852539,0.7110956907272339
0,705696095,37567,6, containing,4.3125,1.0,0.0025073885917663574,0.4710974395275116
0,760168535,38990,8,port,1.375,1.0,0.000632941722869873,0.7031466960906982
0,765324125,39122,3, of,4.125,1.0,0.0009087324142456055,0.6349278688430786
0,775214999,39374,9, is,1.609375,1.0,0.0019194483757019043,0.5029240250587463
0,831565370,40780,3, of,5.21875,1.0,0.0012890100479125977,0.5631966590881348
0,831565370,40780,4, the,6.6875,1.0,0.000734865665435791,0.676591157913208
0,831565370,40780,9, is,7.15625,1.0,0.005063056945800781,0.3822304606437683
0,837939452,40936,3, of,5.125,1.0,0.0023058056831359863,0.47571441531181335
0,864884844,41589,2, capital,1.1484375,1.0,0.0004490017890930176,0.7719862461090088
0,902381402,42481,5, state,2.53125,1.0,0.0007963180541992188,0.6612441539764404
0,917354360,42832,6, containing,1.34375,1.0,0.0005199909210205078,0.7449744939804077
0,951592124,43624,2, capital,1.234375,1.0,0.0005988478660583496,0.7099030613899231
0,989702294,44489,1,The,2.59375,1.0,0.0009406208992004395,0.6266363859176636
0,996163929,44634,1,The,2.65625,1.0,0.0007337331771850586,0.6773248910903931
0,999514404,44709,6, containing,1.734375,1.0,0.0005862116813659668,0.7175912857055664
0,1030330314,45393,8,port,0.890625,1.0,0.0004792213439941406,0.7618053555488586
0,1049804930,45820,8,port,1.90625,1.0,0.00107496976852417,0.6043226718902588
0,1068906965,46235,2, capital,3.9375,1.0,0.0007231831550598145,0.6809561252593994
0,1134760979,47638,6, containing,1.609375,1.0,0.0005690455436706543,0.7216314673423767
0,1168595339,48343,7, Gulf,1.59375,1.0,0.0005350112915039062,0.7391787767410278
0,1228171140,49560,9, is,3.328125,1.0,0.0035208463668823242,0.43670007586479187
0,1284307220,50680,7, Gulf,1.4765625,1.0,0.0004481077194213867,0.7728828191757202
0,1289075699,50774,2, capital,2.40625,1.0,0.0013276338577270508,0.5619076490402222
0,1322805329,51434,1,The,2.71875,1.0,0.0008184909820556641,0.6547904014587402
0,1322805329,51434,4, the,5.375,1.0,0.0010213255882263184,0.6169156432151794
0,1352546054,52009,6, containing,1.3203125,1.0,0.00047916173934936523,0.7613261342048645
0,1365841244,52264,6, containing,1.28125,1.0,0.000495612621307373,0.7520697712898254
0,1430723777,53491,2, capital,1.578125,1.0,0.0007398724555969238,0.6758562922477722
0,1432864277,53531,2, capital,1.390625,1.0,0.000617682933807373,0.7062662839889526
0,1435113524,53573,8,port,1.546875,1.0,0.0005769133567810059,0.7199187278747559
0,1468738700,54197,6, containing,0.95703125,1.0,0.0005165338516235352,0.7460100650787354
0,1468792899,54198,1,The,5.78125,1.0,0.0010786652565002441,0.6032477021217346
0,1489133450,54572,1,The,2.578125,1.0,0.0006215572357177734,0.7050290703773499
0,1510822964,54968,8,port,1.1171875,1.0,0.0004934072494506836,0.7535526156425476
0,1539098420,55480,8,port,1.3515625,1.0,0.0005898475646972656,0.7164172530174255
0,1557740835,55815,2, capital,5.59375,1.0,0.002630680799484253,0.4635028541088104
0,1610252874,56748,5, state,2.015625,1.0,0.0006995201110839844,0.688063383102417
0,1650682152,57456,8,port,0.93359375,1.0,0.00044143199920654297,0.7773258686065674
0,1672819560,57840,5, state,2.9375,1.0,0.0011844038963317871,0.5876673460006714
0,1723461404,58709,8,port,0.921875,1.0,0.0005220770835876465,0.7439326643943787
0,1747025604,59109,8,port,1.65625,1.0,0.0006287097930908203,0.7044075131416321
0,1798350377,59971,7, Gulf,1.96875,1.0,0.0005316734313964844,0.7402433753013611
0,1815483152,60256,6, containing,1.3984375,1.0,0.0005315542221069336,0.740774929523468
0,1875934377,61251,8,port,0.85546875,1.0,0.00048023462295532227,0.7603669762611389
0,1876301910,61257,5, state,1.2890625,1.0,0.0004534721374511719,0.7697322964668274
0,1895032265,61562,3, of,3.15625,1.0,0.0008359551429748535,0.6531473994255066
0,1957471164,62568,7, Gulf,1.828125,1.0,0.0005148053169250488,0.7465248703956604
0,1976538500,62872,1,The,2.6875,1.0,0.0004515647888183594,0.7706360220909119
0,2019269474,63548,2, capital,1.578125,1.0,0.0007207989692687988,0.6823979616165161
0,2165774204,65813,7, Gulf,1.8125,1.0,0.0004178285598754883,0.7850427031517029
0,2228148389,66754,6, containing,1.78125,1.0,0.0006371140480041504,0.6993386149406433
0,2281805234,67553,6, containing,1.71875,1.0,0.0006346702575683594,0.7012466192245483
0,2379706565,68987,2, capital,0.8515625,1.0,0.00044542551040649414,0.7746678590774536
0,2607683652,72216,8,port,2.296875,1.0,0.0009189844131469727,0.630364716053009
0,2658845502,72921,7, Gulf,1.5390625,1.0,0.0004972219467163086,0.7515741586685181
0,2671549155,73095,6, containing,2.609375,1.0,0.0010544061660766602,0.6117583513259888
0,2702264369,73514,1,The,2.75,1.0,0.0003902912139892578,0.7963834404945374
0,2705426460,73557,7, Gulf,1.8046875,1.0,0.0004177093505859375,0.7854604125022888
0,2712050775,73647,6, containing,0.8125,1.0,0.00041496753692626953,0.7875418663024902
0,2720305679,73759,3, of,3.5625,1.0,0.0015200972557067871,0.5424249172210693
0,2725766694,73833,6, containing,1.359375,1.0,0.0004417896270751953,0.7768844366073608
0,2939182784,76669,7, Gulf,1.4609375,1.0,0.0004458427429199219,0.7742224335670471
0,3162550214,79529,9, is,0.89453125,1.0,0.0007790327072143555,0.6675366759300232
0,3255559085,80690,8,port,1.6875,1.0,0.0010097622871398926,0.6179254055023193
0,3290673374,81124,1,The,3.96875,1.0,0.000950157642364502,0.6256957650184631
0,3348197195,81830,9, is,1.03125,1.0,0.0007304549217224121,0.6780553460121155
0,3433179815,82862,2, capital,2.140625,1.0,0.0006365180015563965,0.70061194896698
0,3447031964,83029,8,port,1.6015625,1.0,0.0005475282669067383,0.7305396199226379
0,3580737624,84624,8,port,2.421875,1.0,0.0011897683143615723,0.5864829421043396
0,3635699627,85271,8,port,1.078125,1.0,0.0004253983497619629,0.7833555936813354
0,3707767440,86112,7, Gulf,1.2109375,1.0,0.00039207935333251953,0.7956026196479797
0,3904319160,88365,7, Gulf,1.640625,1.0,0.0004884004592895508,0.756009042263031
0,3949516125,88875,6, containing,1.5859375,1.0,0.0007821321487426758,0.6667576432228088
0,3984254010,89265,4, the,3.09375,1.0,0.00042724609375,0.7816528081893921
0,4047795299,89974,6, containing,2.8125,1.0,0.0012619495391845703,0.5682790279388428
0,4050044999,89999,7, Gulf,1.6328125,1.0,0.0004910826683044434,0.7550300359725952
0,4144732580,91045,9, is,2.65625,1.0,0.005159705877304077,0.37716740369796753
0,4191113234,91553,1,The,1.21875,1.0,0.000526726245880127,0.7428866624832153
0,4192669805,91570,1,The,3.640625,1.0,0.0007190704345703125,0.6831170320510864
0,4234806464,92029,4, the,3.671875,1.0,0.0005239248275756836,0.743410587310791
0,4325848604,93013,8,port,2.828125,1.0,0.001379549503326416,0.5538083910942078
