layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.060721173882484436,0.1316586136817932
-1,1,651,1,The,,1.0,0.0337538868188858,0.2135879397392273
-1,2,6037,2, capital,,1.0,0.030921384692192078,0.24450932443141937
-1,3,576,3, of,,1.0,0.01590755581855774,0.32317519187927246
-1,4,573,4, the,,1.0,0.010717511177062988,0.3471972644329071
-1,5,2329,5, state,,1.0,0.013304561376571655,0.3364797532558441
-1,6,10751,6, containing,,1.0,0.024391815066337585,0.26890113949775696
-1,7,22144,7, Kansas,,1.0,0.07093743979930878,0.07093743979930878
-1,8,3922,8, City,,1.0,0.01950758695602417,0.28840872645378113
-1,9,603,9, is,,1.0,0.04817543923854828,0.1798340529203415
0,-1,0,2, capital,,1.0,0.0019292235374450684,0.5300762057304382
0,-1,0,3, of,,1.0,0.0006548762321472168,0.7357662320137024
0,-1,0,5, state,,1.0,0.0009862184524536133,0.6588545441627502
0,-1,0,6, containing,,1.0,0.0012412071228027344,0.6118895411491394
0,-1,0,7, Kansas,,1.0,0.0011734366416931152,0.6227474808692932
0,-1,0,8, City,,1.0,0.0007277131080627441,0.7142916321754456
0,-1,0,9, is,,1.0,0.0006728768348693848,0.7297808527946472
0,26795,230,9, is,3.421875,1.0,0.004029393196105957,0.42472949624061584
0,1454364,1704,6, containing,0.796875,1.0,0.0005024075508117676,0.7764949202537537
0,2318780,2152,8, City,1.984375,1.0,0.0005196332931518555,0.7703689336776733
0,2338202,2161,3, of,3.9375,1.0,0.0012973546981811523,0.6043381690979004
0,6962045,3730,7, Kansas,1.796875,1.0,0.0007759332656860352,0.7016454339027405
0,13527800,5200,9, is,3.28125,1.0,0.00405004620552063,0.4207001030445099
0,17508402,5916,2, capital,2.015625,1.0,0.00046813488006591797,0.7895492911338806
0,19628244,6264,2, capital,1.484375,1.0,0.000451505184173584,0.7936823964118958
0,68439149,11698,7, Kansas,1.046875,1.0,0.00043714046478271484,0.7994630336761475
0,75466754,12284,1,The,2.8125,1.0,0.0005162358283996582,0.7724379301071167
0,89091225,13347,5, state,3.25,1.0,0.0013470053672790527,0.5937671065330505
0,91226277,13506,4, the,3.015625,1.0,0.0004487037658691406,0.7954836487770081
0,119065595,15430,2, capital,1.265625,1.0,0.0005803108215332031,0.7523519992828369
0,122265702,15636,3, of,2.359375,1.0,0.0009622573852539062,0.6666491031646729
0,173622294,18633,7, Kansas,1.796875,1.0,0.0007226467132568359,0.7171900272369385
0,175865634,18753,3, of,6.0,1.0,0.0015010833740234375,0.5712369680404663
0,175865634,18753,4, the,6.53125,1.0,0.0007292032241821289,0.7128353714942932
0,175865634,18753,9, is,5.84375,1.0,0.006158500909805298,0.3703460991382599
0,184425614,19204,1,The,2.5,1.0,0.0006006360054016113,0.7482311725616455
0,207458264,20368,6, containing,1.140625,1.0,0.0004392862319946289,0.7990258932113647
0,271316864,23293,2, capital,1.3515625,1.0,0.0006238818168640137,0.7433958053588867
0,275619980,23477,1,The,2.34375,1.0,0.000804603099822998,0.6953636407852173
0,290441150,24100,8, City,3.21875,1.0,0.0013206005096435547,0.5991066098213196
0,298644579,24438,1,The,2.859375,1.0,0.0005034804344177246,0.7754896879196167
0,308624589,24843,8, City,2.828125,1.0,0.0007605552673339844,0.7054799199104309
0,403322600,28400,7, Kansas,1.15625,1.0,0.0004792213439941406,0.7833746075630188
0,435611885,29515,7, Kansas,0.8359375,1.0,0.0005028247833251953,0.7759925127029419
0,447169464,29904,6, containing,1.3125,1.0,0.00044417381286621094,0.7968212366104126
0,510545034,31953,2, capital,1.0234375,1.0,0.0005688071250915527,0.7540697455406189
0,536068395,32742,7, Kansas,4.625,1.0,0.0031036436557769775,0.44863036274909973
0,555027902,33316,9, is,0.91796875,1.0,0.0010709762573242188,0.6373482942581177
0,619009704,35184,2, capital,1.078125,1.0,0.00047391653060913086,0.7881384491920471
0,646075430,35945,1,The,2.71875,1.0,0.001034855842590332,0.6446726322174072
0,700034652,37416,2, capital,1.3046875,1.0,0.0006425976753234863,0.7389940619468689
0,705696095,37567,6, containing,4.3125,1.0,0.0026875734329223633,0.47409406304359436
0,765324125,39122,3, of,4.125,1.0,0.0009449124336242676,0.6704459190368652
0,775214999,39374,9, is,1.46875,1.0,0.0015248656272888184,0.5682278871536255
0,789494715,39735,8, City,2.1875,1.0,0.000964820384979248,0.665686845779419
0,831565370,40780,3, of,5.21875,1.0,0.0015631318092346191,0.5620603561401367
0,831565370,40780,4, the,6.6875,1.0,0.000756382942199707,0.7062363028526306
0,831565370,40780,9, is,6.75,1.0,0.005630284547805786,0.38166218996047974
0,837939452,40936,3, of,5.125,1.0,0.002635270357131958,0.4767293334007263
0,858036024,41424,1,The,1.75,1.0,0.00043064355850219727,0.8003307580947876
0,864884844,41589,2, capital,1.1484375,1.0,0.00045883655548095703,0.7923175692558289
0,886731327,42111,8, City,1.890625,1.0,0.000538945198059082,0.7640054225921631
0,902381402,42481,5, state,2.53125,1.0,0.0008506178855895996,0.6846254467964172
0,937120277,43291,8, City,1.375,1.0,0.0005165934562683105,0.771921694278717
0,951592124,43624,2, capital,1.234375,1.0,0.0005311965942382812,0.7677506804466248
0,989702294,44489,1,The,2.59375,1.0,0.0009183287620544434,0.6741600036621094
0,996163929,44634,1,The,2.65625,1.0,0.0008862614631652832,0.676828145980835
0,999514404,44709,6, containing,1.734375,1.0,0.0006944537162780762,0.7256804704666138
0,1068906965,46235,2, capital,3.9375,1.0,0.0008334517478942871,0.6888406276702881
0,1134760979,47638,6, containing,1.609375,1.0,0.0005806088447570801,0.7517716884613037
0,1182560027,48631,8, City,4.8125,1.0,0.0027853846549987793,0.46601244807243347
0,1228171140,49560,9, is,3.265625,1.0,0.004548162221908569,0.3958743214607239
0,1277524877,50546,7, Kansas,1.4921875,1.0,0.0007333159446716309,0.7091789245605469
0,1289075699,50774,2, capital,2.40625,1.0,0.0014583468437194824,0.5771302580833435
0,1322805329,51434,1,The,2.71875,1.0,0.000977933406829834,0.661798357963562
0,1322805329,51434,4, the,5.375,1.0,0.0009813308715820312,0.6608204245567322
0,1352546054,52009,6, containing,1.3203125,1.0,0.0005606412887573242,0.7551969885826111
0,1365841244,52264,6, containing,1.28125,1.0,0.0006027817726135254,0.7464269995689392
0,1430723777,53491,2, capital,1.578125,1.0,0.0007758140563964844,0.702421247959137
0,1432864277,53531,2, capital,1.390625,1.0,0.0007311105728149414,0.7121061682701111
0,1468738700,54197,6, containing,0.95703125,1.0,0.0004500150680541992,0.7950349450111389
0,1468792899,54198,1,The,5.78125,1.0,0.0012472271919250488,0.6094013452529907
0,1489133450,54572,1,The,2.578125,1.0,0.0006721019744873047,0.7311258316040039
0,1521505865,55162,7, Kansas,1.765625,1.0,0.0008480548858642578,0.687171995639801
0,1557740835,55815,2, capital,5.59375,1.0,0.002567857503890991,0.4818749725818634
0,1610252874,56748,5, state,2.015625,1.0,0.0006447434425354004,0.7383514642715454
0,1619117964,56904,9, is,0.81640625,1.0,0.0005360245704650879,0.7656174302101135
0,1672819560,57840,5, state,2.9375,1.0,0.0009761452674865723,0.6637506484985352
0,1815483152,60256,6, containing,1.3984375,1.0,0.00046318769454956055,0.7900124788284302
0,1876301910,61257,5, state,1.2890625,1.0,0.00045120716094970703,0.7945849299430847
0,1895032265,61562,3, of,3.15625,1.0,0.0008192062377929688,0.6904922127723694
0,1976538500,62872,1,The,2.6875,1.0,0.0005666017532348633,0.7546363472938538
0,2019269474,63548,2, capital,1.578125,1.0,0.0007180571556091309,0.7179080843925476
0,2028176204,63688,7, Kansas,1.5,1.0,0.0005222558975219727,0.7693285346031189
0,2051233274,64049,8, City,3.40625,1.0,0.00110548734664917,0.6330234408378601
0,2061558365,64210,7, Kansas,2.21875,1.0,0.0007651448249816895,0.7039555907249451
0,2137043375,65375,7, Kansas,0.8671875,1.0,0.0005355477333068848,0.7661529779434204
0,2228148389,66754,6, containing,1.78125,1.0,0.0006567239761352539,0.7351113557815552
0,2230017935,66782,8, City,1.390625,1.0,0.0005409121513366699,0.763466477394104
0,2281805234,67553,6, containing,1.71875,1.0,0.0006349086761474609,0.7396289706230164
0,2379706565,68987,2, capital,0.8515625,1.0,0.0004448890686035156,0.7963770627975464
0,2593260152,72016,7, Kansas,1.734375,1.0,0.0006681680679321289,0.733132541179657
0,2669502845,73067,7, Kansas,2.203125,1.0,0.0008087158203125,0.6937509775161743
0,2671549155,73095,6, containing,2.609375,1.0,0.000769197940826416,0.7031904458999634
0,2720305679,73759,3, of,3.5625,1.0,0.0015079975128173828,0.5697358846664429
0,2725766694,73833,6, containing,1.359375,1.0,0.0005252957344055176,0.7688062787055969
0,2814187752,75021,8, City,3.65625,1.0,0.001565098762512207,0.5604972243309021
0,2898535590,76137,7, Kansas,2.265625,1.0,0.0008839964866638184,0.6777121424674988
0,3162550214,79529,9, is,1.625,1.0,0.001278519630432129,0.6056166887283325
0,3290673374,81124,1,The,3.96875,1.0,0.001145482063293457,0.6273849606513977
0,3348197195,81830,9, is,0.97265625,1.0,0.0006014108657836914,0.7476305365562439
0,3433179815,82862,2, capital,2.140625,1.0,0.0006289482116699219,0.74152010679245
0,3792813059,87094,8, City,2.359375,1.0,0.0008696913719177246,0.6803330779075623
0,3837887465,87610,7, Kansas,1.15625,1.0,0.0009269118309020996,0.6732416749000549
0,3949516125,88875,6, containing,1.5859375,1.0,0.0006963014602661133,0.7249860167503357
0,4047795299,89974,6, containing,2.8125,1.0,0.0013591647148132324,0.5883566737174988
0,4144732580,91045,9, is,2.46875,1.0,0.004358947277069092,0.40023326873779297
0,4191113234,91553,1,The,1.21875,1.0,0.0005075931549072266,0.7744788527488708
0,4192669805,91570,1,The,3.640625,1.0,0.0007317662239074707,0.7106435894966125
0,4518059210,95057,9, is,3.78125,1.0,0.002494990825653076,0.4869239330291748
0,4537757744,95264,1,The,3.953125,1.0,0.0012246370315551758,0.6155827641487122
0,4557881025,95475,2, capital,8.9375,1.0,0.0016582012176513672,0.5491867065429688
0,4557881025,95475,5, state,10.3125,1.0,0.0013173222541809082,0.6017414927482605
0,4557881025,95475,6, containing,4.9375,1.0,0.0007637739181518555,0.7047193646430969
0,4557881025,95475,7, Kansas,8.25,1.0,0.0014679431915283203,0.575671911239624
0,4557881025,95475,8, City,7.4375,1.0,0.0010508894920349121,0.640516996383667
0,4571353152,95616,8, City,2.84375,1.0,0.0009480118751525879,0.669501006603241
0,4816760324,98149,1,The,9.8125,1.0,0.0013175606727600098,0.6004241704940796
0,4816760324,98149,2, capital,8.1875,1.0,0.0014751553535461426,0.5742039680480957
0,4816760324,98149,5, state,6.28125,1.0,0.0007163882255554199,0.718624472618103
1,-1,1,2, capital,,1.0,0.0010216236114501953,0.6477611064910889
1,-1,1,5, state,,1.0,0.000699162483215332,0.7242897152900696
1,-1,1,6, containing,,1.0,0.0009845495223999023,0.6598390936851501
1,-1,1,7, Kansas,,1.0,0.000859677791595459,0.6820604205131531
1,-1,1,9, is,,1.0,0.0007911324501037598,0.6969572901725769
1,11402698,4773,7, Kansas,2.046875,1.0,0.0007285475730895996,0.7135639190673828
1,83598913,12928,1,The,16.0,1.0,0.0016323328018188477,0.554106593132019
1,83598913,12928,2, capital,8.875,1.0,0.0013493895530700684,0.5924201011657715
1,83598913,12928,3, of,8.125,1.0,0.0010034441947937012,0.6568665504455566
1,83598913,12928,5, state,10.25,1.0,0.0011606812477111816,0.6262394785881042
1,83598913,12928,6, containing,6.1875,1.0,0.0008323788642883301,0.6896730065345764
1,83598913,12928,7, Kansas,12.375,1.0,0.0021470189094543457,0.5033950805664062
1,83598913,12928,8, City,11.875,1.0,0.002473980188369751,0.49437350034713745
1,83598913,12928,9, is,10.875,1.0,0.009151279926300049,0.35634854435920715
1,222995519,21116,7, Kansas,2.5625,1.0,0.0006039142608642578,0.7458242177963257
1,595418284,34506,9, is,1.515625,1.0,0.0004992485046386719,0.7789981961250305
1,1103113933,46968,7, Kansas,1.7265625,1.0,0.00045615434646606445,0.7932308912277222
1,1128908884,47514,8, City,3.71875,1.0,0.0005127191543579102,0.7729506492614746
1,1267787833,50352,8, City,3.0625,1.0,0.000507354736328125,0.774986207485199
1,1354419079,52044,1,The,5.5625,1.0,0.0006456971168518066,0.73770672082901
1,1354419079,52044,2, capital,13.375,1.0,0.0013753771781921387,0.5869975090026855
1,1354419079,52044,3, of,9.875,1.0,0.0010563135147094727,0.6394661068916321
1,1354419079,52044,4, the,9.375,1.0,0.0004513263702392578,0.794133722782135
1,1354419079,52044,5, state,13.1875,1.0,0.0010614991188049316,0.6384097933769226
1,1354419079,52044,6, containing,15.9375,1.0,0.0017978549003601074,0.5355796217918396
1,1354419079,52044,7, Kansas,9.6875,1.0,0.0010717511177062988,0.6362773180007935
1,1354419079,52044,8, City,10.375,1.0,0.0017447471618652344,0.5391099452972412
1,1354419079,52044,9, is,9.5625,1.0,0.0056858062744140625,0.37603190541267395
1,1670217704,57794,1,The,16.625,1.0,0.0019447803497314453,0.5281469821929932
1,1670217704,57794,2, capital,10.5,1.0,0.0015559792518615723,0.5651735663414001
1,1670217704,57794,3, of,10.0625,1.0,0.001573026180267334,0.5589321255683899
1,1670217704,57794,4, the,10.125,1.0,0.0006476044654846191,0.736413836479187
1,1670217704,57794,5, state,12.6875,1.0,0.0013402104377746582,0.5964515209197998
1,1670217704,57794,6, containing,10.5625,1.0,0.0020890235900878906,0.5160852670669556
1,1670217704,57794,7, Kansas,11.4375,1.0,0.002189159393310547,0.5012480616569519
1,1670217704,57794,8, City,8.125,1.0,0.0011044144630432129,0.6341278553009033
1,1670217704,57794,9, is,10.75,1.0,0.004956632852554321,0.38661882281303406
1,2056424644,64129,3, of,3.5625,1.0,0.0007273554801940918,0.7150189876556396
1,2648209474,72774,1,The,4.6875,1.0,0.0005753636360168457,0.7529273629188538
1,2648209474,72774,2, capital,12.0,1.0,0.0018974542617797852,0.531973659992218
1,2648209474,72774,3, of,9.625,1.0,0.001436471939086914,0.5800216794013977
1,2648209474,72774,4, the,8.1875,1.0,0.00047081708908081055,0.7890811562538147
1,2648209474,72774,5, state,9.9375,1.0,0.0013442039489746094,0.5951113104820251
1,2648209474,72774,6, containing,14.0,1.0,0.002252548933029175,0.49905890226364136
1,2648209474,72774,7, Kansas,9.375,1.0,0.0011380910873413086,0.628523051738739
1,2648209474,72774,8, City,10.6875,1.0,0.0018081068992614746,0.5337817668914795
1,2648209474,72774,9, is,10.4375,1.0,0.007839053869247437,0.3641875982284546
1,2718461978,73733,9, is,0.4765625,1.0,0.0005581974983215332,0.7574338912963867
1,2766378151,74380,2, capital,3.25,1.0,0.0007140636444091797,0.7200545072555542
1,3631181588,85217,2, capital,2.203125,1.0,0.0006633996963500977,0.7337959408760071
1,3952894153,88912,8, City,3.8125,1.0,0.0005303025245666504,0.7682809829711914
2,-1,2,2, capital,,1.0,0.0014283061027526855,0.5814499855041504
2,-1,2,3, of,,1.0,0.00046241283416748047,0.7904748916625977
2,-1,2,5, state,,1.0,0.000476837158203125,0.7848083972930908
2,-1,2,6, containing,,1.0,0.0006691217422485352,0.7324643731117249
2,-1,2,7, Kansas,,1.0,0.00044852495193481445,0.7959321737289429
2,-1,2,9, is,,1.0,0.0005453228950500488,0.7612972855567932
2,1792668,1890,2, capital,3.171875,1.0,0.0005502104759216309,0.7602033019065857
2,11851143,4865,2, capital,1.5625,1.0,0.0004718899726867676,0.7886103391647339
2,103932150,14414,7, Kansas,3.890625,1.0,0.0012652873992919922,0.6081541180610657
2,314892057,25092,8, City,5.5,1.0,0.0008570551872253418,0.6837748289108276
2,681007962,36902,2, capital,3.5625,1.0,0.0008351802825927734,0.6880071759223938
2,907614312,42602,9, is,1.796875,1.0,0.0010343194007873535,0.6457069516181946
2,1155674923,48073,8, City,3.3125,1.0,0.0004436373710632324,0.7972648739814758
2,1657411522,57571,8, City,8.4375,1.0,0.0014549493789672852,0.5785852074623108
2,2905925727,76232,9, is,2.25,1.0,0.0006854534149169922,0.7284244298934937
2,3363107088,82010,9, is,1.34375,1.0,0.0007354617118835449,0.7077101469039917
2,4461298567,94456,8, City,9.9375,1.0,0.0016860365867614746,0.542518138885498
2,4678104625,96724,8, City,2.375,1.0,0.0008162260055541992,0.692127525806427
3,-1,3,3, of,,1.0,0.000819087028503418,0.6913112998008728
3,-1,3,6, containing,,1.0,0.0010102391242980957,0.6528429985046387
3,-1,3,9, is,,1.0,0.0008573532104492188,0.6829177737236023
3,3796386,2751,9, is,2.90625,1.0,0.0016244053840637207,0.5573590993881226
3,27911652,7467,8, City,3.6875,1.0,0.0008080601692199707,0.6945590376853943
3,97601402,13967,9, is,1.640625,1.0,0.0008147358894348145,0.6929422616958618
3,413324372,28747,3, of,5.375,1.0,0.0006058216094970703,0.7446158528327942
3,666252752,36499,3, of,5.125,1.0,0.0011331439018249512,0.6307907104492188
3,1077988524,46428,9, is,0.859375,1.0,0.0004767179489135742,0.7852851152420044
3,1393048932,52779,6, containing,2.25,1.0,0.0005950331687927246,0.7494246959686279
3,2204978024,66403,9, is,1.3046875,1.0,0.000952601432800293,0.6676017045974731
3,4142911847,91022,6, containing,2.921875,1.0,0.0005207657814025879,0.7698493003845215
4,-1,4,2, capital,,1.0,0.0005943179130554199,0.7500190138816833
4,-1,4,3, of,,1.0,0.0006864666938781738,0.7263669371604919
4,-1,4,5, state,,1.0,0.0006262063980102539,0.7421463131904602
4,-1,4,6, containing,,1.0,0.0012993216514587402,0.6030408143997192
4,-1,4,7, Kansas,,1.0,0.0008025169372558594,0.6961661577224731
4,-1,4,8, City,,1.0,0.0004792213439941406,0.7838538289070129
4,-1,4,9, is,,1.0,0.0021029114723205566,0.5118976831436157
4,5908198,3432,9, is,1.140625,1.0,0.0006021261215209961,0.7470291256904602
4,7704770,3920,1,The,2.515625,1.0,0.0004761219024658203,0.7862377762794495
4,294577123,24267,9, is,2.125,1.0,0.0011861324310302734,0.6203913688659668
4,1372329850,52384,5, state,4.3125,1.0,0.0004756450653076172,0.7871890664100647
4,1481230801,54423,6, containing,2.515625,1.0,0.0005376338958740234,0.7650814056396484
4,1558857361,55831,2, capital,4.59375,1.0,0.0006861090660095215,0.7270530462265015
4,1688880016,58113,9, is,1.75,1.0,0.0009355545043945312,0.6713814735412598
4,2274380285,67439,8, City,2.90625,1.0,0.0006256103515625,0.7427719235420227
4,2479100900,70409,6, containing,2.484375,1.0,0.0004405975341796875,0.7981463670730591
4,2627218823,72482,9, is,2.234375,1.0,0.0010034441947937012,0.6558631062507629
4,3445371550,83005,9, is,1.03125,1.0,0.0004999637603759766,0.7784989476203918
4,3497866615,83635,7, Kansas,15.6875,1.0,0.0005598664283752441,0.7563169002532959
4,4784229466,97813,3, of,4.125,1.0,0.0006859302520751953,0.7277389764785767
4,4784229466,97813,9, is,2.234375,1.0,0.0008494853973388672,0.6854749321937561
5,-1,5,3, of,,1.0,0.0005419254302978516,0.7629255652427673
5,-1,5,6, containing,,1.0,0.0010445713996887207,0.6415615677833557
5,-1,5,7, Kansas,,1.0,0.0006835460662841797,0.7291079759597778
5,-1,5,8, City,,1.0,0.0004571676254272461,0.7927747368812561
5,-1,5,9, is,,1.0,0.0016793608665466309,0.5441974997520447
5,1212897,1551,1,The,7.75,1.0,0.0006330609321594238,0.7402620315551758
5,12041772,4901,9, is,1.109375,1.0,0.0005600452423095703,0.7557570338249207
5,518114139,32184,3, of,7.34375,1.0,0.0007085204124450684,0.722184956073761
5,518114139,32184,9, is,0.90234375,1.0,0.00044023990631103516,0.7985866069793701
5,1311718584,51213,3, of,5.6875,1.0,0.0006586909294128418,0.7344546318054199
5,1311718584,51213,9, is,2.109375,1.0,0.0007010102272033691,0.7235905528068542
5,4433099874,94154,9, is,3.171875,1.0,0.0021306276321411133,0.507664680480957
5,4574126475,95640,1,The,4.25,1.0,0.00046128034591674805,0.7913984060287476
