feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,"entity: A major city in Missouri, USA is Kansas City", Missouri,7,70.0992431640625,0.571240740813919,semantic,"[{""token"": "" Missouri"", ""index"": 7, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,government,"[{""tk"": ""government"", ""act"": 73.73577117919922}, {""tk"": ""state"", ""act"": 72.12992095947266}, {""tk"": ""Missouri"", ""act"": 70.0992431640625}, {""tk"": ""city"", ""act"": 69.083984375}, {""tk"": ""capital"", ""act"": 60.64950942993164}, {""tk"": ""Kansas"", ""act"": 58.03489303588867}, {""tk"": ""attribute"", ""act"": 50.58573913574219}, {""tk"": ""United"", ""act"": 44.38002395629883}, {""tk"": ""located"", ""act"": 41.876251220703125}, {""tk"": ""States"", ""act"": 40.910552978515625}, {""tk"": ""serving"", ""act"": 31.4293155670166}, {""tk"": ""containing"", ""act"": 27.732948303222656}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}]"
0_18753,0,18753,"entity: A major city in Missouri, USA is Kansas City",",",8,62.63501739501953,0.7570660318851269,functional,"[{""token"": "" USA"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}, {""token"": "" Missouri"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,punctuation,"[{""tk"": ""the"", ""act"": 45.698326110839844}, {""tk"": ""is"", ""act"": 44.13899612426758}, {""tk"": ""of"", ""act"": 41.465484619140625}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Missouri"", ""act"": 0.0}, {""tk"": ""Kansas"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_40780,0,40780,"entity: A major city in Missouri, USA is Kansas City", is,10,50.35426330566406,0.6795618681807024,functional,"[{""token"": "" Kansas"", ""index"": 11, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,which,"[{""tk"": ""which"", ""act"": 59.63111114501953}, {""tk"": ""the"", ""act"": 57.446224212646484}, {""tk"": ""is"", ""act"": 50.90119552612305}, {""tk"": ""of"", ""act"": 37.325950622558594}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Missouri"", ""act"": 0.0}, {""tk"": ""Kansas"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_98149,0,98149,"entity: A major city in Missouri, USA is Kansas City",entity,1,25.97108268737793,0.8279934004398373,semantic,"[{""token"": ""entity"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,state,"[{""tk"": ""state"", ""act"": 31.780366897583008}, {""tk"": ""attribute"", ""act"": 26.52439308166504}, {""tk"": ""city"", ""act"": 17.828733444213867}, {""tk"": ""capital"", ""act"": 16.205841064453125}, {""tk"": ""serving"", ""act"": 7.715690612792969}, {""tk"": ""United"", ""act"": 7.620537757873535}, {""tk"": ""government"", ""act"": 4.9040398597717285}, {""tk"": ""Missouri"", ""act"": 1.9138686656951904}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Kansas"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_24843,0,24843,"entity: A major city in Missouri, USA is Kansas City", City,12,22.064929962158203,0.9171369340428908,semantic,"[{""token"": "" City"", ""index"": 12, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,City,"[{""tk"": ""City"", ""act"": 22.064929962158203}, {""tk"": ""Missouri"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Kansas"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_3730,0,3730,"entity: A major city in Missouri, USA is Kansas City", Missouri,7,21.927410125732425,0.8703434009083367,semantic,"[{""token"": "" Missouri"", ""index"": 7, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Missouri,"[{""tk"": ""Missouri"", ""act"": 22.31857681274414}, {""tk"": ""Kansas"", ""act"": 15.032024383544922}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_19204,0,19204,"entity: A major city in Missouri, USA is Kansas City",<bos>,0,19.44998550415039,0.923076923076923,semantic,"[{""token"": ""<bos>"", ""index"": 0, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Semantic (unknown),"[{""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Missouri"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Kansas"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_64210,0,64210,"entity: A major city in Missouri, USA is Kansas City", Kansas,11,17.30228614807129,0.9230769230769232,semantic,"[{""token"": "" Kansas"", ""index"": 11, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Kansas,"[{""tk"": ""Kansas"", ""act"": 17.30228614807129}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Missouri"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_43291,0,43291,"entity: A major city in Missouri, USA is Kansas City", City,12,16.20499038696289,0.9230769230769232,semantic,"[{""token"": "" City"", ""index"": 12, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,City,"[{""tk"": ""City"", ""act"": 16.20499038696289}, {""tk"": ""Missouri"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Kansas"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_91570,0,91570,"entity: A major city in Missouri, USA is Kansas City",<bos>,0,15.283381462097168,0.8839123182194758,semantic,"[{""token"": ""<bos>"", ""index"": 0, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,attribute,"[{""tk"": ""attribute"", ""act"": 21.15618896484375}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""Missouri"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Kansas"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
