layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.0648048147559166,0.14598888158798218
-1,1,651,1,The,,1.0,0.03862603008747101,0.2349870204925537
-1,2,6037,2, capital,,1.0,0.03150421380996704,0.26649123430252075
-1,3,576,3, of,,1.0,0.01782679557800293,0.30793583393096924
-1,4,573,4, the,,1.0,0.01222008466720581,0.3459182679653168
-1,5,2329,5, state,,1.0,0.013340801000595093,0.32127663493156433
-1,6,10751,6, containing,,1.0,0.023617804050445557,0.2901090383529663
-1,7,76091,7, Omaha,,1.0,0.08118406683206558,0.08118406683206558
-1,8,603,8, is,,1.0,0.050372108817100525,0.1963609904050827
0,-1,0,2, capital,,1.0,0.001917123794555664,0.539367139339447
0,-1,0,3, of,,1.0,0.00067901611328125,0.7403256297111511
0,-1,0,5, state,,1.0,0.0010021328926086426,0.6749110221862793
0,-1,0,6, containing,,1.0,0.0012364387512207031,0.6264194846153259
0,-1,0,7, Omaha,,1.0,0.0019019246101379395,0.541269063949585
0,-1,0,8, is,,1.0,0.000820457935333252,0.7080222964286804
0,26795,230,8, is,3.359375,1.0,0.005245506763458252,0.4165131747722626
0,2338202,2161,3, of,3.9375,1.0,0.0011038780212402344,0.6485122442245483
0,12678129,5034,7, Omaha,1.2109375,1.0,0.0005609393119812012,0.7697471380233765
0,13527800,5200,8, is,2.90625,1.0,0.003902345895767212,0.4345204830169678
0,19628244,6264,2, capital,1.484375,1.0,0.0004743337631225586,0.7968252301216125
0,37658180,8677,7, Omaha,1.140625,1.0,0.0005396008491516113,0.7757702469825745
0,75466754,12284,1,The,2.8125,1.0,0.0006091594696044922,0.7563033699989319
0,89091225,13347,5, state,3.25,1.0,0.0012578964233398438,0.6226963400840759
0,91226277,13506,4, the,3.015625,1.0,0.0004935264587402344,0.78810054063797
0,109690265,14810,3, of,1.8125,1.0,0.0006574392318725586,0.7463005185127258
0,119065595,15430,2, capital,1.265625,1.0,0.000653386116027832,0.7469539046287537
0,122265702,15636,3, of,2.359375,1.0,0.0010631084442138672,0.661509096622467
0,122422127,15646,7, Omaha,1.734375,1.0,0.000918269157409668,0.6880728006362915
0,153028764,17493,7, Omaha,1.3125,1.0,0.0005329251289367676,0.7768425345420837
0,157753202,17761,7, Omaha,2.0625,1.0,0.0014358758926391602,0.5915902256965637
0,164212502,18121,7, Omaha,1.109375,1.0,0.00046503543853759766,0.8001274466514587
0,175865634,18753,3, of,6.0,1.0,0.0015584230422973633,0.5766081809997559
0,175865634,18753,4, the,6.53125,1.0,0.000764012336730957,0.7246016263961792
0,175865634,18753,8, is,5.59375,1.0,0.006165593862533569,0.4057546555995941
0,184425614,19204,1,The,2.5,1.0,0.0007657408714294434,0.7238376140594482
0,184809924,19224,7, Omaha,1.7421875,1.0,0.0009617209434509277,0.6768571138381958
0,207458264,20368,6, containing,1.140625,1.0,0.0005220174789428711,0.7805357575416565
0,271316864,23293,2, capital,1.3515625,1.0,0.0006145834922790527,0.7526372075080872
0,275619980,23477,1,The,2.34375,1.0,0.0009381771087646484,0.6806552410125732
0,285354104,23888,6, containing,1.109375,1.0,0.0004858970642089844,0.7920171022415161
0,298644579,24438,1,The,2.859375,1.0,0.0006589293479919434,0.7449843883514404
0,351350285,26507,7, Omaha,0.890625,1.0,0.0004805326461791992,0.795394241809845
0,510545034,31953,2, capital,1.0234375,1.0,0.0005414485931396484,0.7746902108192444
0,535741010,32732,6, containing,1.671875,1.0,0.000544130802154541,0.7730622887611389
0,536068395,32742,7, Omaha,3.96875,1.0,0.003359586000442505,0.4563043713569641
0,619009704,35184,2, capital,1.078125,1.0,0.0009667277336120605,0.7934672832489014
0,646075430,35945,1,The,2.71875,1.0,0.0012606382369995117,0.6214384436607361
0,700034652,37416,2, capital,1.3046875,1.0,0.0007684826850891113,0.7223056554794312
0,705696095,37567,6, containing,4.3125,1.0,0.002044677734375,0.5254692435264587
0,709457945,37667,1,The,2.0,1.0,0.0004909038543701172,0.7900683879852295
0,765324125,39122,3, of,4.125,1.0,0.0008817911148071289,0.6970460414886475
0,775214999,39374,8, is,1.484375,1.0,0.002018868923187256,0.527488112449646
0,831565370,40780,3, of,5.21875,1.0,0.0013456940650939941,0.6109639406204224
0,831565370,40780,4, the,6.6875,1.0,0.0007505416870117188,0.7261133193969727
0,831565370,40780,8, is,6.90625,1.0,0.005020320415496826,0.4215334951877594
