layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06503119319677353,0.06503119319677353
-1,1,651,1,The,,1.0,0.03659205138683319,0.21318131685256958
-1,2,6037,2, capital,,1.0,0.03300587832927704,0.24618719518184662
-1,3,576,3, of,,1.0,0.01573196053504944,0.3067770004272461
-1,4,573,4, the,,1.0,0.011994093656539917,0.3320615589618683
-1,5,2329,5, state,,1.0,0.013290464878082275,0.32006746530532837
-1,6,10751,6, containing,,1.0,0.023785993456840515,0.26997318863868713
-1,7,8770,7, Las,,1.0,0.02107185125350952,0.29104503989219666
-1,8,25154,8, Vegas,,1.0,0.05749859660863876,0.12252978980541229
-1,9,603,9, is,,1.0,0.0540594756603241,0.1765892654657364
0,-1,0,2, capital,,1.0,0.002167224884033203,0.5034924149513245
0,-1,0,3, of,,1.0,0.0006169676780700684,0.7277129292488098
0,-1,0,5, state,,1.0,0.0011974573135375977,0.6112061142921448
0,-1,0,6, containing,,1.0,0.0013388395309448242,0.5835019946098328
0,-1,0,7, Las,,1.0,0.0005413293838500977,0.7530041337013245
0,-1,0,8, Vegas,,1.0,0.0009613037109375,0.6463426351547241
0,-1,0,9, is,,1.0,0.0006276369094848633,0.7233525514602661
0,26795,230,9, is,3.390625,1.0,0.0045913755893707275,0.4290250539779663
0,2197655,2095,7, Las,2.265625,1.0,0.0004916191101074219,0.7762795686721802
0,2197655,2095,8, Vegas,1.28125,1.0,0.0006667971611022949,0.7175628542900085
0,2338202,2161,3, of,3.9375,1.0,0.0012083649635314941,0.6100086569786072
0,6204002,3521,8, Vegas,1.296875,1.0,0.000594019889831543,0.7355321049690247
0,10832184,4653,8, Vegas,0.87890625,1.0,0.00046956539154052734,0.7848870158195496
0,13527800,5200,9, is,3.25,1.0,0.006059736013412476,0.38853293657302856
0,17508402,5916,2, capital,2.015625,1.0,0.000574648380279541,0.7396286725997925
0,19628244,6264,2, capital,1.484375,1.0,0.0005019307136535645,0.7723119854927063
0,42610295,9230,8, Vegas,3.84375,1.0,0.0008504986763000488,0.6651482582092285
0,75466754,12284,1,The,2.8125,1.0,0.0005629658699035645,0.7447627186775208
0,89091225,13347,5, state,3.25,1.0,0.0012791156768798828,0.5964816212654114
0,109690265,14810,3, of,1.8125,1.0,0.0004981756210327148,0.7733104228973389
0,119065595,15430,2, capital,1.265625,1.0,0.0005691647529602051,0.7441997528076172
0,120427439,15518,8, Vegas,1.90625,1.0,0.0006768703460693359,0.7155528664588928
0,122265702,15636,3, of,2.359375,1.0,0.0011210441589355469,0.6237859725952148
0,122422127,15646,8, Vegas,1.15625,1.0,0.0005710721015930176,0.7424889206886292
0,156176300,17672,8, Vegas,1.53125,1.0,0.0004870891571044922,0.7772567272186279
0,175865634,18753,3, of,6.0,1.0,0.0015155673027038574,0.5636172294616699
0,175865634,18753,4, the,6.53125,1.0,0.0008583664894104004,0.6625946164131165
0,175865634,18753,9, is,5.8125,1.0,0.006535857915878296,0.3759668469429016
0,184425614,19204,1,The,2.5,1.0,0.0007305145263671875,0.6959052085876465
0,207458264,20368,6, containing,1.140625,1.0,0.0004723668098449707,0.7830074429512024
0,209664002,20476,8, Vegas,1.328125,1.0,0.000588834285736084,0.7373045086860657
0,271316864,23293,2, capital,1.3515625,1.0,0.0007309317588806152,0.6951746940612793
0,275619980,23477,1,The,2.34375,1.0,0.0008412599563598633,0.6685251593589783
0,298644579,24438,1,The,2.859375,1.0,0.0005138516426086426,0.7662161588668823
0,341584452,26136,8, Vegas,1.625,1.0,0.000718533992767334,0.6995193362236023
0,403635077,28411,8, Vegas,1.25,1.0,0.0004943609237670898,0.7752950191497803
0,411256859,28678,8, Vegas,1.859375,1.0,0.0005195140838623047,0.7626074552536011
