layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.07004006952047348,0.1481524407863617
-1,1,651,1,The,,1.0,0.03908446431159973,0.24550093710422516
-1,2,6037,2, capital,,1.0,0.0327330082654953,0.27823394536972046
-1,3,576,3, of,,1.0,0.017456024885177612,0.32143592834472656
-1,4,573,4, the,,1.0,0.01365402340888977,0.33508995175361633
-1,5,2329,5, state,,1.0,0.012624382972717285,0.3477143347263336
-1,6,10751,6, containing,,1.0,0.02574595808982849,0.30397990345954895
-1,7,19627,7, Manchester,,1.0,0.05826403200626373,0.20641647279262543
-1,8,603,8, is,,1.0,0.07811237126588821,0.07811237126588821
0,-1,0,2, capital,,1.0,0.002226710319519043,0.5125811696052551
0,-1,0,3, of,,1.0,0.0006286501884460449,0.7569171190261841
0,-1,0,5, state,,1.0,0.0011666417121887207,0.6407194137573242
0,-1,0,6, containing,,1.0,0.0014072656631469727,0.6055122017860413
0,-1,0,7, Manchester,,1.0,0.000983893871307373,0.6682921648025513
0,-1,0,8, is,,1.0,0.0008530616760253906,0.7023558020591736
0,26795,230,8, is,3.421875,1.0,0.0068013668060302734,0.40395283699035645
0,2338202,2161,3, of,3.9375,1.0,0.0012902617454528809,0.6187490820884705
0,6200480,3520,7, Manchester,1.5625,1.0,0.0005896687507629395,0.7666409611701965
0,13527800,5200,8, is,2.9375,1.0,0.00641968846321106,0.41690799593925476
0,17508402,5916,2, capital,2.015625,1.0,0.0005455613136291504,0.7785515189170837
0,30752402,7841,7, Manchester,1.296875,1.0,0.0005242228507995605,0.7881279587745667
0,75466754,12284,1,The,2.8125,1.0,0.0006021261215209961,0.7630704641342163
0,89091225,13347,5, state,3.25,1.0,0.001290738582611084,0.6174588203430176
0,109690265,14810,3, of,1.8125,1.0,0.0005294680595397949,0.7849774956703186
0,119065595,15430,2, capital,1.265625,1.0,0.000605463981628418,0.7618651390075684
0,122265702,15636,3, of,2.359375,1.0,0.001038670539855957,0.6593186855316162
0,157753202,17761,7, Manchester,1.6015625,1.0,0.0008726119995117188,0.6980463266372681
0,172413164,18568,7, Manchester,1.2890625,1.0,0.0005667805671691895,0.7741284966468811
0,175865634,18753,3, of,6.0,1.0,0.001796424388885498,0.5551276803016663
0,175865634,18753,4, the,6.53125,1.0,0.000927269458770752,0.6854383945465088
0,175865634,18753,8, is,5.9375,1.0,0.008561193943023682,0.37498313188552856
0,184425614,19204,1,The,2.5,1.0,0.0007402896881103516,0.728363573551178
0,259316150,22772,7, Manchester,1.203125,1.0,0.0005039572715759277,0.7942839860916138
0,271316864,23293,2, capital,1.3515625,1.0,0.0007030367851257324,0.7355849146842957
0,275619980,23477,1,The,2.34375,1.0,0.000867307186126709,0.6989136338233948
0,298644579,24438,1,The,2.859375,1.0,0.0006276369094848633,0.757544755935669
0,326235195,25542,7, Manchester,2.09375,1.0,0.0011309981346130371,0.6429951786994934
0,445884452,29861,7, Manchester,1.46875,1.0,0.0008262395858764648,0.7073830962181091
0,447169464,29904,6, containing,1.3125,1.0,0.0005941390991210938,0.7654589414596558
0,510545034,31953,2, capital,1.0234375,1.0,0.0006103515625,0.7612596750259399
0,536068395,32742,7, Manchester,2.8125,1.0,0.0018503665924072266,0.5533312559127808
0,646075430,35945,1,The,2.71875,1.0,0.0012639760971069336,0.6225808262825012
0,698763035,37382,7, Manchester,1.265625,1.0,0.000677943229675293,0.7452278733253479
0,700034652,37416,2, capital,1.3046875,1.0,0.0007570385932922363,0.7246306538581848
0,705696095,37567,6, containing,4.3125,1.0,0.0027099251747131348,0.4762551784515381
0,709457945,37667,1,The,2.0,1.0,0.0005221962928771973,0.7891724109649658
0,765324125,39122,3, of,4.125,1.0,0.0009644627571105957,0.6751168966293335
0,775214999,39374,8, is,1.609375,1.0,0.004070401191711426,0.44054022431373596
0,831565370,40780,3, of,5.21875,1.0,0.0015336871147155762,0.5880228877067566
0,831565370,40780,4, the,6.6875,1.0,0.0009022355079650879,0.692752480506897
0,831565370,40780,8, is,6.5625,1.0,0.005754560232162476,0.42266255617141724
0,837939452,40936,3, of,5.125,1.0,0.002488851547241211,0.48910844326019287
0,864884844,41589,2, capital,1.1484375,1.0,0.0005788803100585938,0.7695595026016235
0,902381402,42481,5, state,2.53125,1.0,0.0009774565696716309,0.671227753162384
0,917354360,42832,6, containing,1.34375,1.0,0.000499725341796875,0.7967908382415771
0,927964739,43079,7, Manchester,1.46875,1.0,0.0006012320518493652,0.7636716961860657
0,951592124,43624,2, capital,1.234375,1.0,0.0006598830223083496,0.7485468983650208
0,989702294,44489,1,The,2.59375,1.0,0.0011693835258483887,0.637217104434967
0,996163929,44634,1,The,2.65625,1.0,0.0009329915046691895,0.6817224621772766
0,999514404,44709,6, containing,1.734375,1.0,0.0006110668182373047,0.7606493234634399
0,1068906965,46235,2, capital,3.9375,1.0,0.0009337067604064941,0.6807894706726074
0,1134760979,47638,6, containing,1.609375,1.0,0.0006911158561706543,0.7397591471672058
0,1143256652,47816,7, Manchester,0.9921875,1.0,0.0006514787673950195,0.7505109906196594
0,1158753869,48139,7, Manchester,1.125,1.0,0.0005059242248535156,0.7937800288200378
0,1228171140,49560,8, is,3.328125,1.0,0.0069648027420043945,0.390225350856781
0,1289075699,50774,2, capital,2.40625,1.0,0.00165480375289917,0.5688292384147644
0,1322805329,51434,1,The,2.71875,1.0,0.0009774565696716309,0.6722052097320557
0,1322805329,51434,4, the,5.375,1.0,0.0011749863624572754,0.6360477209091187
0,1346934752,51901,7, Manchester,0.87890625,1.0,0.0008379220962524414,0.7048909068107605
0,1352546054,52009,6, containing,1.3203125,1.0,0.0005118846893310547,0.7917470932006836
0,1365841244,52264,6, containing,1.28125,1.0,0.0007271766662597656,0.7320253849029541
0,1430723777,53491,2, capital,1.578125,1.0,0.0008612275123596191,0.7015027403831482
