layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06642594188451767,0.06642594188451767
-1,1,651,1,The,,1.0,0.03728532791137695,0.2241847664117813
-1,2,6037,2, capital,,1.0,0.03205572068691254,0.25624048709869385
-1,3,576,3, of,,1.0,0.016495704650878906,0.29684168100357056
-1,4,573,4, the,,1.0,0.012627243995666504,0.33690503239631653
-1,5,2329,5, state,,1.0,0.013594716787338257,0.32427778840065
-1,6,10751,6, containing,,1.0,0.024105489253997803,0.28034597635269165
-1,7,88285,7, Albuquerque,,1.0,0.05822485685348511,0.18689943850040436
-1,8,603,8, is,,1.0,0.06224863976240158,0.12867458164691925
0,-1,0,2, capital,,1.0,0.0021305084228515625,0.5292801260948181
0,-1,0,3, of,,1.0,0.0006514191627502441,0.7526609301567078
0,-1,0,5, state,,1.0,0.0011191964149475098,0.658671498298645
0,-1,0,6, containing,,1.0,0.0012045502662658691,0.6367183327674866
0,-1,0,7, Albuquerque,,1.0,0.0013984441757202148,0.6019567847251892
0,-1,0,8, is,,1.0,0.0007587671279907227,0.7258526682853699
0,26795,230,8, is,3.421875,1.0,0.005531102418899536,0.43021297454833984
0,1329264,1629,7, Albuquerque,1.75,1.0,0.0023853182792663574,0.5093986988067627
0,2338202,2161,3, of,3.9375,1.0,0.001141667366027832,0.6496269106864929
0,12678129,5034,7, Albuquerque,1.1484375,1.0,0.000507354736328125,0.79356849193573
0,13527800,5200,8, is,3.0,1.0,0.006112486124038696,0.4013051986694336
0,17508402,5916,2, capital,2.015625,1.0,0.0005258321762084961,0.7863489389419556
0,75466754,12284,1,The,2.8125,1.0,0.0005812644958496094,0.7691003084182739
0,89091225,13347,5, state,3.25,1.0,0.0013971924781799316,0.6033539772033691
0,109690265,14810,3, of,1.8125,1.0,0.0006671547889709473,0.7493664622306824
0,119065595,15430,2, capital,1.265625,1.0,0.0005879998207092285,0.7673530578613281
0,122265702,15636,3, of,2.359375,1.0,0.0011855363845825195,0.6426880359649658
0,122422127,15646,7, Albuquerque,1.453125,1.0,0.0006572604179382324,0.7513567209243774
0,157753202,17761,7, Albuquerque,2.1875,1.0,0.0013179183006286621,0.6141594052314758
0,175865634,18753,3, of,6.0,1.0,0.002071976661682129,0.5355508327484131
0,175865634,18753,4, the,6.53125,1.0,0.001000523567199707,0.686241090297699
0,175865634,18753,8, is,5.75,1.0,0.0076011717319488525,0.37426596879959106
0,178690059,18903,7, Albuquerque,1.3046875,1.0,0.000617682933807373,0.7583804726600647
0,184425614,19204,1,The,2.5,1.0,0.0006874799728393555,0.7425811886787415
0,234545310,21657,7, Albuquerque,1.21875,1.0,0.001610398292541504,0.7172874808311462
0,271316864,23293,2, capital,1.3515625,1.0,0.0006085038185119629,0.7602152228355408
0,275619980,23477,1,The,2.34375,1.0,0.0008336901664733887,0.710760235786438
0,285354104,23888,6, containing,1.109375,1.0,0.00048232078552246094,0.7995124459266663
0,298644579,24438,1,The,2.859375,1.0,0.0005474686622619629,0.7815138101577759
0,510545034,31953,2, capital,1.0234375,1.0,0.0007162094116210938,0.7390984892845154
0,535741010,32732,6, containing,1.671875,1.0,0.0005205869674682617,0.7889634370803833
0,536068395,32742,7, Albuquerque,3.203125,1.0,0.0025445222854614258,0.4997527003288269
0,555027902,33316,8, is,0.73828125,1.0,0.0006736516952514648,0.7486993074417114
0,611223165,34962,7, Albuquerque,2.296875,1.0,0.0010277032852172852,0.6811931729316711
0,646075430,35945,1,The,2.71875,1.0,0.0012039542198181152,0.6379222869873047
