layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06371009349822998,0.06371009349822998
-1,1,651,1,The,,1.0,0.036675825715065,0.18439054489135742
-1,2,6037,2, capital,,1.0,0.03836440294981003,0.14771471917629242
-1,3,576,3, of,,1.0,0.016384035348892212,0.30685150623321533
-1,4,573,4, the,,1.0,0.01296129822731018,0.33317747712135315
-1,5,2329,5, state,,1.0,0.020177453756332397,0.254547655582428
-1,6,10751,6, containing,,1.0,0.022326529026031494,0.23437020182609558
-1,7,1622,7, New,,1.0,0.018755018711090088,0.27330267429351807
-1,8,3459,8, York,,1.0,0.027653127908706665,0.2120436728000641
-1,9,3922,9, City,,1.0,0.017164796590805054,0.2904674708843231
-1,10,603,10, is,,1.0,0.04564022272825241,0.10935031622648239
0,-1,0,2, capital,,1.0,0.0024599432945251465,0.47763270139694214
0,-1,0,3, of,,1.0,0.0005033612251281738,0.7695302367210388
0,-1,0,5, state,,1.0,0.0014439225196838379,0.5669528841972351
0,-1,0,6, containing,,1.0,0.001079857349395752,0.6274778246879578
0,-1,0,8, York,,1.0,0.0011370182037353516,0.6164476871490479
0,-1,0,10, is,,1.0,0.000563502311706543,0.7519911527633667
0,26795,230,10, is,3.453125,1.0,0.004130929708480835,0.422977089881897
0,2318780,2152,9, City,3.515625,1.0,0.000723421573638916,0.7003869414329529
0,2338202,2161,3, of,3.9375,1.0,0.0011649727821350098,0.6084163188934326
0,13527800,5200,10, is,3.40625,1.0,0.004443168640136719,0.41448265314102173
0,17508402,5916,2, capital,2.015625,1.0,0.0005643367767333984,0.7508641481399536
0,19628244,6264,2, capital,1.484375,1.0,0.0004729628562927246,0.7792907357215881
0,75466754,12284,1,The,2.8125,1.0,0.0006096959114074707,0.7333294153213501
0,81568377,12771,8, York,1.5703125,1.0,0.0006314516067504883,0.7246249914169312
0,81568377,12771,9, City,2.34375,1.0,0.0008245706558227539,0.6786853075027466
0,89091225,13347,5, state,3.25,1.0,0.001776278018951416,0.5311547517776489
0,109305504,14784,8, York,1.28125,1.0,0.00045740604400634766,0.7871578335762024
0,109690265,14810,3, of,1.8125,1.0,0.0005254149436950684,0.7623234987258911
0,119065595,15430,2, capital,1.265625,1.0,0.0006158351898193359,0.7321071624755859
0,122265702,15636,3, of,2.359375,1.0,0.0010926127433776855,0.6253178119659424
0,136017770,16492,9, City,1.640625,1.0,0.0004382133483886719,0.7974759340286255
0,136149750,16500,7, New,3.15625,1.0,0.0005791187286376953,0.7462928295135498
0,138752810,16657,8, York,1.140625,1.0,0.0005401372909545898,0.7585847973823547
0,165192575,18175,1,The,1.40625,1.0,0.00047463178634643555,0.7788177728652954
0,175865634,18753,3, of,6.0,1.0,0.001551806926727295,0.562476396560669
0,175865634,18753,4, the,6.53125,1.0,0.00089263916015625,0.6634247899055481
0,175865634,18753,10, is,5.875,1.0,0.007183462381362915,0.35661566257476807
0,184425614,19204,1,The,2.5,1.0,0.0007193684577941895,0.7025467753410339
0,207458264,20368,6, containing,1.140625,1.0,0.00043827295303344727,0.7970377206802368
0,271316864,23293,2, capital,1.3515625,1.0,0.0007290840148925781,0.699663519859314
0,275619980,23477,1,The,2.34375,1.0,0.0008235573768615723,0.6803331971168518
0,285354104,23888,6, containing,1.109375,1.0,0.00043714046478271484,0.7979130744934082
0,298644579,24438,1,The,2.859375,1.0,0.0005263686180114746,0.761798083782196
0,301854734,24569,7, New,2.609375,1.0,0.0004464387893676758,0.7934958338737488
0,308624589,24843,9, City,1.5,1.0,0.0005445480346679688,0.7558729648590088
0,447169464,29904,6, containing,1.3125,1.0,0.0005418062210083008,0.7580446600914001
0,510545034,31953,2, capital,1.0234375,1.0,0.000666201114654541,0.7142941355705261
0,535741010,32732,6, containing,1.671875,1.0,0.0005037784576416016,0.7690268754959106
0,536068395,32742,8, York,2.890625,1.0,0.0013556480407714844,0.5850241780281067
0,555027902,33316,10, is,1.03125,1.0,0.0012571215629577637,0.5927753448486328
0,619009704,35184,2, capital,1.078125,1.0,0.00046521425247192383,0.7820993661880493
0,646075430,35945,1,The,2.71875,1.0,0.001071929931640625,0.629627525806427
0,700034652,37416,2, capital,1.3046875,1.0,0.0007448196411132812,0.6967319846153259
0,705696095,37567,6, containing,4.3125,1.0,0.0022262930870056152,0.4893607795238495
0,709457945,37667,1,The,2.0,1.0,0.0004506111145019531,0.7921503186225891
0,753709724,38824,8, York,1.359375,1.0,0.000509798526763916,0.7675089836120605
0,765324125,39122,3, of,4.125,1.0,0.0011678338050842285,0.6060848832130432
0,765324125,39122,4, the,4.3125,1.0,0.00045502185821533203,0.7889816164970398
0,775214999,39374,10, is,1.59375,1.0,0.00251886248588562,0.4702014625072479
0,806673860,40165,8, York,1.5,1.0,0.0006362199783325195,0.7227289080619812
0,831565370,40780,3, of,5.21875,1.0,0.001356363296508789,0.5836685299873352
0,831565370,40780,4, the,6.6875,1.0,0.0007863640785217285,0.6867689490318298
0,831565370,40780,10, is,6.71875,1.0,0.004671424627304077,0.4010007679462433
0,837939452,40936,3, of,5.125,1.0,0.0022243261337280273,0.4915851056575775
0,858036024,41424,1,The,1.75,1.0,0.00045430660247802734,0.7894359230995178
0,864884844,41589,2, capital,1.1484375,1.0,0.000544428825378418,0.7564173936843872
0,885931370,42092,5, state,1.140625,1.0,0.0004519224166870117,0.7916997075080872
0,902381402,42481,5, state,2.53125,1.0,0.0017257928848266602,0.5398733615875244
0,914401229,42763,7, New,2.484375,1.0,0.00044411420822143555,0.7952738404273987
0,917354360,42832,6, containing,1.34375,1.0,0.00046509504318237305,0.7825644612312317
0,951592124,43624,2, capital,1.234375,1.0,0.0006532073020935059,0.7169329524040222
0,989702294,44489,1,The,2.59375,1.0,0.0013580322265625,0.5823121666908264
0,996163929,44634,1,The,2.65625,1.0,0.000834345817565918,0.6745453476905823
0,999514404,44709,6, containing,1.734375,1.0,0.0007314085960388184,0.6989344358444214
0,1068906965,46235,2, capital,3.9375,1.0,0.0008707046508789062,0.6651738882064819
0,1134760979,47638,6, containing,1.609375,1.0,0.0005248188972473145,0.7633731961250305
0,1182560027,48631,9, City,4.75,1.0,0.0019432306289672852,0.5182000398635864
0,1228171140,49560,10, is,3.234375,1.0,0.00402560830116272,0.4270026981830597
0,1289075699,50774,2, capital,2.40625,1.0,0.0016568899154663086,0.5449351668357849
0,1305375059,51094,7, New,3.03125,1.0,0.0006235837936401367,0.7283887267112732
0,1322805329,51434,1,The,2.71875,1.0,0.0010083913803100586,0.6462522745132446
0,1322805329,51434,4, the,5.375,1.0,0.001164555549621582,0.6095808744430542
0,1352546054,52009,6, containing,1.3203125,1.0,0.0004750490188598633,0.778343141078949
0,1365841244,52264,6, containing,1.28125,1.0,0.0005738139152526855,0.7485939860343933
0,1430723777,53491,2, capital,1.578125,1.0,0.0008262991905212402,0.6778607368469238
0,1432864277,53531,2, capital,1.390625,1.0,0.000714719295501709,0.7032614946365356
0,1468738700,54197,6, containing,0.95703125,1.0,0.0004578232765197754,0.786700427532196
0,1468792899,54198,1,The,5.78125,1.0,0.0013051629066467285,0.5876766443252563
0,1489133450,54572,1,The,2.578125,1.0,0.0008783936500549316,0.664303183555603
0,1506044402,54881,1,The,1.5546875,1.0,0.00043964385986328125,0.7965994477272034
0,1557740835,55815,2, capital,5.59375,1.0,0.003085523843765259,0.45106545090675354
0,1610252874,56748,5, state,2.015625,1.0,0.0007799863815307617,0.6891152858734131
0,1635777002,57196,8, York,1.84375,1.0,0.0009710788726806641,0.6531912684440613
0,1635777002,57196,9, City,1.75,1.0,0.00044471025466918945,0.7943853139877319
0,1644826689,57354,8, York,1.5625,1.0,0.0006201267242431641,0.730871319770813
0,1672819560,57840,5, state,2.9375,1.0,0.0014041662216186523,0.5726445913314819
0,1764625527,59406,8, York,2.171875,1.0,0.0011261701583862305,0.6175738573074341
0,1815483152,60256,6, containing,1.3984375,1.0,0.0004898309707641602,0.7744889259338379
0,1876301910,61257,5, state,1.2890625,1.0,0.0005248785018920898,0.7628483772277832
0,1895032265,61562,3, of,3.15625,1.0,0.0008578896522521973,0.6694977879524231
0,1976538500,62872,1,The,2.6875,1.0,0.0005548596382141113,0.7542245388031006
0,2019269474,63548,2, capital,1.578125,1.0,0.001003563404083252,0.6492689251899719
0,2051233274,64049,9, City,2.6875,1.0,0.0006211400032043457,0.7290098667144775
0,2086741502,64601,2, capital,1.34375,1.0,0.0004912614822387695,0.7739990949630737
0,2117735739,65079,5, state,0.84765625,1.0,0.00045812129974365234,0.7857848405838013
0,2227681125,66747,9, City,1.28125,1.0,0.0005761384963989258,0.7468689680099487
0,2228148389,66754,6, containing,1.78125,1.0,0.0005046725273132324,0.768523097038269
0,2273571027,67431,8, York,2.421875,1.0,0.0011522769927978516,0.6118867993354797
0,2281805234,67553,6, containing,1.71875,1.0,0.0006200075149536133,0.7314913272857666
0,2289986649,67674,8, York,1.2265625,1.0,0.0005025267601013184,0.7700327634811401
0,2347666502,68521,8, York,1.984375,1.0,0.0006809234619140625,0.7122886776924133
0,2379706565,68987,2, capital,0.8515625,1.0,0.000563502311706543,0.7514276504516602
0,2671549155,73095,6, containing,2.609375,1.0,0.000683903694152832,0.710925281047821
