layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06581611186265945,0.06581611186265945
-1,1,651,1,The,,1.0,0.03837607800960541,0.21727842092514038
-1,2,6037,2, capital,,1.0,0.03654974699020386,0.25382816791534424
-1,3,576,3, of,,1.0,0.016844123601913452,0.3127383589744568
-1,4,573,4, the,,1.0,0.013380944728851318,0.3261193037033081
-1,5,2329,5, state,,1.0,0.017671823501586914,0.29589423537254333
-1,6,10751,6, containing,,1.0,0.024394243955612183,0.2782224118709564
-1,7,33649,7, Buffalo,,1.0,0.05543437600135803,0.17890234291553497
-1,8,603,8, is,,1.0,0.05765185505151749,0.12346796691417694
0,-1,0,2, capital,,1.0,0.0024059414863586426,0.511938214302063
0,-1,0,3, of,,1.0,0.0005426406860351562,0.7773186564445496
0,-1,0,5, state,,1.0,0.0014764070510864258,0.6007481217384338
0,-1,0,6, containing,,1.0,0.0012443065643310547,0.6313299536705017
0,-1,0,7, Buffalo,,1.0,0.0010303258895874023,0.6570217609405518
0,-1,0,8, is,,1.0,0.0007481575012207031,0.7244945168495178
0,26795,230,8, is,3.421875,1.0,0.00478777289390564,0.4160462021827698
0,102377,451,7, Buffalo,1.296875,1.0,0.0004946589469909668,0.7963231801986694
0,1415402,1681,7, Buffalo,1.1875,1.0,0.0005083680152893066,0.7893127202987671
0,2338202,2161,3, of,3.9375,1.0,0.0012500286102294922,0.6288369297981262
0,13527800,5200,8, is,3.03125,1.0,0.005008071660995483,0.4064435660839081
0,17508402,5916,2, capital,2.015625,1.0,0.0006340742111206055,0.7533805966377258
0,19628244,6264,2, capital,1.484375,1.0,0.0004996657371520996,0.7933375239372253
0,50265350,10025,7, Buffalo,2.3125,1.0,0.001281142234802246,0.6250514388084412
0,75466754,12284,1,The,2.8125,1.0,0.0005983710289001465,0.7625997066497803
0,78431549,12523,7, Buffalo,1.09375,1.0,0.0005005598068237305,0.7928378582000732
0,89091225,13347,5, state,3.25,1.0,0.0018097758293151855,0.5552639961242676
0,109690265,14810,3, of,1.8125,1.0,0.0005627274513244629,0.7723808884620667
0,119065595,15430,2, capital,1.265625,1.0,0.000625312328338623,0.7546377182006836
0,122265702,15636,3, of,2.359375,1.0,0.0010199546813964844,0.6611160635948181
0,175865634,18753,3, of,6.0,1.0,0.0016324520111083984,0.5791484713554382
0,175865634,18753,4, the,6.53125,1.0,0.0008333325386047363,0.7040607929229736
0,175865634,18753,8, is,5.75,1.0,0.008270353078842163,0.3551636338233948
0,184425614,19204,1,The,2.5,1.0,0.0006920695304870605,0.7367502450942993
0,251339409,22419,7, Buffalo,1.4140625,1.0,0.0008644461631774902,0.6973049640655518
0,271316864,23293,2, capital,1.3515625,1.0,0.000702977180480957,0.7339622974395752
0,275619980,23477,1,The,2.34375,1.0,0.0008686184883117676,0.6929765939712524
0,298644579,24438,1,The,2.859375,1.0,0.0005376338958740234,0.7783944606781006
0,301928450,24572,7, Buffalo,1.75,1.0,0.0006822347640991211,0.7401791214942932
0,447169464,29904,6, containing,1.3125,1.0,0.0005705356597900391,0.7689868211746216
0,510545034,31953,2, capital,1.0234375,1.0,0.0007096529006958008,0.7325538992881775
0,535741010,32732,6, containing,1.671875,1.0,0.0005008578300476074,0.7923372983932495
0,536068395,32742,7, Buffalo,2.15625,1.0,0.001681685447692871,0.569237470626831
0,572183705,33827,7, Buffalo,1.421875,1.0,0.000637054443359375,0.7527465224266052
0,622321559,35278,7, Buffalo,1.40625,1.0,0.0004930496215820312,0.7973107695579529
0,646075430,35945,1,The,2.71875,1.0,0.0010974407196044922,0.6496405005455017
0,700034652,37416,2, capital,1.3046875,1.0,0.000687718391418457,0.7381258606910706
0,705696095,37567,6, containing,4.3125,1.0,0.0025818347930908203,0.49706128239631653
0,765324125,39122,3, of,4.125,1.0,0.001055002212524414,0.6549525260925293
0,775214999,39374,8, is,1.46875,1.0,0.0024961233139038086,0.504610002040863
0,831565370,40780,3, of,5.21875,1.0,0.0014193058013916016,0.60645991563797
0,831565370,40780,4, the,6.6875,1.0,0.0008117556571960449,0.7089762091636658
0,831565370,40780,8, is,6.59375,1.0,0.005285114049911499,0.39635249972343445
0,837939452,40936,3, of,5.125,1.0,0.0023140907287597656,0.5190038681030273
0,858036024,41424,1,The,1.75,1.0,0.0004883408546447754,0.7992713451385498
0,864884844,41589,2, capital,1.1484375,1.0,0.0005096197128295898,0.7877861857414246
0,902381402,42481,5, state,2.53125,1.0,0.0014076828956604004,0.6092756390571594
0,917354360,42832,6, containing,1.34375,1.0,0.0004928112030029297,0.7978035807609558
0,940716999,43374,7, Buffalo,0.99609375,1.0,0.0004906654357910156,0.7982942461967468
0,951592124,43624,2, capital,1.234375,1.0,0.000659644603729248,0.7475541234016418
0,989702294,44489,1,The,2.59375,1.0,0.0012578368186950684,0.6275869011878967
0,996163929,44634,1,The,2.65625,1.0,0.000868678092956543,0.6921079754829407
0,999514404,44709,6, containing,1.734375,1.0,0.0006732940673828125,0.7435641884803772
0,1068906965,46235,2, capital,3.9375,1.0,0.0008466839790344238,0.6998754143714905
0,1134760979,47638,6, containing,1.609375,1.0,0.0006240606307983398,0.7552617788314819
