layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06597284972667694,0.06597284972667694
-1,1,651,1,The,,1.0,0.03602515161037445,0.214946910738945
-1,2,6037,2, capital,,1.0,0.033911675214767456,0.24885858595371246
-1,3,576,3, of,,1.0,0.015776902437210083,0.2883830964565277
-1,4,573,4, the,,1.0,0.012083083391189575,0.31352922320365906
-1,5,2329,5, state,,1.0,0.013063043355941772,0.3014461398124695
-1,6,10751,6, containing,,1.0,0.023747608065605164,0.2726061940193176
-1,7,28128,7, Charlotte,,1.0,0.06077723205089569,0.12675008177757263
-1,8,603,8, is,,1.0,0.052171677350997925,0.17892175912857056
0,-1,0,2, capital,,1.0,0.002181708812713623,0.5323153734207153
0,-1,0,3, of,,1.0,0.0005756020545959473,0.7634770274162292
0,-1,0,5, state,,1.0,0.0011688470840454102,0.6333650350570679
0,-1,0,6, containing,,1.0,0.0014553666114807129,0.5919490456581116
0,-1,0,7, Charlotte,,1.0,0.0013725757598876953,0.601774275302887
0,-1,0,8, is,,1.0,0.0008928775787353516,0.6823689341545105
0,6440,112,7, Charlotte,1.234375,1.0,0.0005350708961486816,0.7723650336265564
0,26795,230,8, is,3.515625,1.0,0.004569262266159058,0.4231283366680145
0,2338202,2161,3, of,3.9375,1.0,0.0011216402053833008,0.6401833891868591
0,13527800,5200,8, is,2.875,1.0,0.004899770021438599,0.41855907440185547
0,19628244,6264,2, capital,1.484375,1.0,0.0005017518997192383,0.7848115563392639
0,20419244,6389,7, Charlotte,1.6328125,1.0,0.0006651878356933594,0.741119384765625
0,75466754,12284,1,The,2.8125,1.0,0.0006201863288879395,0.7533694505691528
0,89091225,13347,5, state,3.25,1.0,0.00129014253616333,0.6150522828102112
0,94084902,13716,7, Charlotte,1.578125,1.0,0.0009452104568481445,0.6750571131706238
0,95516930,13820,6, containing,0.9453125,1.0,0.000471651554107666,0.796964168548584
0,102853652,14341,7, Charlotte,1.9375,1.0,0.000854790210723877,0.6910668611526489
0,109690265,14810,3, of,1.8125,1.0,0.0004886388778686523,0.7907469272613525
0,116762120,15280,7, Charlotte,1.3203125,1.0,0.000663459300994873,0.7417828440666199
0,119065595,15430,2, capital,1.265625,1.0,0.0007353425025939941,0.7265828251838684
0,122265702,15636,3, of,2.359375,1.0,0.0009263753890991211,0.6778520941734314
0,160052885,17890,7, Charlotte,1.75,1.0,0.0010223388671875,0.660333514213562
0,175865634,18753,3, of,6.0,1.0,0.001689314842224121,0.5639238357543945
0,175865634,18753,4, the,6.53125,1.0,0.0007891654968261719,0.7098476886749268
0,175865634,18753,8, is,5.6875,1.0,0.006266593933105469,0.37637776136398315
0,184425614,19204,1,The,2.5,1.0,0.0006861686706542969,0.7343701720237732
0,188015135,19390,7, Charlotte,1.203125,1.0,0.0008261203765869141,0.6969313621520996
