layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06113512068986893,0.15384246408939362
-1,1,651,1,The,,1.0,0.0341523140668869,0.23987804353237152
-1,2,6037,2, capital,,1.0,0.03009660542011261,0.26997464895248413
-1,3,576,3, of,,1.0,0.016153275966644287,0.309761643409729
-1,4,573,4, the,,1.0,0.011866480112075806,0.33534711599349976
-1,5,2329,5, state,,1.0,0.013718992471694946,0.32348063588142395
-1,6,10751,6, containing,,1.0,0.023633718490600586,0.2936083674430847
-1,7,86953,7, Fargo,,1.0,0.09270734339952469,0.09270734339952469
-1,8,603,8, is,,1.0,0.051883265376091,0.20572572946548462
0,-1,0,2, capital,,1.0,0.0019388198852539062,0.5399351716041565
0,-1,0,3, of,,1.0,0.0005758404731750488,0.7668188810348511
0,-1,0,5, state,,1.0,0.0011300444602966309,0.643153727054596
0,-1,0,6, containing,,1.0,0.0015011429786682129,0.5886183977127075
0,-1,0,7, Fargo,,1.0,0.0016959309577941895,0.5617207288742065
0,-1,0,8, is,,1.0,0.0008234381675720215,0.7046911716461182
0,4850,97,7, Fargo,0.859375,1.0,0.0006670951843261719,0.7433614730834961
0,26795,230,8, is,3.390625,1.0,0.004723280668258667,0.42886847257614136
0,2338202,2161,3, of,3.9375,1.0,0.0013284087181091309,0.6126723885536194
0,5096027,3191,7, Fargo,1.28125,1.0,0.0011258125305175781,0.6454089879989624
0,9673400,4397,7, Fargo,0.7578125,1.0,0.00047957897186279297,0.7940025329589844
0,13527800,5200,8, is,3.03125,1.0,0.004889756441116333,0.4241451919078827
0,19628244,6264,2, capital,1.484375,1.0,0.0005252361297607422,0.7755780220031738
0,45377100,9525,7, Fargo,0.99609375,1.0,0.0005791187286376953,0.7645089030265808
0,75466754,12284,1,The,2.8125,1.0,0.0005543231964111328,0.770173966884613
0,89091225,13347,5, state,3.25,1.0,0.0013887882232666016,0.603206217288971
0,91226277,13506,4, the,3.015625,1.0,0.0004898309707641602,0.7896474599838257
0,119065595,15430,2, capital,1.265625,1.0,0.0005906224250793457,0.7604211568832397
0,122265702,15636,3, of,2.359375,1.0,0.0010632872581481934,0.6563273072242737
0,122422127,15646,7, Fargo,1.9375,1.0,0.0014839768409729004,0.5945810675621033
0,157753202,17761,7, Fargo,2.09375,1.0,0.0016904473304748535,0.5634111762046814
0,175865634,18753,3, of,6.0,1.0,0.001664876937866211,0.5650760531425476
0,175865634,18753,4, the,6.53125,1.0,0.0008614063262939453,0.6987783908843994
0,175865634,18753,8, is,5.46875,1.0,0.005273729562759399,0.40918439626693726
0,184425614,19204,1,The,2.5,1.0,0.000769197940826416,0.7134044170379639
0,231652049,21523,7, Fargo,1.046875,1.0,0.0005879998207092285,0.761009156703949
0,231738155,21527,7, Fargo,0.8359375,1.0,0.0005043745040893555,0.7812294363975525
0,271316864,23293,2, capital,1.3515625,1.0,0.000590980052947998,0.7598305344581604
0,275619980,23477,1,The,2.34375,1.0,0.0007674694061279297,0.7141718864440918
0,346463325,26322,7, Fargo,1.015625,1.0,0.00048083066940307617,0.7930428385734558
0,378881627,27526,7, Fargo,1.0625,1.0,0.0004836916923522949,0.7920783162117004
0,407622627,28551,7, Fargo,0.7109375,1.0,0.00046581029891967773,0.798249363899231
0,447169464,29904,6, containing,1.3125,1.0,0.0005371570587158203,0.7739813923835754
0,510545034,31953,2, capital,1.0234375,1.0,0.0005778074264526367,0.7656652331352234
0,536068395,32742,7, Fargo,1.78125,1.0,0.0014962553977966309,0.5901146531105042
0,619009704,35184,2, capital,1.078125,1.0,0.00047147274017333984,0.7963738441467285
0,646075430,35945,1,The,2.71875,1.0,0.0011048316955566406,0.6476303935050964
0,700034652,37416,2, capital,1.3046875,1.0,0.0006657838821411133,0.7440272569656372
0,705696095,37567,6, containing,4.3125,1.0,0.0018764138221740723,0.5495086312294006
0,765324125,39122,3, of,4.125,1.0,0.0011165738105773926,0.6465255618095398
0,765324125,39122,4, the,4.3125,1.0,0.0005031228065490723,0.7817325592041016
0,775214999,39374,8, is,1.609375,1.0,0.002131342887878418,0.5317776799201965
0,825906402,40641,7, Fargo,4.0625,1.0,0.0013859868049621582,0.6045922040939331
0,831565370,40780,3, of,5.21875,1.0,0.0013339519500732422,0.6100133657455444
0,831565370,40780,4, the,6.6875,1.0,0.000762939453125,0.717231035232544
0,831565370,40780,8, is,6.84375,1.0,0.005394309759140015,0.40391066670417786
0,837939452,40936,3, of,5.125,1.0,0.0025255680084228516,0.5088391900062561
0,864884844,41589,2, capital,1.1484375,1.0,0.0004906654357910156,0.7886674404144287
0,902381402,42481,5, state,2.53125,1.0,0.0011398792266845703,0.6408892273902893
0,919454402,42881,7, Fargo,2.40625,1.0,0.0014930963516235352,0.5916077494621277
0,951592124,43624,2, capital,1.234375,1.0,0.0006151199340820312,0.7568113803863525
0,989702294,44489,1,The,2.59375,1.0,0.0008918642997741699,0.6908917427062988
0,996163929,44634,1,The,2.65625,1.0,0.0007736086845397949,0.7110931873321533
0,999514404,44709,6, containing,1.734375,1.0,0.0006263852119445801,0.7543275952339172
0,1068906965,46235,2, capital,3.9375,1.0,0.000885307788848877,0.6935537457466125
0,1103489730,46977,7, Fargo,1.171875,1.0,0.000800013542175293,0.7087344527244568
0,1118668649,47299,7, Fargo,6.8125,1.0,0.0020221471786499023,0.5379963517189026
0,1134760979,47638,6, containing,1.609375,1.0,0.0006260871887207031,0.7549536824226379
0,1228171140,49560,8, is,3.265625,1.0,0.004138052463531494,0.44144895672798157
0,1289075699,50774,2, capital,2.40625,1.0,0.0016237497329711914,0.570011556148529
0,1322805329,51434,1,The,2.71875,1.0,0.0009704232215881348,0.6816049218177795
0,1322805329,51434,4, the,5.375,1.0,0.001206517219543457,0.6303238868713379
0,1352546054,52009,6, containing,1.3203125,1.0,0.00047141313552856445,0.7968452572822571
0,1360098089,52154,7, Fargo,1.0703125,1.0,0.0005372762680053711,0.7734442353248596
0,1365841244,52264,6, containing,1.28125,1.0,0.0004737377166748047,0.7954301834106445
0,1430723777,53491,2, capital,1.578125,1.0,0.000757753849029541,0.7179887890815735
0,1432864277,53531,2, capital,1.390625,1.0,0.0007303357124328613,0.7261665463447571
0,1468738700,54197,6, containing,0.95703125,1.0,0.0005014538764953613,0.7822340130805969
0,1468792899,54198,1,The,5.78125,1.0,0.0010599493980407715,0.6573872566223145
0,1489133450,54572,1,The,2.578125,1.0,0.0006402730941772461,0.750529944896698
0,1557740835,55815,2, capital,5.59375,1.0,0.0022419095039367676,0.5252333283424377
0,1610252874,56748,5, state,2.015625,1.0,0.0006934404373168945,0.7331965565681458
0,1672819560,57840,5, state,2.9375,1.0,0.0013079643249511719,0.6152892708778381
0,1686323774,58073,7, Fargo,0.8515625,1.0,0.000677943229675293,0.7386570572853088
0,1876301910,61257,5, state,1.2890625,1.0,0.0006744861602783203,0.7406821250915527
