layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06554323434829712,0.14726270735263824
-1,1,651,1,The,,1.0,0.03547613322734833,0.2417798936367035
-1,2,6037,2, capital,,1.0,0.03280949592590332,0.2745893895626068
-1,3,576,3, of,,1.0,0.015726089477539062,0.3157914876937866
-1,4,573,4, the,,1.0,0.012184083461761475,0.34113627672195435
-1,5,2329,5, state,,1.0,0.01316070556640625,0.32895219326019287
-1,6,10751,6, containing,,1.0,0.025476008653640747,0.30006539821624756
-1,7,86528,7, Tulsa,,1.0,0.08171947300434113,0.08171947300434113
-1,8,603,8, is,,1.0,0.05904105305671692,0.20630376040935516
0,-1,0,2, capital,,1.0,0.00215303897857666,0.5371328592300415
0,-1,0,3, of,,1.0,0.0005439519882202148,0.7881576418876648
0,-1,0,5, state,,1.0,0.00104445219039917,0.6798416376113892
0,-1,0,6, containing,,1.0,0.001205742359161377,0.6530181765556335
0,-1,0,7, Tulsa,,1.0,0.0017989277839660645,0.5641993880271912
0,-1,0,8, is,,1.0,0.001082003116607666,0.6723861694335938
0,26795,230,8, is,3.421875,1.0,0.005069434642791748,0.4347788095474243
0,2338202,2161,3, of,3.9375,1.0,0.0012732744216918945,0.6381852030754089
0,13527800,5200,8, is,3.03125,1.0,0.005631804466247559,0.42970937490463257
0,17508402,5916,2, capital,2.015625,1.0,0.0005453228950500488,0.7876136898994446
0,19628244,6264,2, capital,1.484375,1.0,0.000510871410369873,0.7955060005187988
0,35385077,8411,7, Tulsa,1.4375,1.0,0.0006951689720153809,0.7503365874290466
0,75466754,12284,1,The,2.8125,1.0,0.0005474090576171875,0.7859761118888855
0,89091225,13347,5, state,3.25,1.0,0.0012286901473999023,0.6493762135505676
0,119065595,15430,2, capital,1.265625,1.0,0.0006546974182128906,0.7611756324768066
0,122265702,15636,3, of,2.359375,1.0,0.000970005989074707,0.6947064399719238
0,151493120,17405,7, Tulsa,0.671875,1.0,0.0005143284797668457,0.7944828867912292
0,157753202,17761,7, Tulsa,1.9296875,1.0,0.0015597939491271973,0.5991030335426331
0,175865634,18753,3, of,6.0,1.0,0.001622021198272705,0.588024377822876
0,175865634,18753,4, the,6.53125,1.0,0.0008397102355957031,0.7144278287887573
0,175865634,18753,8, is,5.53125,1.0,0.006521821022033691,0.40519341826438904
0,184425614,19204,1,The,2.5,1.0,0.0007680654525756836,0.7304309010505676
0,207458264,20368,6, containing,1.140625,1.0,0.0005950331687927246,0.7711898684501648
0,271316864,23293,2, capital,1.3515625,1.0,0.0007205009460449219,0.7460964918136597
0,275619980,23477,1,The,2.34375,1.0,0.0007734894752502441,0.7296628355979919
0,447169464,29904,6, containing,1.3125,1.0,0.0005608797073364258,0.7815418839454651
0,510545034,31953,2, capital,1.0234375,1.0,0.0005750060081481934,0.7770191431045532
0,536068395,32742,7, Tulsa,4.03125,1.0,0.005022943019866943,0.43980175256729126
0,646075430,35945,1,The,2.71875,1.0,0.0010195374488830566,0.6808611750602722
0,700034652,37416,2, capital,1.3046875,1.0,0.0007655024528503418,0.7319641709327698
0,705696095,37567,6, containing,4.3125,1.0,0.0024200081825256348,0.5143798589706421
0,765324125,39122,3, of,4.125,1.0,0.0008786916732788086,0.7084391713142395
0,773404784,39328,7, Tulsa,0.75390625,1.0,0.0004922151565551758,0.7999972701072693
0,775214999,39374,8, is,1.5625,1.0,0.0025891661643981934,0.5069207549095154
0,831565370,40780,3, of,5.21875,1.0,0.0013492107391357422,0.6251546740531921
0,831565370,40780,4, the,6.6875,1.0,0.000764310359954834,0.733493447303772
0,831565370,40780,8, is,6.75,1.0,0.006462126970291138,0.4116555452346802
0,837939452,40936,3, of,5.125,1.0,0.0023351311683654785,0.5237511396408081
0,864884844,41589,2, capital,1.1484375,1.0,0.0005238056182861328,0.7913723587989807
0,902381402,42481,5, state,2.53125,1.0,0.000974118709564209,0.6908175349235535
0,917354360,42832,6, containing,1.34375,1.0,0.0005705952644348145,0.7781616449356079
0,951592124,43624,2, capital,1.234375,1.0,0.0005851387977600098,0.7735471129417419
0,989702294,44489,1,The,2.59375,1.0,0.0009723901748657227,0.6937364339828491
0,996163929,44634,1,The,2.65625,1.0,0.0009732246398925781,0.691790759563446
0,999514404,44709,6, containing,1.734375,1.0,0.000621795654296875,0.768176257610321
0,1068906965,46235,2, capital,3.9375,1.0,0.000883936882019043,0.7066788077354431
0,1134760979,47638,6, containing,1.609375,1.0,0.0005762577056884766,0.776444137096405
0,1173531680,48445,6, containing,0.91015625,1.0,0.000539243221282959,0.789237916469574
0,1215220349,49298,7, Tulsa,1.171875,1.0,0.0006935596466064453,0.751724898815155
0,1228171140,49560,8, is,3.171875,1.0,0.004339098930358887,0.45809420943260193
0,1289075699,50774,2, capital,2.40625,1.0,0.0014895796775817871,0.608211100101471
0,1322805329,51434,1,The,2.71875,1.0,0.0009045600891113281,0.7031082510948181
0,1322805329,51434,4, the,5.375,1.0,0.0010511279106140137,0.6777461171150208
0,1365841244,52264,6, containing,1.28125,1.0,0.0005492568016052246,0.7848808765411377
0,1430723777,53491,2, capital,1.578125,1.0,0.0007968544960021973,0.7226161956787109
0,1432864277,53531,2, capital,1.390625,1.0,0.000725090503692627,0.7453759908676147
0,1468738700,54197,6, containing,0.95703125,1.0,0.0005802512168884277,0.7752882242202759
