layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06653272360563278,0.1484229564666748
-1,1,651,1,The,,1.0,0.03592640161514282,0.2483094334602356
-1,2,6037,2, capital,,1.0,0.0322091281414032,0.2805185616016388
-1,3,576,3, of,,1.0,0.01639607548713684,0.3220992982387543
-1,4,573,4, the,,1.0,0.012932538986206055,0.34850457310676575
-1,5,2329,5, state,,1.0,0.01347273588180542,0.3355720341205597
-1,6,10751,6, containing,,1.0,0.025184661149978638,0.30570322275161743
-1,7,74204,7, Warwick,,1.0,0.06396007537841797,0.21238303184509277
-1,8,603,8, is,,1.0,0.08189023286104202,0.08189023286104202
0,-1,0,2, capital,,1.0,0.0022065043449401855,0.5253196954727173
0,-1,0,3, of,,1.0,0.0005818605422973633,0.7635239362716675
0,-1,0,5, state,,1.0,0.0012418627738952637,0.6287125945091248
0,-1,0,6, containing,,1.0,0.0014393329620361328,0.597748339176178
0,-1,0,7, Warwick,,1.0,0.0018984675407409668,0.5497636198997498
0,-1,0,8, is,,1.0,0.0010194182395935059,0.6681079268455505
0,26795,230,8, is,3.515625,1.0,0.007123053073883057,0.410322368144989
0,2338202,2161,3, of,3.9375,1.0,0.001172482967376709,0.639553964138031
0,13527800,5200,8, is,2.90625,1.0,0.0074637532234191895,0.40319931507110596
0,17508402,5916,2, capital,2.015625,1.0,0.0005584955215454102,0.773180365562439
0,33199025,8147,7, Warwick,1.75,1.0,0.0008496642112731934,0.6928341388702393
0,75466754,12284,1,The,2.8125,1.0,0.0005078911781311035,0.7870775461196899
0,89091225,13347,5, state,3.25,1.0,0.0013849139213562012,0.6075769662857056
0,91226277,13506,4, the,3.015625,1.0,0.0004988908767700195,0.7900853753089905
0,109690265,14810,3, of,1.8125,1.0,0.0005312561988830566,0.7819072008132935
0,119065595,15430,2, capital,1.265625,1.0,0.0005334019660949707,0.7803123593330383
0,122265702,15636,3, of,2.359375,1.0,0.0010179877281188965,0.6691259145736694
0,157753202,17761,7, Warwick,3.6875,1.0,0.0021365880966186523,0.5318170189857483
