layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.061799850314855576,0.061799850314855576
-1,1,651,1,The,,1.0,0.03315342962741852,0.2381650060415268
-1,2,6037,2, capital,,1.0,0.028172478079795837,0.26633748412132263
-1,3,576,3, of,,1.0,0.015724152326583862,0.30270302295684814
-1,4,573,4, the,,1.0,0.010858356952667236,0.3250212073326111
-1,5,2329,5, state,,1.0,0.01075822114944458,0.33577942848205566
-1,6,10751,6, containing,,1.0,0.02064138650894165,0.2869788706302643
-1,7,86725,7, Sioux,,1.0,0.04994101822376251,0.16822658479213715
-1,8,22954,8, Falls,,1.0,0.03678499162197113,0.20501157641410828
-1,9,603,9, is,,1.0,0.05648571625351906,0.11828556656837463
0,-1,0,2, capital,,1.0,0.0018436908721923828,0.5101545453071594
0,-1,0,3, of,,1.0,0.0005238652229309082,0.7420162558555603
0,-1,0,5, state,,1.0,0.0010537505149841309,0.6116325259208679
0,-1,0,6, containing,,1.0,0.0011731386184692383,0.5883867740631104
0,-1,0,7, Sioux,,1.0,0.0010329484939575195,0.6168423891067505
0,-1,0,8, Falls,,1.0,0.002110689878463745,0.49089330434799194
0,-1,0,9, is,,1.0,0.0007045269012451172,0.6913549304008484
0,26795,230,9, is,3.390625,1.0,0.00499233603477478,0.39616814255714417
0,76635,390,8, Falls,0.9453125,1.0,0.0003787875175476074,0.7997182607650757
0,2338202,2161,3, of,3.9375,1.0,0.0012385845184326172,0.5763434171676636
0,13527800,5200,9, is,3.15625,1.0,0.005848556756973267,0.3911758065223694
0,17508402,5916,2, capital,2.015625,1.0,0.0004482865333557129,0.7728638648986816
0,19628244,6264,2, capital,1.484375,1.0,0.00040459632873535156,0.7895565032958984
0,73017569,12083,8, Falls,1.75,1.0,0.0008225440979003906,0.6556147933006287
0,75466754,12284,1,The,2.8125,1.0,0.0005252361297607422,0.7409684658050537
0,87523064,13229,8, Falls,1.328125,1.0,0.0006385445594787598,0.7100890278816223
0,89091225,13347,5, state,3.25,1.0,0.0011319518089294434,0.5964633226394653
0,91226277,13506,4, the,3.015625,1.0,0.0004538893699645996,0.7692571878433228
0,108936179,14759,8, Falls,2.046875,1.0,0.000794827938079834,0.664522647857666
0,109690265,14810,3, of,1.8125,1.0,0.0004526376724243164,0.7701628804206848
0,116823254,15284,8, Falls,1.109375,1.0,0.0004933476448059082,0.7516908645629883
0,119065595,15430,2, capital,1.265625,1.0,0.0005553960800170898,0.7323265671730042
0,122265702,15636,3, of,2.359375,1.0,0.000855565071105957,0.6489383578300476
0,127273034,15953,8, Falls,1.265625,1.0,0.00042450428009033203,0.782914400100708
0,144712577,17011,8, Falls,1.4296875,1.0,0.0006216168403625488,0.7151013612747192
0,157753202,17761,7, Sioux,1.4765625,1.0,0.0006987452507019043,0.6934608817100525
0,175865634,18753,3, of,6.0,1.0,0.0014769434928894043,0.5461885929107666
0,175865634,18753,4, the,6.53125,1.0,0.0007686018943786621,0.6707348227500916
0,175865634,18753,9, is,5.84375,1.0,0.0067247748374938965,0.3729609549045563
0,184425614,19204,1,The,2.5,1.0,0.0007028579711914062,0.6927621364593506
0,207458264,20368,6, containing,1.140625,1.0,0.0004240274429321289,0.7833384275436401
0,208600524,20424,7, Sioux,2.28125,1.0,0.000823676586151123,0.6539693474769592
0,214358864,20704,8, Falls,1.265625,1.0,0.00044995546340942383,0.7719666361808777
0,271316864,23293,2, capital,1.3515625,1.0,0.0006558895111083984,0.7042481899261475
0,275619980,23477,1,The,2.34375,1.0,0.0007661581039428711,0.6715009808540344
0,298644579,24438,1,The,2.859375,1.0,0.0004470348358154297,0.7742059230804443
0,429201050,29297,8, Falls,0.91796875,1.0,0.00044721364974975586,0.7737588882446289
0,447169464,29904,6, containing,1.3125,1.0,0.00042235851287841797,0.784606397151947
0,485145674,31148,8, Falls,1.1640625,1.0,0.0005204677581787109,0.7435833811759949
0,510545034,31953,2, capital,1.0234375,1.0,0.0005417466163635254,0.7361559271812439
0,535741010,32732,6, containing,1.671875,1.0,0.0004382133483886719,0.77817702293396
0,536068395,32742,7, Sioux,2.15625,1.0,0.0010790228843688965,0.6052452325820923
0,555027902,33316,9, is,1.296875,1.0,0.00103682279586792,0.615809440612793
0,619009704,35184,2, capital,1.078125,1.0,0.0004068613052368164,0.7883405685424805
0,626102190,35385,7, Sioux,8.625,1.0,0.0022566616535186768,0.47121328115463257
0,646075430,35945,1,The,2.71875,1.0,0.0010734200477600098,0.6073973178863525
0,659008359,36303,8, Falls,1.3515625,1.0,0.0005851984024047852,0.7265815138816833
0,673206470,36692,8, Falls,1.5078125,1.0,0.0007460713386535645,0.6790224313735962
0,676880820,36792,8, Falls,1.109375,1.0,0.0005620718002319336,0.7317711710929871
0,700034652,37416,2, capital,1.3046875,1.0,0.0006477236747741699,0.7081617116928101
0,705696095,37567,6, containing,4.3125,1.0,0.0020412802696228027,0.49293458461761475
0,709457945,37667,1,The,2.0,1.0,0.0004032254219055176,0.7907669544219971
0,765324125,39122,3, of,4.125,1.0,0.0008199214935302734,0.6589001417160034
0,765324125,39122,4, the,4.3125,1.0,0.00038176774978637695,0.7981998324394226
0,775214999,39374,9, is,1.65625,1.0,0.002234518527984619,0.47792065143585205
0,831565370,40780,3, of,5.21875,1.0,0.0013308525085449219,0.567335844039917
0,831565370,40780,4, the,6.6875,1.0,0.0007461309432983398,0.6797685623168945
0,831565370,40780,9, is,6.53125,1.0,0.004759609699249268,0.40092775225639343
0,837939452,40936,3, of,5.125,1.0,0.0025654733180999756,0.4496944844722748
0,850018295,41230,7, Sioux,0.97265625,1.0,0.0004398226737976074,0.7768616080284119
0,858036024,41424,1,The,1.75,1.0,0.00043761730194091797,0.7790523767471313
