layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06803280115127563,0.06803280115127563
-1,1,651,1,The,,1.0,0.036757051944732666,0.22921441495418549
-1,2,6037,2, capital,,1.0,0.03384615480899811,0.2630605697631836
-1,3,576,3, of,,1.0,0.017083346843719482,0.30513450503349304
-1,4,573,4, the,,1.0,0.012669920921325684,0.3311738073825836
-1,5,2329,5, state,,1.0,0.013369381427764893,0.31850388646125793
-1,6,10751,6, containing,,1.0,0.024990588426589966,0.28805115818977356
-1,7,26865,7, Dallas,,1.0,0.059894219040870667,0.19245736300945282
-1,8,603,8, is,,1.0,0.06453034281730652,0.13256314396858215
0,-1,0,2, capital,,1.0,0.0020647644996643066,0.550119161605835
0,-1,0,3, of,,1.0,0.0005807876586914062,0.7747848629951477
0,-1,0,5, state,,1.0,0.001162111759185791,0.6510955691337585
0,-1,0,6, containing,,1.0,0.0013350248336791992,0.6312348246574402
0,-1,0,7, Dallas,,1.0,0.0015891194343566895,0.5949362516403198
0,-1,0,8, is,,1.0,0.0007578134536743164,0.7355003952980042
0,26795,230,8, is,3.390625,1.0,0.005623877048492432,0.41934850811958313
0,1734452,1861,7, Dallas,1.84375,1.0,0.0038549304008483887,0.45051950216293335
0,2338202,2161,3, of,3.9375,1.0,0.0012992024421691895,0.6338618993759155
0,13527800,5200,8, is,3.0,1.0,0.005759775638580322,0.4137246310710907
0,16356339,5718,7, Dallas,1.734375,1.0,0.0011286139488220215,0.6590538620948792
0,17508402,5916,2, capital,2.015625,1.0,0.0005706548690795898,0.7776573300361633
0,75466754,12284,1,The,2.8125,1.0,0.0005561113357543945,0.7815744876861572
0,89091225,13347,5, state,3.25,1.0,0.0014733076095581055,0.6101747155189514
0,109690265,14810,3, of,1.8125,1.0,0.00048470497131347656,0.8000698089599609
0,119065595,15430,2, capital,1.265625,1.0,0.0006057620048522949,0.7689031362533569
0,122265702,15636,3, of,2.359375,1.0,0.0010290145874023438,0.6707422733306885
0,157753202,17761,7, Dallas,1.0703125,1.0,0.000596463680267334,0.7694995999336243
0,175865634,18753,3, of,6.0,1.0,0.0017074346542358398,0.5868213176727295
0,175865634,18753,4, the,6.53125,1.0,0.0007546544075012207,0.7370122671127319
0,175865634,18753,8, is,5.6875,1.0,0.007303863763809204,0.3812578320503235
0,184425614,19204,1,The,2.5,1.0,0.0007681846618652344,0.733981728553772
0,271316864,23293,2, capital,1.3515625,1.0,0.0007848143577575684,0.7254455089569092
0,275619980,23477,1,The,2.34375,1.0,0.0008959770202636719,0.704143226146698
0,298644579,24438,1,The,2.859375,1.0,0.0005933046340942383,0.7706892490386963
0,447169464,29904,6, containing,1.3125,1.0,0.0005269050598144531,0.7869725823402405
0,510545034,31953,2, capital,1.0234375,1.0,0.0006276369094848633,0.7651994228363037
0,536068395,32742,7, Dallas,3.84375,1.0,0.0034280121326446533,0.4652321934700012
0,646075430,35945,1,The,2.71875,1.0,0.0011333823204040527,0.6579252481460571
0,654514289,36179,7, Dallas,1.296875,1.0,0.0005130171775817871,0.7900828123092651
0,700034652,37416,2, capital,1.3046875,1.0,0.0007225871086120605,0.7436966300010681
0,705696095,37567,6, containing,4.3125,1.0,0.002093493938446045,0.5480543971061707
0,765324125,39122,3, of,4.125,1.0,0.0009262561798095703,0.6959667801856995
0,775214999,39374,8, is,1.59375,1.0,0.003104686737060547,0.48429083824157715
0,831565370,40780,3, of,5.21875,1.0,0.0014587044715881348,0.6160250902175903
0,831565370,40780,4, the,6.6875,1.0,0.0008131861686706543,0.7166845798492432
0,831565370,40780,8, is,6.75,1.0,0.0062868595123291016,0.4079648554325104
0,837939452,40936,3, of,5.125,1.0,0.002445995807647705,0.5279362797737122
0,864884844,41589,2, capital,1.1484375,1.0,0.0005135536193847656,0.7895697951316833
0,902381402,42481,5, state,2.53125,1.0,0.0012530088424682617,0.6402263045310974
0,951592124,43624,2, capital,1.234375,1.0,0.0006476044654846191,0.7620153427124023
0,989702294,44489,1,The,2.59375,1.0,0.001027226448059082,0.6717694997787476
0,996163929,44634,1,The,2.65625,1.0,0.0009647011756896973,0.6827427744865417
0,999514404,44709,6, containing,1.734375,1.0,0.000633537769317627,0.7645717859268188
0,1068906965,46235,2, capital,3.9375,1.0,0.0009302496910095215,0.6931846737861633
0,1134760979,47638,6, containing,1.609375,1.0,0.0005500316619873047,0.7832280397415161
0,1173531680,48445,6, containing,0.91015625,1.0,0.0005754828453063965,0.7759397625923157
0,1228171140,49560,8, is,3.265625,1.0,0.004516661167144775,0.43439286947250366
0,1289075699,50774,2, capital,2.40625,1.0,0.0015451312065124512,0.6011996269226074
0,1322805329,51434,1,The,2.71875,1.0,0.001025557518005371,0.6727950572967529
0,1322805329,51434,4, the,5.375,1.0,0.0011358261108398438,0.6567918658256531
0,1352546054,52009,6, containing,1.3203125,1.0,0.000496208667755127,0.797122597694397
0,1365841244,52264,6, containing,1.28125,1.0,0.0005562305450439453,0.7810183763504028
0,1430723777,53491,2, capital,1.578125,1.0,0.0009644627571105957,0.6837072372436523
0,1432864277,53531,2, capital,1.390625,1.0,0.0007686018943786621,0.7332135438919067
0,1468738700,54197,6, containing,0.95703125,1.0,0.0005039572715759277,0.792626142501831
0,1468792899,54198,1,The,5.78125,1.0,0.001185774803161621,0.6499334573745728
0,1489133450,54572,1,The,2.578125,1.0,0.0007002353668212891,0.7486433982849121
0,1557740835,55815,2, capital,5.59375,1.0,0.002715587615966797,0.510124921798706
0,1610252874,56748,5, state,2.015625,1.0,0.0008409619331359863,0.7076037526130676
0,1672819560,57840,5, state,2.9375,1.0,0.0013758540153503418,0.6231377124786377
0,1876301910,61257,5, state,1.2890625,1.0,0.0004857778549194336,0.7995851039886475
0,1895032265,61562,3, of,3.15625,1.0,0.0009579658508300781,0.6865923404693604
0,1976538500,62872,1,The,2.6875,1.0,0.0006257295608520508,0.7664515972137451
0,2019269474,63548,2, capital,1.578125,1.0,0.0008046627044677734,0.7199162840843201
0,2228148389,66754,6, containing,1.78125,1.0,0.0007809996604919434,0.7270082235336304
0,2281805234,67553,6, containing,1.71875,1.0,0.0005614161491394043,0.7787846326828003
0,2379706565,68987,2, capital,0.8515625,1.0,0.000498652458190918,0.7956302165985107
