layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06138383969664574,0.06138383969664574
-1,1,651,1,The,,1.0,0.03252212703227997,0.22844959795475006
-1,2,6037,2, capital,,1.0,0.028601422905921936,0.257051020860672
-1,3,576,3, of,,1.0,0.015244752168655396,0.3168964385986328
-1,4,573,4, the,,1.0,0.010880708694458008,0.33958086371421814
-1,5,2329,5, state,,1.0,0.01180371642112732,0.32870015501976013
-1,6,10751,6, containing,,1.0,0.02380305528640747,0.28085407614707947
-1,7,13473,7, Virginia,,1.0,0.04631037265062332,0.15913628041744232
-1,8,10575,8, Beach,,1.0,0.03679119050502777,0.1959274709224701
-1,9,603,9, is,,1.0,0.051442068070173264,0.112825907766819
0,-1,0,2, capital,,1.0,0.0018201470375061035,0.5205155611038208
0,-1,0,3, of,,1.0,0.0005837678909301758,0.7427754998207092
0,-1,0,5, state,,1.0,0.0009350180625915527,0.6481767892837524
0,-1,0,6, containing,,1.0,0.001498103141784668,0.5497602224349976
0,-1,0,7, Virginia,,1.0,0.0009049773216247559,0.6546370983123779
0,-1,0,8, Beach,,1.0,0.0025472640991210938,0.46481800079345703
0,-1,0,9, is,,1.0,0.0006239414215087891,0.7307220697402954
0,26795,230,9, is,3.390625,1.0,0.005173206329345703,0.3918388783931732
0,2338202,2161,3, of,3.9375,1.0,0.0010723471641540527,0.6195898652076721
0,13527800,5200,9, is,3.34375,1.0,0.005094408988952637,0.40205007791519165
0,17508402,5916,2, capital,2.015625,1.0,0.0004990696907043457,0.7708234190940857
0,24182534,6953,8, Beach,1.078125,1.0,0.0007611513137817383,0.6841090321540833
0,41273154,9084,8, Beach,0.96875,1.0,0.0004609227180480957,0.7866156697273254
0,69637700,11800,7, Virginia,1.03125,1.0,0.00047791004180908203,0.7800764441490173
0,74976134,12244,8, Beach,1.1484375,1.0,0.0005312561988830566,0.7594735026359558
0,75466754,12284,1,The,2.8125,1.0,0.0005311369895935059,0.7600046396255493
0,89091225,13347,5, state,3.25,1.0,0.0013144612312316895,0.5802249312400818
0,109690265,14810,3, of,1.8125,1.0,0.00043964385986328125,0.793407678604126
0,111444984,14928,7, Virginia,1.75,1.0,0.0007680058479309082,0.6818210482597351
0,119065595,15430,2, capital,1.265625,1.0,0.000536501407623291,0.7573402523994446
0,122265702,15636,3, of,2.359375,1.0,0.0009555220603942871,0.6406282782554626
0,175865634,18753,3, of,6.0,1.0,0.0015401244163513184,0.5437118411064148
0,175865634,18753,4, the,6.53125,1.0,0.0007254481315612793,0.7004463076591492
0,175865634,18753,9, is,5.84375,1.0,0.00598105788230896,0.36994197964668274
0,184425614,19204,1,The,2.5,1.0,0.0007088780403137207,0.7075790762901306
0,207458264,20368,6, containing,1.140625,1.0,0.0004622340202331543,0.7856927514076233
0,227921924,21349,8, Beach,1.34375,1.0,0.0005713701248168945,0.7473925948143005
0,271316864,23293,2, capital,1.3515625,1.0,0.0006206631660461426,0.7313427329063416
0,275619980,23477,1,The,2.34375,1.0,0.0007497072219848633,0.6886363625526428
0,298644579,24438,1,The,2.859375,1.0,0.0005329251289367676,0.7589422464370728
0,447169464,29904,6, containing,1.3125,1.0,0.00045818090438842773,0.7898343205451965
0,510545034,31953,2, capital,1.0234375,1.0,0.0005527734756469727,0.7529872059822083
0,535741010,32732,6, containing,1.671875,1.0,0.0004649162292480469,0.7838399410247803
0,536068395,32742,7, Virginia,4.9375,1.0,0.0033844709396362305,0.435793936252594
0,555027902,33316,9, is,1.515625,1.0,0.0018665790557861328,0.5168450474739075
0,646075430,35945,1,The,2.71875,1.0,0.0010205507278442383,0.6279555559158325
0,700034652,37416,2, capital,1.3046875,1.0,0.0006455779075622559,0.7224611043930054
0,705696095,37567,6, containing,4.3125,1.0,0.0025087296962738037,0.469858855009079
0,765324125,39122,3, of,4.125,1.0,0.0010868310928344727,0.615287721157074
0,765324125,39122,4, the,4.3125,1.0,0.00043255090713500977,0.7960211038589478
0,775214999,39374,9, is,1.5625,1.0,0.0021377205848693848,0.49256694316864014
0,831565370,40780,3, of,5.21875,1.0,0.0012750029563903809,0.5879591703414917
0,831565370,40780,4, the,6.6875,1.0,0.0007131099700927734,0.7033146619796753
0,831565370,40780,9, is,6.65625,1.0,0.005382955074310303,0.3866656720638275
0,837939452,40936,3, of,5.125,1.0,0.002196401357650757,0.4860602915287018
0,864884844,41589,2, capital,1.1484375,1.0,0.0004715919494628906,0.7819721102714539
0,902381402,42481,5, state,2.53125,1.0,0.0009702444076538086,0.6358275413513184
0,917354360,42832,6, containing,1.34375,1.0,0.0005488991737365723,0.7540867328643799
0,924091544,42989,8, Beach,1.3125,1.0,0.000545203685760498,0.7551778554916382
0,951592124,43624,2, capital,1.234375,1.0,0.0005679726600646973,0.7490987777709961
0,989702294,44489,1,The,2.59375,1.0,0.0009558796882629395,0.6396727561950684
0,996163929,44634,1,The,2.65625,1.0,0.0007539987564086914,0.6871355175971985
0,999514404,44709,6, containing,1.734375,1.0,0.0005777478218078613,0.7450945377349854
0,1004886864,44829,7, Virginia,1.4375,1.0,0.0004886984825134277,0.7752538919448853
0,1012792520,45005,8, Beach,1.2578125,1.0,0.0004222393035888672,0.7990082502365112
0,1068906965,46235,2, capital,3.9375,1.0,0.0007911324501037598,0.6763777732849121
0,1106686580,47045,7, Virginia,1.1484375,1.0,0.0007026195526123047,0.7096925377845764
0,1134760979,47638,6, containing,1.609375,1.0,0.0005599260330200195,0.7496587038040161
0,1168595339,48343,8, Beach,2.109375,1.0,0.0009702444076538086,0.6348572969436646
0,1176003752,48496,8, Beach,1.0546875,1.0,0.00043523311614990234,0.795154333114624
0,1225446770,49505,8, Beach,1.453125,1.0,0.0006479620933532715,0.7218155264854431
0,1228171140,49560,9, is,3.234375,1.0,0.004651069641113281,0.40670114755630493
0,1289075699,50774,2, capital,2.40625,1.0,0.0014911890029907227,0.5512514114379883
0,1322805329,51434,1,The,2.71875,1.0,0.0008209943771362305,0.6683157682418823
0,1322805329,51434,4, the,5.375,1.0,0.0010072588920593262,0.6289628148078918
0,1352546054,52009,6, containing,1.3203125,1.0,0.0004786849021911621,0.7795985341072083
0,1365841244,52264,6, containing,1.28125,1.0,0.0006049275398254395,0.736848771572113
0,1430723777,53491,2, capital,1.578125,1.0,0.0007286667823791504,0.6989948749542236
0,1432864277,53531,2, capital,1.390625,1.0,0.0007410049438476562,0.6945887207984924
0,1441979252,53701,7, Virginia,4.90625,1.0,0.0037282705307006836,0.4185102581977844
0,1468738700,54197,6, containing,0.95703125,1.0,0.00045937299728393555,0.7893761396408081
0,1468792899,54198,1,The,5.78125,1.0,0.0011410117149353027,0.6097227931022644
0,1489133450,54572,1,The,2.578125,1.0,0.0006004571914672852,0.7374492287635803
0,1557740835,55815,2, capital,5.59375,1.0,0.0024887919425964355,0.4723476469516754
0,1610252874,56748,5, state,2.015625,1.0,0.0006431341171264648,0.7237488031387329
0,1672819560,57840,5, state,2.9375,1.0,0.0010303854942321777,0.6269350051879883
0,1680811209,57978,8, Beach,1.390625,1.0,0.0005407333374023438,0.7568037509918213
0,1684175702,58036,7, Virginia,1.3828125,1.0,0.0005731582641601562,0.7468212246894836
0,1722815649,58698,8, Beach,1.2734375,1.0,0.0005842447280883789,0.742191731929779
0,1815483152,60256,6, containing,1.3984375,1.0,0.0004608631134033203,0.7870765328407288
0,1875138179,61238,8, Beach,1.78125,1.0,0.0007112026214599609,0.7054504752159119
0,1876301910,61257,5, state,1.2890625,1.0,0.0004928708076477051,0.7732969522476196
0,1895032265,61562,3, of,3.15625,1.0,0.0008316636085510254,0.6650183796882629
0,1976538500,62872,1,The,2.6875,1.0,0.0004892945289611816,0.7742763757705688
0,2019269474,63548,2, capital,1.578125,1.0,0.0007259845733642578,0.6997208595275879
0,2207768024,66448,8, Beach,1.3125,1.0,0.0005209445953369141,0.7626267671585083
0,2228148389,66754,6, containing,1.78125,1.0,0.0005360245704650879,0.7578762769699097
0,2281805234,67553,6, containing,1.71875,1.0,0.0006391406059265137,0.7256713509559631
0,2379706565,68987,2, capital,0.8515625,1.0,0.00041794776916503906,0.80026775598526
0,2671549155,73095,6, containing,2.609375,1.0,0.0007377862930297852,0.6960649490356445
0,2702264369,73514,1,The,2.75,1.0,0.00042110681533813477,0.7994293570518494
0,2720305679,73759,3, of,3.5625,1.0,0.0016310811042785645,0.535797655582428
0,2722297577,73786,8, Beach,2.046875,1.0,0.0009554028511047363,0.6415836811065674
0,2725766694,73833,6, containing,1.359375,1.0,0.0005201101303100586,0.7631468772888184
0,2834404985,75290,8, Beach,1.5546875,1.0,0.00048810243606567383,0.7757419943809509
0,2898535590,76137,7, Virginia,2.453125,1.0,0.0007877349853515625,0.6779556274414062
0,3162550214,79529,9, is,1.03125,1.0,0.0008075833320617676,0.672381579875946
0,3255559085,80690,8, Beach,1.203125,1.0,0.000709235668182373,0.7068701982498169
0,3290673374,81124,1,The,3.96875,1.0,0.0009871721267700195,0.63193678855896
0,3331361124,81624,9, is,0.78125,1.0,0.0006126761436462402,0.7338054180145264
0,3348197195,81830,9, is,1.078125,1.0,0.0006938576698303223,0.7124794125556946
0,3433179815,82862,2, capital,2.140625,1.0,0.0006360411643981934,0.7275825142860413
0,3590984630,84745,7, Virginia,1.46875,1.0,0.0005556344985961914,0.7507731914520264
0,3604302155,84902,8, Beach,1.4921875,1.0,0.0006389617919921875,0.7263103127479553
0,3672630659,85703,8, Beach,1.046875,1.0,0.0004603266716003418,0.7879976034164429
0,3855429765,87810,7, Virginia,0.92578125,1.0,0.0004888176918029785,0.7747651934623718
0,3940544699,88774,8, Beach,2.3125,1.0,0.0008889436721801758,0.6564217209815979
0,3949516125,88875,6, containing,1.5859375,1.0,0.0007367134094238281,0.6968016624450684
0,3984254010,89265,4, the,3.09375,1.0,0.00045943260192871094,0.7889167666435242
0,4029102027,89766,8, Beach,1.3984375,1.0,0.00049591064453125,0.7718155384063721
0,4047795299,89974,6, containing,2.8125,1.0,0.001248776912689209,0.5955037474632263
0,4144732580,91045,9, is,2.453125,1.0,0.005561798810958862,0.3812827169895172
0,4191113234,91553,1,The,1.21875,1.0,0.0005537271499633789,0.7518808841705322
0,4192669805,91570,1,The,3.640625,1.0,0.0007139444351196289,0.7026015520095825
0,4234806464,92029,4, the,3.671875,1.0,0.00047081708908081055,0.7824429273605347
0,4512452499,94998,8, Beach,2.390625,1.0,0.0008202195167541504,0.6691359877586365
0,4518059210,95057,9, is,3.96875,1.0,0.0034227073192596436,0.42898866534233093
0,4537757744,95264,1,The,3.953125,1.0,0.0010553598403930664,0.6227644681930542
0,4557881025,95475,2, capital,8.9375,1.0,0.0011540055274963379,0.6051396131515503
0,4557881025,95475,5, state,10.3125,1.0,0.0010623931884765625,0.6206522583961487
0,4557881025,95475,6, containing,4.9375,1.0,0.0007511377334594727,0.687886655330658
0,4557881025,95475,7, Virginia,7.53125,1.0,0.0013553500175476074,0.5709441304206848
0,4557881025,95475,8, Beach,7.4375,1.0,0.001400768756866455,0.5612648725509644
0,4681684229,96763,8, Beach,1.953125,1.0,0.0009350180625915527,0.649111807346344
0,4816760324,98149,1,The,9.8125,1.0,0.001308143138885498,0.5815330743789673
0,4816760324,98149,2, capital,8.1875,1.0,0.0013828277587890625,0.5682117938995361
0,4816760324,98149,5, state,6.28125,1.0,0.0007429122924804688,0.6931058764457703
1,-1,1,2, capital,,1.0,0.0010542869567871094,0.6238187551498413
1,-1,1,5, state,,1.0,0.0006617903709411621,0.7178846597671509
