layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06456355005502701,0.13035088777542114
-1,1,651,1,The,,1.0,0.03631511330604553,0.2166913002729416
-1,2,6037,2, capital,,1.0,0.03325152397155762,0.2499428242444992
-1,3,576,3, of,,1.0,0.015087008476257324,0.3265852630138397
-1,4,573,4, the,,1.0,0.011595398187637329,0.35045525431632996
-1,5,2329,5, state,,1.0,0.0151081383228302,0.3114982545375824
-1,6,10751,6, containing,,1.0,0.02630479633808136,0.27624762058258057
-1,7,26996,7, Seattle,,1.0,0.06578733772039413,0.06578733772039413
-1,8,603,8, is,,1.0,0.050025299191474915,0.18037618696689606
0,-1,0,2, capital,,1.0,0.0025182366371154785,0.5214613080024719
0,-1,0,5, state,,1.0,0.0013672709465026855,0.6235709190368652
0,-1,0,6, containing,,1.0,0.0017101764678955078,0.5884423851966858
0,-1,0,7, Seattle,,1.0,0.00112152099609375,0.6581222414970398
0,-1,0,8, is,,1.0,0.000676274299621582,0.7598177194595337
0,26795,230,8, is,3.359375,1.0,0.004842996597290039,0.45232072472572327
0,514604,1013,7, Seattle,2.109375,1.0,0.0007968544960021973,0.724114716053009
0,1287209,1603,7, Seattle,1.765625,1.0,0.0008557438850402832,0.7060007452964783
0,2338202,2161,3, of,3.9375,1.0,0.0010421276092529297,0.6698989272117615
0,4591964,3029,7, Seattle,1.3515625,1.0,0.0006028413772583008,0.7738727927207947
0,13527800,5200,8, is,3.03125,1.0,0.003948092460632324,0.461090087890625
0,16356339,5718,7, Seattle,1.75,1.0,0.001310110092163086,0.6329514384269714
0,17508402,5916,2, capital,2.015625,1.0,0.0005298852920532227,0.7963964343070984
0,89091225,13347,5, state,3.25,1.0,0.001585543155670166,0.6015960574150085
0,109690265,14810,3, of,1.8125,1.0,0.0005232095718383789,0.7990171909332275
0,119065595,15430,2, capital,1.265625,1.0,0.0005698800086975098,0.784942090511322
0,122265702,15636,3, of,2.359375,1.0,0.0010077953338623047,0.6729540824890137
0,130613202,16161,7, Seattle,1.046875,1.0,0.0008417367935180664,0.7093899250030518
0,175865634,18753,3, of,6.0,1.0,0.0016100406646728516,0.5968021750450134
0,175865634,18753,4, the,6.53125,1.0,0.0007710456848144531,0.7335063815116882
0,175865634,18753,8, is,5.625,1.0,0.005560129880905151,0.4372120499610901
0,184425614,19204,1,The,2.5,1.0,0.0007624030113220215,0.7350385785102844
0,217079865,20835,7, Seattle,1.1875,1.0,0.0007798075675964355,0.7304086685180664
0,228969299,21398,7, Seattle,2.296875,1.0,0.0008184313774108887,0.7168458104133606
0,271316864,23293,2, capital,1.3515625,1.0,0.000712275505065918,0.746720552444458
0,275619980,23477,1,The,2.34375,1.0,0.0008124113082885742,0.7192896604537964
0,298644579,24438,1,The,2.859375,1.0,0.0005310773849487305,0.7953359484672546
0,447169464,29904,6, containing,1.3125,1.0,0.0005367398262023926,0.7926695346832275
0,459787649,30323,7, Seattle,1.1640625,1.0,0.0005707740783691406,0.7838023900985718
0,510545034,31953,2, capital,1.0234375,1.0,0.000560760498046875,0.7871966361999512
0,536068395,32742,7, Seattle,4.84375,1.0,0.004821270704269409,0.4571419954299927
