layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.062412433326244354,0.1383630335330963
-1,1,651,1,The,,1.0,0.03353263437747955,0.22841720283031464
-1,2,6037,2, capital,,1.0,0.03185535967350006,0.2602725625038147
-1,3,576,3, of,,1.0,0.015655875205993652,0.300580769777298
-1,4,573,4, the,,1.0,0.011706799268722534,0.3265233039855957
-1,5,2329,5, state,,1.0,0.014235734939575195,0.31481650471687317
-1,6,10751,6, containing,,1.0,0.024652332067489624,0.2849248945713043
-1,7,71738,7, Huntington,,1.0,0.07595060020685196,0.07595060020685196
-1,8,603,8, is,,1.0,0.05652153491973877,0.19488456845283508
0,-1,0,2, capital,,1.0,0.002141892910003662,0.5244592428207397
0,-1,0,3, of,,1.0,0.0005484223365783691,0.767063558101654
0,-1,0,5, state,,1.0,0.000990450382232666,0.6637680530548096
0,-1,0,6, containing,,1.0,0.0013028979301452637,0.6094581484794617
0,-1,0,7, Huntington,,1.0,0.0020581483840942383,0.530778706073761
0,-1,0,8, is,,1.0,0.0006511807441711426,0.7391939163208008
0,26795,230,8, is,3.328125,1.0,0.005012214183807373,0.41296979784965515
0,2338202,2161,3, of,3.9375,1.0,0.0011309385299682617,0.638131856918335
0,9454725,4347,7, Huntington,1.5,1.0,0.0006088018417358398,0.7536680102348328
0,10453877,4571,7, Huntington,0.8046875,1.0,0.000475466251373291,0.7897530198097229
0,13527800,5200,8, is,3.03125,1.0,0.0055952370166778564,0.4079575836658478
0,17508402,5916,2, capital,2.015625,1.0,0.00047600269317626953,0.7892775535583496
0,19628244,6264,2, capital,1.484375,1.0,0.0005031824111938477,0.7780106663703918
0,27531909,7419,7, Huntington,1.53125,1.0,0.0007420778274536133,0.7155942320823669
0,75466754,12284,1,The,2.8125,1.0,0.0005005002021789551,0.7810176610946655
0,87271865,13210,7, Huntington,1.1875,1.0,0.0009859204292297363,0.6647539734840393
0,89091225,13347,5, state,3.25,1.0,0.0014495253562927246,0.5889811515808105
0,119065595,15430,2, capital,1.265625,1.0,0.0005921125411987305,0.7584882974624634
0,122265702,15636,3, of,2.359375,1.0,0.0009768009185791016,0.6696545481681824
0,157753202,17761,7, Huntington,2.40625,1.0,0.0015335679054260254,0.5786106586456299
0,162008999,17999,7, Huntington,1.359375,1.0,0.0006470084190368652,0.7417880892753601
0,175865634,18753,3, of,6.0,1.0,0.0017359256744384766,0.5590746402740479
0,175865634,18753,4, the,6.53125,1.0,0.0007972121238708496,0.7002259492874146
0,175865634,18753,8, is,5.46875,1.0,0.007124096155166626,0.37743231654167175
0,184425614,19204,1,The,2.5,1.0,0.0006313323974609375,0.7462598085403442
0,207458264,20368,6, containing,1.140625,1.0,0.0004507303237915039,0.7990095615386963
0,213304184,20653,7, Huntington,1.0234375,1.0,0.0005242228507995605,0.7713386416435242
0,266701059,23094,7, Huntington,1.0625,1.0,0.0004571080207824707,0.7967424392700195
0,271316864,23293,2, capital,1.3515625,1.0,0.0007031559944152832,0.7235591411590576
0,275619980,23477,1,The,2.34375,1.0,0.0007236003875732422,0.7199966311454773
0,298644579,24438,1,The,2.859375,1.0,0.0004698634147644043,0.7925843000411987
0,390922740,27960,7, Huntington,1.0,1.0,0.0005127191543579102,0.7744554877281189
0,447109655,29902,7, Huntington,1.921875,1.0,0.0009126067161560059,0.6798971891403198
0,447169464,29904,6, containing,1.3125,1.0,0.0006095767021179199,0.7530592083930969
0,485488379,31159,7, Huntington,0.8828125,1.0,0.0005685091018676758,0.7637124061584473
0,510545034,31953,2, capital,1.0234375,1.0,0.0006186962127685547,0.7487549185752869
0,646075430,35945,1,The,2.71875,1.0,0.0009245872497558594,0.6762189269065857
0,700034652,37416,2, capital,1.3046875,1.0,0.0007770657539367676,0.7072797417640686
0,705696095,37567,6, containing,4.3125,1.0,0.0023292899131774902,0.504503607749939
0,709457945,37667,1,The,2.0,1.0,0.00045752525329589844,0.7958279252052307
0,765324125,39122,3, of,4.125,1.0,0.000835716724395752,0.6928820013999939
0,775214999,39374,8, is,1.640625,1.0,0.0022774338722229004,0.5090751647949219
0,818890214,40468,7, Huntington,1.4296875,1.0,0.0005190372467041016,0.773942768573761
0,831565370,40780,3, of,5.21875,1.0,0.0013942122459411621,0.5960768461227417
