layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06428658962249756,0.14398126304149628
-1,1,651,1,The,,1.0,0.03471384942531586,0.2338118702173233
-1,2,6037,2, capital,,1.0,0.030614152550697327,0.26442602276802063
-1,3,576,3, of,,1.0,0.015393942594528198,0.3047231137752533
-1,4,573,4, the,,1.0,0.012090802192687988,0.3296492397785187
-1,5,2329,5, state,,1.0,0.012835323810577393,0.3175584375858307
-1,6,10751,6, containing,,1.0,0.024903148412704468,0.2893291711807251
-1,7,42199,7, Milwaukee,,1.0,0.07969467341899872,0.07969467341899872
-1,8,603,8, is,,1.0,0.05511675775051117,0.19909802079200745
0,-1,0,2, capital,,1.0,0.0019898414611816406,0.5496430993080139
0,-1,0,3, of,,1.0,0.0005498528480529785,0.7795625925064087
0,-1,0,5, state,,1.0,0.001239001750946045,0.6318060159683228
0,-1,0,6, containing,,1.0,0.0013579726219177246,0.6161442995071411
0,-1,0,7, Milwaukee,,1.0,0.001032710075378418,0.6670995950698853
0,-1,0,8, is,,1.0,0.000850975513458252,0.6981541514396667
0,26795,230,8, is,3.453125,1.0,0.0056480467319488525,0.4121797978878021
0,2338202,2161,3, of,3.9375,1.0,0.0011954307556152344,0.6391220092773438
0,12678129,5034,7, Milwaukee,1.0390625,1.0,0.0005209445953369141,0.7875956892967224
0,13527800,5200,8, is,3.0,1.0,0.00556299090385437,0.4177427887916565
0,17508402,5916,2, capital,2.015625,1.0,0.0005093812942504883,0.7901660203933716
0,40432527,8991,7, Milwaukee,1.046875,1.0,0.0007796287536621094,0.7201686501502991
0,46248152,9616,7, Milwaukee,1.234375,1.0,0.0006101131439208984,0.7651314735412598
0,72414594,12033,7, Milwaukee,1.171875,1.0,0.0005881190299987793,0.771095871925354
0,89091225,13347,5, state,3.25,1.0,0.0013873577117919922,0.6120410561561584
0,111609269,14939,7, Milwaukee,1.359375,1.0,0.0006354451179504395,0.757084846496582
0,119065595,15430,2, capital,1.265625,1.0,0.0005474686622619629,0.7812069058418274
0,122265702,15636,3, of,2.359375,1.0,0.000947117805480957,0.6838036179542542
0,175865634,18753,3, of,6.0,1.0,0.001554250717163086,0.5899359583854675
0,175865634,18753,4, the,6.53125,1.0,0.0008248090744018555,0.7073302268981934
0,175865634,18753,8, is,5.78125,1.0,0.006188631057739258,0.3944993317127228
0,184425614,19204,1,The,2.5,1.0,0.0007005929946899414,0.7370902895927429
0,271316864,23293,2, capital,1.3515625,1.0,0.000661015510559082,0.7486686706542969
