layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.040915004909038544,0.08493536710739136
-1,1,18143,1,Fact,,1.0,0.03788040578365326,0.12281577289104462
-1,2,235292,2,:,,1.0,0.0184352844953537,0.25436922907829285
-1,3,714,3, The,,1.0,0.028474584221839905,0.15129035711288452
-1,4,6037,4, capital,,1.0,0.044020362198352814,0.044020362198352814
-1,5,576,5, of,,1.0,0.009930163621902466,0.2642993927001953
-1,6,573,6, the,,1.0,0.007199466228485107,0.2801147401332855
-1,7,2329,7, state,,1.0,0.018826231360435486,0.23593394458293915
-1,8,10751,8, containing,,1.0,0.02484770119190216,0.17613805830478668
-1,9,35608,9, Birmingham,,1.0,0.02095191180706024,0.19708997011184692
-1,10,603,10, is,,1.0,0.02001774311065674,0.21710771322250366
0,-1,0,1,Fact,,1.0,0.0018555223941802979,0.334651380777359
0,-1,0,2,:,,1.0,0.0007333457469940186,0.43713802099227905
0,-1,0,3, The,,1.0,0.0005220770835876465,0.49364304542541504
0,-1,0,4, capital,,1.0,0.001440972089767456,0.3538554608821869
0,-1,0,5, of,,1.0,0.00032460689544677734,0.591590166091919
0,-1,0,7, state,,1.0,0.0004813671112060547,0.5105846524238586
0,-1,0,8, containing,,1.0,0.0012058615684509277,0.36829453706741333
0,-1,0,9, Birmingham,,1.0,0.0007464885711669922,0.43197453022003174
0,-1,0,10, is,,1.0,0.00042951107025146484,0.5324138402938843
0,1274,49,7, state,4.469497203826904,1.0,0.00031054019927978516,0.6043175458908081
0,1430,52,5, of,2.026129722595215,1.0,0.00013130903244018555,0.7693661451339722
0,2210,65,8, containing,4.890505790710449,1.0,0.0002644062042236328,0.63240647315979
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002353191375732422,0.6555648446083069
0,3080,77,9, Birmingham,3.2568135261535645,1.0,0.0001697540283203125,0.7195649743080139
0,4752,96,3, The,4.516541481018066,1.0,0.00020056962966918945,0.686835527420044
0,21944,208,1,Fact,1.1732163429260254,1.0,0.00011599063873291016,0.791704535484314
0,31374,249,8, containing,3.72662353515625,1.0,0.0002092123031616211,0.677804172039032
0,36314,268,2,:,2.5549702644348145,1.0,0.00026875734329223633,0.6289450526237488
0,38225,275,6, the,4.708583831787109,1.0,0.00011181831359863281,0.7985283732414246
0,46055,302,4, capital,3.32346248626709,1.0,0.0003161430358886719,0.6008670926094055
0,46970,305,4, capital,2.3759379386901855,1.0,0.00024110078811645508,0.651289165019989
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00014156103134155273,0.7537351846694946
0,63545,355,4, capital,2.010589361190796,1.0,0.00013118982315063477,0.7701534032821655
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006363391876220703,0.4616779685020447
0,81809,403,8, containing,5.660445690155029,1.0,0.00031948089599609375,0.5967369675636292
0,90099,423,4, capital,2.311923027038574,1.0,0.00021976232528686523,0.6687715649604797
0,96140,437,1,Fact,2.300577402114868,1.0,0.00026214122772216797,0.6337217092514038
0,114959,478,1,Fact,3.156907796859741,1.0,0.00026404857635498047,0.632670521736145
0,118340,485,3, The,3.5978288650512695,1.0,0.00023788213729858398,0.652962863445282
0,176120,592,8, containing,8.270624160766602,1.0,0.00040459632873535156,0.5445685386657715
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00012570619583129883,0.7772049903869629
0,237704,688,9, Birmingham,2.8332700729370117,1.0,0.0001544356346130371,0.7361993193626404
0,365939,854,8, containing,4.336056709289551,1.0,0.0002345442771911621,0.6569736003875732
0,498500,997,1,Fact,6.236116409301758,1.0,0.0007464289665222168,0.43272095918655396
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00011843442916870117,0.7879558205604553
0,575127,1071,4, capital,3.151749610900879,1.0,0.0003592967987060547,0.5664817094802856
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00019186735153198242,0.6964288353919983
0,625520,1117,3, The,5.124606609344482,1.0,0.00026488304138183594,0.6318773627281189
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00019496679306030273,0.6923663020133972
0,743589,1218,4, capital,1.721142292022705,1.0,0.00015628337860107422,0.7330928444862366
0,755834,1228,3, The,1.777170181274414,1.0,0.00012427568435668945,0.7802026271820068
0,833985,1290,8, containing,9.914241790771484,1.0,0.0005821883678436279,0.47199904918670654
0,1050524,1448,10, is,4.079785346984863,1.0,0.0002180337905883789,0.67030268907547
0,1131759,1503,4, capital,1.06581449508667,1.0,0.00011539459228515625,0.7923985719680786
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00014913082122802734,0.7427223324775696
0,1180415,1535,3, The,3.932457447052002,1.0,0.00016993284225463867,0.7192253470420837
0,1242675,1575,7, state,6.373180389404297,1.0,0.0004348158836364746,0.5302596092224121
0,1439055,1695,3, The,3.5861077308654785,1.0,0.0002357959747314453,0.6550937294960022
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.0003304481506347656,0.5860209465026855
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.00031834840774536133,0.5986502766609192
0,1708475,1847,4, capital,5.480682373046875,1.0,0.00032532215118408203,0.5909404158592224
0,1708475,1847,8, containing,4.096615791320801,1.0,0.0001971721649169922,0.6896197199821472
0,1708475,1847,9, Birmingham,5.562908172607422,1.0,0.0002791285514831543,0.6229149103164673
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0006424784660339355,0.459763765335083
0,1925702,1961,4, capital,13.853837966918945,1.0,0.0013843178749084473,0.3580818176269531
