layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03806731104850769,0.08087010681629181
-1,1,18143,1,Fact,,1.0,0.03332730382680893,0.11419741064310074
-1,2,235292,2,:,,1.0,0.01735168695449829,0.235275998711586
-1,3,714,3, The,,1.0,0.027368798851966858,0.17488791048526764
-1,4,6037,4, capital,,1.0,0.04280279576778412,0.04280279576778412
-1,5,576,5, of,,1.0,0.00904393196105957,0.27233144640922546
-1,6,573,6, the,,1.0,0.006772786378860474,0.27910423278808594
-1,7,2329,7, state,,1.0,0.018725022673606873,0.2179243117570877
-1,8,10751,8, containing,,1.0,0.024311378598213196,0.19919928908348083
-1,9,123816,9, Anchorage,,1.0,0.03332170099020004,0.14751911163330078
-1,10,603,10, is,,1.0,0.014041215181350708,0.2493172138929367
0,-1,0,1,Fact,,1.0,0.0016043484210968018,0.3625287115573883
0,-1,0,2,:,,1.0,0.0007754266262054443,0.4519484341144562
0,-1,0,3, The,,1.0,0.0004724264144897461,0.5255040526390076
0,-1,0,4, capital,,1.0,0.0012864768505096436,0.3910430371761322
0,-1,0,5, of,,1.0,0.00035560131072998047,0.5844475626945496
0,-1,0,7, state,,1.0,0.0005972683429718018,0.49282175302505493
0,-1,0,8, containing,,1.0,0.0008647143840789795,0.4389049708843231
0,-1,0,9, Anchorage,,1.0,0.0008057653903961182,0.44803255796432495
0,-1,0,10, is,,1.0,0.00024574995040893555,0.6614718437194824
0,1274,49,7, state,4.469497203826904,1.0,0.0002390146255493164,0.6660708785057068
0,1430,52,5, of,2.026129722595215,1.0,0.00012797117233276367,0.7826717495918274
0,2210,65,8, containing,4.890505790710449,1.0,0.0002543330192565918,0.6547292470932007
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002442002296447754,0.6624511480331421
0,4752,96,3, The,4.516541481018066,1.0,0.00018829107284545898,0.7145217657089233
0,31374,249,8, containing,3.72662353515625,1.0,0.0001817941665649414,0.7209962606430054
0,36314,268,2,:,2.5549702644348145,1.0,0.0002823472023010254,0.6357203722000122
0,38225,275,6, the,4.708583831787109,1.0,0.00012284517288208008,0.7922056317329407
0,46055,302,4, capital,3.32346248626709,1.0,0.0002830028533935547,0.6354380249977112
0,46970,305,4, capital,2.3759379386901855,1.0,0.00022238492965698242,0.6815007925033569
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00012493133544921875,0.7889906167984009
0,63545,355,4, capital,2.010589361190796,1.0,0.00012809038162231445,0.7825437784194946
0,76244,389,7, state,4.427918910980225,1.0,0.0001722574234008789,0.730003833770752
0,78209,394,4, capital,6.6453094482421875,1.0,0.0005771517753601074,0.49632707238197327
0,81809,403,8, containing,5.660445690155029,1.0,0.0003253817558288574,0.6070483326911926
0,90099,423,4, capital,2.311923027038574,1.0,0.00020074844360351562,0.7009472250938416
0,96140,437,1,Fact,2.300577402114868,1.0,0.00020772218704223633,0.6952406167984009
