layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03901175782084465,0.08260777592658997
-1,1,18143,1,Fact,,1.0,0.03448640555143356,0.11709418147802353
-1,2,235292,2,:,,1.0,0.01764027774333954,0.22985230386257172
-1,3,714,3, The,,1.0,0.027495257556438446,0.14458943903446198
-1,4,6037,4, capital,,1.0,0.043596018105745316,0.043596018105745316
-1,5,576,5, of,,1.0,0.009290903806686401,0.25476375222206116
-1,6,573,6, the,,1.0,0.007271111011505127,0.27016904950141907
-1,7,2329,7, state,,1.0,0.020401865243911743,0.21221202611923218
-1,8,10751,8, containing,,1.0,0.022989824414253235,0.19181016087532043
-1,9,49024,9, Oakland,,1.0,0.024230897426605225,0.1688203364610672
-1,10,603,10, is,,1.0,0.01562054455280304,0.24547284841537476
0,-1,0,1,Fact,,1.0,0.0018174052238464355,0.34983810782432556
0,-1,0,2,:,,1.0,0.0007982552051544189,0.4427839517593384
0,-1,0,3, The,,1.0,0.0005325078964233398,0.505776584148407
0,-1,0,4, capital,,1.0,0.001331716775894165,0.37567463517189026
0,-1,0,5, of,,1.0,0.00029206275939941406,0.6260185837745667
0,-1,0,7, state,,1.0,0.000502467155456543,0.5135908722877502
0,-1,0,8, containing,,1.0,0.0009578466415405273,0.4114640951156616
0,-1,0,9, Oakland,,1.0,0.0009472370147705078,0.4152683913707733
0,-1,0,10, is,,1.0,0.0002716183662414551,0.6383658647537231
0,5,2,9, Oakland,3.046471118927002,1.0,0.00013834238052368164,0.7661042809486389
0,1274,49,7, state,4.469497203826904,1.0,0.0002499818801879883,0.6555517911911011
0,1430,52,5, of,2.026129722595215,1.0,0.0001283884048461914,0.7804977893829346
0,2210,65,8, containing,4.890505790710449,1.0,0.0002563595771789551,0.6499941349029541
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002429485321044922,0.6607211828231812
0,4752,96,3, The,4.516541481018066,1.0,0.00019299983978271484,0.7040839195251465
0,8255,127,9, Oakland,4.004781246185303,1.0,0.0001901388168334961,0.7077202200889587
0,31374,249,8, containing,3.72662353515625,1.0,0.00019741058349609375,0.7003690004348755
0,36314,268,2,:,2.5549702644348145,1.0,0.0002796649932861328,0.6325875520706177
0,46055,302,4, capital,3.32346248626709,1.0,0.000364840030670166,0.5827921032905579
0,46970,305,4, capital,2.3759379386901855,1.0,0.00024306774139404297,0.6604782342910767
0,63545,355,1,Fact,1.8563108444213867,1.0,0.0001341104507446289,0.772223949432373
0,63545,355,4, capital,2.010589361190796,1.0,0.00013136863708496094,0.7768625020980835
0,76244,389,7, state,4.427918910980225,1.0,0.00018894672393798828,0.7088578939437866
0,78209,394,4, capital,6.6453094482421875,1.0,0.0005937814712524414,0.4913027882575989
0,81809,403,8, containing,5.660445690155029,1.0,0.00030034780502319336,0.6191932559013367
0,90099,423,4, capital,2.311923027038574,1.0,0.00019812583923339844,0.6991820335388184
0,96140,437,1,Fact,2.300577402114868,1.0,0.00021535158157348633,0.6812328696250916
0,114959,478,1,Fact,3.156907796859741,1.0,0.00026983022689819336,0.6407997608184814
0,118340,485,3, The,3.5978288650512695,1.0,0.00026023387908935547,0.6474118232727051
0,176120,592,8, containing,8.270624160766602,1.0,0.00035697221755981445,0.5867555141448975
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00011819601058959961,0.7947423458099365
0,365939,854,8, containing,4.336056709289551,1.0,0.0002162456512451172,0.679937481880188
0,498500,997,1,Fact,6.236116409301758,1.0,0.0006825625896453857,0.4665572941303253
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00011938810348510742,0.792845606803894
0,575127,1071,4, capital,3.151749610900879,1.0,0.0002948641777038574,0.6242563128471375
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00018841028213500977,0.709612250328064
0,625520,1117,3, The,5.124606609344482,1.0,0.00026679039001464844,0.6426779627799988
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00019490718841552734,0.7029213309288025
0,743589,1218,4, capital,1.721142292022705,1.0,0.00014901161193847656,0.7521753311157227
0,755834,1228,3, The,1.777170181274414,1.0,0.00012934207916259766,0.7795955538749695
0,833985,1290,8, containing,9.914241790771484,1.0,0.0006310939788818359,0.48039767146110535
0,917334,1353,9, Oakland,2.6204018592834473,1.0,0.00011724233627319336,0.7969760894775391
0,1050524,1448,10, is,3.791193962097168,1.0,0.00015497207641601562,0.7436777949333191
0,1131759,1503,4, capital,1.06581449508667,1.0,0.0001156926155090332,0.7990725040435791
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.0001347064971923828,0.7707467675209045
0,1180415,1535,3, The,3.932457447052002,1.0,0.00019150972366333008,0.7058125734329224
0,1242675,1575,7, state,6.373180389404297,1.0,0.00037741661071777344,0.5749894380569458
0,1439055,1695,3, The,3.5861077308654785,1.0,0.0002193450927734375,0.6773265600204468
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.0003045201301574707,0.6161718368530273
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.00028127431869506836,0.6320279836654663
0,1708475,1847,4, capital,5.480682373046875,1.0,0.0003413558006286621,0.5944535136222839
0,1708475,1847,8, containing,4.096615791320801,1.0,0.0001938939094543457,0.7033100128173828
0,1708475,1847,9, Oakland,6.615351676940918,1.0,0.0003237724304199219,0.6021066904067993
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0005595684051513672,0.49816811084747314
0,1925702,1961,4, capital,13.853837966918945,1.0,0.0012758076190948486,0.37952762842178345
0,1935527,1966,8, containing,3.841714382171631,1.0,0.00015306472778320312,0.7458341121673584
0,1998999,1998,10, is,7.221055030822754,1.0,0.00036662817001342773,0.5813284516334534
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.0001246333122253418,0.7849262952804565
0,2239785,2115,1,Fact,5.4611101150512695,1.0,0.00035381317138671875,0.5892401337623596
0,2239785,2115,4, capital,10.859954833984375,1.0,0.0006358027458190918,0.4797665774822235
0,2239785,2115,7, state,4.313248157501221,1.0,0.00016021728515625,0.7381612658500671
0,2239785,2115,8, containing,2.582052230834961,1.0,0.00012421607971191406,0.7855483889579773
0,2239785,2115,9, Oakland,5.025126934051514,1.0,0.00023883581161499023,0.663124680519104
0,2399144,2189,1,Fact,3.522055149078369,1.0,0.00016182661056518555,0.7370343804359436
0,2399144,2189,4, capital,5.466213226318359,1.0,0.00020182132720947266,0.6951903700828552
0,2399144,2189,7, state,4.9510178565979,1.0,0.00012105703353881836,0.7904424667358398
0,2432114,2204,4, capital,5.324213981628418,1.0,0.0005223751068115234,0.5094785690307617
0,2536877,2251,4, capital,2.399319648742676,1.0,0.00027066469192504883,0.6391791701316833
0,2710955,2327,4, capital,3.4263253211975098,1.0,0.0002785325050354004,0.6328660845756531
0,2900435,2407,1,Fact,2.128221035003662,1.0,0.00017058849334716797,0.7285846471786499
0,2919735,2415,4, capital,2.4649415016174316,1.0,0.0001850724220275879,0.7137138247489929
0,3017195,2455,1,Fact,1.5897736549377441,1.0,0.00013196468353271484,0.775414228439331
0,3151304,2509,8, containing,4.2427520751953125,1.0,0.00023287534713745117,0.6678380370140076
0,3347577,2586,1,Fact,1.614184021949768,1.0,0.00012665987014770508,0.7824117541313171
0,3347577,2586,9, Oakland,3.0857181549072266,1.0,0.0001265406608581543,0.782664954662323
0,3425652,2616,1,Fact,2.3043525218963623,1.0,0.0002167224884033203,0.679288387298584
0,3507275,2647,1,Fact,1.5792505741119385,1.0,0.0002135634422302246,0.6835923194885254
0,3714174,2724,1,Fact,3.2072646617889404,1.0,0.00023758411407470703,0.6638386845588684
0,4039902,2841,10, is,4.701726913452148,1.0,0.00027674436569213867,0.633975088596344
0,4059824,2848,5, of,35.20903778076172,1.0,0.0018179714679718018,0.3480207026004791
0,4065525,2850,4, capital,6.157759189605713,1.0,0.000438690185546875,0.5388403534889221
0,4088369,2858,2,:,2.7381038665771484,1.0,0.00032722949981689453,0.6001531481742859
