layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03954840451478958,0.08404418081045151
-1,1,18143,1,Fact,,1.0,0.034896403551101685,0.11894058436155319
-1,2,235292,2,:,,1.0,0.017858251929283142,0.2351294457912445
-1,3,714,3, The,,1.0,0.026626303791999817,0.17312194406986237
-1,4,6037,4, capital,,1.0,0.044495776295661926,0.044495776295661926
-1,5,576,5, of,,1.0,0.009762421250343323,0.25963860750198364
-1,6,573,6, the,,1.0,0.007091432809829712,0.27428218722343445
-1,7,2329,7, state,,1.0,0.02039039134979248,0.21727119386196136
-1,8,10751,8, containing,,1.0,0.02375885844230652,0.19688080251216888
-1,9,154157,9, Bridgeport,,1.0,0.027555055916309357,0.14649564027786255
-1,10,603,10, is,,1.0,0.014746740460395813,0.24987618625164032
0,-1,0,1,Fact,,1.0,0.0017311573028564453,0.34497490525245667
0,-1,0,2,:,,1.0,0.0007376968860626221,0.4520806074142456
0,-1,0,3, The,,1.0,0.00048214197158813477,0.5243587493896484
0,-1,0,4, capital,,1.0,0.0012613534927368164,0.3796854317188263
0,-1,0,5, of,,1.0,0.0002904534339904785,0.6245373487472534
0,-1,0,7, state,,1.0,0.0004724264144897461,0.5272088050842285
0,-1,0,8, containing,,1.0,0.0011789500713348389,0.3881101906299591
0,-1,0,9, Bridgeport,,1.0,0.0006992220878601074,0.4578329622745514
0,-1,0,10, is,,1.0,0.0003177523612976074,0.6041800379753113
0,1274,49,7, state,4.469497203826904,1.0,0.00026047229766845703,0.6442204117774963
0,1430,52,5, of,2.026129722595215,1.0,0.00015676021575927734,0.740944504737854
0,2210,65,8, containing,4.890505790710449,1.0,0.00023537874221801758,0.665577232837677
0,3002,76,8, containing,3.8544089794158936,1.0,0.00023049116134643555,0.6695351600646973
0,4752,96,3, The,4.516541481018066,1.0,0.00018870830535888672,0.7091554403305054
0,8255,127,9, Bridgeport,2.7639060020446777,1.0,0.00014024972915649414,0.7621090412139893
0,31374,249,8, containing,3.72662353515625,1.0,0.0002194046974182129,0.6803227066993713
0,36314,268,2,:,2.5549702644348145,1.0,0.0002589225769042969,0.6457785367965698
0,46055,302,4, capital,3.32346248626709,1.0,0.00029349327087402344,0.621618390083313
0,46970,305,4, capital,2.3759379386901855,1.0,0.00022619962692260742,0.6731905341148376
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00014597177505493164,0.7536773085594177
0,63545,355,4, capital,2.010589361190796,1.0,0.00014144182205200195,0.7602776288986206
0,76244,389,7, state,4.427918910980225,1.0,0.00022429227828979492,0.6761161684989929
0,78209,394,4, capital,6.6453094482421875,1.0,0.0005865991115570068,0.483538955450058
0,81809,403,8, containing,5.660445690155029,1.0,0.00030428171157836914,0.6144413948059082
0,90099,423,4, capital,2.311923027038574,1.0,0.00021576881408691406,0.6831550598144531
0,96140,437,1,Fact,2.300577402114868,1.0,0.00021922588348388672,0.6807613372802734
0,114959,478,1,Fact,3.156907796859741,1.0,0.00026148557662963867,0.6431769132614136
0,118340,485,3, The,3.5978288650512695,1.0,0.0002168416976928711,0.6829392910003662
0,176120,592,8, containing,8.270624160766602,1.0,0.00038319826126098633,0.5653501152992249
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00011587142944335938,0.7984101176261902
0,321200,800,9, Bridgeport,8.306437492370605,1.0,0.00034314393997192383,0.5850695967674255
0,365939,854,8, containing,4.336056709289551,1.0,0.000225067138671875,0.6747682094573975
0,498500,997,1,Fact,6.236116409301758,1.0,0.0008097290992736816,0.4367717206478119
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00012916326522827148,0.7786573767662048
0,575127,1071,4, capital,3.151749610900879,1.0,0.00032126903533935547,0.6016232371330261
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00018227100372314453,0.7148991227149963
0,625520,1117,3, The,5.124606609344482,1.0,0.0002981424331665039,0.6183620691299438
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00018161535263061523,0.7165362238883972
