layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03712131828069687,0.08113584667444229
-1,1,18143,1,Fact,,1.0,0.033603452146053314,0.1147392988204956
-1,2,235292,2,:,,1.0,0.016592100262641907,0.22860538959503174
-1,3,714,3, The,,1.0,0.027064159512519836,0.17026033997535706
-1,4,6037,4, capital,,1.0,0.04401452839374542,0.04401452839374542
-1,5,576,5, of,,1.0,0.009539276361465454,0.2509498596191406
-1,6,573,6, the,,1.0,0.007222414016723633,0.2757200300693512
-1,7,2329,7, state,,1.0,0.018348529934883118,0.21201328933238983
-1,8,10751,8, containing,,1.0,0.023404419422149658,0.1936647593975067
-1,9,70310,9, Savannah,,1.0,0.028456881642341614,0.14319618046283722
-1,10,603,10, is,,1.0,0.012805193662643433,0.24141058325767517
0,-1,0,1,Fact,,1.0,0.001643151044845581,0.35222354531288147
0,-1,0,2,:,,1.0,0.00070151686668396,0.4595082402229309
0,-1,0,3, The,,1.0,0.00046259164810180664,0.5304694771766663
0,-1,0,4, capital,,1.0,0.0014962553977966309,0.3584641218185425
0,-1,0,5, of,,1.0,0.00034099817276000977,0.5907129645347595
0,-1,0,7, state,,1.0,0.0004995465278625488,0.5146657824516296
0,-1,0,8, containing,,1.0,0.0010787546634674072,0.39614900946617126
0,-1,0,9, Savannah,,1.0,0.000753939151763916,0.4450600743293762
0,-1,0,10, is,,1.0,0.0002491474151611328,0.6477563977241516
0,1274,49,7, state,4.469497203826904,1.0,0.00029659271240234375,0.6143923997879028
0,1430,52,5, of,2.026129722595215,1.0,0.00013077259063720703,0.7705162167549133
0,2210,65,8, containing,4.890505790710449,1.0,0.0002670884132385254,0.634666383266449
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002352595329284668,0.6593694090843201
0,3080,77,9, Savannah,2.738659381866455,1.0,0.00014191865921020508,0.7570292353630066
0,4752,96,3, The,4.516541481018066,1.0,0.0001990199089050293,0.6922251582145691
0,8255,127,9, Savannah,2.2577385902404785,1.0,0.00014084577560424805,0.7580182552337646
0,31374,249,8, containing,3.72662353515625,1.0,0.00020509958267211914,0.6861486434936523
0,36314,268,2,:,2.5549702644348145,1.0,0.00029468536376953125,0.6152779459953308
0,46055,302,4, capital,3.32346248626709,1.0,0.0003578662872314453,0.5802314877510071
0,46970,305,4, capital,2.3759379386901855,1.0,0.00024956464767456055,0.6472577452659607
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00014197826385498047,0.7567453980445862
0,63545,355,4, capital,2.010589361190796,1.0,0.00015485286712646484,0.7416255474090576
0,76244,389,7, state,4.427918910980225,1.0,0.00018596649169921875,0.7060270309448242
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006639659404754639,0.46844682097435
0,81809,403,8, containing,5.660445690155029,1.0,0.00030541419982910156,0.610765278339386
0,90099,423,4, capital,2.311923027038574,1.0,0.0001913905143737793,0.6988620162010193
0,96140,437,1,Fact,2.300577402114868,1.0,0.00021892786026000977,0.6740920543670654
0,114959,478,1,Fact,3.156907796859741,1.0,0.00024688243865966797,0.6489941477775574
0,118340,485,3, The,3.5978288650512695,1.0,0.00024431943893432617,0.651454508304596
0,176120,592,8, containing,8.270624160766602,1.0,0.00041621923446655273,0.5471837520599365
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00011396408081054688,0.7960900068283081
0,306935,782,9, Savannah,2.188447952270508,1.0,0.00014221668243408203,0.7566034197807312
0,321200,800,9, Savannah,4.527958869934082,1.0,0.0002506375312805176,0.6467582583427429
0,365939,854,8, containing,4.336056709289551,1.0,0.00020897388458251953,0.682629406452179
0,498500,997,1,Fact,6.236116409301758,1.0,0.0007155537605285645,0.45313456654548645
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00011527538299560547,0.7941420078277588
0,575127,1071,4, capital,3.151749610900879,1.0,0.0003203749656677246,0.6019693613052368
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00018531084060668945,0.7069554328918457
0,625520,1117,3, The,5.124606609344482,1.0,0.00029146671295166016,0.617914080619812
0,649229,1138,4, capital,1.8897980451583862,1.0,0.0001989603042602539,0.6924241185188293
0,649229,1138,9, Savannah,1.9207199811935425,1.0,0.00012606382369995117,0.7766881585121155
0,743589,1218,4, capital,1.721142292022705,1.0,0.00015288591384887695,0.744702160358429
0,755834,1228,3, The,1.777170181274414,1.0,0.00012058019638061523,0.7845916748046875
0,833985,1290,8, containing,9.914241790771484,1.0,0.0006131529808044434,0.48046737909317017
0,1050524,1448,10, is,4.034346580505371,1.0,0.00021636486053466797,0.6760485172271729
0,1131759,1503,4, capital,1.06581449508667,1.0,0.00013381242752075195,0.7670796513557434
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.0001360177993774414,0.7641122341156006
0,1180415,1535,3, The,3.932457447052002,1.0,0.00016558170318603516,0.7297487854957581
0,1242675,1575,7, state,6.373180389404297,1.0,0.00037229061126708984,0.571116030216217
0,1439055,1695,3, The,3.5861077308654785,1.0,0.0002129673957824707,0.6788366436958313
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.0003509521484375,0.5844846963882446
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.00029605627059936523,0.6146884560585022
0,1708475,1847,4, capital,5.480682373046875,1.0,0.0003666877746582031,0.5740689635276794
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00019693374633789062,0.6945991516113281
0,1708475,1847,9, Savannah,6.764147758483887,1.0,0.0003413558006286621,0.5900306701660156
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0005390644073486328,0.5027260780334473
0,1925702,1961,4, capital,13.853837966918945,1.0,0.001336902379989624,0.3656077980995178
0,1935527,1966,8, containing,3.841714382171631,1.0,0.00018042325973510742,0.7126271724700928
0,1998999,1998,10, is,7.3138275146484375,1.0,0.00036531686782836914,0.575166642665863
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.000125885009765625,0.7768140435218811
