layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.039382580667734146,0.08274752646684647
-1,1,18143,1,Fact,,1.0,0.03719387203454971,0.11994139850139618
-1,2,235292,2,:,,1.0,0.01820869743824005,0.22865904867649078
-1,3,714,3, The,,1.0,0.027667775750160217,0.1476091742515564
-1,4,6037,4, capital,,1.0,0.04336494579911232,0.04336494579911232
-1,5,576,5, of,,1.0,0.010234266519546509,0.2569727897644043
-1,6,573,6, the,,1.0,0.006829798221588135,0.26380258798599243
-1,7,2329,7, state,,1.0,0.01919277012348175,0.21045035123825073
-1,8,10751,8, containing,,1.0,0.02218504250049591,0.1697942167520523
-1,9,10147,9, Chicago,,1.0,0.021463364362716675,0.19125758111476898
-1,10,603,10, is,,1.0,0.018079474568367004,0.2467385232448578
0,-1,0,1,Fact,,1.0,0.001963973045349121,0.33340325951576233
0,-1,0,2,:,,1.0,0.0007875263690948486,0.4314813017845154
0,-1,0,3, The,,1.0,0.00043904781341552734,0.5369457602500916
0,-1,0,4, capital,,1.0,0.0014049112796783447,0.3572338819503784
0,-1,0,5, of,,1.0,0.00031119585037231445,0.601608157157898
0,-1,0,7, state,,1.0,0.0005800127983093262,0.4799869656562805
0,-1,0,8, containing,,1.0,0.0011641383171081543,0.37922945618629456
0,-1,0,9, Chicago,,1.0,0.00049591064453125,0.5093636512756348
0,-1,0,10, is,,1.0,0.00030028820037841797,0.6098349690437317
0,1274,49,7, state,4.469497203826904,1.0,0.00027316808700561523,0.6312451958656311
0,1430,52,5, of,2.026129722595215,1.0,0.00013327598571777344,0.7699239253997803
0,2210,65,8, containing,4.890505790710449,1.0,0.0002410411834716797,0.6572534441947937
0,3002,76,8, containing,3.8544089794158936,1.0,0.00022965669631958008,0.6701670289039612
0,4752,96,3, The,4.516541481018066,1.0,0.00019997358322143555,0.6958139538764954
0,8255,127,9, Chicago,2.3454055786132812,1.0,0.00015801191329956055,0.7378407716751099
0,13040,160,4, capital,1.2090411186218262,1.0,0.0001207590103149414,0.7867158651351929
0,21944,208,1,Fact,1.1732163429260254,1.0,0.00012308359146118164,0.7850096821784973
0,31374,249,8, containing,3.72662353515625,1.0,0.0002073049545288086,0.6882840394973755
0,36314,268,2,:,2.5549702644348145,1.0,0.00026869773864746094,0.6336828470230103
0,46055,302,4, capital,3.32346248626709,1.0,0.0002791881561279297,0.6268397569656372
0,46970,305,4, capital,2.3759379386901855,1.0,0.00023859739303588867,0.6603677868843079
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00014191865921020508,0.7581217885017395
0,63545,355,4, capital,2.010589361190796,1.0,0.00014138221740722656,0.7586883306503296
0,76244,389,7, state,4.427918910980225,1.0,0.0001722574234008789,0.7232034206390381
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006317198276519775,0.46852532029151917
0,81809,403,8, containing,5.660445690155029,1.0,0.00030303001403808594,0.6068212985992432
0,90099,423,4, capital,2.311923027038574,1.0,0.00021308660507202148,0.6845071911811829
0,96140,437,1,Fact,2.300577402114868,1.0,0.0002435445785522461,0.6548293828964233
0,114959,478,1,Fact,3.156907796859741,1.0,0.00028210878372192383,0.6234749555587769
0,118340,485,3, The,3.5978288650512695,1.0,0.00024259090423583984,0.6560446619987488
0,176120,592,8, containing,8.270624160766602,1.0,0.0003922581672668457,0.5569483637809753
0,234954,684,1,Fact,1.0105218887329102,1.0,0.0001252293586730957,0.7817835211753845
0,365939,854,8, containing,4.336056709289551,1.0,0.0002205371856689453,0.677363932132721
0,498500,997,1,Fact,6.236116409301758,1.0,0.0007281005382537842,0.4479370713233948
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00012350082397460938,0.7843934297561646
0,575127,1071,4, capital,3.151749610900879,1.0,0.00032907724380493164,0.5900828242301941
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00018906593322753906,0.7047648429870605
0,625520,1117,3, The,5.124606609344482,1.0,0.00028389692306518555,0.6212119460105896
0,649229,1138,4, capital,1.8897980451583862,1.0,0.0002033710479736328,0.6925912499427795
0,743589,1218,4, capital,1.721142292022705,1.0,0.00017821788787841797,0.7170652151107788
0,833985,1290,8, containing,9.914241790771484,1.0,0.000615239143371582,0.47286802530288696
