layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03358535096049309,0.07100574672222137
-1,1,18143,1,Fact,,1.0,0.03108397126197815,0.10208971798419952
-1,2,235292,2,:,,1.0,0.01568073034286499,0.22682707011699677
-1,3,714,3, The,,1.0,0.022910311818122864,0.15169650316238403
-1,4,6037,4, capital,,1.0,0.03742039576172829,0.03742039576172829
-1,5,576,5, of,,1.0,0.008221805095672607,0.2616678476333618
-1,6,573,6, the,,1.0,0.005840301513671875,0.2675081491470337
-1,7,2329,7, state,,1.0,0.015058547258377075,0.24188561737537384
-1,8,10751,8, containing,,1.0,0.021746456623077393,0.17344295978546143
-1,9,9778,9, Fort,,1.0,0.026696473360061646,0.12878619134426117
-1,10,27363,10, Wayne,,1.0,0.021070778369903564,0.194513738155365
-1,11,603,11, is,,1.0,0.016632601618766785,0.21114633977413177
0,-1,0,1,Fact,,1.0,0.0018109679222106934,0.3616151213645935
0,-1,0,2,:,,1.0,0.0007130801677703857,0.4510451555252075
0,-1,0,3, The,,1.0,0.0004283785820007324,0.5239938497543335
0,-1,0,4, capital,,1.0,0.0011079907417297363,0.39130857586860657
0,-1,0,5, of,,1.0,0.0002669095993041992,0.6197949051856995
0,-1,0,7, state,,1.0,0.000460207462310791,0.5106987357139587
0,-1,0,8, containing,,1.0,0.0010836422443389893,0.39457768201828003
0,-1,0,9, Fort,,1.0,0.00038909912109375,0.5476207733154297
0,-1,0,10, Wayne,,1.0,0.0023798346519470215,0.3342036306858063
0,-1,0,11, is,,1.0,0.0002932548522949219,0.6015989780426025
0,5,2,10, Wayne,1.5025371313095093,1.0,0.0001500844955444336,0.7414686679840088
0,1034,44,9, Fort,8.40994644165039,1.0,0.0004124641418457031,0.5348533391952515
0,1274,49,7, state,4.469497203826904,1.0,0.0002447366714477539,0.6389651894569397
0,2210,65,8, containing,4.890505790710449,1.0,0.0003063678741455078,0.5917273163795471
0,3002,76,8, containing,3.8544089794158936,1.0,0.00020712614059448242,0.6757439374923706
0,4752,96,3, The,4.516541481018066,1.0,0.00016987323760986328,0.7169517278671265
0,15224,173,10, Wayne,1.9630351066589355,1.0,0.00018864870071411133,0.6957334280014038
0,31374,249,8, containing,3.72662353515625,1.0,0.00019490718841552734,0.6894208192825317
0,36314,268,2,:,2.5549702644348145,1.0,0.00023001432418823242,0.6538385152816772
0,46055,302,4, capital,3.32346248626709,1.0,0.00023382902145385742,0.6475719809532166
0,46970,305,4, capital,2.3759379386901855,1.0,0.00019162893295288086,0.6925106048583984
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00012826919555664062,0.7733936905860901
0,63545,355,4, capital,2.010589361190796,1.0,0.00011968612670898438,0.7865248322486877
0,78209,394,4, capital,6.6453094482421875,1.0,0.0005559027194976807,0.48046693205833435
0,81809,403,8, containing,5.660445690155029,1.0,0.0003192424774169922,0.5839463472366333
0,90099,423,4, capital,2.311923027038574,1.0,0.00016629695892333984,0.722505509853363
0,96140,437,1,Fact,2.300577402114868,1.0,0.00021016597747802734,0.6736531853675842
0,114959,478,1,Fact,3.156907796859741,1.0,0.00023359060287475586,0.6480392217636108
0,176120,592,8, containing,8.270624160766602,1.0,0.0003132820129394531,0.5867815613746643
0,321200,800,10, Wayne,1.7811689376831055,1.0,0.00014132261276245117,0.7542632818222046
0,365939,854,8, containing,4.336056709289551,1.0,0.0001990795135498047,0.6842960119247437
0,498500,997,1,Fact,6.236116409301758,1.0,0.0006734728813171387,0.45789507031440735
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00012385845184326172,0.7799656987190247
0,575127,1071,4, capital,3.151749610900879,1.0,0.00024759769439697266,0.636993408203125
0,592415,1087,1,Fact,1.708437442779541,1.0,0.0001570582389831543,0.7336424589157104
0,625520,1117,3, The,5.124606609344482,1.0,0.00024127960205078125,0.6421228647232056
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00017696619033813477,0.7088238000869751
0,743589,1218,4, capital,1.721142292022705,1.0,0.0001442432403564453,0.7494089603424072
0,833985,1290,8, containing,9.914241790771484,1.0,0.0006137192249298096,0.46761608123779297
0,1050524,1448,11, is,2.8184075355529785,1.0,0.00011771917343139648,0.7888990044593811
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00012886524200439453,0.7717224359512329
0,1180415,1535,3, The,3.932457447052002,1.0,0.00014418363571166992,0.7495531439781189
0,1242675,1575,7, state,6.373180389404297,1.0,0.00034373998641967773,0.5676621198654175
0,1439055,1695,3, The,3.5861077308654785,1.0,0.00018870830535888672,0.6955447793006897
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.00026470422744750977,0.6221854090690613
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.0002575516700744629,0.6276595592498779
0,1708475,1847,4, capital,5.480682373046875,1.0,0.00031059980392456055,0.5880275368690491
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00019937753677368164,0.6840969324111938
0,1708475,1847,10, Wayne,4.401334762573242,1.0,0.00032323598861694336,0.5810549259185791
0,1800252,1896,9, Fort,3.5404415130615234,1.0,0.00014662742614746094,0.7460623383522034
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0005323588848114014,0.48750054836273193
