layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03492160513997078,0.07882101833820343
-1,1,18143,1,Fact,,1.0,0.034210167825222015,0.11303118616342545
-1,2,235292,2,:,,1.0,0.01728452742099762,0.22511637210845947
-1,3,714,3, The,,1.0,0.02619081735610962,0.16638103127479553
-1,4,6037,4, capital,,1.0,0.04389941319823265,0.04389941319823265
-1,5,576,5, of,,1.0,0.008790045976638794,0.2601269483566284
-1,6,573,6, the,,1.0,0.006199628114700317,0.2750534415245056
-1,7,2329,7, state,,1.0,0.019713878631591797,0.20783184468746185
-1,8,10751,8, containing,,1.0,0.021736934781074524,0.18811796605587006
-1,9,1622,9, New,,1.0,0.00872686505317688,0.2688538134098053
-1,10,29742,10, Orleans,,1.0,0.027159027755260468,0.1401902139186859
-1,11,603,11, is,,1.0,0.014053285121917725,0.2391696572303772
0,-1,0,1,Fact,,1.0,0.0019672811031341553,0.3498830795288086
0,-1,0,2,:,,1.0,0.0006579458713531494,0.47081834077835083
0,-1,0,3, The,,1.0,0.0004010796546936035,0.5521717071533203
0,-1,0,4, capital,,1.0,0.0013602077960968018,0.3861146569252014
0,-1,0,5, of,,1.0,0.0002897977828979492,0.6159314513206482
0,-1,0,7, state,,1.0,0.00048351287841796875,0.5237742066383362
0,-1,0,8, containing,,1.0,0.0009274482727050781,0.42491084337234497
0,-1,0,9, New,,1.0,0.00021892786026000977,0.673661470413208
0,-1,0,10, Orleans,,1.0,0.0008394420146942139,0.439858615398407
0,-1,0,11, is,,1.0,0.00022482872009277344,0.6692370772361755
0,1274,49,7, state,4.469497203826904,1.0,0.0002678036689758301,0.6340852379798889
0,1430,52,5, of,2.026129722595215,1.0,0.0001284480094909668,0.7753003239631653
0,2210,65,8, containing,4.890505790710449,1.0,0.00021332502365112305,0.6790634393692017
0,3002,76,8, containing,3.8544089794158936,1.0,0.00020360946655273438,0.6859461665153503
0,4752,96,3, The,4.516541481018066,1.0,0.00017887353897094727,0.7123336791992188
0,21944,208,1,Fact,1.1732163429260254,1.0,0.00011712312698364258,0.7915366888046265
0,26334,228,10, Orleans,5.596876621246338,1.0,0.00043147802352905273,0.5384693741798401
0,31374,249,8, containing,3.72662353515625,1.0,0.0001900196075439453,0.7014366984367371
0,36314,268,2,:,2.5549702644348145,1.0,0.0002728104591369629,0.6305755972862244
0,46055,302,4, capital,3.32346248626709,1.0,0.0002911686897277832,0.6141907572746277
0,46970,305,4, capital,2.3759379386901855,1.0,0.00023108720779418945,0.6642286777496338
0,63545,355,4, capital,2.010589361190796,1.0,0.00013178586959838867,0.7700923085212708
0,76244,389,7, state,4.427918910980225,1.0,0.00017821788787841797,0.7126903533935547
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006465911865234375,0.4727731943130493
0,81809,403,8, containing,5.660445690155029,1.0,0.0002637505531311035,0.6380701065063477
0,90099,423,4, capital,2.311923027038574,1.0,0.00020110607147216797,0.688985288143158
0,96140,437,1,Fact,2.300577402114868,1.0,0.0002429485321044922,0.6547539234161377
0,114959,478,1,Fact,3.156907796859741,1.0,0.0002860426902770996,0.6196718811988831
0,118340,485,3, The,3.5978288650512695,1.0,0.00022047758102416992,0.672344446182251
0,176120,592,8, containing,8.270624160766602,1.0,0.00039064884185791016,0.5557249784469604
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00012487173080444336,0.7811271548271179
0,321200,800,10, Orleans,3.413020133972168,1.0,0.0001627206802368164,0.7306709289550781
0,334152,816,10, Orleans,2.50250244140625,1.0,0.00011396408081054688,0.7985751628875732
0,365939,854,8, containing,4.336056709289551,1.0,0.00020498037338256836,0.6849253177642822
0,498500,997,1,Fact,6.236116409301758,1.0,0.0006930530071258545,0.4640788733959198
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00014334917068481445,0.7546550035476685
0,575127,1071,4, capital,3.151749610900879,1.0,0.00030815601348876953,0.6004145741462708
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00017976760864257812,0.7114375233650208
0,625520,1117,3, The,5.124606609344482,1.0,0.00025409460067749023,0.6453022956848145
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00017720460891723633,0.7148212790489197
0,743589,1218,4, capital,1.721142292022705,1.0,0.00014710426330566406,0.7500109672546387
0,755834,1228,3, The,1.777170181274414,1.0,0.00012165307998657227,0.7855644226074219
0,833985,1290,8, containing,9.914241790771484,1.0,0.0006004571914672852,0.48460519313812256
0,1050524,1448,11, is,4.147086143493652,1.0,0.00019359588623046875,0.6960716843605042
0,1131759,1503,4, capital,1.06581449508667,1.0,0.00011307001113891602,0.7999355792999268
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.0001348257064819336,0.7643641233444214
0,1180415,1535,3, The,3.932457447052002,1.0,0.0001722574234008789,0.7216440439224243
0,1242675,1575,7, state,6.373180389404297,1.0,0.0004763007164001465,0.5261682868003845
0,1439055,1695,3, The,3.5861077308654785,1.0,0.00022810697555541992,0.6665228605270386
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.00029969215393066406,0.6061896085739136
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.00030541419982910156,0.6025612950325012
0,1708475,1847,4, capital,5.480682373046875,1.0,0.0003743171691894531,0.5660471320152283
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00019532442092895508,0.6943255662918091
0,1708475,1847,10, Orleans,3.8701837062835693,1.0,0.00018662214279174805,0.7050140500068665
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0006393492221832275,0.4747005105018616
0,1925702,1961,4, capital,13.853837966918945,1.0,0.0014712512493133545,0.38051116466522217
0,1935527,1966,8, containing,3.841714382171631,1.0,0.00017344951629638672,0.7202604413032532
0,1935527,1966,10, Orleans,2.9033520221710205,1.0,0.00014841556549072266,0.7485315203666687
0,1955252,1976,10, Orleans,3.858107089996338,1.0,0.0002079010009765625,0.682861328125
0,1998999,1998,11, is,7.108356475830078,1.0,0.0003057122230529785,0.6022558808326721
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.00012379884719848633,0.7824951410293579
0,2239785,2115,1,Fact,5.4611101150512695,1.0,0.0003377199172973633,0.5845063924789429
0,2239785,2115,4, capital,10.859954833984375,1.0,0.0005283951759338379,0.5081441402435303
0,2239785,2115,7, state,4.313248157501221,1.0,0.00013816356658935547,0.7602736949920654
0,2239785,2115,9, New,6.457379341125488,1.0,0.0001392960548400879,0.7586097717285156
0,2239785,2115,10, Orleans,8.489105224609375,1.0,0.0004101395606994629,0.5485239028930664
0,2248259,2119,10, Orleans,2.6625850200653076,1.0,0.00011754035949707031,0.7910675406455994
0,2399144,2189,4, capital,5.466213226318359,1.0,0.0001914501190185547,0.699530303478241
0,2399144,2189,10, Orleans,4.077578067779541,1.0,0.0001188516616821289,0.7892950177192688
0,2432114,2204,4, capital,5.324213981628418,1.0,0.00041222572326660156,0.547702968120575
0,2536877,2251,4, capital,2.399319648742676,1.0,0.0002658963203430176,0.6359533071517944
0,2588949,2274,1,Fact,0.735985279083252,1.0,0.0001265406608581543,0.7784865498542786
0,2710955,2327,4, capital,3.4263253211975098,1.0,0.0003019571304321289,0.6043845415115356
0,2900435,2407,1,Fact,2.128221035003662,1.0,0.00016689300537109375,0.7265547513961792
0,2919735,2415,4, capital,2.4649415016174316,1.0,0.00019246339797973633,0.6974215507507324
0,3017195,2455,1,Fact,1.5897736549377441,1.0,0.00014841556549072266,0.7486799359321594
0,3066525,2475,10, Orleans,2.804063320159912,1.0,0.00012409687042236328,0.7822474837303162
0,3093827,2486,10, Orleans,8.142066955566406,1.0,0.0004974603652954102,0.5183855295181274
0,3151304,2509,8, containing,4.2427520751953125,1.0,0.00021219253540039062,0.6805515885353088
0,3163869,2514,11, is,2.5961008071899414,1.0,0.00015181303024291992,0.7443347573280334
0,3347577,2586,1,Fact,1.614184021949768,1.0,0.00013750791549682617,0.7605489492416382
0,3347577,2586,10, Orleans,2.4863500595092773,1.0,0.00011795759201049805,0.7904785871505737
0,3425652,2616,1,Fact,2.3043525218963623,1.0,0.00022172927856445312,0.6705758571624756
0,3507275,2647,1,Fact,1.5792505741119385,1.0,0.00017315149307250977,0.7206067442893982
0,3714174,2724,1,Fact,3.2072646617889404,1.0,0.000253140926361084,0.6470779180526733
