layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03949813172221184,0.08329491317272186
-1,1,18143,1,Fact,,1.0,0.03627796471118927,0.11957287788391113
-1,2,235292,2,:,,1.0,0.01856270432472229,0.23139049112796783
-1,3,714,3, The,,1.0,0.028511270880699158,0.1480841487646103
-1,4,6037,4, capital,,1.0,0.043796781450510025,0.043796781450510025
-1,5,576,5, of,,1.0,0.010586723685264587,0.26022201776504517
-1,6,573,6, the,,1.0,0.007345348596572876,0.26756736636161804
-1,7,2329,7, state,,1.0,0.021287932991981506,0.1932448446750641
-1,8,10751,8, containing,,1.0,0.02387276291847229,0.17195691168308258
-1,9,29954,9, Portland,,1.0,0.019582942128181458,0.21282778680324554
-1,10,603,10, is,,1.0,0.018244802951812744,0.24963529407978058
0,-1,0,1,Fact,,1.0,0.0017774403095245361,0.34404686093330383
0,-1,0,2,:,,1.0,0.0007297098636627197,0.4439767599105835
0,-1,0,3, The,,1.0,0.0004850029945373535,0.506554126739502
0,-1,0,4, capital,,1.0,0.0016259253025054932,0.35078638792037964
0,-1,0,5, of,,1.0,0.00032901763916015625,0.5919604897499084
0,-1,0,7, state,,1.0,0.0006350278854370117,0.4654189646244049
0,-1,0,8, containing,,1.0,0.0010743141174316406,0.388227641582489
0,-1,0,9, Portland,,1.0,0.0008320510387420654,0.42317646741867065
0,-1,0,10, is,,1.0,0.0003534555435180664,0.5742163062095642
0,1274,49,7, state,4.469497203826904,1.0,0.000334322452545166,0.5889716148376465
0,1430,52,5, of,2.026129722595215,1.0,0.00012475252151489258,0.7827484607696533
0,2210,65,8, containing,4.890505790710449,1.0,0.0002734065055847168,0.6311959624290466
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002390742301940918,0.6573358178138733
0,3080,77,9, Portland,2.237980365753174,1.0,0.00012868642807006836,0.7754119038581848
0,4752,96,3, The,4.516541481018066,1.0,0.00018787384033203125,0.7052391767501831
0,13040,160,4, capital,1.2090411186218262,1.0,0.00011456012725830078,0.7983852028846741
0,31374,249,8, containing,3.72662353515625,1.0,0.0002072453498840332,0.6837289929389954
0,36314,268,2,:,2.5549702644348145,1.0,0.000291287899017334,0.6187904477119446
0,38225,275,6, the,4.708583831787109,1.0,0.00012254714965820312,0.7864583730697632
0,46055,302,4, capital,3.32346248626709,1.0,0.00030922889709472656,0.6037416458129883
0,46970,305,4, capital,2.3759379386901855,1.0,0.00023680925369262695,0.6594744324684143
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00013762712478637695,0.7615942358970642
0,63545,355,4, capital,2.010589361190796,1.0,0.00012505054473876953,0.7817491888999939
0,76244,389,7, state,4.427918910980225,1.0,0.00020635128021240234,0.6855900883674622
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006682276725769043,0.4543911814689636
0,81809,403,8, containing,5.660445690155029,1.0,0.0002943873405456543,0.6161537766456604
0,90099,423,4, capital,2.311923027038574,1.0,0.0001951456069946289,0.696639895439148
0,96140,437,1,Fact,2.300577402114868,1.0,0.00022089481353759766,0.6700374484062195
0,114959,478,1,Fact,3.156907796859741,1.0,0.00025719404220581055,0.644460916519165
0,118340,485,3, The,3.5978288650512695,1.0,0.00022917985916137695,0.6659907698631287
0,176120,592,8, containing,8.270624160766602,1.0,0.00035506486892700195,0.5731546878814697
0,200027,631,10, is,1.773284912109375,1.0,0.00011783838272094727,0.7923530340194702
0,237704,688,9, Portland,2.183361530303955,1.0,0.00011456012725830078,0.7984997630119324
0,365939,854,8, containing,4.336056709289551,1.0,0.00021409988403320312,0.6767694354057312
0,498500,997,1,Fact,6.236116409301758,1.0,0.0007525384426116943,0.4380742907524109
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00012409687042236328,0.7841159701347351
0,575127,1071,4, capital,3.151749610900879,1.0,0.00030481815338134766,0.6077304482460022
0,592415,1087,1,Fact,1.708437442779541,1.0,0.0001938939094543457,0.6976115703582764
0,625520,1117,3, The,5.124606609344482,1.0,0.0003122091293334961,0.6015715003013611
0,630002,1121,9, Portland,2.2437987327575684,1.0,0.00012427568435668945,0.7836193442344666
0,649229,1138,4, capital,1.8897980451583862,1.0,0.0001927018165588379,0.6989644169807434
0,743589,1218,4, capital,1.721142292022705,1.0,0.00015145540237426758,0.7447426319122314
0,755834,1228,3, The,1.777170181274414,1.0,0.0001291036605834961,0.7743814587593079
