layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03958572447299957,0.0837065652012825
-1,1,18143,1,Fact,,1.0,0.037048421800136566,0.12075498700141907
-1,2,235292,2,:,,1.0,0.018417268991470337,0.25811126828193665
-1,3,714,3, The,,1.0,0.02788597345352173,0.1770179271697998
-1,4,6037,4, capital,,1.0,0.04412084072828293,0.04412084072828293
-1,5,576,5, of,,1.0,0.009790986776351929,0.2679022550582886
-1,6,573,6, the,,1.0,0.007238537073135376,0.28279754519462585
-1,7,2329,7, state,,1.0,0.018784403800964355,0.2396939992904663
-1,8,10751,8, containing,,1.0,0.024436071515083313,0.20145399868488312
-1,9,19627,9, Manchester,,1.0,0.02837696671485901,0.14913195371627808
-1,10,603,10, is,,1.0,0.019455596804618835,0.22090959548950195
0,-1,0,1,Fact,,1.0,0.0017345845699310303,0.3449789881706238
0,-1,0,2,:,,1.0,0.0007316768169403076,0.4505774974822998
0,-1,0,3, The,,1.0,0.000448763370513916,0.5320874452590942
0,-1,0,4, capital,,1.0,0.0015296339988708496,0.35324791073799133
0,-1,0,5, of,,1.0,0.00035071372985839844,0.5750390291213989
0,-1,0,7, state,,1.0,0.0004897713661193848,0.5138120055198669
0,-1,0,8, containing,,1.0,0.001169741153717041,0.3851012885570526
0,-1,0,9, Manchester,,1.0,0.0007805824279785156,0.4407674968242645
0,-1,0,10, is,,1.0,0.0003056526184082031,0.6077346205711365
0,1274,49,7, state,4.469497203826904,1.0,0.00031507015228271484,0.5987477898597717
0,1430,52,5, of,2.026129722595215,1.0,0.00012952089309692383,0.7738327980041504
0,2210,65,8, containing,4.890505790710449,1.0,0.00029224157333374023,0.6193620562553406
0,3002,76,8, containing,3.8544089794158936,1.0,0.00024205446243286133,0.6558094024658203
0,4752,96,3, The,4.516541481018066,1.0,0.00019758939743041992,0.693610668182373
0,31374,249,8, containing,3.72662353515625,1.0,0.00021600723266601562,0.6781426668167114
0,36314,268,2,:,2.5549702644348145,1.0,0.00027120113372802734,0.6364489793777466
0,38225,275,6, the,4.708583831787109,1.0,0.00012981891632080078,0.7731844186782837
0,46055,302,4, capital,3.32346248626709,1.0,0.0002861618995666504,0.6239905953407288
0,46970,305,4, capital,2.3759379386901855,1.0,0.00024962425231933594,0.6501569151878357
0,63545,355,1,Fact,1.8563108444213867,1.0,0.0001417994499206543,0.7593587040901184
0,63545,355,4, capital,2.010589361190796,1.0,0.00014388561248779297,0.7565001845359802
0,63545,355,9, Manchester,2.267566680908203,1.0,0.00021404027938842773,0.6796472072601318
0,76244,389,7, state,4.427918910980225,1.0,0.0001823902130126953,0.7105196714401245
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006730556488037109,0.46391984820365906
0,81809,403,8, containing,5.660445690155029,1.0,0.00032508373260498047,0.5888195037841797
0,90099,423,4, capital,2.311923027038574,1.0,0.00020515918731689453,0.6865744590759277
0,96140,437,1,Fact,2.300577402114868,1.0,0.00022518634796142578,0.6693155169487
0,114959,478,1,Fact,3.156907796859741,1.0,0.00026530027389526367,0.6393927335739136
0,118340,485,3, The,3.5978288650512695,1.0,0.00022482872009277344,0.6695403456687927
0,176120,592,8, containing,8.270624160766602,1.0,0.0003673434257507324,0.5678548812866211
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00012797117233276367,0.7760226130485535
0,365939,854,8, containing,4.336056709289551,1.0,0.00022351741790771484,0.6708851456642151
0,498500,997,1,Fact,6.236116409301758,1.0,0.000752866268157959,0.4468701183795929
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00012761354446411133,0.7764056324958801
0,575127,1071,4, capital,3.151749610900879,1.0,0.00030231475830078125,0.6101657152175903
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00017946958541870117,0.7141357660293579
0,625520,1117,3, The,5.124606609344482,1.0,0.0002771615982055664,0.6301683187484741
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00019735097885131836,0.69400554895401
0,743589,1218,4, capital,1.721142292022705,1.0,0.00016111135482788086,0.7364118695259094
0,755834,1228,3, The,1.777170181274414,1.0,0.00012296438217163086,0.7826741337776184
0,833985,1290,8, containing,9.914241790771484,1.0,0.0006074607372283936,0.4791909158229828
0,1050524,1448,10, is,3.535830020904541,1.0,0.00016546249389648438,0.7316732406616211
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00014519691467285156,0.7544762492179871
0,1180415,1535,3, The,3.932457447052002,1.0,0.00018268823623657227,0.71015465259552
0,1242675,1575,7, state,6.373180389404297,1.0,0.00043386220932006836,0.536498486995697
0,1439055,1695,3, The,3.5861077308654785,1.0,0.00020807981491088867,0.6851300001144409
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.00032085180282592773,0.5933375358581543
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.00031256675720214844,0.6000030636787415
0,1708475,1847,4, capital,5.480682373046875,1.0,0.0003268718719482422,0.5881690979003906
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00020182132720947266,0.6894202828407288
0,1708475,1847,9, Manchester,4.841139793395996,1.0,0.000247955322265625,0.6516488194465637
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0005964338779449463,0.4828035235404968
0,1925702,1961,4, capital,13.853837966918945,1.0,0.001271575689315796,0.37786656618118286
0,1935527,1966,8, containing,3.841714382171631,1.0,0.0001761317253112793,0.7173430919647217
0,1998999,1998,10, is,7.107089996337891,1.0,0.0003972053527832031,0.5518143773078918
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.00014483928680419922,0.7552009224891663
0,2239785,2115,1,Fact,5.4611101150512695,1.0,0.00040137767791748047,0.5490213632583618
0,2239785,2115,4, capital,10.859954833984375,1.0,0.0006343424320220947,0.47241082787513733
0,2239785,2115,7, state,4.313248157501221,1.0,0.0001652240753173828,0.7321690320968628
0,2239785,2115,8, containing,2.582052230834961,1.0,0.00012928247451782227,0.7743504643440247
0,2239785,2115,9, Manchester,4.901252746582031,1.0,0.00023245811462402344,0.6629058718681335
0,2399144,2189,1,Fact,3.522055149078369,1.0,0.0001658797264099121,0.7313418984413147
0,2399144,2189,4, capital,5.466213226318359,1.0,0.00018143653869628906,0.711247444152832
0,2399144,2189,7, state,4.9510178565979,1.0,0.00011438131332397461,0.7982847094535828
0,2399144,2189,9, Manchester,4.51486349105835,1.0,0.00014507770538330078,0.7546213269233704
0,2432114,2204,4, capital,5.324213981628418,1.0,0.00045043230056762695,0.5307399034500122
0,2536877,2251,4, capital,2.399319648742676,1.0,0.0002720355987548828,0.6348196268081665
0,2710955,2327,4, capital,3.4263253211975098,1.0,0.000268399715423584,0.6377962231636047
0,2900435,2407,1,Fact,2.128221035003662,1.0,0.00017905235290527344,0.7152113318443298
0,2919735,2415,4, capital,2.4649415016174316,1.0,0.0001958012580871582,0.6957736015319824
0,3151304,2509,8, containing,4.2427520751953125,1.0,0.0002614259719848633,0.6409738659858704
0,3347577,2586,1,Fact,1.614184021949768,1.0,0.00013589859008789062,0.7671062350273132
0,3347577,2586,9, Manchester,2.753264904022217,1.0,0.00011408329010009766,0.7990841865539551
0,3368309,2594,10, is,2.180964946746826,1.0,0.00011938810348510742,0.7890748381614685
0,3425652,2616,1,Fact,2.3043525218963623,1.0,0.00025075674057006836,0.64865642786026
0,3507275,2647,1,Fact,1.5792505741119385,1.0,0.00017768144607543945,0.7164592742919922
0,3714174,2724,1,Fact,3.2072646617889404,1.0,0.00025719404220581055,0.6440894603729248
0,4039902,2841,10, is,5.051802635192871,1.0,0.00037169456481933594,0.5652709007263184
0,4059824,2848,5, of,35.20903778076172,1.0,0.0018325746059417725,0.3361607789993286
0,4065525,2850,4, capital,6.157759189605713,1.0,0.00044351816177368164,0.5338686108589172
0,4088369,2858,2,:,2.7381038665771484,1.0,0.0003616213798522949,0.5711314082145691
0,4244240,2912,3, The,5.304627418518066,1.0,0.00029850006103515625,0.612561821937561
0,4302710,2932,8, containing,5.7334794998168945,1.0,0.0003444552421569824,0.5774667859077454
0,4513509,3003,7, state,4.0176849365234375,1.0,0.0002200603485107422,0.6742140650749207
