layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.041698288172483444,0.08529090881347656
-1,1,18143,1,Fact,,1.0,0.034149348735809326,0.11944025754928589
-1,2,235292,2,:,,1.0,0.017681345343589783,0.23058708012104034
-1,3,714,3, The,,1.0,0.026938781142234802,0.1463790386915207
-1,4,6037,4, capital,,1.0,0.04359262064099312,0.04359262064099312
-1,5,576,5, of,,1.0,0.0097493976354599,0.25503695011138916
-1,6,573,6, the,,1.0,0.007153689861297607,0.2693939208984375
-1,7,2329,7, state,,1.0,0.01980644464492798,0.21290573477745056
-1,8,10751,8, containing,,1.0,0.022500112652778625,0.19309929013252258
-1,9,65648,9, Newark,,1.0,0.024220138788223267,0.17059917747974396
-1,10,603,10, is,,1.0,0.014700472354888916,0.24528755247592926
0,-1,0,1,Fact,,1.0,0.0017013251781463623,0.35056594014167786
0,-1,0,2,:,,1.0,0.0007972121238708496,0.43570077419281006
0,-1,0,3, The,,1.0,0.0004481673240661621,0.5340569019317627
0,-1,0,4, capital,,1.0,0.0013068616390228271,0.3706115186214447
0,-1,0,5, of,,1.0,0.0002987980842590332,0.6199593544006348
0,-1,0,7, state,,1.0,0.00048100948333740234,0.5187448263168335
0,-1,0,8, containing,,1.0,0.0010364055633544922,0.4017636179924011
0,-1,0,9, Newark,,1.0,0.0007475018501281738,0.44497150182724
0,-1,0,10, is,,1.0,0.0003178119659423828,0.603591799736023
0,5,2,9, Newark,4.373387336730957,1.0,0.00017535686492919922,0.7247229814529419
0,1274,49,7, state,4.469497203826904,1.0,0.0002650022506713867,0.6442015767097473
0,1430,52,5, of,2.026129722595215,1.0,0.00012505054473876953,0.7859503626823425
0,2210,65,8, containing,4.890505790710449,1.0,0.0002504587173461914,0.6550203561782837
0,3002,76,8, containing,3.8544089794158936,1.0,0.00020122528076171875,0.696804940700531
0,4752,96,3, The,4.516541481018066,1.0,0.00017958879470825195,0.7186906337738037
0,8255,127,9, Newark,3.263002395629883,1.0,0.00016313791275024414,0.7380436658859253
0,31374,249,8, containing,3.72662353515625,1.0,0.00017392635345458984,0.7255950570106506
0,36314,268,2,:,2.5549702644348145,1.0,0.0002804994583129883,0.633554995059967
0,38225,275,6, the,4.708583831787109,1.0,0.00011545419692993164,0.7992822527885437
0,46055,302,4, capital,3.32346248626709,1.0,0.0002664923667907715,0.6428732872009277
0,46970,305,4, capital,2.3759379386901855,1.0,0.0002542734146118164,0.6517375111579895
0,63545,355,1,Fact,1.8563108444213867,1.0,0.0001372694969177246,0.766829788684845
0,63545,355,4, capital,2.010589361190796,1.0,0.00012630224227905273,0.7831853032112122
0,76244,389,7, state,4.427918910980225,1.0,0.0002294778823852539,0.6700729131698608
