layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03972513601183891,0.08388730138540268
-1,1,18143,1,Fact,,1.0,0.03629849851131439,0.12018579989671707
-1,2,235292,2,:,,1.0,0.01877155900001526,0.2132049947977066
-1,3,714,3, The,,1.0,0.028540439903736115,0.14872623980045319
-1,4,6037,4, capital,,1.0,0.044162165373563766,0.044162165373563766
-1,5,576,5, of,,1.0,0.009593039751052856,0.2592359781265259
-1,6,573,6, the,,1.0,0.007028698921203613,0.2809145450592041
-1,7,2329,7, state,,1.0,0.018151655793190002,0.24964293837547302
-1,8,10751,8, containing,,1.0,0.023129209876060486,0.17185544967651367
-1,9,88285,9, Albuquerque,,1.0,0.022577986121177673,0.19443343579769135
-1,10,603,10, is,,1.0,0.018286287784576416,0.23149128258228302
0,-1,0,1,Fact,,1.0,0.0019907355308532715,0.33432498574256897
0,-1,0,2,:,,1.0,0.0008369386196136475,0.4228387773036957
0,-1,0,3, The,,1.0,0.0005965828895568848,0.47710874676704407
0,-1,0,4, capital,,1.0,0.0017348527908325195,0.34522515535354614
0,-1,0,5, of,,1.0,0.00032216310501098633,0.5990674495697021
0,-1,0,7, state,,1.0,0.0004890561103820801,0.5114113092422485
0,-1,0,8, containing,,1.0,0.000880807638168335,0.4092200994491577
0,-1,0,9, Albuquerque,,1.0,0.0008239448070526123,0.42449072003364563
0,-1,0,10, is,,1.0,0.00039845705032348633,0.5504812598228455
0,1274,49,7, state,4.469497203826904,1.0,0.00022172927856445312,0.6719356179237366
0,1430,52,5, of,2.026129722595215,1.0,0.00013899803161621094,0.7634567022323608
0,2210,65,8, containing,4.890505790710449,1.0,0.0002492666244506836,0.649185299873352
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002262592315673828,0.6676845550537109
0,4752,96,3, The,4.516541481018066,1.0,0.000186920166015625,0.707251787185669
0,13040,160,4, capital,1.2090411186218262,1.0,0.00012612342834472656,0.7818306088447571
0,31374,249,8, containing,3.72662353515625,1.0,0.0002078413963317871,0.6852957010269165
0,36314,268,2,:,2.5549702644348145,1.0,0.0002987384796142578,0.6141549348831177
