layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.037779178470373154,0.08294417709112167
-1,1,18143,1,Fact,,1.0,0.034796856343746185,0.11774103343486786
-1,2,235292,2,:,,1.0,0.0180080384016037,0.22834806144237518
-1,3,714,3, The,,1.0,0.027767017483711243,0.1455080509185791
-1,4,6037,4, capital,,1.0,0.04516499862074852,0.04516499862074852
-1,5,576,5, of,,1.0,0.009517908096313477,0.25193753838539124
-1,6,573,6, the,,1.0,0.007192522287368774,0.26671573519706726
-1,7,2329,7, state,,1.0,0.019056573510169983,0.21034002304077148
-1,8,10751,8, containing,,1.0,0.023334428668022156,0.16884247958660126
-1,9,28128,9, Charlotte,,1.0,0.022440969944000244,0.1912834495306015
-1,10,603,10, is,,1.0,0.014071568846702576,0.24241963028907776
0,-1,0,1,Fact,,1.0,0.0016704797744750977,0.3651655614376068
0,-1,0,2,:,,1.0,0.0006860196590423584,0.46221351623535156
0,-1,0,3, The,,1.0,0.0004432201385498047,0.5331885814666748
0,-1,0,4, capital,,1.0,0.0014408230781555176,0.3745023012161255
0,-1,0,5, of,,1.0,0.0002924799919128418,0.6218312978744507
0,-1,0,7, state,,1.0,0.0005394816398620605,0.5006665587425232
0,-1,0,8, containing,,1.0,0.00102195143699646,0.40734219551086426
0,-1,0,9, Charlotte,,1.0,0.0009101331233978271,0.4217224717140198
0,-1,0,10, is,,1.0,0.00035774707794189453,0.5729713439941406
0,1274,49,7, state,4.469497203826904,1.0,0.0003046393394470215,0.6116717457771301
0,1430,52,5, of,2.026129722595215,1.0,0.0001220703125,0.7856170535087585
0,2210,65,8, containing,4.890505790710449,1.0,0.00025856494903564453,0.6429502367973328
0,3002,76,8, containing,3.8544089794158936,1.0,0.000225067138671875,0.6693174839019775
0,4752,96,3, The,4.516541481018066,1.0,0.000194549560546875,0.6994841694831848
0,31374,249,8, containing,3.72662353515625,1.0,0.00020462274551391602,0.6882690191268921
0,36314,268,2,:,2.5549702644348145,1.0,0.0003135204315185547,0.6036557555198669
0,38225,275,6, the,4.708583831787109,1.0,0.00012177228927612305,0.7859825491905212
0,46055,302,4, capital,3.32346248626709,1.0,0.00033104419708251953,0.5898372530937195
0,46970,305,4, capital,2.3759379386901855,1.0,0.00023812055587768555,0.6573042869567871
0,63545,355,1,Fact,1.8563108444213867,1.0,0.000141143798828125,0.7589917778968811
0,63545,355,4, capital,2.010589361190796,1.0,0.00015819072723388672,0.7379223704338074
0,76244,389,7, state,4.427918910980225,1.0,0.00018453598022460938,0.7112446427345276
0,78209,394,4, capital,6.6453094482421875,1.0,0.000600278377532959,0.48773330450057983
0,81809,403,8, containing,5.660445690155029,1.0,0.00030738115310668945,0.6080024242401123
0,90099,423,4, capital,2.311923027038574,1.0,0.00019431114196777344,0.6996784806251526
0,96140,437,1,Fact,2.300577402114868,1.0,0.0002167820930480957,0.6777267456054688
0,114959,478,1,Fact,3.156907796859741,1.0,0.0002636909484863281,0.6392866969108582
0,118340,485,3, The,3.5978288650512695,1.0,0.000225067138671875,0.6690924167633057
0,176120,592,8, containing,8.270624160766602,1.0,0.0004150867462158203,0.546134352684021
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00011730194091796875,0.7941053509712219
0,237704,688,9, Charlotte,2.9370017051696777,1.0,0.00015181303024291992,0.7487648725509644
0,365939,854,8, containing,4.336056709289551,1.0,0.00022029876708984375,0.6748837828636169
0,498500,997,1,Fact,6.236116409301758,1.0,0.0006961524486541748,0.4601409137248993
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00014007091522216797,0.7602567076683044
0,575127,1071,4, capital,3.151749610900879,1.0,0.00032466650009155273,0.594089150428772
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00019252300262451172,0.7025813460350037
0,625520,1117,3, The,5.124606609344482,1.0,0.0002804994583129883,0.6281648278236389
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00021058320999145508,0.6836931109428406
0,743589,1218,4, capital,1.721142292022705,1.0,0.00015610456466674805,0.7413784861564636
0,755834,1228,3, The,1.777170181274414,1.0,0.00011777877807617188,0.7932824492454529
0,833985,1290,8, containing,9.914241790771484,1.0,0.0006127655506134033,0.48105892539024353
0,1050524,1448,10, is,3.2527575492858887,1.0,0.00013172626495361328,0.7700165510177612
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00013720989227294922,0.7631674408912659
0,1180415,1535,3, The,3.932457447052002,1.0,0.00017213821411132812,0.7238979339599609
0,1242675,1575,7, state,6.373180389404297,1.0,0.0004426240921020508,0.5336312055587769
0,1439055,1695,3, The,3.5861077308654785,1.0,0.00020104646682739258,0.6929448246955872
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.00035309791564941406,0.5765252113342285
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.0002868175506591797,0.6258978247642517
0,1708475,1847,4, capital,5.480682373046875,1.0,0.000391542911529541,0.554189145565033
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00021058320999145508,0.683903694152832
0,1708475,1847,9, Charlotte,6.140703201293945,1.0,0.0003892183303833008,0.5561398267745972
0,1800252,1896,9, Charlotte,2.942760467529297,1.0,0.00014543533325195312,0.7544164657592773
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0005690455436706543,0.4935532808303833
0,1925702,1961,4, capital,13.853837966918945,1.0,0.0011565685272216797,0.3936678171157837
0,1935527,1966,8, containing,3.841714382171631,1.0,0.00016814470291137695,0.7288278341293335
0,1998999,1998,10, is,7.284160614013672,1.0,0.00037550926208496094,0.5649328827857971
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.00012236833572387695,0.7848840355873108
0,2239785,2115,1,Fact,5.4611101150512695,1.0,0.0003463625907897949,0.5807200074195862
0,2239785,2115,4, capital,10.859954833984375,1.0,0.000581890344619751,0.49067750573158264
0,2239785,2115,7, state,4.313248157501221,1.0,0.00014418363571166992,0.755573034286499
0,2239785,2115,9, Charlotte,6.594698905944824,1.0,0.0003032088279724121,0.6131899952888489
0,2399144,2189,1,Fact,3.522055149078369,1.0,0.00015616416931152344,0.7415346503257751
0,2399144,2189,4, capital,5.466213226318359,1.0,0.00021451711654663086,0.6794494986534119
0,2399144,2189,7, state,4.9510178565979,1.0,0.0001227855682373047,0.7841489911079407
0,2432114,2204,4, capital,5.324213981628418,1.0,0.00043517351150512695,0.5375743508338928
0,2536877,2251,4, capital,2.399319648742676,1.0,0.0002638101577758789,0.6390230059623718
0,2710955,2327,4, capital,3.4263253211975098,1.0,0.00025647878646850586,0.6442393660545349
0,2900435,2407,1,Fact,2.128221035003662,1.0,0.00017499923706054688,0.7214728593826294
0,2919735,2415,4, capital,2.4649415016174316,1.0,0.00018393993377685547,0.7121657133102417
0,3017195,2455,1,Fact,1.5897736549377441,1.0,0.0001308917999267578,0.7709361910820007
0,3151304,2509,8, containing,4.2427520751953125,1.0,0.0002676844596862793,0.6358336806297302
