layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03861040621995926,0.08398447185754776
-1,1,18143,1,Fact,,1.0,0.036865234375,0.12084970623254776
-1,2,235292,2,:,,1.0,0.01791609823703766,0.2337794154882431
-1,3,714,3, The,,1.0,0.027823440730571747,0.1486731469631195
-1,4,6037,4, capital,,1.0,0.0453740656375885,0.0453740656375885
-1,5,576,5, of,,1.0,0.009220048785209656,0.2589387595653534
-1,6,573,6, the,,1.0,0.006845146417617798,0.2657839059829712
-1,7,2329,7, state,,1.0,0.01863323152065277,0.21586331725120544
-1,8,10751,8, containing,,1.0,0.023269131779670715,0.19723008573055267
-1,9,28224,9, Cleveland,,1.0,0.02528780698776245,0.17396095395088196
-1,10,603,10, is,,1.0,0.015939295291900635,0.24971871078014374
0,-1,0,1,Fact,,1.0,0.0019648373126983643,0.33146533370018005
0,-1,0,2,:,,1.0,0.0007541775703430176,0.4417663812637329
0,-1,0,3, The,,1.0,0.0004884004592895508,0.5174536108970642
0,-1,0,4, capital,,1.0,0.001332402229309082,0.37280601263046265
0,-1,0,5, of,,1.0,0.00037020444869995117,0.5706123113632202
0,-1,0,7, state,,1.0,0.0005879998207092285,0.4824276864528656
0,-1,0,8, containing,,1.0,0.0010360181331634521,0.4052458107471466
0,-1,0,9, Cleveland,,1.0,0.000621497631072998,0.4752354621887207
0,-1,0,10, is,,1.0,0.0003559589385986328,0.5771390199661255
0,1274,49,7, state,4.469497203826904,1.0,0.0002701282501220703,0.6360401511192322
0,1430,52,5, of,2.026129722595215,1.0,0.0001240372657775879,0.7836032509803772
0,2210,65,8, containing,4.890505790710449,1.0,0.0003446340560913086,0.5827685594558716
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002263188362121582,0.6713353991508484
0,4752,96,3, The,4.516541481018066,1.0,0.00020319223403930664,0.6912453770637512
0,8255,127,9, Cleveland,3.5754685401916504,1.0,0.00017017126083374023,0.7251325249671936
0,31374,249,8, containing,3.72662353515625,1.0,0.00022798776626586914,0.6688399910926819
0,36314,268,2,:,2.5549702644348145,1.0,0.00026363134384155273,0.6413615345954895
0,46055,302,4, capital,3.32346248626709,1.0,0.0003057718276977539,0.611063539981842
0,46970,305,4, capital,2.3759379386901855,1.0,0.00022459030151367188,0.6722366809844971
0,63545,355,1,Fact,1.8563108444213867,1.0,0.0001448988914489746,0.7545051574707031
0,63545,355,4, capital,2.010589361190796,1.0,0.00013631582260131836,0.7653161883354187
0,76244,389,7, state,4.427918910980225,1.0,0.00021147727966308594,0.6841924786567688
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006454586982727051,0.4663166403770447
0,81809,403,8, containing,5.660445690155029,1.0,0.0003217458724975586,0.5997559428215027
0,90099,423,4, capital,2.311923027038574,1.0,0.0001932978630065918,0.6999741792678833
0,96140,437,1,Fact,2.300577402114868,1.0,0.0002352595329284668,0.6642028093338013
0,114959,478,1,Fact,3.156907796859741,1.0,0.00026702880859375,0.6376497745513916
0,118340,485,3, The,3.5978288650512695,1.0,0.0002448558807373047,0.6550729870796204
0,176120,592,8, containing,8.270624160766602,1.0,0.00036960840225219727,0.5709819197654724
0,237704,688,9, Cleveland,1.9236326217651367,1.0,0.00011408329010009766,0.7994030117988586
0,365939,854,8, containing,4.336056709289551,1.0,0.0002180337905883789,0.6771024465560913
0,436644,933,1,Fact,1.5571357011795044,1.0,0.00011605024337768555,0.7966461181640625
0,498500,997,1,Fact,6.236116409301758,1.0,0.0007463395595550537,0.44550642371177673
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00012385845184326172,0.7838510274887085
0,575127,1071,4, capital,3.151749610900879,1.0,0.00029665231704711914,0.618000864982605
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00018984079360961914,0.70323646068573
0,625520,1117,3, The,5.124606609344482,1.0,0.0002758502960205078,0.6319355964660645
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00018537044525146484,0.706993579864502
0,743589,1218,4, capital,1.721142292022705,1.0,0.00016891956329345703,0.7268276810646057
0,755834,1228,3, The,1.777170181274414,1.0,0.0001270771026611328,0.7779654860496521
0,833985,1290,8, containing,9.914241790771484,1.0,0.0005611181259155273,0.48933202028274536
0,1050524,1448,10, is,3.7552571296691895,1.0,0.00017255544662475586,0.72170490026474
0,1131759,1503,4, capital,1.06581449508667,1.0,0.00012069940567016602,0.7886096835136414
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00014573335647583008,0.753197968006134
0,1180415,1535,3, The,3.932457447052002,1.0,0.00018042325973510742,0.7141302824020386
0,1242675,1575,7, state,6.373180389404297,1.0,0.0004343390464782715,0.5403687357902527
0,1439055,1695,3, The,3.5861077308654785,1.0,0.0002434849739074707,0.6570258140563965
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.0003046989440917969,0.6135048270225525
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.0003256797790527344,0.5978113412857056
0,1708475,1847,4, capital,5.480682373046875,1.0,0.00042819976806640625,0.5425248146057129
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00020486116409301758,0.6900231838226318
0,1708475,1847,9, Cleveland,5.196589469909668,1.0,0.00021588802337646484,0.6794896125793457
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0006573498249053955,0.4630777835845947
0,1925702,1961,4, capital,13.853837966918945,1.0,0.001172095537185669,0.38250961899757385
0,1935527,1966,8, containing,3.841714382171631,1.0,0.00020229816436767578,0.6922592520713806
0,1998999,1998,10, is,7.056319236755371,1.0,0.00030803680419921875,0.6101444959640503
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.00013303756713867188,0.7698987126350403
0,2239785,2115,1,Fact,5.4611101150512695,1.0,0.0003343820571899414,0.5899046063423157
0,2239785,2115,4, capital,10.859954833984375,1.0,0.0006486475467681885,0.46437570452690125
0,2239785,2115,7, state,4.313248157501221,1.0,0.00015294551849365234,0.7447004914283752
0,2239785,2115,8, containing,2.582052230834961,1.0,0.00011557340621948242,0.7972250580787659
0,2239785,2115,9, Cleveland,5.335162162780762,1.0,0.0002422928810119629,0.6579972505569458
0,2399144,2189,1,Fact,3.522055149078369,1.0,0.0001684427261352539,0.7275018692016602
0,2399144,2189,4, capital,5.466213226318359,1.0,0.00022685527801513672,0.6699761748313904
0,2432114,2204,4, capital,5.324213981628418,1.0,0.0004888176918029785,0.5169652104377747
0,2536877,2251,4, capital,2.399319648742676,1.0,0.00025975704193115234,0.6452847123146057
