layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03785155341029167,0.07960440963506699
-1,1,18143,1,Fact,,1.0,0.036587394773960114,0.1161918044090271
-1,2,235292,2,:,,1.0,0.019170910120010376,0.23764169216156006
-1,3,714,3, The,,1.0,0.026598498225212097,0.17522402107715607
-1,4,6037,4, capital,,1.0,0.041752856224775314,0.041752856224775314
-1,5,576,5, of,,1.0,0.009691566228866577,0.26500481367111206
-1,6,573,6, the,,1.0,0.00661131739616394,0.2783667743206024
-1,7,2329,7, state,,1.0,0.017671555280685425,0.2553132474422455
-1,8,10751,8, containing,,1.0,0.023861050605773926,0.19908507168293
-1,9,86528,9, Tulsa,,1.0,0.03243371844291687,0.14862552285194397
-1,10,603,10, is,,1.0,0.01938571035861969,0.21847078204154968
0,-1,0,1,Fact,,1.0,0.001713484525680542,0.36325258016586304
0,-1,0,2,:,,1.0,0.0008032321929931641,0.44382551312446594
0,-1,0,3, The,,1.0,0.0004838109016418457,0.5233703851699829
0,-1,0,4, capital,,1.0,0.001510322093963623,0.3713579475879669
0,-1,0,5, of,,1.0,0.0002930760383605957,0.6198750138282776
0,-1,0,7, state,,1.0,0.000466763973236084,0.5309678912162781
0,-1,0,8, containing,,1.0,0.0011022090911865234,0.40278753638267517
0,-1,0,9, Tulsa,,1.0,0.0007745921611785889,0.4485410153865814
0,-1,0,10, is,,1.0,0.00035393238067626953,0.5835356712341309
0,1274,49,7, state,4.469497203826904,1.0,0.00024586915969848633,0.6552340984344482
0,1430,52,5, of,2.026129722595215,1.0,0.00014662742614746094,0.7552527785301208
0,2210,65,8, containing,4.890505790710449,1.0,0.00023543834686279297,0.6653257012367249
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002410411834716797,0.6593703031539917
0,4752,96,3, The,4.516541481018066,1.0,0.0001888871192932129,0.7091500163078308
0,8255,127,9, Tulsa,2.5627846717834473,1.0,0.0001385211944580078,0.7643392086029053
0,21944,208,1,Fact,1.1732163429260254,1.0,0.00011420249938964844,0.7991237640380859
0,31374,249,8, containing,3.72662353515625,1.0,0.00020188093185424805,0.6962851881980896
0,36314,268,2,:,2.5549702644348145,1.0,0.0002543330192565918,0.6485066413879395
0,38225,275,6, the,4.708583831787109,1.0,0.00012373924255371094,0.7856814861297607
0,46055,302,4, capital,3.32346248626709,1.0,0.0003001093864440918,0.6151342391967773
0,46970,305,4, capital,2.3759379386901855,1.0,0.00020450353622436523,0.6922309994697571
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00014632940292358398,0.7558384537696838
0,63545,355,4, capital,2.010589361190796,1.0,0.00013911724090576172,0.7630906105041504
0,76244,389,7, state,4.427918910980225,1.0,0.00018173456192016602,0.7163565754890442
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006191134452819824,0.48164406418800354
0,81809,403,8, containing,5.660445690155029,1.0,0.0002886056900024414,0.6236513257026672
0,90099,423,4, capital,2.311923027038574,1.0,0.00020581483840942383,0.6912062168121338
0,96140,437,1,Fact,2.300577402114868,1.0,0.00022965669631958008,0.6709088087081909
0,114959,478,1,Fact,3.156907796859741,1.0,0.0002757906913757324,0.6355260014533997
0,118340,485,3, The,3.5978288650512695,1.0,0.00024622678756713867,0.6544961333274841
0,176120,592,8, containing,8.270624160766602,1.0,0.00042432546615600586,0.5478145480155945
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00011980533599853516,0.7918794751167297
0,321200,800,9, Tulsa,3.992626190185547,1.0,0.00020891427993774414,0.6860241889953613
0,365939,854,8, containing,4.336056709289551,1.0,0.00020992755889892578,0.6851868629455566
