layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03934561461210251,0.08439493924379349
-1,1,18143,1,Fact,,1.0,0.03721608221530914,0.12161102145910263
-1,2,235292,2,:,,1.0,0.01836484670639038,0.2299291044473648
-1,3,714,3, The,,1.0,0.026738591492176056,0.1483496129512787
-1,4,6037,4, capital,,1.0,0.04504932463169098,0.04504932463169098
-1,5,576,5, of,,1.0,0.009415492415428162,0.25533634424209595
-1,6,573,6, the,,1.0,0.006872296333312988,0.2697427272796631
-1,7,2329,7, state,,1.0,0.02003367245197296,0.21156425774097443
-1,8,10751,8, containing,,1.0,0.022932305932044983,0.17128191888332367
-1,9,18845,9, Philadelphia,,1.0,0.020248666405677795,0.19153058528900146
-1,10,603,10, is,,1.0,0.01599174737930298,0.24592085182666779
0,-1,0,1,Fact,,1.0,0.001883178949356079,0.3453506529331207
0,-1,0,2,:,,1.0,0.0007408261299133301,0.45548567175865173
0,-1,0,3, The,,1.0,0.0004500150680541992,0.5354876518249512
0,-1,0,4, capital,,1.0,0.0013921260833740234,0.3750462532043457
0,-1,0,5, of,,1.0,0.000345766544342041,0.5838025808334351
0,-1,0,7, state,,1.0,0.0004944801330566406,0.5191487669944763
0,-1,0,8, containing,,1.0,0.000993877649307251,0.41073110699653625
0,-1,0,9, Philadelphia,,1.0,0.0008586347103118896,0.4325767755508423
0,-1,0,10, is,,1.0,0.0003287792205810547,0.595935046672821
0,1274,49,7, state,4.469497203826904,1.0,0.0002796649932861328,0.6293849349021912
0,1430,52,5, of,2.026129722595215,1.0,0.00011861324310302734,0.7905974388122559
0,2210,65,8, containing,4.890505790710449,1.0,0.00027745962142944336,0.6304953694343567
0,3002,76,8, containing,3.8544089794158936,1.0,0.00022614002227783203,0.6711459755897522
0,4752,96,3, The,4.516541481018066,1.0,0.00020045042037963867,0.696357011795044
0,8255,127,9, Philadelphia,3.809323787689209,1.0,0.0002105236053466797,0.6852931976318359
0,31374,249,8, containing,3.72662353515625,1.0,0.00017404556274414062,0.7231891751289368
0,36314,268,2,:,2.5549702644348145,1.0,0.0002639889717102051,0.6410139799118042
0,46055,302,4, capital,3.32346248626709,1.0,0.0003229379653930664,0.6001788377761841
0,46970,305,4, capital,2.3759379386901855,1.0,0.00022089481353759766,0.6756063103675842
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00015085935592651367,0.7498735189437866
0,63545,355,4, capital,2.010589361190796,1.0,0.0001399517059326172,0.7616411447525024
