layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03569413349032402,0.0747172087430954
-1,1,18143,1,Fact,,1.0,0.03146277368068695,0.10617998242378235
-1,2,235292,2,:,,1.0,0.016217276453971863,0.21574631333351135
-1,3,714,3, The,,1.0,0.02530457079410553,0.1598142683506012
-1,4,6037,4, capital,,1.0,0.03902307525277138,0.03902307525277138
-1,5,576,5, of,,1.0,0.009096920490264893,0.2652890384197235
-1,6,573,6, the,,1.0,0.006192147731781006,0.2776820659637451
-1,7,2329,7, state,,1.0,0.016030192375183105,0.23177650570869446
-1,8,10751,8, containing,,1.0,0.022760987281799316,0.1825752556324005
-1,9,86725,9, Sioux,,1.0,0.028329715132713318,0.13450969755649567
-1,10,22954,10, Falls,,1.0,0.016953781247138977,0.1995290368795395
-1,11,603,11, is,,1.0,0.015151843428611755,0.2469283491373062
0,-1,0,1,Fact,,1.0,0.0015741586685180664,0.3488719165325165
0,-1,0,2,:,,1.0,0.0007449984550476074,0.4362475574016571
0,-1,0,3, The,,1.0,0.0004169940948486328,0.5272910594940186
0,-1,0,4, capital,,1.0,0.0013567209243774414,0.35898253321647644
0,-1,0,5, of,,1.0,0.00030606985092163086,0.59074866771698
0,-1,0,7, state,,1.0,0.0005895495414733887,0.46828576922416687
0,-1,0,8, containing,,1.0,0.0010768473148345947,0.3744443953037262
0,-1,0,9, Sioux,,1.0,0.000888526439666748,0.4035765528678894
0,-1,0,10, Falls,,1.0,0.0010509490966796875,0.37656596302986145
0,-1,0,11, is,,1.0,0.0002474188804626465,0.638739287853241
0,1274,49,7, state,4.469497203826904,1.0,0.00023412704467773438,0.6488569378852844
0,1430,52,5, of,2.026129722595215,1.0,0.00014090538024902344,0.753391683101654
0,2210,65,8, containing,4.890505790710449,1.0,0.0002383589744567871,0.6455454230308533
0,3002,76,8, containing,3.8544089794158936,1.0,0.00020676851272583008,0.6747556328773499
0,4752,96,3, The,4.516541481018066,1.0,0.00016885995864868164,0.7165930867195129
0,8255,127,9, Sioux,4.3253912925720215,1.0,0.0002186894416809082,0.6621964573860168
0,31374,249,8, containing,3.72662353515625,1.0,0.0001856684684753418,0.6954134106636047
0,36314,268,2,:,2.5549702644348145,1.0,0.00023943185806274414,0.6445903778076172
0,46055,302,4, capital,3.32346248626709,1.0,0.0002989768981933594,0.596213161945343
0,46970,305,4, capital,2.3759379386901855,1.0,0.0002346038818359375,0.6486228108406067
0,62834,353,9, Sioux,3.4829070568084717,1.0,0.00022709369659423828,0.6548492908477783
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00012552738189697266,0.7774718403816223
0,63545,355,4, capital,2.010589361190796,1.0,0.0001315474510192871,0.7676998972892761
0,76244,389,7, state,4.427918910980225,1.0,0.00019991397857666016,0.6800352931022644
0,78209,394,4, capital,6.6453094482421875,1.0,0.000584036111831665,0.470043420791626
0,81809,403,8, containing,5.660445690155029,1.0,0.0003299713134765625,0.5739119052886963
0,90099,423,4, capital,2.311923027038574,1.0,0.00018364191055297852,0.6974452137947083
0,96140,437,1,Fact,2.300577402114868,1.0,0.00019735097885131836,0.6828154921531677
0,114959,478,1,Fact,3.156907796859741,1.0,0.00023692846298217773,0.6472088098526001
0,118340,485,3, The,3.5978288650512695,1.0,0.00022464990615844727,0.65642911195755
0,176120,592,8, containing,8.270624160766602,1.0,0.00033104419708251953,0.572259783744812
0,200027,631,11, is,2.925117015838623,1.0,0.00016170740127563477,0.7261714935302734
0,321200,800,9, Sioux,4.592782974243164,1.0,0.0002047419548034668,0.6761947870254517
0,365939,854,8, containing,4.336056709289551,1.0,0.00021028518676757812,0.6722543835639954
0,447930,945,10, Falls,5.515542030334473,1.0,0.00030052661895751953,0.5953154563903809
0,498500,997,1,Fact,6.236116409301758,1.0,0.0006889700889587402,0.44632285833358765
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00011724233627319336,0.7898498177528381
0,575127,1071,4, capital,3.151749610900879,1.0,0.000311434268951416,0.5867454409599304
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00016313791275024414,0.7248712182044983
0,625520,1117,3, The,5.124606609344482,1.0,0.0002403855323791504,0.6441108584403992
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00018715858459472656,0.6931779384613037
0,649229,1138,10, Falls,2.104900360107422,1.0,0.00012505054473876953,0.7785997986793518
0,715805,1195,10, Falls,8.936897277832031,1.0,0.0006029605865478516,0.46292996406555176
0,743589,1218,4, capital,1.721142292022705,1.0,0.0001481771469116211,0.7427082061767578
0,833985,1290,8, containing,9.914241790771484,1.0,0.0005438327789306641,0.47960367798805237
0,928202,1361,10, Falls,2.8391852378845215,1.0,0.00016897916793823242,0.7162553668022156
0,1050524,1448,11, is,4.2976531982421875,1.0,0.00020748376846313477,0.6741347312927246
0,1097420,1480,10, Falls,2.7987213134765625,1.0,0.00017964839935302734,0.7012636661529541
0,1118259,1494,9, Sioux,2.4329819679260254,1.0,0.00012868642807006836,0.7731565237045288
0,1131759,1503,4, capital,1.06581449508667,1.0,0.00011229515075683594,0.7986732125282288
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00012576580047607422,0.7768436670303345
0,1180415,1535,3, The,3.932457447052002,1.0,0.00016415119171142578,0.723070502281189
0,1242675,1575,7, state,6.373180389404297,1.0,0.0003292560577392578,0.5745704770088196
0,1439055,1695,3, The,3.5861077308654785,1.0,0.0002098679542541504,0.6728848814964294
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.000274658203125,0.6147361397743225
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.00026237964630126953,0.6259998679161072
0,1708475,1847,4, capital,5.480682373046875,1.0,0.00028330087661743164,0.6069150567054749
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00017261505126953125,0.7113019824028015
0,1708475,1847,9, Sioux,6.540452003479004,1.0,0.00026917457580566406,0.6199004054069519
0,1708475,1847,10, Falls,6.305927276611328,1.0,0.0003243684768676758,0.5784931182861328
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0005214214324951172,0.4891867935657501
0,1925702,1961,4, capital,13.853837966918945,1.0,0.0010398626327514648,0.3786519765853882
0,1935527,1966,8, containing,3.841714382171631,1.0,0.00016671419143676758,0.71894371509552
0,1998999,1998,11, is,7.024906158447266,1.0,0.00038379430770874023,0.5433160662651062
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.00011444091796875,0.7944821715354919
0,2106377,2051,10, Falls,4.979021072387695,1.0,0.0002757906913757324,0.6133606433868408
0,2149700,2072,9, Sioux,2.157886505126953,1.0,0.0001380443572998047,0.7582696080207825
0,2239785,2115,1,Fact,5.4611101150512695,1.0,0.00031316280364990234,0.5851849913597107
0,2239785,2115,4, capital,10.859954833984375,1.0,0.0005387067794799805,0.4823019802570343
0,2239785,2115,7, state,4.313248157501221,1.0,0.00013506412506103516,0.7627707123756409
0,2239785,2115,8, containing,2.582052230834961,1.0,0.00011265277862548828,0.7979986071586609
0,2239785,2115,9, Sioux,4.75593900680542,1.0,0.0001862645149230957,0.6942981481552124
0,2239785,2115,10, Falls,8.75323486328125,1.0,0.0004984736442565918,0.4937501549720764
0,2239785,2115,11, is,1.131303071975708,1.0,0.00011777877807617188,0.7889100909233093
0,2248259,2119,9, Sioux,2.5434038639068604,1.0,0.00012886524200439453,0.7721267342567444
0,2399144,2189,4, capital,5.466213226318359,1.0,0.0001785755157470703,0.7023391723632812
