layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03761089965701103,0.08085962384939194
-1,1,18143,1,Fact,,1.0,0.03493897616863251,0.11579860001802444
-1,2,235292,2,:,,1.0,0.017515748739242554,0.2281551957130432
-1,3,714,3, The,,1.0,0.02625870704650879,0.16844412684440613
-1,4,6037,4, capital,,1.0,0.043248724192380905,0.043248724192380905
-1,5,576,5, of,,1.0,0.009752362966537476,0.2651238441467285
-1,6,573,6, the,,1.0,0.006785720586776733,0.2875675559043884
-1,7,2329,7, state,,1.0,0.018939480185508728,0.21063944697380066
-1,8,10751,8, containing,,1.0,0.023255839943885803,0.19169996678829193
-1,9,26865,9, Dallas,,1.0,0.026386819779872894,0.14218541979789734
-1,10,603,10, is,,1.0,0.016439661383628845,0.24459485709667206
0,-1,0,1,Fact,,1.0,0.0017504394054412842,0.36461663246154785
0,-1,0,2,:,,1.0,0.0007874369621276855,0.45672449469566345
0,-1,0,3, The,,1.0,0.0004696846008300781,0.5373870730400085
0,-1,0,4, capital,,1.0,0.00131264328956604,0.3928331434726715
0,-1,0,5, of,,1.0,0.0003039836883544922,0.6201117634773254
0,-1,0,7, state,,1.0,0.0004916787147521973,0.5311406850814819
0,-1,0,8, containing,,1.0,0.0010262131690979004,0.414168119430542
0,-1,0,9, Dallas,,1.0,0.0006835758686065674,0.47871705889701843
0,-1,0,10, is,,1.0,0.0003802180290222168,0.575888454914093
0,1274,49,7, state,4.469497203826904,1.0,0.0002898573875427246,0.6307798624038696
0,1430,52,5, of,2.026129722595215,1.0,0.0001360774040222168,0.766246497631073
0,2210,65,8, containing,4.890505790710449,1.0,0.00026220083236694336,0.6487908363342285
0,3002,76,8, containing,3.8544089794158936,1.0,0.000258028507232666,0.6511374115943909
0,4752,96,3, The,4.516541481018066,1.0,0.0002321004867553711,0.6721782684326172
0,8255,127,9, Dallas,2.867872714996338,1.0,0.00014096498489379883,0.7611218094825745
0,31374,249,8, containing,3.72662353515625,1.0,0.00021320581436157227,0.6868215203285217
0,36314,268,2,:,2.5549702644348145,1.0,0.00028759241104125977,0.6313555836677551
0,38225,275,6, the,4.708583831787109,1.0,0.0001232624053955078,0.7855777740478516
0,46055,302,4, capital,3.32346248626709,1.0,0.00028711557388305664,0.6316426992416382
0,46970,305,4, capital,2.3759379386901855,1.0,0.00021439790725708008,0.6842536330223083
0,63545,355,1,Fact,1.8563108444213867,1.0,0.0001418590545654297,0.7599908113479614
