layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.061509475111961365,0.061509475111961365
-1,1,18143,1,Fact,,1.0,0.039941683411598206,0.1992919147014618
-1,2,235292,2,:,,1.0,0.020783618092536926,0.24699270725250244
-1,3,714,3, The,,1.0,0.018503844738006592,0.2851871848106384
-1,4,6037,4, capital,,1.0,0.026917174458503723,0.22620908915996552
-1,5,576,5, of,,1.0,0.012915968894958496,0.2981031537055969
-1,6,573,6, the,,1.0,0.009264230728149414,0.3378194272518158
-1,7,2329,7, state,,1.0,0.011389166116714478,0.3094923198223114
-1,8,10751,8, containing,,1.0,0.019690632820129395,0.26668334007263184
-1,9,26865,9, Dallas,,1.0,0.05137348175048828,0.11288295686244965
-1,10,603,10, is,,1.0,0.04646727442741394,0.1593502312898636
0,-1,0,1,Fact,,1.0,0.0010557174682617188,0.6367465853691101
0,-1,0,2,:,,1.0,0.0009862780570983887,0.6521027684211731
0,-1,0,3, The,,1.0,0.00048047304153442383,0.7702556252479553
0,-1,0,4, capital,,1.0,0.0013837814331054688,0.5798022150993347
0,-1,0,5, of,,1.0,0.0004999041557312012,0.7644082903862
0,-1,0,7, state,,1.0,0.000725865364074707,0.7039315104484558
0,-1,0,8, containing,,1.0,0.000998377799987793,0.6511164903640747
0,-1,0,9, Dallas,,1.0,0.001287996768951416,0.5958439111709595
0,-1,0,10, is,,1.0,0.0007165670394897461,0.7046480774879456
0,26795,230,10, is,3.359375,1.0,0.00429728627204895,0.42333105206489563
0,1454364,1704,8, containing,0.828125,1.0,0.0004298090934753418,0.7879381775856018
0,1734452,1861,9, Dallas,1.875,1.0,0.0037114620208740234,0.44644036889076233
0,2338202,2161,2,:,5.28125,1.0,0.001556694507598877,0.5536531805992126
0,2338202,2161,5, of,3.71875,1.0,0.0008884668350219727,0.6689119935035706
0,2727279,2334,1,Fact,1.1796875,1.0,0.00042998790740966797,0.7883681654930115
0,5522825,3322,2,:,1.21875,1.0,0.0007639527320861816,0.6972748041152954
0,13527800,5200,10, is,3.125,1.0,0.00483328104019165,0.3868233561515808
0,16356339,5718,9, Dallas,1.765625,1.0,0.0010436177253723145,0.64093017578125
0,17508402,5916,4, capital,2.46875,1.0,0.000495612621307373,0.7654020190238953
0,19628244,6264,4, capital,1.578125,1.0,0.0004233717918395996,0.7900651097297668
0,44363489,9418,1,Fact,2.6875,1.0,0.0007747411727905273,0.6919013857841492
0,89091225,13347,7, state,3.3125,1.0,0.0012158751487731934,0.6120566129684448
0,118803404,15413,8, containing,1.515625,1.0,0.0004410743713378906,0.7831332683563232
0,119065595,15430,4, capital,1.28125,1.0,0.0005357861518859863,0.7551575303077698
0,122265702,15636,5, of,2.0625,1.0,0.0007347464561462402,0.7017497420310974
0,125112470,15817,1,Fact,2.53125,1.0,0.0004538297653198242,0.7791060209274292
0,157753202,17761,9, Dallas,1.1171875,1.0,0.00043904781341552734,0.7844520211219788
0,175865634,18753,2,:,7.96875,1.0,0.0019432902336120605,0.5251057744026184
0,175865634,18753,5, of,5.875,1.0,0.0012269020080566406,0.6108407378196716
0,175865634,18753,6, the,6.25,1.0,0.0005167126655578613,0.758841872215271
0,175865634,18753,10, is,5.71875,1.0,0.004492282867431641,0.41458308696746826
0,207458264,20368,8, containing,1.25,1.0,0.0004654526710510254,0.7745212912559509
0,264603509,23003,2,:,2.375,1.0,0.00151824951171875,0.5582377910614014
0,266516327,23086,1,Fact,1.328125,1.0,0.00043207406997680664,0.7875083684921265
0,271316864,23293,4, capital,1.4765625,1.0,0.0007274150848388672,0.7032056450843811
0,312112619,24983,3, The,1.7421875,1.0,0.0006065964698791504,0.7337088584899902
0,368384795,27142,8, containing,1.40625,1.0,0.000423431396484375,0.7896417379379272
0,447169464,29904,8, containing,1.34375,1.0,0.0004526376724243164,0.7795586585998535
0,510545034,31953,4, capital,1.078125,1.0,0.000438690185546875,0.7853297591209412
0,519950627,32246,1,Fact,1.375,1.0,0.0004259943962097168,0.7887941598892212
0,536068395,32742,9, Dallas,3.84375,1.0,0.002903074026107788,0.47872573137283325
0,591869214,34404,1,Fact,1.4921875,1.0,0.0007364153861999512,0.7010149955749512
0,605711414,34804,2,:,1.234375,1.0,0.0005797147750854492,0.7413523197174072
0,617708525,35147,1,Fact,1.484375,1.0,0.0004241466522216797,0.7892183065414429
0,646075430,35945,3, The,3.84375,1.0,0.0012545585632324219,0.6034176349639893
0,654514289,36179,9, Dallas,1.296875,1.0,0.00042128562927246094,0.7909087538719177
0,700034652,37416,4, capital,1.453125,1.0,0.0007026791572570801,0.7102923393249512
0,705696095,37567,8, containing,4.375,1.0,0.0015190839767456055,0.5567195415496826
0,765324125,39122,2,:,5.375,1.0,0.0014445185661315918,0.5670964121818542
0,765324125,39122,5, of,3.953125,1.0,0.0007519125938415527,0.6987895965576172
0,775214999,39374,10, is,1.25,1.0,0.0016593337059020996,0.5391678214073181
0,831565370,40780,2,:,4.46875,1.0,0.0011941194534301758,0.6144537925720215
0,831565370,40780,5, of,5.40625,1.0,0.0011923909187316895,0.6156461834907532
0,831565370,40780,6, the,6.875,1.0,0.0005469918251037598,0.7486663460731506
0,831565370,40780,10, is,6.71875,1.0,0.005808651447296143,0.3667016327381134
0,837939452,40936,5, of,5.21875,1.0,0.0018772482872009277,0.5269830226898193
0,864884844,41589,4, capital,1.2578125,1.0,0.0004018545150756836,0.7995500564575195
0,902381402,42481,7, state,2.5,1.0,0.001090407371520996,0.6303269267082214
0,931069127,43151,1,Fact,1.8125,1.0,0.00047957897186279297,0.7707352042198181
0,996163929,44634,1,Fact,4.0625,1.0,0.0014099478721618652,0.5742230415344238
0,999514404,44709,8, containing,1.5625,1.0,0.000516057014465332,0.7593579292297363
0,999916839,44718,1,Fact,0.7265625,1.0,0.0004062652587890625,0.7975285053253174
0,1063596380,46120,1,Fact,3.21875,1.0,0.000565648078918457,0.7436420917510986
0,1134760979,47638,8, containing,1.671875,1.0,0.00043904781341552734,0.7848910689353943
