layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.040991220623254776,0.08436577767133713
-1,1,18143,1,Fact,,1.0,0.03497155010700226,0.11933732777833939
-1,2,235292,2,:,,1.0,0.017641261219978333,0.2521827816963196
-1,3,714,3, The,,1.0,0.02726856619119644,0.14660589396953583
-1,4,6037,4, capital,,1.0,0.04337455704808235,0.04337455704808235
-1,5,576,5, of,,1.0,0.010041654109954834,0.2622244358062744
-1,6,573,6, the,,1.0,0.0072546303272247314,0.26947906613349915
-1,7,2329,7, state,,1.0,0.0193585604429245,0.23454152047634125
-1,8,10751,8, containing,,1.0,0.025273025035858154,0.17187891900539398
-1,9,77143,9, Burlington,,1.0,0.02055971324443817,0.21518296003341675
-1,10,603,10, is,,1.0,0.022744327783584595,0.19462324678897858
0,-1,0,1,Fact,,1.0,0.001799166202545166,0.339434415102005
0,-1,0,2,:,,1.0,0.0007374286651611328,0.4383131265640259
0,-1,0,3, The,,1.0,0.0004748702049255371,0.5189076066017151
0,-1,0,4, capital,,1.0,0.001393735408782959,0.35845381021499634
0,-1,0,5, of,,1.0,0.0003171563148498535,0.600752592086792
0,-1,0,7, state,,1.0,0.000466763973236084,0.5212623476982117
0,-1,0,8, containing,,1.0,0.0011693239212036133,0.3735682964324951
0,-1,0,9, Burlington,,1.0,0.0007821619510650635,0.4292448163032532
0,-1,0,10, is,,1.0,0.0004462599754333496,0.5344393253326416
0,1274,49,7, state,4.469497203826904,1.0,0.0002860426902770996,0.6231514811515808
0,1430,52,5, of,2.026129722595215,1.0,0.0001412034034729004,0.7570308446884155
0,2210,65,8, containing,4.890505790710449,1.0,0.0002675056457519531,0.6352757811546326
0,3002,76,8, containing,3.8544089794158936,1.0,0.0002532005310058594,0.6466765403747559
0,4752,96,3, The,4.516541481018066,1.0,0.0001976490020751953,0.6979408860206604
0,31374,249,8, containing,3.72662353515625,1.0,0.0002174973487854004,0.679114818572998
0,36314,268,2,:,2.5549702644348145,1.0,0.000264585018157959,0.6368700265884399
0,38225,275,6, the,4.708583831787109,1.0,0.00011444091796875,0.7984771132469177
0,46055,302,4, capital,3.32346248626709,1.0,0.000314176082611084,0.6032755970954895
0,46970,305,4, capital,2.3759379386901855,1.0,0.00023806095123291016,0.6609466075897217
0,63545,355,1,Fact,1.8563108444213867,1.0,0.00013828277587890625,0.7599626779556274
0,63545,355,4, capital,2.010589361190796,1.0,0.00013011693954467773,0.7740092873573303
0,76244,389,7, state,4.427918910980225,1.0,0.00019878149032592773,0.6969494819641113
0,78209,394,4, capital,6.6453094482421875,1.0,0.0006096363067626953,0.4735056161880493
0,81809,403,8, containing,5.660445690155029,1.0,0.0003120303153991699,0.6042137145996094
0,90099,423,4, capital,2.311923027038574,1.0,0.00019854307174682617,0.6973466277122498
0,96140,437,1,Fact,2.300577402114868,1.0,0.00021976232528686523,0.6771480441093445
0,114959,478,1,Fact,3.156907796859741,1.0,0.00024688243865966797,0.6546571850776672
0,118340,485,3, The,3.5978288650512695,1.0,0.0002307891845703125,0.6668046712875366
0,145529,538,9, Burlington,2.9049806594848633,1.0,0.0001430511474609375,0.7540475726127625
0,176120,592,8, containing,8.270624160766602,1.0,0.00042062997817993164,0.5448004007339478
0,321200,800,9, Burlington,6.074987411499023,1.0,0.00026166439056396484,0.6384506225585938
0,365939,854,8, containing,4.336056709289551,1.0,0.00025027990341186523,0.649439811706543
0,498500,997,1,Fact,6.236116409301758,1.0,0.0007268786430358887,0.4412355422973633
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00012624263763427734,0.7787651419639587
0,575127,1071,4, capital,3.151749610900879,1.0,0.0003072023391723633,0.6082364320755005
0,592415,1087,1,Fact,1.708437442779541,1.0,0.00017392635345458984,0.7215856909751892
0,625520,1117,3, The,5.124606609344482,1.0,0.0002751946449279785,0.6293129324913025
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00020432472229003906,0.6905136108398438
0,743589,1218,4, capital,1.721142292022705,1.0,0.00014978647232055664,0.7454048991203308
0,755834,1228,3, The,1.777170181274414,1.0,0.00011980533599853516,0.7896961569786072
0,833985,1290,8, containing,9.914241790771484,1.0,0.0006383359432220459,0.46160802245140076
0,1050524,1448,10, is,4.618914604187012,1.0,0.00030678510665893555,0.6094643473625183
0,1131759,1503,4, capital,1.06581449508667,1.0,0.00012612342834472656,0.7791438698768616
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00014090538024902344,0.757453978061676
0,1180415,1535,3, The,3.932457447052002,1.0,0.00017368793487548828,0.7219331860542297
