layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.03092069923877716,0.10135257989168167
-1,1,18143,1,Fact,,1.0,0.030078671872615814,0.13143125176429749
-1,2,235292,2,:,,1.0,0.014801383018493652,0.2517952620983124
-1,3,714,3, The,,1.0,0.023101478815078735,0.2021406590938568
-1,4,6037,4, capital,,1.0,0.03686554357409477,0.03686554357409477
-1,5,576,5, of,,1.0,0.008011698722839355,0.2699534595012665
-1,6,573,6, the,,1.0,0.005615323781967163,0.28807762265205383
-1,7,2329,7, state,,1.0,0.015780925750732422,0.23699387907981873
-1,8,10751,8, containing,,1.0,0.023514598608016968,0.17903918027877808
-1,9,13473,9, Virginia,,1.0,0.03356633707880974,0.07043188065290451
-1,10,10575,10, Beach,,1.0,0.024093329906463623,0.1555245816707611
-1,11,603,11, is,,1.0,0.010146498680114746,0.2619417607784271
0,-1,0,1,Fact,,1.0,0.00168570876121521,0.3562409579753876
0,-1,0,2,:,,1.0,0.0006188750267028809,0.4720993936061859
0,-1,0,3, The,,1.0,0.0003638267517089844,0.5592570304870605
0,-1,0,4, capital,,1.0,0.001401454210281372,0.3715406656265259
0,-1,0,5, of,,1.0,0.0002612471580505371,0.6338887214660645
0,-1,0,7, state,,1.0,0.0004736185073852539,0.5106748342514038
0,-1,0,8, containing,,1.0,0.0010509788990020752,0.40031614899635315
0,-1,0,9, Virginia,,1.0,0.0006888210773468018,0.45236441493034363
0,-1,0,10, Beach,,1.0,0.0012533068656921387,0.38328009843826294
0,-1,0,11, is,,1.0,0.0003104209899902344,0.5945274829864502
0,1274,49,7, state,4.469497203826904,1.0,0.00022464990615844727,0.6635770201683044
0,2210,65,8, containing,4.890505790710449,1.0,0.00027698278427124023,0.6234182715415955
0,3002,76,8, containing,3.8544089794158936,1.0,0.00022417306900024414,0.6640257835388184
0,4752,96,3, The,4.516541481018066,1.0,0.0001735091209411621,0.7162851691246033
0,31374,249,8, containing,3.72662353515625,1.0,0.0002587437629699707,0.635708749294281
0,34715,262,10, Beach,8.96008586883545,1.0,0.0005317032337188721,0.48999983072280884
0,36314,268,2,:,2.5549702644348145,1.0,0.0002536773681640625,0.6400582194328308
0,46055,302,4, capital,3.32346248626709,1.0,0.00028246641159057617,0.6172618865966797
0,46970,305,4, capital,2.3759379386901855,1.0,0.00024056434631347656,0.6491720080375671
0,59684,344,10, Beach,2.5009002685546875,1.0,0.00016391277313232422,0.7267538905143738
0,63545,355,1,Fact,1.8563108444213867,1.0,0.0001207590103149414,0.7853443026542664
0,68264,368,9, Virginia,2.367738962173462,1.0,0.00015306472778320312,0.7397710680961609
0,76244,389,7, state,4.427918910980225,1.0,0.00018155574798583984,0.7074036002159119
0,78209,394,4, capital,6.6453094482421875,1.0,0.0005118250846862793,0.49838024377822876
0,81809,403,8, containing,5.660445690155029,1.0,0.00033104419708251953,0.5804108381271362
0,90524,424,9, Virginia,2.1390438079833984,1.0,0.00011986494064331055,0.7859448194503784
0,96140,437,1,Fact,2.300577402114868,1.0,0.0001971125602722168,0.6915174126625061
0,114959,478,1,Fact,3.156907796859741,1.0,0.0002282261848449707,0.6594994068145752
0,118340,485,3, The,3.5978288650512695,1.0,0.00021833181381225586,0.6695563197135925
0,136502,521,10, Beach,2.0498156547546387,1.0,0.00012421607971191406,0.7794689536094666
0,176120,592,8, containing,8.270624160766602,1.0,0.00041115283966064453,0.5366461277008057
0,234954,684,1,Fact,1.0105218887329102,1.0,0.00011259317398071289,0.7999072670936584
0,359975,847,9, Virginia,5.081157684326172,1.0,0.0003134608268737793,0.593280553817749
0,365939,854,8, containing,4.336056709289551,1.0,0.00020009279251098633,0.6873458623886108
0,498500,997,1,Fact,6.236116409301758,1.0,0.0006642639636993408,0.46180230379104614
0,526850,1025,8, containing,2.1325135231018066,1.0,0.00011861324310302734,0.7892819046974182
0,526850,1025,10, Beach,2.0911474227905273,1.0,0.00014013051986694336,0.7565923929214478
0,575127,1071,4, capital,3.151749610900879,1.0,0.00026160478591918945,0.6331045031547546
0,625520,1117,3, The,5.124606609344482,1.0,0.00023674964904785156,0.6522707343101501
0,649229,1138,4, capital,1.8897980451583862,1.0,0.00016945600509643555,0.7214301228523254
0,743589,1218,4, capital,1.721142292022705,1.0,0.00014740228652954102,0.7466808557510376
0,755834,1228,3, The,1.777170181274414,1.0,0.0001189112663269043,0.7883316278457642
0,833985,1290,8, containing,9.914241790771484,1.0,0.0005551278591156006,0.4878564774990082
0,865269,1314,9, Virginia,2.641239881515503,1.0,0.00016367435455322266,0.7272449731826782
0,1050524,1448,11, is,4.579974174499512,1.0,0.00021117925643920898,0.6768496632575989
0,1178879,1534,1,Fact,1.4306721687316895,1.0,0.00011831521987915039,0.7899923920631409
0,1180415,1535,3, The,3.932457447052002,1.0,0.0001423954963684082,0.7530587315559387
0,1242675,1575,7, state,6.373180389404297,1.0,0.00038176774978637695,0.5469897985458374
0,1439055,1695,3, The,3.5861077308654785,1.0,0.00018280744552612305,0.705945611000061
0,1447550,1700,4, capital,3.9576854705810547,1.0,0.0002757906913757324,0.623970627784729
0,1708475,1847,1,Fact,3.794651508331299,1.0,0.00027102231979370117,0.6267054677009583
0,1708475,1847,4, capital,5.480682373046875,1.0,0.0003045797348022461,0.5982237458229065
0,1708475,1847,8, containing,4.096615791320801,1.0,0.00017017126083374023,0.7207512855529785
0,1708475,1847,9, Virginia,2.7264935970306396,1.0,0.00014090538024902344,0.7554683089256287
0,1813559,1903,1,Fact,5.34158992767334,1.0,0.0005236268043518066,0.4952835142612457
0,1925702,1961,4, capital,13.853837966918945,1.0,0.001131981611251831,0.39276471734046936
0,1935527,1966,8, containing,3.841714382171631,1.0,0.00015223026275634766,0.7406862378120422
0,1963170,1980,10, Beach,1.9412808418273926,1.0,0.0001264810562133789,0.7749578356742859
0,1998999,1998,11, is,7.040024757385254,1.0,0.00027042627334594727,0.6272468566894531
0,2106377,2051,1,Fact,1.365659236907959,1.0,0.0001189112663269043,0.7884505391120911
0,2106377,2051,10, Beach,5.680550575256348,1.0,0.0003177523612976074,0.5891848206520081
0,2239785,2115,1,Fact,5.4611101150512695,1.0,0.0002993941307067871,0.6033494472503662
0,2239785,2115,4, capital,10.859954833984375,1.0,0.00047701597213745117,0.5097261667251587
