from_slug,alabama_birmingham,alaska_anchorage,arizona_tucson,arkansas_fayetteville,california_oakland,colorado_colorado_springs,connecticut_bridgeport,delaware_wilmington,florida_miami,georgia_savannah,hawaii_hilo,idaho_idaho_falls,illinois_chicago,indiana_fort_wayne,iowa_cedar_rapids,kansas_wichita,kentucky_louisville,louisiana_new_orleans,maine_portland,maryland_baltimore,massachusetts_worcester,michigan_detroit,minnesota_minneapolis,mississippi_gulfport,missouri_kansas_city,montana_billings,nebraska_omaha,nevada_las_vegas,new_hampshire_manchester,new_jersey_newark,new_mexico_albuquerque,new_york_new_york_city,north_carolina_charlotte,north_dakota_fargo,ohio_cleveland,oklahoma_tulsa,oregon_portland,pennsylvania_philadelphia,rhode_island_warwick,south_carolina_charleston,south_dakota_sioux_falls,tennessee_memphis,texas_dallas,utah_provo,vermont_burlington,virginia_virginia_beach,washington_seattle,west_virginia_huntington,wisconsin_milwaukee,wyoming_casper
alabama_birmingham,4.0,2.0,5.0,1.0,2.0,5.0,4.0,1.0,3.0,1.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,5.0,2.0
alaska_anchorage,1.0,4.0,5.0,1.0,5.0,4.0,0.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,2.0,0.0,5.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0
arizona_tucson,1.0,0.0,5.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,5.0,4.0,2.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,5.0,5.0,1.0
arkansas_fayetteville,5.0,0.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,0.0,2.0,0.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,1.0,2.0,4.0,5.0,5.0,4.0,0.0,5.0,2.0,4.0,0.0,5.0,4.0,3.0,2.0,2.0,0.0,3.0,5.0,1.0
california_oakland,4.0,0.0,5.0,2.0,5.0,5.0,4.0,0.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,5.0,2.0,2.0,5.0,5.0,4.0,1.0,5.0,2.0,4.0,0.0,5.0,4.0,2.0,3.0,2.0,0.0,3.0,5.0,1.0
colorado_colorado_springs,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
connecticut_bridgeport,4.0,0.0,5.0,1.0,5.0,4.0,4.0,0.0,3.0,1.0,2.0,5.0,5.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,0.0,2.0,2.0,2.0,5.0,4.0,1.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0
delaware_wilmington,5.0,0.0,5.0,1.0,5.0,4.0,4.0,4.0,3.0,0.0,2.0,5.0,5.0,4.0,5.0,4.0,0.0,4.0,2.0,0.0,5.0,5.0,4.0,2.0,0.0,4.0,2.0,4.0,0.0,3.0,0.0,1.0,4.0,5.0,5.0,4.0,0.0,5.0,5.0,4.0,0.0,5.0,4.0,3.0,3.0,2.0,0.0,3.0,5.0,1.0
florida_miami,1.0,0.0,5.0,1.0,5.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,2.0,5.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,1.0,4.0,2.0,4.0,0.0,5.0,4.0,2.0,2.0,2.0,0.0,3.0,5.0,1.0
georgia_savannah,5.0,2.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,0.0,5.0,4.0,1.0,5.0,2.0,4.0,0.0,1.0,4.0,2.0,2.0,4.0,0.0,3.0,5.0,1.0
