source,Alabama,Alaska,Arizona,Arkansas,California,Colorado Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho Idaho,Illinois,Indiana Fort,Iowa Cedar,Kansas,Kentucky,Louisiana New,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri Kansas,Montana,Nebraska,Nevada Las,New Hampshire,New Jersey,New Mexico,New York New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota Sioux,Tennessee,Texas,Utah,Vermont,Virginia Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,2,2,0,0,2,0,0,0,2,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,1
Alaska,1,,1,2,0,0,2,0,1,1,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,2,0,2,1,0,0,1,2,2,1,0,1,0,2,1,2,2,2,0,1,0
Arizona,0,0,,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Arkansas,2,2,1,,2,1,2,3,1,1,2,2,1,0,1,1,0,3,2,0,2,2,1,0,0,2,0,3,1,1,1,1,1,0,2,1,2,0,1,1,0,0,1,1,1,2,0,0,0,1
California,1,1,0,2,,1,2,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,1,1,2,0,0,0,0,0
Colorado Colorado,0,2,0,2,0,,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,1
Connecticut,2,2,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,2,1,1,3,1,0,2,2,3,0,2,0,1,0
Delaware,0,2,0,2,1,2,0,,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,3,0,1,1,3,0,0,0,0,1
Florida,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Georgia,2,2,0,2,0,0,1,0,1,,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,2,2,1,2,0,1,2,1,2,0,0,1,3,1,2,0,2,0,1,2,2,2,0
Hawaii,0,1,0,0,1,0,2,0,0,1,,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,1,3,0,1,1,1,0,0,1,0,2,0,0,0,1
Idaho Idaho,2,2,0,0,0,0,0,0,1,0,1,,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,1
Illinois,0,2,0,0,2,0,2,0,0,0,1,0,,1,1,0,0,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,3,1,0,0,0,0
Indiana Fort,0,2,1,2,0,0,2,0,3,0,2,2,0,,2,0,0,0,0,1,2,0,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,2,2,0
Iowa Cedar,2,2,1,1,2,0,2,0,1,1,0,1,0,1,,1,0,1,1,1,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1
Kansas,0,2,0,1,0,0,2,0,0,2,0,2,0,1,1,,0,1,0,0,2,0,2,0,0,1,1,2,0,2,0,2,1,0,0,2,1,0,2,0,2,0,2,0,2,0,1,0,1,0
Kentucky,2,2,2,2,2,1,2,0,0,1,0,2,2,0,0,0,,1,2,1,2,0,1,0,2,2,0,2,0,2,0,0,1,0,0,0,1,0,0,0,2,0,2,0,2,2,0,0,2,2
Louisiana New,2,2,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,1,0,2,0,1,1,0,0,1,1,0,1,0,0,1,0
Maine,2,2,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,,0,2,3,2,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,3,1,1,0,2,0,1,1,0,0,0,0
Maryland,1,2,1,2,2,0,2,1,1,1,1,2,1,1,1,1,0,1,2,,3,0,1,1,0,2,1,0,0,0,1,0,1,0,2,1,3,0,0,1,2,1,1,1,1,1,0,0,1,1
Massachusetts,2,2,2,1,2,1,2,0,1,0,2,3,0,1,0,0,2,2,2,3,,0,2,2,2,0,2,0,2,2,1,2,1,2,1,0,2,0,1,0,0,1,0,0,0,2,0,2,2,1
Michigan,0,0,2,2,0,0,2,2,0,2,2,1,0,1,0,0,2,2,2,1,0,,2,1,2,0,0,0,2,1,1,2,1,1,0,2,1,0,0,1,1,0,1,2,0,2,1,1,1,1
Minnesota,2,2,1,0,2,0,2,1,1,2,2,0,0,2,1,1,2,1,2,1,2,0,,1,2,0,1,2,1,1,0,0,1,0,2,1,1,0,1,0,1,2,0,2,0,2,2,1,0,1
Mississippi,1,2,1,2,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,,0,2,1,0,1,1,1,1,1,1,0,2,1,0,1,0,1,1,0,0,1,1,2,0,1,1
Missouri Kansas,0,2,1,2,0,0,1,0,0,1,1,0,0,2,2,1,0,0,2,0,0,1,2,0,,2,0,0,2,2,2,0,1,0,1,2,2,0,1,1,0,0,2,1,2,2,0,0,1,2
Montana,2,2,2,1,2,0,2,1,2,2,2,2,1,1,1,0,2,1,2,0,2,2,2,0,1,,1,2,3,1,0,2,1,1,2,2,1,1,1,0,2,1,2,1,3,2,2,0,1,1
Nebraska,1,0,1,0,1,0,2,0,0,0,2,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,,0,2,1,0,0,0,1,1,1,0,1,1,0,1,1,0,2,2,0,0,2,2,1
Nevada Las,0,0,2,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,2,2,2,0,0,1
New Hampshire,2,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
New Jersey,0,2,1,1,2,2,1,0,0,2,2,2,1,0,0,1,1,0,2,0,0,1,2,0,0,0,0,2,0,,0,0,1,0,0,0,2,1,3,1,2,0,2,1,1,2,0,0,1,0
New Mexico,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,3,0,0,0
New York New York,2,2,2,0,2,1,2,0,0,2,2,2,2,2,2,0,2,1,2,1,2,2,1,0,0,2,2,0,1,1,1,,1,1,3,0,3,1,3,1,3,0,2,1,1,2,0,0,2,1
North Carolina,1,3,1,1,0,0,2,1,1,1,2,1,0,1,0,0,0,0,2,1,2,0,1,1,2,0,0,2,1,1,0,0,,0,0,1,0,2,1,1,0,0,1,1,1,2,2,0,1,1
North Dakota,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ohio,2,2,2,2,0,0,2,1,1,0,2,2,0,0,2,0,0,2,2,2,0,2,0,0,0,2,0,2,2,2,0,0,1,0,,0,0,0,2,2,1,0,0,0,2,2,2,0,2,0
Oklahoma,2,0,1,2,2,2,2,2,0,2,2,2,2,1,1,1,2,2,2,0,2,0,2,2,2,2,2,1,2,2,2,0,1,1,2,,2,0,1,1,1,0,1,0,2,2,2,1,2,1
Oregon,0,1,0,2,0,0,2,2,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,,0,0,1,3,0,2,1,0,0,0,2,0,2
Pennsylvania,0,2,0,2,0,0,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,1,1,0,1,1,1,0,0,2,,1,1,1,0,0,2,1,0,2,0,1,0
Rhode Island,1,2,0,0,0,0,2,3,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,,0,3,0,1,1,3,2,0,1,3,0
South Carolina,0,2,1,2,2,2,1,0,0,1,1,0,0,0,1,0,0,2,1,1,2,0,0,2,0,2,0,3,0,2,0,0,0,0,0,0,1,0,0,,0,0,1,1,2,1,1,0,0,1
South Dakota Sioux,0,2,1,0,2,2,1,0,0,1,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,2,0,2,2,2,0,0,1,0,2,2,0,0,1,1,,0,1,2,1,2,1,0,1,1
Tennessee,1,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0,2,0,2,1,0
Texas,0,0,0,1,0,0,0,0,0,2,2,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,,2,0,0,0,1,2,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vermont,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,1
Virginia Virginia,1,2,1,2,0,0,1,0,0,0,2,2,0,1,2,0,0,2,2,0,0,0,2,0,0,2,3,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,1,3,,0,1,1,1
Washington,1,1,0,1,1,0,2,2,0,0,2,1,0,2,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,3,0,0,0,0,2,0,0,0,3,0,,0,1,0
West Virginia,2,0,0,0,0,0,2,0,0,2,1,1,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,,2,0
