layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.054221298545598984,0.054221298545598984
-1,1,651,1,The,,1.0,0.02408510446548462,0.25720906257629395
-1,2,2870,2, book,,1.0,0.024218469858169556,0.23312395811080933
-1,3,24519,3, featuring,,1.0,0.030855387449264526,0.18051497638225555
-1,4,18397,4, Captain,,1.0,0.021224230527877808,0.27843329310417175
-1,5,586,5, A,,1.0,0.028390511870384216,0.20890548825263977
-1,6,14836,6,hab,,1.0,0.047053635120391846,0.14965958893299103
-1,7,729,7, was,,1.0,0.02119588851928711,0.29962918162345886
-1,8,5952,8, written,,1.0,0.015214681625366211,0.3148438632488251
-1,9,731,9, by,,1.0,0.0483846552670002,0.10260595381259918
0,-1,0,2, book,,1.0,0.0013062357902526855,0.5569025874137878
0,-1,0,3, featuring,,1.0,0.0009374022483825684,0.6154148578643799
0,-1,0,4, Captain,,1.0,0.0010699629783630371,0.5873298048973083
0,-1,0,5, A,,1.0,0.0005366802215576172,0.7495696544647217
0,-1,0,6,hab,,1.0,0.005102932453155518,0.39172059297561646
0,-1,0,7, was,,1.0,0.0006155967712402344,0.7209431529045105
0,-1,0,8, written,,1.0,0.0004851222038269043,0.7688713073730469
0,-1,0,9, by,,1.0,0.0008706450462341309,0.6371787190437317
0,99680,445,6,hab,1.265625,1.0,0.0007792115211486816,0.6642530560493469
0,998990,1412,6,hab,0.7890625,1.0,0.00043338537216186523,0.792198896408081
0,2316627,2151,6,hab,0.93359375,1.0,0.0004571080207824707,0.7819867134094238
0,11875500,4872,6,hab,1.390625,1.0,0.000605463981628418,0.7252129912376404
0,13517399,5198,4, Captain,1.921875,1.0,0.0005461573600769043,0.7452555894851685
0,13527800,5200,7, was,2.875,1.0,0.0009981989860534668,0.6029356718063354
0,13616370,5217,6,hab,2.078125,1.0,0.001437544822692871,0.5446181893348694
0,13789125,5250,2, book,2.0625,1.0,0.0005315542221069336,0.7506373524665833
0,14712599,5423,6,hab,1.21875,1.0,0.0006646513938903809,0.7035185694694519
0,21763502,6596,8, written,1.9296875,1.0,0.0004946589469909668,0.7654387950897217
0,35612579,8438,6,hab,2.046875,1.0,0.0008105039596557617,0.6539821624755859
