layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05572328716516495,0.13062125444412231
-1,1,651,1,The,,1.0,0.027276605367660522,0.2666466534137726
-1,2,2870,2, book,,1.0,0.027905911207199097,0.23937004804611206
-1,3,24519,3, featuring,,1.0,0.034465491771698,0.21146413683891296
-1,4,3522,4, Count,,1.0,0.016784071922302246,0.3219420909881592
-1,5,130107,5, Dracula,,1.0,0.07489796727895737,0.07489796727895737
-1,6,729,6, was,,1.0,0.021724969148635864,0.28837162256240845
-1,7,5952,7, written,,1.0,0.016786396503448486,0.30515801906585693
-1,8,731,8, by,,1.0,0.04637739062309265,0.17699864506721497
0,-1,0,2, book,,1.0,0.0018033385276794434,0.5368905067443848
0,-1,0,3, featuring,,1.0,0.0009827017784118652,0.6564549207687378
0,-1,0,4, Count,,1.0,0.0008561015129089355,0.6835740208625793
0,-1,0,5, Dracula,,1.0,0.0013817548751831055,0.5776815414428711
0,-1,0,6, was,,1.0,0.0005938410758972168,0.7452341914176941
0,-1,0,7, written,,1.0,0.0005706548690795898,0.755746603012085
0,-1,0,8, by,,1.0,0.0011916160583496094,0.6147010326385498
0,827540,1285,5, Dracula,1.4375,1.0,0.0005385279655456543,0.7667956948280334
0,7108334,3769,3, featuring,1.1015625,1.0,0.0004807114601135254,0.7895554304122925
0,13527800,5200,6, was,3.09375,1.0,0.0013620257377624512,0.5790435671806335
0,13789125,5250,2, book,2.0625,1.0,0.0006355047225952148,0.7360191345214844
0,21763502,6596,7, written,2.09375,1.0,0.0007231235504150391,0.7142367959022522
0,36606845,8555,3, featuring,1.046875,1.0,0.0006020069122314453,0.7434440851211548
0,37684220,8680,5, Dracula,0.77734375,1.0,0.0005086660385131836,0.7757149934768677
0,38364419,8758,5, Dracula,0.94921875,1.0,0.00047272443771362305,0.794316291809082
0,39582752,8896,7, written,3.703125,1.0,0.0008652806282043457,0.6818559169769287
0,72306324,12024,5, Dracula,0.96875,1.0,0.0005848407745361328,0.7511376142501831
0,75466754,12284,1,The,2.8125,1.0,0.00047320127487182617,0.7933705449104309
0,90511784,13453,6, was,1.609375,1.0,0.0007051825523376465,0.7192175388336182
0,118787990,15412,3, featuring,0.9921875,1.0,0.00047898292541503906,0.7905147671699524
0,127448594,15964,5, Dracula,1.203125,1.0,0.0005756616592407227,0.7534594535827637
0,140205884,16744,3, featuring,1.34375,1.0,0.0005359649658203125,0.7678694725036621
0,154695254,17588,5, Dracula,0.8515625,1.0,0.0005034804344177246,0.7797616720199585
0,171800915,18535,8, by,3.9375,1.0,0.009515047073364258,0.33145713806152344
0,175865634,18753,6, was,3.34375,1.0,0.0008959770202636719,0.6704936027526855
0,175865634,18753,8, by,4.53125,1.0,0.0036415457725524902,0.45785367488861084
0,184329599,19199,3, featuring,1.6171875,1.0,0.0005526542663574219,0.7607895135879517
0,184425614,19204,1,The,2.5,1.0,0.000499427318572998,0.7817649245262146
0,230641502,21476,3, featuring,1.140625,1.0,0.0005402565002441406,0.7662571668624878
0,231975029,21538,3, featuring,1.203125,1.0,0.000570833683013916,0.7551759481430054
0,275619980,23477,1,The,2.34375,1.0,0.0006333589553833008,0.7372861504554749
0,279389340,23637,5, Dracula,1.6640625,1.0,0.0012377500534057617,0.6049818396568298
0,280809450,23697,3, featuring,1.5390625,1.0,0.000668644905090332,0.7301616668701172
0,316449902,25156,8, by,0.84375,1.0,0.0004788637161254883,0.7909936308860779
0,446750885,29890,3, featuring,1.53125,1.0,0.00045418739318847656,0.7998621463775635
0,453200670,30105,8, by,1.34375,1.0,0.0010219216346740723,0.6474213004112244
0,535741010,32732,3, featuring,1.7578125,1.0,0.00048148632049560547,0.7885937094688416
0,535741010,32732,8, by,0.6015625,1.0,0.0004614591598510742,0.7975814342498779
0,539479127,32846,3, featuring,1.65625,1.0,0.0004964470863342285,0.782758891582489
0,540728054,32884,5, Dracula,1.34375,1.0,0.0005504488945007324,0.761890709400177
0,554828015,33310,3, featuring,1.1171875,1.0,0.0004557371139526367,0.7989529967308044
0,578119005,34002,7, written,1.953125,1.0,0.000621497631072998,0.7397973537445068
0,646075430,35945,1,The,2.71875,1.0,0.0010470747947692871,0.6381207704544067
0,765324125,39122,8, by,4.875,1.0,0.005836188793182373,0.4226211905479431
0,831565370,40780,6, was,6.59375,1.0,0.0015600919723510742,0.5586548447608948
0,831565370,40780,8, by,6.34375,1.0,0.006469815969467163,0.4107201099395752
0,937076985,43290,7, written,2.09375,1.0,0.0004876255989074707,0.7842371463775635
0,989702294,44489,1,The,2.59375,1.0,0.0008551478385925293,0.6844291687011719
0,996163929,44634,1,The,2.65625,1.0,0.000789344310760498,0.7000463604927063
0,1059863819,46039,2, book,1.34375,1.0,0.0007368922233581543,0.7091395258903503
0,1062904670,46105,5, Dracula,0.8984375,1.0,0.000544428825378418,0.7651762962341309
0,1066042224,46173,5, Dracula,1.359375,1.0,0.0010685920715332031,0.6360106468200684
0,1068906965,46235,2, book,3.40625,1.0,0.0006032586097717285,0.7428420782089233
0,1090281555,46695,2, book,2.109375,1.0,0.0007936358451843262,0.6992570161819458
0,1123356299,47398,8, by,0.390625,1.0,0.000506281852722168,0.7777438163757324
0,1128623804,47509,2, book,1.3125,1.0,0.0006701350212097168,0.7288234829902649
0,1135713969,47658,5, Dracula,1.0625,1.0,0.0005322694778442383,0.768934965133667
0,1141010334,47769,2, book,2.59375,1.0,0.0011358261108398438,0.6216555237770081
0,1228171140,49560,6, was,2.03125,1.0,0.0008716583251953125,0.6766435503959656
