layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.052270371466875076,0.10983370244503021
-1,1,651,1,The,,1.0,0.025205790996551514,0.27255308628082275
-1,2,2870,2, book,,1.0,0.026805773377418518,0.24734729528427124
-1,3,24519,3, featuring,,1.0,0.03263084590435028,0.19208408892154694
-1,4,15419,4, Elizabeth,,1.0,0.028457432985305786,0.22054152190685272
-1,5,151713,5, Bennet,,1.0,0.057563330978155136,0.057563330978155136
-1,6,729,6, was,,1.0,0.020787805318832397,0.29334089159965515
-1,7,5952,7, written,,1.0,0.016842901706695557,0.3101837933063507
-1,8,731,8, by,,1.0,0.04961954057216644,0.15945324301719666
0,-1,0,2, book,,1.0,0.0015547871589660645,0.5629411935806274
0,-1,0,3, featuring,,1.0,0.0009961128234863281,0.6510554552078247
0,-1,0,4, Elizabeth,,1.0,0.0009028911590576172,0.6669673919677734
0,-1,0,5, Bennet,,1.0,0.002604275941848755,0.4808862805366516
0,-1,0,6, was,,1.0,0.0005881190299987793,0.7522745132446289
0,-1,0,7, written,,1.0,0.0007421374320983887,0.7056715488433838
0,-1,0,8, by,,1.0,0.0011046528816223145,0.6292348504066467
0,239777,691,5, Bennet,0.8046875,1.0,0.0005118250846862793,0.7753732204437256
0,7420877,3851,5, Bennet,0.859375,1.0,0.0004763603210449219,0.7871837019920349
0,13527800,5200,6, was,2.96875,1.0,0.0007023215293884277,0.7229205369949341
0,13789125,5250,2, book,2.0625,1.0,0.0007076263427734375,0.7193970680236816
0,21763502,6596,7, written,1.7890625,1.0,0.00047016143798828125,0.7881258726119995
0,36606845,8555,3, featuring,1.046875,1.0,0.0008459091186523438,0.6844050288200378
0,39582752,8896,7, written,3.671875,1.0,0.0006909966468811035,0.7277868390083313
0,90511784,13453,6, was,1.625,1.0,0.0005606412887573242,0.7614896893501282
0,99666020,14117,5, Bennet,1.109375,1.0,0.0004468560218811035,0.8000425696372986
0,140205884,16744,3, featuring,1.34375,1.0,0.0005744695663452148,0.7575210332870483
0,170986277,18491,7, written,2.296875,1.0,0.0004609823226928711,0.793238639831543
0,171800915,18535,8, by,3.90625,1.0,0.011996924877166748,0.32218071818351746
0,175865634,18753,6, was,3.5625,1.0,0.0009481310844421387,0.6558554768562317
0,175865634,18753,8, by,4.71875,1.0,0.004263848066329956,0.43276920914649963
0,184329599,19199,3, featuring,1.6171875,1.0,0.00046074390411376953,0.7936993837356567
0,184425614,19204,1,The,2.5,1.0,0.0005524754524230957,0.7631587982177734
0,230942285,21490,5, Bennet,1.125,1.0,0.0005285143852233887,0.7717530131340027
0,253293777,22506,5, Bennet,3.53125,1.0,0.0010914206504821777,0.6325230598449707
0,275619980,23477,1,The,2.34375,1.0,0.000713348388671875,0.7158433198928833
0,280809450,23697,3, featuring,1.5390625,1.0,0.0005853176116943359,0.7546206116676331
0,320082950,25300,5, Bennet,1.9375,1.0,0.0010641813278198242,0.6346662640571594
0,323228024,25424,5, Bennet,2.375,1.0,0.0015506744384765625,0.5660461187362671
0,327232152,25581,3, featuring,1.046875,1.0,0.0004927515983581543,0.7798829078674316
0,395156327,28111,3, featuring,1.3359375,1.0,0.0005484223365783691,0.7637072205543518
0,446750885,29890,3, featuring,1.53125,1.0,0.001044154167175293,0.6399323344230652
0,453200670,30105,8, by,1.484375,1.0,0.001699686050415039,0.5402178168296814
0,535741010,32732,3, featuring,1.7578125,1.0,0.0004634261131286621,0.7913911938667297
0,535741010,32732,8, by,0.625,1.0,0.0006005167961120605,0.7457549571990967
0,539479127,32846,3, featuring,1.65625,1.0,0.0004665851593017578,0.7899975776672363
0,578119005,34002,7, written,1.828125,1.0,0.000533759593963623,0.7691018581390381
0,646075430,35945,1,The,2.71875,1.0,0.0008015632629394531,0.6925893425941467
0,731894669,38258,4, Elizabeth,1.796875,1.0,0.00045299530029296875,0.7973461151123047
0,757830845,38930,5, Bennet,0.9296875,1.0,0.000466763973236084,0.7895309925079346
0,765324125,39122,8, by,5.0,1.0,0.004915386438369751,0.41501760482788086
0,830831465,40762,4, Elizabeth,2.984375,1.0,0.0012562274932861328,0.6032955646514893
0,831565370,40780,6, was,6.5,1.0,0.0013275742530822754,0.5942749381065369
0,831565370,40780,8, by,6.4375,1.0,0.005721598863601685,0.40517666935920715
0,834545084,40853,5, Bennet,0.828125,1.0,0.0004623532295227051,0.7918535470962524
0,948889265,43562,5, Bennet,1.125,1.0,0.000624239444732666,0.7396329045295715
0,989702294,44489,1,The,2.59375,1.0,0.0006542801856994629,0.7345401048660278
0,996163929,44634,1,The,2.65625,1.0,0.0007560253143310547,0.7026881575584412
0,1014053094,45033,3, featuring,1.15625,1.0,0.0005379319190979004,0.7669580578804016
0,1059863819,46039,2, book,1.34375,1.0,0.0004975795745849609,0.7788938879966736
0,1068906965,46235,2, book,3.40625,1.0,0.000642240047454834,0.7364770770072937
0,1090281555,46695,2, book,2.109375,1.0,0.0008221268653869629,0.6885496973991394
0,1128623804,47509,2, book,1.3125,1.0,0.00047200918197631836,0.7876557111740112
0,1134760979,47638,3, featuring,1.15625,1.0,0.00045740604400634766,0.7950729727745056
0,1141010334,47769,2, book,2.59375,1.0,0.001137852668762207,0.6225058436393738
0,1153176299,48023,5, Bennet,0.85546875,1.0,0.00045758485794067383,0.7946155667304993
0,1197879930,48945,5, Bennet,1.0703125,1.0,0.0006282329559326172,0.7383825778961182
0,1228171140,49560,6, was,1.921875,1.0,0.0007129907608032227,0.7165563106536865
0,1251375377,50026,3, featuring,1.4765625,1.0,0.0005413293838500977,0.7664201259613037
0,1322805329,51434,1,The,2.71875,1.0,0.0006700754165649414,0.7325600981712341
0,1339160627,51751,4, Elizabeth,2.265625,1.0,0.0005197525024414062,0.7727970480918884
0,1357491564,52104,5, Bennet,0.90625,1.0,0.0005415081977844238,0.7653374075889587
0,1468792899,54198,1,The,5.78125,1.0,0.0007378458976745605,0.7071482539176941
0,1489133450,54572,1,The,2.578125,1.0,0.000562131404876709,0.7609290480613708
0,1556792099,55798,3, featuring,1.015625,1.0,0.0004868507385253906,0.7838114500045776
0,1673803010,57857,6, was,2.53125,1.0,0.0005455613136291504,0.764252781867981
0,1713553610,58540,8, by,2.4375,1.0,0.0038419365882873535,0.4488241374492645
0,1857725534,60953,5, Bennet,1.828125,1.0,0.001820981502532959,0.5296894907951355
0,1983334670,62980,5, Bennet,3.53125,1.0,0.0016843080520629883,0.5419021248817444
0,2076353460,64440,5, Bennet,1.3203125,1.0,0.0008322000503540039,0.6860694289207458
0,2108374515,64935,2, book,1.84375,1.0,0.0008665323257446289,0.6793091893196106
0,2137043375,65375,5, Bennet,0.8984375,1.0,0.0005107522010803223,0.7758839726448059
0,2169000315,65862,5, Bennet,1.125,1.0,0.0005944371223449707,0.748738169670105
0,2201327127,66351,2, book,1.515625,1.0,0.0006476044654846191,0.7351877093315125
0,2219411999,66623,5, Bennet,1.21875,1.0,0.0007644891738891602,0.7004097700119019
0,2281805234,67553,3, featuring,2.3125,1.0,0.0009170770645141602,0.6642482280731201
0,2286807005,67627,5, Bennet,1.328125,1.0,0.0012356042861938477,0.6082717776298523
0,2479734675,70422,3, featuring,1.671875,1.0,0.0006607770919799805,0.7338858246803284
0,2578589390,71812,5, Bennet,1.921875,1.0,0.0008129477500915527,0.689362645149231
0,2664609500,73000,3, featuring,1.5,1.0,0.0005893707275390625,0.7510979175567627
0,2889938324,76024,5, Bennet,4.125,1.0,0.0018956661224365234,0.5203790664672852
