layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05104340985417366,0.05104340985417366
-1,1,651,1,The,,1.0,0.024394363164901733,0.23720961809158325
-1,2,2870,2, book,,1.0,0.02670389413833618,0.18724970519542694
-1,3,24519,3, featuring,,1.0,0.031646810472011566,0.13025102019309998
-1,4,28376,4, Fro,,1.0,0.030294790863990784,0.16054581105709076
-1,5,1042,5,do,,1.0,0.025565549731254578,0.21281525492668152
-1,6,14240,6, Bag,,1.0,0.012409895658493042,0.3034535348415375
-1,7,29253,7,gins,,1.0,0.02011394500732422,0.25732356309890747
-1,8,729,8, was,,1.0,0.018697381019592285,0.27602094411849976
-1,9,5952,9, written,,1.0,0.015022695064544678,0.29104363918304443
-1,10,731,10, by,,1.0,0.04756079986691475,0.09860420972108841
0,-1,0,2, book,,1.0,0.001277923583984375,0.5460973381996155
0,-1,0,3, featuring,,1.0,0.0008850693702697754,0.6177535653114319
0,-1,0,4, Fro,,1.0,0.0009393095970153809,0.5986574292182922
0,-1,0,5,do,,1.0,0.0012639164924621582,0.5499012470245361
0,-1,0,6, Bag,,1.0,0.0003808736801147461,0.7674116492271423
0,-1,0,7,gins,,1.0,0.0006937384605407715,0.6596641540527344
0,-1,0,8, was,,1.0,0.00045233964920043945,0.7380969524383545
0,-1,0,9, written,,1.0,0.0005977153778076172,0.6912227869033813
0,-1,0,10, by,,1.0,0.000911414623260498,0.6069700717926025
0,10295,142,5,do,1.046875,1.0,0.0004215240478515625,0.7502507567405701
0,2593502,2276,5,do,1.125,1.0,0.0004076957702636719,0.7552118301391602
0,4370445,2955,4, Fro,2.0,1.0,0.0005134940147399902,0.7164503335952759
0,13527800,5200,8, was,3.125,1.0,0.0008820891380310059,0.6195196509361267
0,13789125,5250,2, book,2.0625,1.0,0.0005219578742980957,0.7128235101699829
0,17508402,5916,2, book,1.71875,1.0,0.0003603696823120117,0.778127908706665
0,17979005,5995,4, Fro,1.3359375,1.0,0.0003498196601867676,0.7827391624450684
0,21763502,6596,9, written,2.125,1.0,0.0005081295967102051,0.719001054763794
0,31589325,7947,4, Fro,1.0390625,1.0,0.00033396482467651367,0.7905862331390381
0,35612579,8438,5,do,3.34375,1.0,0.0012093782424926758,0.5585494041442871
0,36606845,8555,3, featuring,1.046875,1.0,0.0004933476448059082,0.724500834941864
0,39582752,8896,9, written,3.734375,1.0,0.0008733868598937988,0.6203930377960205
0,39743069,8914,5,do,1.09375,1.0,0.0008199810981750488,0.6287506222724915
0,44542640,9437,3, featuring,0.87109375,1.0,0.00032633543014526367,0.7955296635627747
0,63298125,11250,3, featuring,1.28125,1.0,0.00033104419708251953,0.7919129133224487
0,75466754,12284,1,The,2.8125,1.0,0.0003542900085449219,0.7809782028198242
0,90511784,13453,8, was,1.625,1.0,0.0004500150680541992,0.7398999929428101
0,110209280,14845,4, Fro,1.921875,1.0,0.000338137149810791,0.7875678539276123
0,118787990,15412,3, featuring,0.9921875,1.0,0.0004189610481262207,0.7515086531639099
0,140205884,16744,3, featuring,1.34375,1.0,0.0006572604179382324,0.67109215259552
0,170986277,18491,9, written,2.421875,1.0,0.00042176246643066406,0.7498292326927185
0,171800915,18535,10, by,4.0,1.0,0.008178234100341797,0.3409648835659027
0,175865634,18753,8, was,3.6875,1.0,0.0008388757705688477,0.6229522228240967
0,175865634,18753,10, by,4.78125,1.0,0.005799591541290283,0.39302799105644226
0,184329599,19199,3, featuring,1.6171875,1.0,0.0004960894584655762,0.7225245833396912
0,184425614,19204,1,The,2.5,1.0,0.00044405460357666016,0.7412400245666504
0,214462404,20709,3, featuring,1.015625,1.0,0.00042247772216796875,0.7489854097366333
0,230641502,21476,3, featuring,1.140625,1.0,0.000565648078918457,0.6987870931625366
0,231975029,21538,3, featuring,1.203125,1.0,0.0004260540008544922,0.7472912073135376
0,252663959,22478,9, written,1.578125,1.0,0.000325620174407959,0.7961809635162354
0,275619980,23477,1,The,2.34375,1.0,0.000592648983001709,0.6936009526252747
0,280809450,23697,3, featuring,1.5390625,1.0,0.0007808804512023926,0.6407173871994019
0,298644579,24438,1,The,2.859375,1.0,0.00032657384872436523,0.7952033281326294
0,308425865,24835,5,do,1.046875,1.0,0.0005404949188232422,0.705395519733429
0,316449902,25156,9, written,1.890625,1.0,0.00047725439071655273,0.729833722114563
0,316449902,25156,10, by,0.8359375,1.0,0.00035578012466430664,0.779558539390564
0,327232152,25581,3, featuring,1.046875,1.0,0.00033479928970336914,0.7895840406417847
0,334744874,25873,7,gins,3.0,1.0,0.0005312561988830566,0.7085990309715271
0,342421364,26168,5,do,2.78125,1.0,0.0019273757934570312,0.49440762400627136
0,351562385,26515,4, Fro,1.359375,1.0,0.00032705068588256836,0.794876754283905
0,395156327,28111,3, featuring,1.3359375,1.0,0.0004069805145263672,0.7556188106536865
0,446750885,29890,3, featuring,1.53125,1.0,0.0003733038902282715,0.7711731195449829
0,453200670,30105,10, by,1.421875,1.0,0.0009375810623168945,0.600533127784729
0,462977234,30428,3, featuring,1.0,1.0,0.00040400028228759766,0.7576422691345215
0,494535524,31448,2, book,0.9609375,1.0,0.0003427267074584961,0.7865479588508606
0,508916655,31902,4, Fro,1.609375,1.0,0.0003929734230041504,0.7616214752197266
0,535741010,32732,3, featuring,1.7578125,1.0,0.00033164024353027344,0.7912507057189941
0,539479127,32846,3, featuring,1.65625,1.0,0.0004547238349914551,0.7358309030532837
0,546531390,33060,3, featuring,0.890625,1.0,0.0003350377082824707,0.7892492413520813
