layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05091163516044617,0.16692888736724854
-1,1,651,1,The,,1.0,0.026084885001182556,0.25913092494010925
-1,2,2870,2, book,,1.0,0.02425515651702881,0.28338608145713806
-1,3,24519,3, featuring,,1.0,0.02996225655078888,0.2330460399389267
-1,4,640,4, H,,1.0,0.009193181991577148,0.3431617319583893
-1,5,197563,5,uckleberry,,1.0,0.06160023808479309,0.06160023808479309
-1,6,34534,6, Finn,,1.0,0.03615489602088928,0.20308378338813782
-1,7,729,7, was,,1.0,0.02204585075378418,0.30543193221092224
-1,8,5952,8, written,,1.0,0.017016708850860596,0.32244864106178284
-1,9,731,9, by,,1.0,0.05441701412200928,0.11601725220680237
0,-1,0,2, book,,1.0,0.0012401342391967773,0.5695458054542542
0,-1,0,3, featuring,,1.0,0.0008580684661865234,0.642294704914093
0,-1,0,5,uckleberry,,1.0,0.0008578300476074219,0.6431525349617004
0,-1,0,6, Finn,,1.0,0.0014290809631347656,0.5499521493911743
0,-1,0,7, was,,1.0,0.0005342364311218262,0.7271391153335571
0,-1,0,8, written,,1.0,0.0007708072662353516,0.6616438627243042
0,-1,0,9, by,,1.0,0.0010599493980407715,0.6020766496658325
0,144990,537,5,uckleberry,1.140625,1.0,0.0006997585296630859,0.679334282875061
0,1358775,1647,5,uckleberry,1.46875,1.0,0.0005536675453186035,0.7211947441101074
0,3196655,2527,5,uckleberry,1.5390625,1.0,0.000767052173614502,0.6631786823272705
0,6039549,3474,5,uckleberry,1.109375,1.0,0.0005804896354675293,0.7103976607322693
0,13527800,5200,7, was,3.3125,1.0,0.0008751749992370605,0.6370996832847595
0,13789125,5250,2, book,2.0625,1.0,0.0005650520324707031,0.7167069911956787
0,21763502,6596,8, written,1.7421875,1.0,0.0004513263702392578,0.7637244462966919
0,23656880,6877,6, Finn,1.5390625,1.0,0.0006332993507385254,0.6964458227157593
0,36606845,8555,3, featuring,1.046875,1.0,0.0005056858062744141,0.7375759482383728
0,39582752,8896,8, written,3.734375,1.0,0.0007985234260559082,0.6530392169952393
0,64439627,11351,5,uckleberry,1.75,1.0,0.0007407069206237793,0.6699520945549011
0,75466754,12284,1,The,2.8125,1.0,0.0004074573516845703,0.7891243100166321
0,90511784,13453,7, was,1.765625,1.0,0.0005972385406494141,0.7068747282028198
0,118787990,15412,3, featuring,0.9921875,1.0,0.00046253204345703125,0.7564188241958618
0,129516464,16093,5,uckleberry,0.96875,1.0,0.00044459104537963867,0.7677523493766785
0,140205884,16744,3, featuring,1.34375,1.0,0.0004520416259765625,0.7628210783004761
0,142864155,16902,5,uckleberry,1.6875,1.0,0.0007906556129455566,0.654626190662384
0,154554570,17580,5,uckleberry,1.0625,1.0,0.0004050135612487793,0.791967511177063
0,170986277,18491,8, written,2.34375,1.0,0.00048065185546875,0.7474493980407715
0,171800915,18535,9, by,4.0,1.0,0.011519908905029297,0.33396854996681213
0,175865634,18753,7, was,3.65625,1.0,0.0008240342140197754,0.6481965184211731
0,175865634,18753,9, by,4.71875,1.0,0.0065545737743377686,0.38348066806793213
0,184329599,19199,3, featuring,1.6171875,1.0,0.0004360079765319824,0.7752231955528259
0,184425614,19204,1,The,2.5,1.0,0.0005858540534973145,0.7092335820198059
0,252596525,22475,6, Finn,1.4609375,1.0,0.0006545782089233398,0.6893978714942932
0,267648815,23135,5,uckleberry,1.015625,1.0,0.0005267858505249023,0.7308539748191833
0,268366527,23166,5,uckleberry,3.5625,1.0,0.0009673833847045898,0.6160843372344971
0,275619980,23477,1,The,2.34375,1.0,0.0005741119384765625,0.7144277095794678
0,280809450,23697,3, featuring,1.5390625,1.0,0.0004520416259765625,0.7632731199264526
0,316449902,25156,9, by,0.8359375,1.0,0.0005404353141784668,0.723376452922821
0,320082950,25300,6, Finn,1.234375,1.0,0.0004546642303466797,0.7610107064247131
0,323228024,25424,6, Finn,1.890625,1.0,0.0007573962211608887,0.6654608845710754
0,378661439,27518,5,uckleberry,8.6875,1.0,0.002382904291152954,0.4761531949043274
0,395156327,28111,3, featuring,1.3359375,1.0,0.0004611015319824219,0.7573415040969849
0,410568839,28654,5,uckleberry,1.265625,1.0,0.0003886222839355469,0.7995087504386902
0,410712129,28659,6, Finn,0.9765625,1.0,0.0004017353057861328,0.7939832210540771
0,432018314,29393,6, Finn,0.8046875,1.0,0.0004367828369140625,0.7739142775535583
0,439427834,29644,6, Finn,1.0625,1.0,0.00042945146560668945,0.7782397866249084
0,441832400,29725,5,uckleberry,2.84375,1.0,0.001524806022644043,0.5337414741516113
0,446750885,29890,3, featuring,1.53125,1.0,0.00043761730194091797,0.7734774947166443
0,453200670,30105,9, by,1.25,1.0,0.0012118816375732422,0.5793581604957581
0,498127265,31562,6, Finn,1.703125,1.0,0.00045931339263916016,0.7591812610626221
0,513040527,32031,5,uckleberry,1.1875,1.0,0.0004035830497741699,0.7927753329277039
0,524604635,32390,5,uckleberry,0.70703125,1.0,0.00039702653884887695,0.795974612236023
0,539479127,32846,3, featuring,1.65625,1.0,0.00048023462295532227,0.7479296326637268
0,548020170,33105,5,uckleberry,0.90234375,1.0,0.00047510862350463867,0.7507957220077515
0,578119005,34002,8, written,1.890625,1.0,0.0005315542221069336,0.7287365198135376
0,588365055,34302,3, featuring,1.40625,1.0,0.0004527568817138672,0.7619166374206543
0,621263624,35248,5,uckleberry,0.9296875,1.0,0.00042378902435302734,0.7816580533981323
0,646075430,35945,1,The,2.71875,1.0,0.000777125358581543,0.6593229174613953
0,654224877,36171,5,uckleberry,2.125,1.0,0.0007861852645874023,0.6562029719352722
0,755146952,38861,6, Finn,1.4375,1.0,0.0005334019660949707,0.7276725172996521
0,765324125,39122,9, by,4.875,1.0,0.003635913133621216,0.45048898458480835
0,771518120,39280,6, Finn,2.125,1.0,0.0005741119384765625,0.7150018215179443
0,819294959,40478,5,uckleberry,1.9140625,1.0,0.0005626082420349121,0.7189614772796631
0,831565370,40780,7, was,6.5,1.0,0.00124359130859375,0.5683056712150574
0,831565370,40780,9, by,6.46875,1.0,0.006061941385269165,0.408255398273468
0,864136377,41571,5,uckleberry,1.140625,1.0,0.0006141066551208496,0.7020447850227356
0,865550420,41605,6, Finn,1.1171875,1.0,0.0004165768623352051,0.78416907787323
0,937076985,43290,8, written,2.046875,1.0,0.00044077634811401367,0.7704066634178162
0,989702294,44489,1,The,2.59375,1.0,0.0007784366607666016,0.6585457921028137
0,996163929,44634,1,The,2.65625,1.0,0.0007749795913696289,0.6608730554580688
0,1014053094,45033,3, featuring,1.15625,1.0,0.00044977664947509766,0.764625072479248
0,1024301690,45260,6, Finn,1.3828125,1.0,0.000497281551361084,0.7410802245140076
0,1025161839,45279,5,uckleberry,1.1875,1.0,0.0004786252975463867,0.7488881945610046
0,1059863819,46039,2, book,1.34375,1.0,0.000516355037689209,0.735540509223938
0,1068906965,46235,2, book,3.40625,1.0,0.0005117654800415039,0.7360522747039795
0,1090281555,46695,2, book,2.109375,1.0,0.0006802678108215332,0.6827631592750549
0,1099875350,46900,5,uckleberry,1.171875,1.0,0.000431060791015625,0.7769511342048645
0,1123356299,47398,9, by,0.28125,1.0,0.000562131404876709,0.7200859785079956
0,1128623804,47509,2, book,1.3125,1.0,0.0004487037658691406,0.7655226588249207
0,1134760979,47638,3, featuring,1.15625,1.0,0.000398099422454834,0.794782280921936
0,1141010334,47769,2, book,2.59375,1.0,0.0010611414909362793,0.5999566316604614
0,1171739844,48408,3, featuring,1.03125,1.0,0.0004165172576904297,0.7845855951309204
0,1190207654,48788,5,uckleberry,2.28125,1.0,0.0008563995361328125,0.6440089344978333
0,1197390515,48935,6, Finn,1.765625,1.0,0.00039499998092651367,0.7963696122169495
