layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05620162934064865,0.12147989124059677
-1,1,651,1,The,,1.0,0.024474799633026123,0.2586579918861389
-1,2,2870,2, book,,1.0,0.026419371366500854,0.2341831922531128
-1,3,24519,3, featuring,,1.0,0.03263044357299805,0.20776382088661194
-1,4,18720,4, Jay,,1.0,0.015934467315673828,0.2962903678417206
-1,5,152158,5, Gatsby,,1.0,0.06527826189994812,0.06527826189994812
-1,6,729,6, was,,1.0,0.021697908639907837,0.28035590052604675
-1,7,5952,7, written,,1.0,0.015568673610687256,0.31185904145240784
-1,8,731,8, by,,1.0,0.05365348607301712,0.1751333773136139
0,-1,0,2, book,,1.0,0.0013214945793151855,0.6129048466682434
0,-1,0,3, featuring,,1.0,0.0009782910346984863,0.6714110970497131
0,-1,0,4, Jay,,1.0,0.0004717111587524414,0.798977792263031
0,-1,0,5, Gatsby,,1.0,0.0023112893104553223,0.533035397529602
0,-1,0,6, was,,1.0,0.0006868243217468262,0.7321069240570068
0,-1,0,7, written,,1.0,0.0006358623504638672,0.7512978911399841
0,-1,0,8, by,,1.0,0.0011340975761413574,0.6443056464195251
0,1655289,1818,5, Gatsby,1.0234375,1.0,0.0005182623863220215,0.786188542842865
0,10619135,4607,5, Gatsby,4.25,1.0,0.0019339919090270996,0.5456945300102234
0,13527800,5200,6, was,3.09375,1.0,0.0010358095169067383,0.6573640704154968
0,13789125,5250,2, book,2.0625,1.0,0.0005571842193603516,0.7743592858314514
0,21763502,6596,7, written,1.9609375,1.0,0.0005789399147033691,0.7669798731803894
0,36606845,8555,3, featuring,1.046875,1.0,0.0005756020545959473,0.768709123134613
0,39582752,8896,7, written,3.703125,1.0,0.0006862282752990723,0.7327931523323059
0,72933002,12076,4, Jay,5.46875,1.0,0.0006392598152160645,0.7487491965293884
0,87880652,13256,5, Gatsby,1.453125,1.0,0.0007305741310119629,0.7185835838317871
0,88837784,13328,5, Gatsby,2.3125,1.0,0.0012427568435668945,0.6268346309661865
0,90511784,13453,6, was,1.671875,1.0,0.000561833381652832,0.7726805806159973
0,122422127,15646,5, Gatsby,1.484375,1.0,0.0007500648498535156,0.7141390442848206
0,123425615,15710,5, Gatsby,0.95703125,1.0,0.0007253885269165039,0.7229443192481995
0,155664189,17643,5, Gatsby,3.0,1.0,0.0011713504791259766,0.6328126788139343
0,170986277,18491,7, written,2.328125,1.0,0.0005072951316833496,0.7892695069313049
0,171800915,18535,8, by,3.84375,1.0,0.009477049112319946,0.3692058324813843
0,175865634,18753,6, was,3.296875,1.0,0.0006665587425231934,0.740912914276123
0,175865634,18753,8, by,4.59375,1.0,0.005577594041824341,0.44183674454689026
0,184329599,19199,3, featuring,1.6171875,1.0,0.0005063414573669434,0.7897758483886719
0,184425614,19204,1,The,2.5,1.0,0.0005038976669311523,0.790279746055603
0,247275440,22237,5, Gatsby,1.203125,1.0,0.0005720257759094238,0.7698535323143005
0,275619980,23477,1,The,2.34375,1.0,0.0005549192428588867,0.7749142050743103
0,280809450,23697,3, featuring,1.5390625,1.0,0.0005922913551330566,0.7622978091239929
0,316449902,25156,7, written,1.734375,1.0,0.00048792362213134766,0.7922704219818115
0,316449902,25156,8, by,0.796875,1.0,0.0007868409156799316,0.7057152986526489
0,323228024,25424,5, Gatsby,1.390625,1.0,0.0008942484855651855,0.6882074475288391
0,334615514,25868,5, Gatsby,1.5078125,1.0,0.000996708869934082,0.6655001640319824
0,345017045,26267,5, Gatsby,1.15625,1.0,0.0006377696990966797,0.7500258088111877
0,422430710,29065,5, Gatsby,1.40625,1.0,0.0007268190383911133,0.7207667231559753
