layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.051456715911626816,0.10340537875890732
-1,1,651,1,The,,1.0,0.024581730365753174,0.22244282066822052
-1,2,2870,2, book,,1.0,0.025737494230270386,0.19786109030246735
-1,3,24519,3, featuring,,1.0,0.03174734115600586,0.17212359607219696
-1,4,16693,4, Kat,,1.0,0.018804609775543213,0.28015387058258057
-1,5,98281,5,niss,,1.0,0.03697087615728378,0.1403762549161911
-1,6,17157,6, Ever,,1.0,0.014191776514053345,0.31127414107322693
-1,7,48125,7,deen,,1.0,0.016928493976593018,0.2970823645591736
-1,8,729,8, was,,1.0,0.019702941179275513,0.24214576184749603
-1,9,5952,9, written,,1.0,0.01920349895954132,0.26134926080703735
-1,10,731,10, by,,1.0,0.0519486628472805,0.0519486628472805
0,-1,0,2, book,,1.0,0.0012700557708740234,0.5792878270149231
0,-1,0,3, featuring,,1.0,0.0009509921073913574,0.6265287399291992
0,-1,0,4, Kat,,1.0,0.0005515217781066895,0.7259875535964966
0,-1,0,5,niss,,1.0,0.002129077911376953,0.5125839114189148
0,-1,0,6, Ever,,1.0,0.0004978179931640625,0.7467820644378662
0,-1,0,7,deen,,1.0,0.0005981326103210449,0.7105748057365417
0,-1,0,8, was,,1.0,0.00039845705032348633,0.7849526405334473
0,-1,0,9, written,,1.0,0.0006376504898071289,0.7007046341896057
0,-1,0,10, by,,1.0,0.0010395050048828125,0.6067022681236267
0,208334,644,5,niss,1.0625,1.0,0.00048166513442993164,0.752181887626648
0,273429,738,5,niss,1.9140625,1.0,0.0012922883033752441,0.5767368674278259
0,273429,738,7,deen,1.8046875,1.0,0.0003796815872192383,0.7911601662635803
0,742370,1217,3, featuring,0.953125,1.0,0.0003751516342163086,0.7930454015731812
0,4370445,2955,4, Kat,2.03125,1.0,0.000361025333404541,0.7996814846992493
0,13527800,5200,8, was,3.125,1.0,0.0008781552314758301,0.6421248912811279
0,13789125,5250,2, book,2.0625,1.0,0.0005254149436950684,0.7340477108955383
0,21763502,6596,9, written,1.9921875,1.0,0.0005718469619750977,0.7181469798088074
0,35267400,8397,5,niss,1.4375,1.0,0.0007611513137817383,0.6723303198814392
0,35612579,8438,5,niss,1.6875,1.0,0.000741124153137207,0.6760844588279724
0,36606845,8555,3, featuring,1.046875,1.0,0.00047779083251953125,0.7550575733184814
0,39582752,8896,9, written,3.765625,1.0,0.0009078383445739746,0.6385915875434875
0,47088659,9703,6, Ever,2.34375,1.0,0.0004799962043762207,0.7531424760818481
0,63298125,11250,3, featuring,1.28125,1.0,0.00038623809814453125,0.7888622283935547
0,64054220,11317,6, Ever,2.25,1.0,0.00043272972106933594,0.7721949219703674
0,65786184,11469,3, featuring,0.96875,1.0,0.00036710500717163086,0.7975046038627625
0,75466754,12284,1,The,2.8125,1.0,0.0004698038101196289,0.7578949928283691
0,90511784,13453,8, was,1.6875,1.0,0.0005602240562438965,0.7232185006141663
0,118787990,15412,3, featuring,0.9921875,1.0,0.0004099607467651367,0.7784956693649292
0,140205884,16744,3, featuring,1.34375,1.0,0.0005545616149902344,0.7243308424949646
0,143659724,16949,5,niss,0.953125,1.0,0.00045102834701538086,0.7638447284698486
0,163470320,18080,6, Ever,2.140625,1.0,0.0003764629364013672,0.7922946214675903
0,170986277,18491,9, written,2.375,1.0,0.0004438161849975586,0.7660841941833496
0,171800915,18535,10, by,3.96875,1.0,0.013466686010360718,0.32474082708358765
0,175865634,18753,8, was,3.75,1.0,0.0009232759475708008,0.6349377632141113
0,175865634,18753,10, by,4.71875,1.0,0.004569351673126221,0.42768239974975586
0,184329599,19199,3, featuring,1.6171875,1.0,0.0005372762680053711,0.7313989996910095
0,184425614,19204,1,The,2.5,1.0,0.0005263686180114746,0.7335222959518433
0,214462404,20709,3, featuring,1.015625,1.0,0.00042313337326049805,0.7747559547424316
0,230641502,21476,3, featuring,1.140625,1.0,0.00039249658584594727,0.7865321636199951
0,231975029,21538,3, featuring,1.203125,1.0,0.000433504581451416,0.7717621922492981
0,252663959,22478,9, written,1.546875,1.0,0.00043135881423950195,0.7730587720870972
0,271573164,23304,4, Kat,2.640625,1.0,0.0005602240562438965,0.7226582765579224
0,275619980,23477,1,The,2.34375,1.0,0.000582575798034668,0.7146997451782227
0,280809450,23697,3, featuring,1.5390625,1.0,0.0006080269813537598,0.7075714468955994
0,316449902,25156,9, written,1.828125,1.0,0.00037997961044311523,0.7907804846763611
0,316449902,25156,10, by,0.8359375,1.0,0.0005222558975219727,0.7350946664810181
0,327232152,25581,3, featuring,1.046875,1.0,0.00042498111724853516,0.7739086747169495
0,351748025,26522,4, Kat,2.046875,1.0,0.00039839744567871094,0.785351037979126
0,362222069,26914,5,niss,0.7265625,1.0,0.000410616397857666,0.7780857086181641
0,395156327,28111,3, featuring,1.3359375,1.0,0.00038546323776245117,0.7892476916313171
0,439961615,29662,5,niss,0.875,1.0,0.0004341602325439453,0.7704610228538513
0,446750885,29890,3, featuring,1.53125,1.0,0.0005008578300476074,0.7447855472564697
0,453200670,30105,10, by,1.265625,1.0,0.0008507966995239258,0.6481570601463318
0,462977234,30428,3, featuring,1.0,1.0,0.0004418492317199707,0.7665260434150696
0,535741010,32732,3, featuring,1.7578125,1.0,0.0004051327705383301,0.780122697353363
0,539479127,32846,3, featuring,1.65625,1.0,0.0005410909652709961,0.728168249130249
0,554828015,33310,3, featuring,1.1171875,1.0,0.0003879666328430176,0.7877016663551331
0,578119005,34002,9, written,2.0,1.0,0.0006756186485290527,0.6902990937232971
0,588365055,34302,3, featuring,1.40625,1.0,0.00044041872024536133,0.7669664621353149
0,646075430,35945,1,The,2.71875,1.0,0.0007465481758117676,0.6753433346748352
0,687963870,37092,7,deen,4.125,1.0,0.0005074739456176758,0.7397395372390747
