layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.054658666253089905,0.054658666253089905
-1,1,651,1,The,,1.0,0.027130842208862305,0.2659945487976074
-1,2,2870,2, book,,1.0,0.028841733932495117,0.2110132873058319
-1,3,24519,3, featuring,,1.0,0.03386065363883972,0.1821715533733368
-1,4,54608,4, Winston,,1.0,0.043472252786159515,0.14831089973449707
-1,5,7292,5, Smith,,1.0,0.027850419282913208,0.23886370658874512
-1,6,729,6, was,,1.0,0.02041327953338623,0.28640782833099365
-1,7,5952,7, written,,1.0,0.017427682876586914,0.3231394588947296
-1,8,731,8, by,,1.0,0.05017998069524765,0.10483864694833755
0,-1,0,2, book,,1.0,0.0013533234596252441,0.5998551845550537
0,-1,0,3, featuring,,1.0,0.0012004971504211426,0.6203903555870056
0,-1,0,4, Winston,,1.0,0.0012053251266479492,0.6191898584365845
0,-1,0,5, Smith,,1.0,0.0018604397773742676,0.542363166809082
0,-1,0,6, was,,1.0,0.0005552172660827637,0.7585057020187378
0,-1,0,7, written,,1.0,0.0006783008575439453,0.7201115489006042
0,-1,0,8, by,,1.0,0.0010243654251098633,0.6578462719917297
0,4323269,2939,4, Winston,1.140625,1.0,0.0005115270614624023,0.7744062542915344
0,4435730,2977,4, Winston,1.3828125,1.0,0.000690758228302002,0.7160155177116394
0,7108334,3769,3, featuring,1.1015625,1.0,0.00043648481369018555,0.7998126149177551
0,13527800,5200,6, was,3.03125,1.0,0.0008102655410766602,0.6914412975311279
0,13789125,5250,2, book,2.0625,1.0,0.0007070302963256836,0.710411787033081
0,21763502,6596,7, written,1.9453125,1.0,0.0005348324775695801,0.7644809484481812
0,32348945,8042,4, Winston,1.4296875,1.0,0.0005906224250793457,0.7475934624671936
0,36606845,8555,3, featuring,1.046875,1.0,0.0004951357841491699,0.7764129638671875
0,39582752,8896,7, written,3.703125,1.0,0.0009668469429016113,0.6658260226249695
0,58606550,10825,4, Winston,1.296875,1.0,0.0007718205451965332,0.7000976204872131
0,63298125,11250,3, featuring,1.28125,1.0,0.0004845261573791504,0.781309962272644
0,65786184,11469,3, featuring,0.96875,1.0,0.0005133748054504395,0.7733826041221619
0,75466754,12284,1,The,2.8125,1.0,0.00044596195220947266,0.797612190246582
0,88225685,13282,4, Winston,1.6015625,1.0,0.0005867481231689453,0.7481802105903625
0,90511784,13453,6, was,1.859375,1.0,0.0006577372550964355,0.724108099937439
0,140205884,16744,3, featuring,1.34375,1.0,0.0005835294723510742,0.7510991096496582
0,144933824,17024,4, Winston,1.1875,1.0,0.000474393367767334,0.7889827489852905
0,171800915,18535,8, by,3.9375,1.0,0.011339664459228516,0.33447912335395813
0,175266002,18721,5, Smith,3.59375,1.0,0.0026318132877349854,0.4771808683872223
0,175865634,18753,6, was,3.3125,1.0,0.000892341136932373,0.6796228289604187
0,175865634,18753,8, by,4.625,1.0,0.004945546388626099,0.41308677196502686
0,180566505,19002,4, Winston,1.609375,1.0,0.0005460381507873535,0.7601481080055237
0,184329599,19199,3, featuring,1.6171875,1.0,0.0005121231079101562,0.773894727230072
0,184425614,19204,1,The,2.5,1.0,0.0005271434783935547,0.7671319246292114
0,231975029,21538,3, featuring,1.203125,1.0,0.0004538297653198242,0.7917639017105103
0,233614919,21614,4, Winston,1.234375,1.0,0.0007062554359436035,0.7111180424690247
0,275619980,23477,1,The,2.34375,1.0,0.000647425651550293,0.7280116081237793
0,280809450,23697,3, featuring,1.5390625,1.0,0.0007339119911193848,0.7061249017715454
0,290682215,24110,4, Winston,1.4765625,1.0,0.00048035383224487305,0.785170316696167
0,316449902,25156,8, by,0.8203125,1.0,0.0006697773933410645,0.7221275568008423
0,320082950,25300,5, Smith,1.53125,1.0,0.0008338689804077148,0.6881687641143799
0,323228024,25424,5, Smith,1.96875,1.0,0.0009260773658752441,0.6705407500267029
0,349840925,26450,4, Winston,1.0390625,1.0,0.0006111860275268555,0.7386008501052856
0,395156327,28111,3, featuring,1.3359375,1.0,0.0005203485488891602,0.770797073841095
0,439427834,29644,4, Winston,0.94140625,1.0,0.0005265474319458008,0.7676584720611572
0,446750885,29890,3, featuring,1.53125,1.0,0.0005692839622497559,0.7551383972167969
0,453200670,30105,8, by,1.390625,1.0,0.0008460283279418945,0.6865004897117615
0,462977234,30428,3, featuring,1.0,1.0,0.0005607008934020996,0.7573903799057007
0,479369165,30962,4, Winston,1.3046875,1.0,0.0005216002464294434,0.7702767252922058
0,535741010,32732,8, by,0.59375,1.0,0.0005443096160888672,0.7612375617027283
0,539479127,32846,3, featuring,1.65625,1.0,0.0005956292152404785,0.7446292042732239
0,546531390,33060,3, featuring,0.890625,1.0,0.00045031309127807617,0.7944746613502502
0,578119005,34002,7, written,1.875,1.0,0.000583350658416748,0.751682460308075
0,646075430,35945,1,The,2.71875,1.0,0.0007846355438232422,0.6962241530418396
0,765324125,39122,8, by,4.75,1.0,0.0035442113876342773,0.4407840967178345
0,831565370,40780,6, was,6.65625,1.0,0.001601874828338623,0.5660976767539978
0,831565370,40780,8, by,6.53125,1.0,0.005692541599273682,0.39726367592811584
0,989702294,44489,1,The,2.59375,1.0,0.0008995532989501953,0.6778355836868286
0,996163929,44634,1,The,2.65625,1.0,0.0007609128952026367,0.7023912668228149
0,1010678319,44958,4, Winston,1.359375,1.0,0.00047522783279418945,0.7880334258079529
0,1014053094,45033,3, featuring,1.15625,1.0,0.0004887580871582031,0.779853880405426
0,1059863819,46039,2, book,1.34375,1.0,0.0005927085876464844,0.7464104294776917
0,1068906965,46235,2, book,3.40625,1.0,0.0005931258201599121,0.7458177208900452
0,1090281555,46695,2, book,2.109375,1.0,0.0009627342224121094,0.6667887568473816
0,1106216165,47035,5, Smith,0.92578125,1.0,0.00048410892486572266,0.7822781801223755
0,1123356299,47398,8, by,0.32421875,1.0,0.0005256533622741699,0.7681841254234314
0,1128623804,47509,2, book,1.3125,1.0,0.0005436539649963379,0.7623251676559448
0,1128861369,47514,4, Winston,1.7734375,1.0,0.0005835890769958496,0.7505155801773071
0,1141010334,47769,2, book,2.59375,1.0,0.0011324882507324219,0.6331720352172852
0,1228171140,49560,6, was,1.953125,1.0,0.0005407333374023438,0.7634081840515137
0,1251375377,50026,3, featuring,1.4765625,1.0,0.000611424446105957,0.7379896640777588
0,1321262714,51404,5, Smith,1.3671875,1.0,0.0005739331245422363,0.7539995908737183
0,1322805329,51434,1,The,2.71875,1.0,0.0007745027542114258,0.6985533833503723
0,1468792899,54198,1,The,5.78125,1.0,0.0008186101913452148,0.6906310319900513
0,1489024305,54570,5, Smith,1.546875,1.0,0.0005843043327331543,0.7487645149230957
0,1489133450,54572,1,The,2.578125,1.0,0.0005837678909301758,0.7493482828140259
0,1492846760,54640,4, Winston,1.4296875,1.0,0.0004406571388244629,0.7989369630813599
0,1519355249,55123,2, book,0.76171875,1.0,0.0004532933235168457,0.7922171950340271
0,1556792099,55798,3, featuring,1.015625,1.0,0.000532984733581543,0.7655476331710815
0,1673803010,57857,6, was,2.5,1.0,0.0006555318832397461,0.7247636318206787
0,1713553610,58540,8, by,2.4375,1.0,0.003966957330703735,0.4260357618331909
0,1976538500,62872,1,The,2.6875,1.0,0.0004794001579284668,0.7856497168540955
0,2026329629,63659,4, Winston,1.6484375,1.0,0.0009348392486572266,0.6686853766441345
0,2108374515,64935,2, book,1.84375,1.0,0.0010378360748291016,0.6547553539276123
0,2201327127,66351,2, book,1.515625,1.0,0.0009292960166931152,0.6696146726608276
0,2250232154,67084,6, was,2.0,1.0,0.0005651712417602539,0.7562687993049622
0,2281805234,67553,3, featuring,2.3125,1.0,0.0008575320243835449,0.6822495460510254
0,2286807005,67627,5, Smith,1.65625,1.0,0.0010599493980407715,0.6505768895149231
0,2294523152,67741,4, Winston,1.21875,1.0,0.0005924105644226074,0.7470028400421143
0,2337194264,68368,4, Winston,1.3828125,1.0,0.0006984472274780273,0.7146275639533997
0,2380189509,68994,4, Winston,2.140625,1.0,0.0005608797073364258,0.7568296790122986
0,2479734675,70422,3, featuring,1.671875,1.0,0.0005463957786560059,0.7596020698547363
0,2508621527,70831,5, Smith,0.93359375,1.0,0.0005379319190979004,0.7639461159706116
0,2631932627,72551,4, Winston,2.015625,1.0,0.0005000829696655273,0.7759178280830383
0,2664609500,73000,3, featuring,1.5,1.0,0.0007448196411132812,0.7046513557434082
0,2667019094,73033,5, Smith,1.109375,1.0,0.0004929900169372559,0.7774001359939575
0,2814412824,75024,4, Winston,2.09375,1.0,0.0005837082862854004,0.7499319911003113
0,2962074995,76967,4, Winston,2.140625,1.0,0.0005820989608764648,0.7522645592689514
0,3059692650,78225,4, Winston,3.328125,1.0,0.001593947410583496,0.5676916241645813
0,3083048549,78523,2, book,1.65625,1.0,0.0007396340370178223,0.705390989780426
