layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05079897493124008,0.10205971449613571
-1,1,651,1,The,,1.0,0.026227757334709167,0.18896962702274323
-1,2,1370,2, first,,1.0,0.021260052919387817,0.2824971079826355
-1,3,1503,3, name,,1.0,0.025846347212791443,0.21481597423553467
-1,4,576,4, of,,1.0,0.013632655143737793,0.31244760751724243
-1,5,573,5, the,,1.0,0.010406315326690674,0.3335222005844116
-1,6,38942,6, painter,,1.0,0.02721935510635376,0.16274186968803406
-1,7,576,7, of,,1.0,0.010668277740478516,0.32311588525772095
-1,8,3725,8, American,,1.0,0.02426290512084961,0.23907887935638428
-1,9,60151,9, Gothic,,1.0,0.05126073956489563,0.05126073956489563
-1,10,603,10, is,,1.0,0.033462800085544586,0.1355225145816803
0,-1,0,2, first,,1.0,0.00045049190521240234,0.7783430814743042
0,-1,0,3, name,,1.0,0.0017490983009338379,0.5234068632125854
0,-1,0,6, painter,,1.0,0.0008882880210876465,0.6587659120559692
0,-1,0,8, American,,1.0,0.0005485415458679199,0.7400109767913818
0,-1,0,9, Gothic,,1.0,0.003590792417526245,0.4171351492404938
0,-1,0,10, is,,1.0,0.00048470497131347656,0.7620664238929749
0,26795,230,10, is,3.484375,1.0,0.0026346147060394287,0.45892345905303955
0,831404,1288,3, name,1.125,1.0,0.0007110834121704102,0.6950108408927917
0,1021734,1428,9, Gothic,1.484375,1.0,0.0006494522094726562,0.707938015460968
0,1230095,1567,3, name,1.265625,1.0,0.00041353702545166016,0.7921660542488098
0,1853774,1924,9, Gothic,1.046875,1.0,0.0005144476890563965,0.7516570091247559
0,2338202,2161,4, of,3.125,1.0,0.0005161166191101074,0.7506271600723267
0,2338202,2161,7, of,3.90625,1.0,0.0006342530250549316,0.7130599021911621
0,5519502,3321,9, Gothic,0.87890625,1.0,0.0009109377861022949,0.6533768177032471
0,10136252,4501,9, Gothic,1.015625,1.0,0.0006653070449829102,0.7046442031860352
0,13527800,5200,10, is,3.78125,1.0,0.0030515193939208984,0.4365537464618683
0,17680430,5945,9, Gothic,0.74609375,1.0,0.00044846534729003906,0.7796890735626221
0,45969665,9587,9, Gothic,1.109375,1.0,0.0005856752395629883,0.725791871547699
0,75466754,12284,1,The,2.8125,1.0,0.00048154592514038086,0.7630324363708496
0,78431549,12523,3, name,1.4921875,1.0,0.0007305145263671875,0.6906964778900146
0,98049005,14002,3, name,4.21875,1.0,0.0031302273273468018,0.4335022270679474
0,109690265,14810,4, of,1.890625,1.0,0.0004621744155883789,0.7714883685112
0,114602229,15138,8, American,2.109375,1.0,0.0005660653114318848,0.7344406843185425
0,122234429,15634,9, Gothic,1.390625,1.0,0.0009709596633911133,0.6345106363296509
0,122265702,15636,4, of,1.1640625,1.0,0.00047069787979125977,0.7672871351242065
0,124812099,15798,2, first,3.03125,1.0,0.0005503296852111816,0.7394624352455139
0,137605754,16588,9, Gothic,0.796875,1.0,0.00044077634811401367,0.7832444906234741
0,143422515,16935,9, Gothic,0.64453125,1.0,0.00042307376861572266,0.7888270616531372
0,154203140,17560,9, Gothic,1.078125,1.0,0.0005243420600891113,0.7475059628486633
0,157380410,17740,2, first,1.6875,1.0,0.00041550397872924805,0.7909244894981384
0,175865634,18753,4, of,6.6875,1.0,0.0014278292655944824,0.5513932108879089
0,175865634,18753,5, the,6.90625,1.0,0.0006580352783203125,0.7072885632514954
0,175865634,18753,7, of,6.1875,1.0,0.0010654330253601074,0.61529541015625
0,175865634,18753,10, is,5.8125,1.0,0.004043608903884888,0.40224939584732056
0,199270665,19962,6, painter,2.5,1.0,0.0005154013633728027,0.7511425614356995
0,200170035,20007,9, Gothic,0.98828125,1.0,0.0007853507995605469,0.676339864730835
0,203868527,20191,9, Gothic,1.2109375,1.0,0.000956118106842041,0.6412373185157776
0,210504420,20517,9, Gothic,2.4375,1.0,0.0013744235038757324,0.5597478151321411
0,216496835,20807,2, first,2.28125,1.0,0.0008521676063537598,0.6674616932868958
0,222594449,21098,3, name,1.15625,1.0,0.0003991127014160156,0.7982835173606873
0,244569785,22115,3, name,1.1796875,1.0,0.0005251765251159668,0.7469816207885742
0,249370277,22331,6, painter,1.953125,1.0,0.0005351901054382324,0.743805468082428
0,256862444,22664,2, first,2.828125,1.0,0.001198112964630127,0.5891886949539185
0,275619980,23477,1,The,2.34375,1.0,0.0005944371223449707,0.7228471636772156
0,326899664,25568,9, Gothic,1.1875,1.0,0.001273036003112793,0.5780348777770996
0,337623104,25984,5, the,2.359375,1.0,0.00041872262954711914,0.7905089855194092
0,354272270,26617,9, Gothic,2.40625,1.0,0.001278698444366455,0.5767618417739868
0,354591764,26629,7, of,1.421875,1.0,0.0005834698677062988,0.728128969669342
0,389107355,27895,9, Gothic,1.203125,1.0,0.00048553943634033203,0.7615817189216614
0,419905709,28978,6, painter,1.421875,1.0,0.000467836856842041,0.7696300148963928
0,463799195,30455,9, Gothic,0.9453125,1.0,0.0009045600891113281,0.6551876664161682
0,500244264,31629,2, first,2.1875,1.0,0.0005713105201721191,0.7315994501113892
0,529181777,32531,9, Gothic,0.94140625,1.0,0.00040912628173828125,0.7946378588676453
0,535741010,32732,3, name,1.515625,1.0,0.0004101991653442383,0.794228732585907
0,570932735,33790,9, Gothic,1.4296875,1.0,0.0006453990936279297,0.7092295289039612
0,626951754,35409,9, Gothic,1.796875,1.0,0.0013210177421569824,0.5651006698608398
0,629113655,35470,9, Gothic,1.1640625,1.0,0.0012890100479125977,0.5742037892341614
0,646075430,35945,1,The,2.71875,1.0,0.0007476806640625,0.6870080232620239
0,661224794,36364,9, Gothic,1.515625,1.0,0.0009909272193908691,0.6296296715736389
0,695589050,37297,6, painter,1.1484375,1.0,0.0004360079765319824,0.7841211557388306
0,765324125,39122,4, of,4.625,1.0,0.0007654428482055664,0.6809670329093933
0,765324125,39122,7, of,5.4375,1.0,0.0007874965667724609,0.6755545139312744
0,775214999,39374,10, is,1.578125,1.0,0.0011729001998901367,0.5962874293327332
0,831565370,40780,4, of,5.4375,1.0,0.0010413527488708496,0.6226311326026917
0,831565370,40780,5, the,6.75,1.0,0.0008240342140197754,0.6699601411819458
0,831565370,40780,7, of,5.0,1.0,0.0009383559226989746,0.6459863781929016
0,831565370,40780,10, is,6.375,1.0,0.0037690401077270508,0.40994372963905334
0,837939452,40936,4, of,5.375,1.0,0.0018510818481445312,0.5125172734260559
0,837939452,40936,7, of,5.03125,1.0,0.0014559030532836914,0.5485174655914307
0,845571125,41122,4, of,1.390625,1.0,0.0004673004150390625,0.7700973153114319
0,864302675,41575,9, Gothic,1.4140625,1.0,0.0005617141723632812,0.7366898655891418
0,875983295,41855,10, is,1.1015625,1.0,0.0006227493286132812,0.7149385809898376
0,989702294,44489,1,The,2.59375,1.0,0.0008185505867004395,0.6707786917686462
0,996163929,44634,1,The,2.65625,1.0,0.0005691647529602051,0.732738733291626
0,1031329235,45415,6, painter,1.0625,1.0,0.00045496225357055664,0.7765377163887024
0,1041162527,45631,3, name,1.59375,1.0,0.0006216168403625488,0.7161824703216553
0,1126866600,47472,3, name,0.84765625,1.0,0.00046813488006591797,0.7691621780395508
0,1148235080,47920,9, Gothic,1.21875,1.0,0.0006731152534484863,0.7026404142379761
0,1228171140,49560,10, is,3.234375,1.0,0.0019968748092651367,0.5049409866333008
0,1269399690,50385,8, American,3.375,1.0,0.001179516315460205,0.5939378142356873
0,1315973252,51301,9, Gothic,1.15625,1.0,0.0004432201385498047,0.7823625802993774
0,1322805329,51434,1,The,2.71875,1.0,0.0007503032684326172,0.6847618222236633
0,1322805329,51434,5, the,5.625,1.0,0.0009611845016479492,0.6393231749534607
0,1446977909,53794,3, name,1.328125,1.0,0.00039696693420410156,0.7994756698608398
0,1468792899,54198,1,The,5.78125,1.0,0.0009167194366455078,0.6515504717826843
0,1485261252,54501,6, painter,1.6953125,1.0,0.0006698369979858398,0.7033102512359619
0,1489133450,54572,1,The,2.578125,1.0,0.0005028843879699707,0.7531788349151611
0,1495962950,54697,6, painter,1.0,1.0,0.0004132986068725586,0.7925793528556824
0,1551105752,55696,9, Gothic,1.640625,1.0,0.000746607780456543,0.6877546310424805
0,1717009299,58599,6, painter,1.125,1.0,0.0003972649574279785,0.7990787029266357
0,1746316350,59097,2, first,2.53125,1.0,0.00042831897735595703,0.7862755060195923
0,1791220730,59852,9, Gothic,1.109375,1.0,0.0005169510841369629,0.7501110434532166
0,1817592777,60291,8, American,2.15625,1.0,0.0004512667655944824,0.7774418592453003
0,1831123385,60515,6, painter,1.8515625,1.0,0.0005440115928649902,0.7411012649536133
0,1862238905,61027,3, name,1.46875,1.0,0.0006384849548339844,0.7111532092094421
0,1895032265,61562,4, of,2.421875,1.0,0.00047135353088378906,0.7658741474151611
0,1895032265,61562,7, of,2.96875,1.0,0.0004731416702270508,0.764930784702301
0,1939430339,62279,2, first,1.625,1.0,0.00041306018829345703,0.7934056520462036
0,1943480684,62344,9, Gothic,1.453125,1.0,0.0008761286735534668,0.6622836589813232
0,1976538500,62872,1,The,2.6875,1.0,0.00042170286178588867,0.789671003818512
0,2036272835,63815,9, Gothic,1.375,1.0,0.0013382434844970703,0.5624572038650513
0,2065091510,64265,6, painter,1.515625,1.0,0.0005009174346923828,0.7541822195053101
0,2126269865,65210,6, painter,1.5390625,1.0,0.0005849599838256836,0.7263768315315247
0,2185166885,66107,9, Gothic,0.9140625,1.0,0.0006121993064880371,0.7192578911781311
0,2208831344,66464,9, Gothic,1.5703125,1.0,0.0012911558151245117,0.5716255903244019
