layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05569387972354889,0.05569387972354889
-1,1,651,1,The,,1.0,0.026898041367530823,0.20112349092960358
-1,2,1370,2, first,,1.0,0.016425952315330505,0.2569466233253479
-1,3,1503,3, name,,1.0,0.021706625819206238,0.22283011674880981
-1,4,576,4, of,,1.0,0.013488322496414185,0.2704349458217621
-1,5,573,5, the,,1.0,0.010358721017837524,0.304117351770401
-1,6,38942,6, painter,,1.0,0.029261156916618347,0.17422544956207275
-1,7,576,7, of,,1.0,0.010635793209075928,0.2937586307525635
-1,8,714,8, The,,1.0,0.012687891721725464,0.28312283754348755
-1,9,35359,9, Birth,,1.0,0.01769055426120758,0.2405206710100174
-1,10,576,10, of,,1.0,0.00810021162033081,0.3216778337955475
-1,11,42458,11, Venus,,1.0,0.04182411730289459,0.1449642926454544
-1,12,603,12, is,,1.0,0.047446295619010925,0.10314017534255981
0,-1,0,2, first,,1.0,0.00036275386810302734,0.7780560851097107
0,-1,0,3, name,,1.0,0.0015538334846496582,0.5026434063911438
0,-1,0,6, painter,,1.0,0.00131303071975708,0.5322412848472595
0,-1,0,9, Birth,,1.0,0.0007038116455078125,0.654734194278717
0,-1,0,11, Venus,,1.0,0.0017305314540863037,0.4813898801803589
0,-1,0,12, is,,1.0,0.0006333589553833008,0.6726595759391785
0,4949,98,11, Venus,1.140625,1.0,0.0005203485488891602,0.7071977257728577
0,26795,230,12, is,3.28125,1.0,0.005897819995880127,0.37467098236083984
0,66065,362,8, The,3.25,1.0,0.0007609724998474121,0.6402575373649597
0,141245,530,11, Venus,1.15625,1.0,0.0004363059997558594,0.739852786064148
0,827540,1285,6, painter,2.75,1.0,0.0004646182060241699,0.7273202538490295
0,831404,1288,3, name,1.125,1.0,0.0007343292236328125,0.644719660282135
0,1230095,1567,3, name,1.265625,1.0,0.00040853023529052734,0.7550475597381592
0,1357127,1646,11, Venus,1.0234375,1.0,0.00040924549102783203,0.7542304396629333
0,2338202,2161,4, of,3.125,1.0,0.000598907470703125,0.6832072734832764
0,2338202,2161,7, of,3.90625,1.0,0.0006233453750610352,0.6783186793327332
0,2338202,2161,10, of,4.0,1.0,0.0003542900085449219,0.781287431716919
0,13527800,5200,12, is,3.3125,1.0,0.006149739027023315,0.3626914620399475
0,19640777,6266,9, Birth,1.3828125,1.0,0.00033730268478393555,0.7920007109642029
