feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_40936,0,40936,entity: A famous painting is The Birth of Venus, of,9,83.2618408203125,0.9,functional,"[{""token"": "" Birth"", ""index"": 8, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,of,"[{""tk"": ""of"", ""act"": 83.2618408203125}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_95475,0,95475,entity: A famous painting is The Birth of Venus, painting,5,78.08279418945312,0.6705484202989349,semantic,"[{""token"": "" painting"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,paintings,"[{""tk"": ""paintings"", ""act"": 87.22464752197266}, {""tk"": ""painting"", ""act"": 78.08279418945312}, {""tk"": ""painter"", ""act"": 72.56603240966797}, {""tk"": ""name"", ""act"": 51.99420166015625}, {""tk"": ""creates"", ""act"": 48.34333801269531}, {""tk"": ""Birth"", ""act"": 36.42095947265625}, {""tk"": ""Venus"", ""act"": 34.99118423461914}, {""tk"": ""called"", ""act"": 31.9904842376709}, {""tk"": ""Bot"", ""act"": 31.8353214263916}, {""tk"": ""first"", ""act"": 21.10489845275879}, {""tk"": ""ticelli"", ""act"": 13.340141296386719}, {""tk"": ""Sandro"", ""act"": 13.200905799865723}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous painting is The Birth of Venus,:,2,55.24455642700195,0.8259325057283065,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""of"", ""act"": 42.099979400634766}, {""tk"": ""the"", ""act"": 27.90477752685547}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous painting is The Birth of Venus,:,2,51.97817993164063,0.7375647229572675,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""of"", ""act"": 46.54955291748047}, {""tk"": ""is"", ""act"": 45.46294403076172}, {""tk"": ""the"", ""act"": 45.05503845214844}, {""tk"": ""their"", ""act"": 23.47271728515625}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
0_73759,0,73759,entity: A famous painting is The Birth of Venus, of,9,50.15470886230469,0.9,functional,"[{""token"": "" Birth"", ""index"": 8, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary,1.0,False,,of,"[{""tk"": ""of"", ""act"": 50.15470886230469}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_230,0,230,entity: A famous painting is The Birth of Venus, is,6,49.8835563659668,0.9,functional,"[{""token"": "" Birth"", ""index"": 8, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.8835563659668}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous painting is The Birth of Venus, The,7,49.26338577270508,0.8029574338933853,functional,"[{""token"": "" Birth"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90497970581055}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous painting is The Birth of Venus, is,6,46.50691604614258,0.7460664380225615,functional,"[{""token"": "" Birth"", ""index"": 8, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""is"", ""act"": 50.4288215637207}, {""tk"": ""their"", ""act"": 42.35243606567383}, {""tk"": ""of"", ""act"": 39.56308364868164}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
0_51434,0,51434,entity: A famous painting is The Birth of Venus, The,7,46.43590545654297,0.9,functional,"[{""token"": "" Birth"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,The,"[{""tk"": ""the"", ""act"": 79.9813003540039}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_77286,0,77286,entity: A famous painting is The Birth of Venus, The,7,45.440128326416016,0.8978729397523828,functional,"[{""token"": "" Birth"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,Semantic (unknown),"[{""tk"": ""The"", ""act"": 45.440128326416016}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Birth"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Venus"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Sandro"", ""act"": 0.0}, {""tk"": ""Bot"", ""act"": 0.0}, {""tk"": ""ticelli"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
