layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05273476243019104,0.05273476243019104
-1,1,651,1,The,,1.0,0.023394659161567688,0.24070331454277039
-1,2,1370,2, first,,1.0,0.015817373991012573,0.2747446894645691
-1,3,1503,3, name,,1.0,0.018224000930786133,0.2589273154735565
-1,4,576,4, of,,1.0,0.013277500867843628,0.2880221903324127
-1,5,573,5, the,,1.0,0.009103059768676758,0.3076707422733307
-1,6,38942,6, painter,,1.0,0.028272703289985657,0.2173086553812027
-1,7,576,7, of,,1.0,0.010545492172241211,0.29856768250465393
-1,8,2606,8, Gu,,1.0,0.02901338040828705,0.18903595209121704
-1,9,1803,9,ern,,1.0,0.035785987973213196,0.1245361715555191
-1,10,1820,10,ica,,1.0,0.03601542115211487,0.08875018358230591
-1,11,603,11, is,,1.0,0.03548640012741089,0.16002257168293
0,-1,0,3, name,,1.0,0.0013003349304199219,0.5064733028411865
0,-1,0,4, of,,1.0,0.0003094673156738281,0.7994799613952637
0,-1,0,6, painter,,1.0,0.0011058449745178223,0.531072735786438
0,-1,0,7, of,,1.0,0.00031375885009765625,0.7966731786727905
0,-1,0,8, Gu,,1.0,0.0006633400917053223,0.6414186954498291
0,-1,0,9,ern,,1.0,0.0018460750579833984,0.4377496540546417
0,-1,0,10,ica,,1.0,0.001420050859451294,0.48617151379585266
0,-1,0,11, is,,1.0,0.0006687641143798828,0.638756513595581
0,26795,230,11, is,3.359375,1.0,0.003530651330947876,0.37870702147483826
0,617715,1110,10,ica,0.65625,1.0,0.00033861398696899414,0.7803713083267212
0,827540,1285,6, painter,2.75,1.0,0.0004342794418334961,0.7259713411331177
0,831404,1288,3, name,1.125,1.0,0.00054931640625,0.6779358983039856
0,1230095,1567,3, name,1.265625,1.0,0.0003491044044494629,0.772127628326416
0,1493855,1727,9,ern,1.234375,1.0,0.0006233453750610352,0.6503496170043945
0,2338202,2161,4, of,3.125,1.0,0.0007342696189880371,0.6115397214889526
0,2338202,2161,7, of,3.90625,1.0,0.0007230639457702637,0.6173512935638428
0,4370445,2955,8, Gu,2.5625,1.0,0.0005919933319091797,0.6630427241325378
0,5256902,3241,8, Gu,1.1875,1.0,0.00033843517303466797,0.7810481786727905
0,13043277,5106,9,ern,0.5390625,1.0,0.0003567934036254883,0.7678996324539185
0,13527800,5200,11, is,3.40625,1.0,0.00540238618850708,0.3408665060997009
0,18243819,6039,10,ica,1.078125,1.0,0.0006744265556335449,0.6360702514648438
0,35612579,8438,9,ern,2.4375,1.0,0.0013124346733093262,0.5038648247718811
0,35612579,8438,10,ica,1.796875,1.0,0.0006757378578186035,0.6353958249092102
0,38373179,8759,9,ern,1.09375,1.0,0.0004462003707885742,0.720689058303833
0,49287555,9927,8, Gu,1.65625,1.0,0.00038880109786987305,0.7533318400382996
0,56397509,10619,9,ern,1.140625,1.0,0.0003497004508972168,0.7714290618896484
0,75466754,12284,1,The,2.8125,1.0,0.0003892183303833008,0.752554178237915
0,78431549,12523,3, name,1.4921875,1.0,0.0005780458450317383,0.6694726347923279
0,91226277,13506,5, the,2.921875,1.0,0.00039762258529663086,0.7474391460418701
0,98049005,14002,3, name,4.21875,1.0,0.0017988383769989014,0.4395484924316406
0,109690265,14810,4, of,1.890625,1.0,0.0003421306610107422,0.7773083448410034
0,122265702,15636,4, of,1.1640625,1.0,0.00039637088775634766,0.7486300468444824
0,124812099,15798,2, first,3.03125,1.0,0.000504612922668457,0.6943097710609436
0,157380410,17740,2, first,1.6875,1.0,0.0003829002380371094,0.7583398818969727
0,169160420,18392,10,ica,1.0625,1.0,0.0006889104843139648,0.6272088289260864
0,175865634,18753,4, of,6.6875,1.0,0.0011338591575622559,0.524364709854126
0,175865634,18753,5, the,6.90625,1.0,0.0006785392761230469,0.6326906681060791
0,175865634,18753,7, of,6.1875,1.0,0.0009338259696960449,0.5640833973884583
0,175865634,18753,11, is,5.65625,1.0,0.0035043954849243164,0.3822114169597626
0,184425614,19204,1,The,2.5,1.0,0.00048339366912841797,0.7022063732147217
0,199270665,19962,6, painter,2.5,1.0,0.0008706450462341309,0.5821581482887268
0,216496835,20807,2, first,2.28125,1.0,0.0008274316787719727,0.5898460149765015
0,222594449,21098,3, name,1.15625,1.0,0.00034302473068237305,0.7769662141799927
0,225983169,21258,9,ern,0.9453125,1.0,0.00034946203231811523,0.7717785239219666
0,228092760,21357,9,ern,0.77734375,1.0,0.00035822391510009766,0.7671857476234436
0,231673574,21524,9,ern,1.0546875,1.0,0.0003845691680908203,0.7564223408699036
0,244569785,22115,3, name,1.1796875,1.0,0.00038313865661621094,0.7579569816589355
0,249370277,22331,6, painter,1.953125,1.0,0.00044798851013183594,0.7197964191436768
0,256862444,22664,2, first,2.828125,1.0,0.000914454460144043,0.5705723166465759
0,275619980,23477,1,The,2.34375,1.0,0.0006145834922790527,0.6522048115730286
0,279814995,23655,8, Gu,1.6875,1.0,0.0003724098205566406,0.7617368698120117
0,298644579,24438,1,The,2.859375,1.0,0.0003796815872192383,0.7587195634841919
0,304168779,24663,10,ica,1.1875,1.0,0.0006858110427856445,0.6299571394920349
0,324602459,25478,9,ern,1.0625,1.0,0.0004127621650695801,0.7377824187278748
0,337623104,25984,5, the,2.359375,1.0,0.00035893917083740234,0.7668275237083435
0,354591764,26629,7, of,1.421875,1.0,0.00045430660247802734,0.7161934971809387
0,368221952,27136,8, Gu,2.5,1.0,0.000505983829498291,0.693299412727356
0,368466230,27145,10,ica,1.9375,1.0,0.0007271766662597656,0.6137290000915527
0,372467570,27292,9,ern,0.91015625,1.0,0.0003421306610107422,0.7776504755020142
0,419905709,28978,6, painter,1.421875,1.0,0.0003916621208190918,0.751774787902832
0,431812577,29386,10,ica,2.109375,1.0,0.0017761290073394775,0.4431039094924927
0,440228627,29671,10,ica,1.28125,1.0,0.0006126165390014648,0.6534311175346375
0,500244264,31629,2, first,2.1875,1.0,0.0006203651428222656,0.6509699821472168
0,509235740,31912,6, painter,0.96875,1.0,0.00032699108123779297,0.7883594632148743
0,527491439,32479,10,ica,0.65234375,1.0,0.0004010796546936035,0.743445098400116
0,535741010,32732,3, name,1.515625,1.0,0.00032252073287963867,0.7906256914138794
0,598839527,34606,10,ica,0.83203125,1.0,0.00043010711669921875,0.728561282157898
0,610000055,34927,10,ica,0.6484375,1.0,0.0003184080123901367,0.7935070395469666
0,646075430,35945,1,The,2.71875,1.0,0.0007945895195007324,0.5963180661201477
0,709457945,37667,1,The,2.0,1.0,0.0003380775451660156,0.7813862562179565
0,765324125,39122,4, of,4.625,1.0,0.000667273998260498,0.6394237875938416
0,765324125,39122,5, the,5.0,1.0,0.0004386305809020996,0.7250986099243164
0,765324125,39122,7, of,5.4375,1.0,0.0007418990135192871,0.6085889935493469
0,770575652,39256,6, painter,1.6015625,1.0,0.0004540681838989258,0.7166475653648376
0,775214999,39374,11, is,1.65625,1.0,0.0017792880535125732,0.4413277804851532
0,831565370,40780,4, of,5.4375,1.0,0.000850677490234375,0.588184654712677
0,831565370,40780,5, the,6.75,1.0,0.000590205192565918,0.6642240881919861
0,831565370,40780,7, of,5.0,1.0,0.0007559657096862793,0.6063403487205505
0,831565370,40780,11, is,7.09375,1.0,0.004863262176513672,0.3510303795337677
0,837939452,40936,4, of,5.375,1.0,0.001740962266921997,0.45012959837913513
0,837939452,40936,7, of,5.03125,1.0,0.0017144083976745605,0.4535723924636841
0,845571125,41122,4, of,1.390625,1.0,0.0004284381866455078,0.7289897203445435
0,858036024,41424,1,The,1.75,1.0,0.0003173351287841797,0.7950956225395203
0,908125652,42616,10,ica,1.84375,1.0,0.0010241866111755371,0.5417415499687195
0,920398059,42903,10,ica,1.3984375,1.0,0.0007176399230957031,0.6195125579833984
0,952159340,43637,10,ica,1.234375,1.0,0.0005422234535217285,0.6817622184753418
0,989702294,44489,1,The,2.59375,1.0,0.0006742477416992188,0.636744499206543
0,996163929,44634,1,The,2.65625,1.0,0.0005748271942138672,0.6706246733665466
0,1031329235,45415,6, painter,1.0625,1.0,0.0003165006637573242,0.7957288026809692
0,1041162527,45631,3, name,1.59375,1.0,0.0005699992179870605,0.6734887957572937
0,1126866600,47472,3, name,0.84765625,1.0,0.00031751394271850586,0.7947782874107361
0,1154088945,48042,9,ern,1.53125,1.0,0.0004576444625854492,0.7130032181739807
0,1228171140,49560,11, is,3.296875,1.0,0.002631574869155884,0.40334752202033997
0,1265522894,50308,9,ern,0.82421875,1.0,0.00031310319900512695,0.7976131439208984
0,1281976929,50634,8, Gu,2.09375,1.0,0.0004334449768066406,0.7264047861099243
0,1322805329,51434,1,The,2.71875,1.0,0.0006418228149414062,0.6446666717529297
0,1322805329,51434,5, the,5.625,1.0,0.0009913444519042969,0.5477902293205261
0,1338074045,51730,10,ica,0.78515625,1.0,0.00047916173934936523,0.7031655311584473
0,1360671860,52165,10,ica,0.984375,1.0,0.000676274299621582,0.6340441107749939
0,1446977909,53794,2, first,2.4375,1.0,0.00032073259353637695,0.7919102311134338
0,1446977909,53794,3, name,1.328125,1.0,0.00041025876998901367,0.7381926774978638
0,1450799910,53865,9,ern,1.75,1.0,0.0007634162902832031,0.6040655374526978
0,1468792899,54198,1,The,5.78125,1.0,0.000927269458770752,0.5687339305877686
0,1485261252,54501,6, painter,1.6953125,1.0,0.000489354133605957,0.7002623677253723
0,1487060379,54534,10,ica,1.75,1.0,0.0009805560111999512,0.5507335066795349
0,1489133450,54572,1,The,2.578125,1.0,0.00048667192459106445,0.7012379169464111
0,1528022120,55280,9,ern,1.375,1.0,0.0005390048027038574,0.6823012232780457
0,1717009299,58599,6, painter,1.125,1.0,0.00044524669647216797,0.7211343050003052
0,1746316350,59097,2, first,2.53125,1.0,0.00046330690383911133,0.7111669182777405
0,1784403929,59738,9,ern,0.84765625,1.0,0.000375211238861084,0.7613644599914551
0,1831123385,60515,6, painter,1.8515625,1.0,0.0004717111587524414,0.7064918875694275
0,1842700277,60706,8, Gu,1.65625,1.0,0.0004048347473144531,0.7402246594429016
0,1846587605,60770,10,ica,0.8515625,1.0,0.0003685951232910156,0.7632161974906921
0,1862238905,61027,3, name,1.46875,1.0,0.0006028413772583008,0.6558668613433838
0,1895032265,61562,4, of,2.421875,1.0,0.00038802623748779297,0.7537198662757874
0,1895032265,61562,7, of,2.96875,1.0,0.00047510862350463867,0.7050758004188538
0,1939430339,62279,2, first,1.625,1.0,0.00038695335388183594,0.7544943690299988
0,1964547902,62681,10,ica,1.265625,1.0,0.000599205493927002,0.6576709747314453
0,1976538500,62872,1,The,2.6875,1.0,0.00041359663009643555,0.7361301183700562
0,2063549402,64241,9,ern,1.234375,1.0,0.0005980730056762695,0.6594658493995667
0,2065091510,64265,6, painter,1.515625,1.0,0.0004944205284118652,0.6987859606742859
0,2091330800,64672,10,ica,1.34375,1.0,0.000715792179107666,0.6202283501625061
0,2115328445,65042,9,ern,1.3046875,1.0,0.0004671812057495117,0.7097705006599426
0,2126269865,65210,6, painter,1.5390625,1.0,0.00043320655822753906,0.7268379926681519
0,2130314900,65272,9,ern,4.21875,1.0,0.0014723539352416992,0.4803948700428009
0,2419957664,69568,11, is,0.640625,1.0,0.0003132820129394531,0.7973000407218933
0,2422462814,69604,10,ica,0.84375,1.0,0.0003986358642578125,0.7466430068016052
0,2429149550,69700,9,ern,1.2578125,1.0,0.0003852248191833496,0.7556526064872742
0,2429149550,69700,10,ica,1.15625,1.0,0.0003215670585632324,0.7909472584724426
0,2447725527,69966,8, Gu,1.234375,1.0,0.0003166794776916504,0.7954123020172119
0,2549087100,71400,9,ern,1.6640625,1.0,0.0004011392593383789,0.7430440187454224
0,2639265530,72652,9,ern,1.5703125,1.0,0.0006278157234191895,0.6491021513938904
0,2695652024,73424,8, Gu,1.53125,1.0,0.0003491640090942383,0.7724767923355103
0,2720305679,73759,4, of,2.53125,1.0,0.0008632540702819824,0.5856243968009949
0,2720305679,73759,7, of,2.96875,1.0,0.001137375831604004,0.5232308506965637
0,2785527479,74638,10,ica,1.03125,1.0,0.0007365942001342773,0.6108054518699646
0,2889938324,76024,6, painter,5.9375,1.0,0.0008932948112487793,0.5768745541572571
0,2907755669,76258,2, first,1.609375,1.0,0.0003160238265991211,0.7960448265075684
0,2978337609,77178,6, painter,3.015625,1.0,0.0006024837493896484,0.6564693450927734
0,2988843269,77314,3, name,1.0234375,1.0,0.00035709142684936523,0.767542839050293
0,3074887409,78419,6, painter,1.2109375,1.0,0.00033468008041381836,0.7834047079086304
0,3169712009,79619,10,ica,1.390625,1.0,0.0007780790328979492,0.5994436740875244
0,3253542110,80665,9,ern,1.125,1.0,0.0003867149353027344,0.7548810839653015
0,3290673374,81124,1,The,3.96875,1.0,0.0006921291351318359,0.6251403093338013
0,3317010524,81448,6, painter,1.265625,1.0,0.0004044175148010254,0.7406290769577026
0,3331197875,81622,2, first,1.828125,1.0,0.0004062056541442871,0.7398198246955872
0,3340999895,81742,10,ica,1.078125,1.0,0.0004975795745849609,0.6958078145980835
0,3348197195,81830,11, is,2.328125,1.0,0.0011112093925476074,0.5299668908119202
0,3358925702,81961,10,ica,1.1640625,1.0,0.0005739927291870117,0.6717732548713684
0,3363927275,82022,8, Gu,1.828125,1.0,0.0004576444625854492,0.7134608626365662
0,3442549775,82975,6, painter,1.125,1.0,0.0003291964530944824,0.7867190837860107
0,3451433985,83082,2, first,4.1875,1.0,0.0012347102165222168,0.5102545022964478
0,3499372310,83657,10,ica,0.83984375,1.0,0.0005342364311218262,0.6844420433044434
0,3577945527,84591,6, painter,1.1796875,1.0,0.0003393888473510742,0.7793548107147217
0,3590984630,84745,10,ica,0.7109375,1.0,0.00039315223693847656,0.7505978941917419
0,3615433094,85033,10,ica,0.83203125,1.0,0.0004558563232421875,0.7143730521202087
0,3630499865,85210,9,ern,0.8828125,1.0,0.00034111738204956055,0.7786747217178345
0,3691080239,85918,10,ica,1.4140625,1.0,0.0007824897766113281,0.5978866815567017
0,3716038944,86208,9,ern,1.1875,1.0,0.0005356073379516602,0.683373212814331
0,3742033304,86509,3, name,1.21875,1.0,0.0005772113800048828,0.6700498461723328
0,3774023759,86878,10,ica,2.296875,1.0,0.001317441463470459,0.5025523900985718
0,3816802134,87369,8, Gu,1.265625,1.0,0.0003337264060974121,0.7840725779533386
0,3842356952,87661,8, Gu,1.5,1.0,0.0003126859664916992,0.7979258298873901
0,3980148809,89219,10,ica,1.3671875,1.0,0.0007314085960388184,0.6122711300849915
0,4082509979,90359,9,ern,1.28125,1.0,0.0005978941917419434,0.6600637435913086
0,4087842989,90418,8, Gu,2.515625,1.0,0.0007233619689941406,0.6166282296180725
0,4095532259,90503,10,ica,0.83203125,1.0,0.0004519820213317871,0.7175523638725281
0,4097795184,90528,6, painter,1.671875,1.0,0.00042724609375,0.729844331741333
