layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.054520733654499054,0.054520733654499054
-1,1,651,1,The,,1.0,0.02375607192516327,0.20202577114105225
-1,2,1370,2, first,,1.0,0.014674946665763855,0.2584833800792694
-1,3,1503,3, name,,1.0,0.019368037581443787,0.24380843341350555
-1,4,576,4, of,,1.0,0.012291699647903442,0.2843916714191437
-1,5,573,5, the,,1.0,0.009709388017654419,0.3051982522010803
-1,6,38942,6, painter,,1.0,0.027409285306930542,0.15375323593616486
-1,7,576,7, of,,1.0,0.011097192764282227,0.2954888641834259
-1,8,714,8, The,,1.0,0.013616591691970825,0.27209997177124023
-1,9,7081,9, Star,,1.0,0.02241462469100952,0.22444039583206177
-1,10,831,10,ry,,1.0,0.02451646327972412,0.17826969921588898
-1,11,11783,11, Night,,1.0,0.03326862305402756,0.12634395062923431
-1,12,603,12, is,,1.0,0.0385545939207077,0.09307532757520676
0,-1,0,3, name,,1.0,0.0018610954284667969,0.48852163553237915
0,-1,0,6, painter,,1.0,0.0010723471641540527,0.575947105884552
0,-1,0,9, Star,,1.0,0.000713646411895752,0.6504659056663513
0,-1,0,10,ry,,1.0,0.0021327435970306396,0.46870163083076477
0,-1,0,11, Night,,1.0,0.002294003963470459,0.45538127422332764
0,-1,0,12, is,,1.0,0.0006762146949768066,0.6658305525779724
0,26795,230,12, is,3.421875,1.0,0.003757774829864502,0.4033412039279938
0,63189,354,11, Night,1.5,1.0,0.0007524490356445312,0.6417518258094788
0,66065,362,8, The,3.25,1.0,0.0007872581481933594,0.6341094970703125
0,827540,1285,6, painter,2.75,1.0,0.0004315972328186035,0.7467886805534363
0,831404,1288,3, name,1.125,1.0,0.0006111860275268555,0.6830049157142639
0,1230095,1567,3, name,1.265625,1.0,0.00035381317138671875,0.7836815118789673
0,2338202,2161,4, of,3.125,1.0,0.0007096529006958008,0.6540239453315735
0,2338202,2161,7, of,3.90625,1.0,0.0007176399230957031,0.6483230590820312
0,3605954,2684,12, is,0.6796875,1.0,0.00044864416122436523,0.7397838234901428
0,13527800,5200,12, is,3.4375,1.0,0.00574609637260437,0.34785163402557373
0,16168140,5685,11, Night,1.09375,1.0,0.0006353855133056641,0.6730052828788757
0,23245970,6817,11, Night,1.1796875,1.0,0.00047218799591064453,0.7282911539077759
0,34299902,8281,10,ry,4.96875,1.0,0.002699553966522217,0.4282013773918152
0,35612579,8438,10,ry,1.703125,1.0,0.000644981861114502,0.6717287302017212
0,64371530,11345,11, Night,0.765625,1.0,0.00032770633697509766,0.7976270914077759
0,75270314,12268,10,ry,1.0,1.0,0.0003504753112792969,0.7850877642631531
0,75466754,12284,1,The,2.8125,1.0,0.0004076957702636719,0.7568371295928955
0,78431549,12523,3, name,1.4921875,1.0,0.0005182623863220215,0.7139738202095032
0,91226277,13506,5, the,2.921875,1.0,0.00038254261016845703,0.7694340944290161
0,97615377,13971,10,ry,1.3125,1.0,0.0005221962928771973,0.712934136390686
0,98049005,14002,3, name,4.21875,1.0,0.0018817782402038574,0.48666054010391235
0,109690265,14810,4, of,1.890625,1.0,0.00032848119735717773,0.7966436147689819
0,111206240,14912,11, Night,1.71875,1.0,0.0005402565002441406,0.7065536975860596
0,122265702,15636,4, of,1.1640625,1.0,0.00035774707794189453,0.7801273465156555
0,124812099,15798,2, first,3.03125,1.0,0.00044924020767211914,0.7393351793289185
0,143117820,16917,10,ry,1.0546875,1.0,0.0003426074981689453,0.7895997762680054
0,157380410,17740,2, first,1.6875,1.0,0.00038063526153564453,0.7705774307250977
0,175865634,18753,4, of,6.6875,1.0,0.0011745691299438477,0.5591347217559814
0,175865634,18753,5, the,6.90625,1.0,0.0006239414215087891,0.6792875528335571
0,175865634,18753,7, of,6.1875,1.0,0.0011067986488342285,0.5716056823730469
0,175865634,18753,12, is,5.34375,1.0,0.00471457839012146,0.37906304001808167
0,184425614,19204,1,The,2.5,1.0,0.0006030797958374023,0.6860410571098328
0,199270665,19962,6, painter,2.5,1.0,0.0009243488311767578,0.6120975613594055
0,216496835,20807,2, first,2.28125,1.0,0.0008091330528259277,0.6309311389923096
0,222594449,21098,3, name,1.15625,1.0,0.0004184246063232422,0.7518818378448486
0,244569785,22115,3, name,1.1796875,1.0,0.00035709142684936523,0.7808420062065125
0,249370277,22331,6, painter,1.953125,1.0,0.00046747922897338867,0.7315781712532043
0,256862444,22664,2, first,2.828125,1.0,0.0007619857788085938,0.6394899487495422
0,275619980,23477,1,The,2.34375,1.0,0.0005577206611633301,0.6993944644927979
0,279625775,23647,10,ry,1.09375,1.0,0.0003470778465270996,0.7875300645828247
0,285425777,23891,9, Star,1.6640625,1.0,0.0005536675453186035,0.701614499092102
0,298644579,24438,1,The,2.859375,1.0,0.00040078163146972656,0.7592592835426331
0,354591764,26629,7, of,1.421875,1.0,0.0004597902297973633,0.7338846325874329
0,364972652,27016,9, Star,2.40625,1.0,0.000554502010345459,0.7010608315467834
0,404231960,28432,11, Night,1.6015625,1.0,0.00048547983169555664,0.7244812250137329
0,482439452,31061,11, Night,2.015625,1.0,0.0017080307006835938,0.5080935955047607
0,500244264,31629,2, first,2.1875,1.0,0.0006344914436340332,0.6736397743225098
0,509235740,31912,6, painter,0.96875,1.0,0.0003463625907897949,0.7882233262062073
0,646075430,35945,1,The,2.71875,1.0,0.0007116198539733887,0.6533142924308777
0,646075430,35945,8, The,3.53125,1.0,0.0006595849990844727,0.6671627163887024
0,701007845,37442,10,ry,1.0703125,1.0,0.0004718899726867676,0.7292351126670837
0,728989835,38182,8, The,2.84375,1.0,0.0005258917808532715,0.7113625407218933
0,747394452,38661,11, Night,1.40625,1.0,0.0006218552589416504,0.6811549663543701
0,765324125,39122,4, of,4.625,1.0,0.000988781452178955,0.5996074080467224
0,765324125,39122,5, the,5.0,1.0,0.000512540340423584,0.7150004506111145
0,765324125,39122,7, of,5.4375,1.0,0.0012568235397338867,0.5446003079414368
0,768418002,39201,11, Night,1.421875,1.0,0.0006569623947143555,0.6684786081314087
0,770575652,39256,6, painter,1.6015625,1.0,0.000580906867980957,0.6925631761550903
0,775214999,39374,12, is,1.28125,1.0,0.001033186912536621,0.5874913930892944
0,831565370,40780,4, of,5.4375,1.0,0.0009987950325012207,0.5976228713989258
0,831565370,40780,5, the,6.75,1.0,0.0006919503211975098,0.6610246300697327
0,831565370,40780,7, of,5.0,1.0,0.0008563995361328125,0.6226925253868103
0,831565370,40780,12, is,5.65625,1.0,0.004321783781051636,0.3833848237991333
0,837939452,40936,4, of,5.375,1.0,0.001849144697189331,0.4922264516353607
0,837939452,40936,7, of,5.03125,1.0,0.0017293691635131836,0.5029552578926086
0,858036024,41424,1,The,1.75,1.0,0.00035756826400756836,0.7804849147796631
0,989702294,44489,1,The,2.59375,1.0,0.0007056593894958496,0.6568539142608643
0,993933404,44584,11, Night,1.171875,1.0,0.0005873441696166992,0.6919822692871094
0,996163929,44634,1,The,2.65625,1.0,0.0005522966384887695,0.70327228307724
0,1031329235,45415,6, painter,1.0625,1.0,0.0003262758255004883,0.7989338636398315
0,1041162527,45631,3, name,1.59375,1.0,0.0007151365280151367,0.6490381956100464
0,1057839005,45995,1,The,1.8828125,1.0,0.00032317638397216797,0.7995811104774475
0,1156251915,48087,10,ry,0.95703125,1.0,0.00035625696182250977,0.781198263168335
0,1228171140,49560,12, is,3.453125,1.0,0.003933340311050415,0.395796537399292
0,1306243827,51111,11, Night,0.99609375,1.0,0.00042629241943359375,0.7489324808120728
0,1322805329,51434,1,The,2.71875,1.0,0.0006920695304870605,0.6603326797485352
0,1322805329,51434,5, the,5.625,1.0,0.0009102225303649902,0.6139239072799683
0,1322805329,51434,8, The,2.65625,1.0,0.0007079243659973145,0.6554409265518188
0,1446977909,53794,2, first,2.4375,1.0,0.0003579854965209961,0.7797695994377136
0,1446977909,53794,3, name,1.328125,1.0,0.00046384334564208984,0.7320420145988464
0,1468792899,54198,1,The,5.78125,1.0,0.0007507205009460449,0.6425025463104248
0,1468792899,54198,8, The,5.3125,1.0,0.0006287097930908203,0.6761584281921387
0,1485261252,54501,6, painter,1.6953125,1.0,0.0005047917366027832,0.718042254447937
0,1489133450,54572,1,The,2.578125,1.0,0.000437319278717041,0.7437558770179749
0,1746316350,59097,2, first,2.53125,1.0,0.0004761219024658203,0.7259212136268616
0,1831123385,60515,6, painter,1.8515625,1.0,0.000509798526763916,0.7155102491378784
0,1862238905,61027,3, name,1.46875,1.0,0.00047081708908081055,0.7297059297561646
0,1895032265,61562,4, of,2.421875,1.0,0.0003979206085205078,0.7612558007240295
0,1895032265,61562,7, of,2.96875,1.0,0.0004121065139770508,0.7547881007194519
0,1901070290,61660,9, Star,2.78125,1.0,0.0007627606391906738,0.6387279629707336
0,1919303945,61955,11, Night,2.296875,1.0,0.0012131333351135254,0.5519785284996033
0,1939430339,62279,2, first,1.625,1.0,0.0003872513771057129,0.7671257257461548
0,1960976624,62624,9, Star,6.5,1.0,0.0011371970176696777,0.5648993253707886
0,1976538500,62872,1,The,2.6875,1.0,0.00047522783279418945,0.726872444152832
0,2045664665,63962,6, painter,1.03125,1.0,0.0003337264060974121,0.793991208076477
0,2062585877,64226,10,ry,1.1953125,1.0,0.00043576955795288086,0.7441916465759277
0,2065091510,64265,6, painter,1.515625,1.0,0.0006104707717895508,0.6836153864860535
0,2097608834,64769,8, The,3.546875,1.0,0.0009790658950805664,0.603535532951355
0,2126269865,65210,6, painter,1.5390625,1.0,0.0004912614822387695,0.7230184674263
0,2359535859,68694,11, Night,1.5,1.0,0.00047600269317626953,0.7263972163200378
0,2429149550,69700,10,ry,1.484375,1.0,0.0003585219383239746,0.7794116139411926
0,2503524179,70759,8, The,2.25,1.0,0.0005043745040893555,0.7185466289520264
0,2680254719,73214,11, Night,1.046875,1.0,0.00045746564865112305,0.735259473323822
0,2720305679,73759,4, of,2.53125,1.0,0.0007090568542480469,0.6547330021858215
0,2720305679,73759,7, of,2.96875,1.0,0.0007116794586181641,0.6526026725769043
0,2887126065,75987,11, Night,1.4921875,1.0,0.0006014108657836914,0.6872448325157166
0,2889938324,76024,6, painter,5.9375,1.0,0.0010672807693481445,0.5780861377716064
0,2889938324,76024,11, Night,1.1875,1.0,0.00044590234756469727,0.740675687789917
0,2907755669,76258,2, first,1.609375,1.0,0.0003279447555541992,0.7969715595245361
0,2922110127,76446,10,ry,1.484375,1.0,0.0005341172218322754,0.7097741365432739
0,2933358714,76593,10,ry,0.6015625,1.0,0.0004023909568786621,0.7584573030471802
0,2971703870,77092,10,ry,0.97265625,1.0,0.0004604458808898926,0.7329646348953247
0,2978337609,77178,6, painter,3.015625,1.0,0.0005214214324951172,0.7134555578231812
0,2986678827,77286,8, The,3.40625,1.0,0.0009331107139587402,0.6093193888664246
0,2988843269,77314,3, name,1.0234375,1.0,0.0003216266632080078,0.8002248406410217
0,3174092649,79674,11, Night,0.625,1.0,0.00047332048416137695,0.7273457646369934
0,3290673374,81124,1,The,3.96875,1.0,0.0008399486541748047,0.6235324740409851
0,3314730330,81420,11, Night,1.265625,1.0,0.00045245885848999023,0.7375323176383972
0,3317010524,81448,6, painter,1.265625,1.0,0.000457763671875,0.7348020076751709
0,3331197875,81622,2, first,1.828125,1.0,0.0005090832710266113,0.716019332408905
0,3331361124,81624,12, is,2.1875,1.0,0.0011229515075683594,0.5682786703109741
0,3348197195,81830,12, is,0.93359375,1.0,0.0004419684410095215,0.7411176562309265
0,3442383824,82973,6, painter,1.0625,1.0,0.0003504157066345215,0.7854381799697876
0,3451433985,83082,2, first,4.1875,1.0,0.0009101629257202148,0.6148340702056885
0,3571181327,84511,11, Night,1.25,1.0,0.0007195472717285156,0.646886944770813
0,3572364600,84525,10,ry,1.5703125,1.0,0.0007124543190002441,0.6518909931182861
0,3604302155,84902,11, Night,1.1328125,1.0,0.0005325078964233398,0.7103066444396973
0,3742033304,86509,3, name,1.21875,1.0,0.00048738718032836914,0.7239957451820374
