layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05704456940293312,0.05704456940293312
-1,1,651,1,The,,1.0,0.02486318349838257,0.21585692465305328
-1,2,1370,2, first,,1.0,0.015369370579719543,0.2523058354854584
-1,3,1503,3, name,,1.0,0.021079540252685547,0.23693646490573883
-1,4,576,4, of,,1.0,0.014284104108810425,0.2665899395942688
-1,5,573,5, the,,1.0,0.009778529405593872,0.2997922897338867
-1,6,38942,6, painter,,1.0,0.03072819858789444,0.1318376213312149
-1,7,576,7, of,,1.0,0.012967675924301147,0.27955761551856995
-1,8,5794,8, Water,,1.0,0.028534159064292908,0.19099374115467072
-1,9,53769,9, Lili,,1.0,0.044064853340387344,0.10110942274332047
-1,10,484,10,es,,1.0,0.0104561448097229,0.29001376032829285
-1,11,603,11, is,,1.0,0.030621960759162903,0.1624595820903778
0,-1,0,3, name,,1.0,0.001489877700805664,0.5087130069732666
0,-1,0,4, of,,1.0,0.0003350377082824707,0.797742486000061
0,-1,0,6, painter,,1.0,0.0009273886680603027,0.6028929948806763
0,-1,0,8, Water,,1.0,0.0006093978881835938,0.6822491884231567
0,-1,0,9, Lili,,1.0,0.005226224660873413,0.36942049860954285
0,-1,0,10,es,,1.0,0.000714421272277832,0.6487656235694885
0,-1,0,11, is,,1.0,0.000659644603729248,0.665965735912323
0,26795,230,11, is,3.359375,1.0,0.003029942512512207,0.4055834114551544
0,827540,1285,6, painter,2.75,1.0,0.0004025101661682129,0.7642372846603394
0,831404,1288,3, name,1.125,1.0,0.0006011128425598145,0.6852659583091736
0,1230095,1567,3, name,1.265625,1.0,0.0003597140312194824,0.7866314649581909
0,2338202,2161,4, of,3.125,1.0,0.0004831552505493164,0.7268906235694885
0,2338202,2161,7, of,3.90625,1.0,0.0006429553031921387,0.6685751676559448
0,2871605,2395,9, Lili,0.40234375,1.0,0.0003307461738586426,0.7997374534606934
0,8567729,4138,9, Lili,0.5078125,1.0,0.0003305673599243164,0.8000680208206177
0,13527800,5200,11, is,3.3125,1.0,0.004115790128707886,0.37769052386283875
0,18419414,6068,9, Lili,0.890625,1.0,0.0004412531852722168,0.7435503602027893
0,20177127,6351,9, Lili,0.56640625,1.0,0.00041931867599487305,0.7560263872146606
0,35612579,8438,10,es,2.75,1.0,0.0006406307220458984,0.6692157983779907
0,52423679,10238,9, Lili,1.09375,1.0,0.0005900263786315918,0.6906073093414307
0,64496402,11356,9, Lili,1.2734375,1.0,0.0006273388862609863,0.6717489957809448
0,75466754,12284,1,The,2.8125,1.0,0.0004705190658569336,0.733083963394165
0,78431549,12523,3, name,1.4921875,1.0,0.0005669593811035156,0.7009913325309753
